File Name,Precursor Mz,Area,Retention Time,Start Time,End Time,Molecule,Analyte Concentration,Calculated Concentration
CA_aminoacids.mzML,466.3163,0,6.06,6.06,6.36,GCA,,#N/A
CA_DCA_LCA_aminoacids.mzML,466.3163,3470705,6.06,6.06,6.36,GCA,,#N/A
CDCA_aminoacids.mzML,466.3163,0,6.06,6.06,6.36,GCA,,#N/A
DCA_aminoacids.mzML,466.3163,0,6.06,6.06,6.36,GCA,,#N/A
DCA_aminoacids_2.mzML,466.3163,66573,6.28,6.06,6.36,GCA,,#N/A
GCA_std.mzML,466.3163,1151011,6.07,6.06,6.36,GCA,,#N/A
GCDCA_std.mzML,466.3163,57738,6.07,6.06,6.36,GCA,,#N/A
GDCA_std.mzML,466.3163,0,6.06,6.06,6.36,GCA,,#N/A
GLCA_std.mzML,466.3163,0,6.06,6.06,6.36,GCA,,#N/A
GUDCA_std.mzML,466.3163,0,6.06,6.06,6.36,GCA,,#N/A
P4_A1_TLCA_Dny_BSH1_0h.mzML,466.3163,96437,6.15,6.06,6.36,GCA,,#N/A
P4_A2_TDCA_Dny_BSH1_0h.mzML,466.3163,111311,6.12,6.06,6.36,GCA,,#N/A
P4_A3_TCDCA_Dny_BSH1_0h.mzML,466.3163,126453,6.14,6.06,6.36,GCA,,#N/A
P4_A4_TUDCA_Dny_BSH1_0h.mzML,466.3163,90895,6.12,6.06,6.36,GCA,,#N/A
P4_A5_TCA_Dny_BSH1_0h.mzML,466.3163,349220,6.12,6.06,6.36,GCA,,#N/A
P4_A6_GLCA_Dny_BSH1_0h.mzML,466.3163,116911,6.13,6.06,6.36,GCA,,#N/A
P4_A7_GDCA_Dny_BSH1_0h.mzML,466.3163,142099,6.14,6.06,6.36,GCA,,#N/A
P4_A8_GCDCA_Dny_BSH1_0h.mzML,466.3163,645965,6.21,6.06,6.36,GCA,,#N/A
P4_A9_GUDCA_Dny_BSH1_0h.mzML,466.3163,2755017,6.13,6.06,6.36,GCA,,#N/A
P4_A10_GCA_Dny_BSH1_0h.mzML,466.3163,1267302656,6.16,6.06,6.36,GCA,,#N/A
P4_A11_BHI_50MeOH.mzML,466.3163,13622952,6.13,6.06,6.36,GCA,,#N/A
P4_A12_BHI_50DMSO_25MeOH.mzML,466.3163,113250,6.13,6.06,6.36,GCA,,#N/A
P4_B1_TLCA_Dny_BSH2_0h.mzML,466.3163,141271,6.12,6.06,6.36,GCA,,#N/A
P4_B2_TDCA_Dny_BSH2_0h.mzML,466.3163,138735,6.13,6.06,6.36,GCA,,#N/A
P4_B3_TCDCA_Dny_BSH2_0h.mzML,466.3163,129079,6.12,6.06,6.36,GCA,,#N/A
P4_B4_TUDCA_Dny_BSH2_0h.mzML,466.3163,127624,6.13,6.06,6.36,GCA,,#N/A
P4_B5_TCA_Dny_BSH2_0h.mzML,466.3163,135261,6.14,6.06,6.36,GCA,,#N/A
P4_B6_GLCA_Dny_BSH2_0h.mzML,466.3163,131339,6.12,6.06,6.36,GCA,,#N/A
P4_B7_GDCA_Dny_BSH2_0h.mzML,466.3163,243371,6.14,6.06,6.36,GCA,,#N/A
P4_B8_GCDCA_Dny_BSH2_0h.mzML,466.3163,873672,6.21,6.06,6.36,GCA,,#N/A
P4_B9_GUDCA_Dny_BSH2_0h.mzML,466.3163,1077746,6.15,6.06,6.36,GCA,,#N/A
P4_B10_GCA_Dny_BSH2_0h.mzML,466.3163,1084196224,6.15,6.06,6.36,GCA,,#N/A
P4_B11_BHI_50MeOH.mzML,466.3163,171022,6.14,6.06,6.36,GCA,,#N/A
P4_B12_BHI_50DMSO_25MeOH.mzML,466.3163,142903,6.14,6.06,6.36,GCA,,#N/A
P4_C1_TLCA_Lgasseri_BSH_0h.mzML,466.3163,120599,6.16,6.06,6.36,GCA,,#N/A
P4_C2_TDCA_Lgasseri_BSH_0h.mzML,466.3163,128065,6.15,6.06,6.36,GCA,,#N/A
P4_C3_TCDCA_Lgasseri_BSH_0h.mzML,466.3163,140555,6.14,6.06,6.36,GCA,,#N/A
P4_C4_TUDCA_Lgasseri_BSH_0h.mzML,466.3163,136205,6.15,6.06,6.36,GCA,,#N/A
P4_C5_TCA_Lgasseri_BSH_0h.mzML,466.3163,135131,6.16,6.06,6.36,GCA,,#N/A
P4_C6_GLCA_Lgasseri_BSH_0h.mzML,466.3163,148329,6.15,6.06,6.36,GCA,,#N/A
P4_C7_GDCA_Lgasseri_BSH_0h.mzML,466.3163,191543,6.17,6.06,6.36,GCA,,#N/A
P4_C8_GCDCA_Lgasseri_BSH_0h.mzML,466.3163,420312,6.15,6.06,6.36,GCA,,#N/A
P4_C9_GUDCA_Lgasseri_BSH_0h.mzML,466.3163,157931,6.14,6.06,6.36,GCA,,#N/A
P4_C10_GCA_Lgasseri_BSH_0h.mzML,466.3163,492626272,6.16,6.06,6.36,GCA,,#N/A
P4_C11_BHI_50MeOH.mzML,466.3163,146554,6.16,6.06,6.36,GCA,,#N/A
P4_C12_BHI_50DMSO_25MeOH.mzML,466.3163,161763,6.15,6.06,6.36,GCA,,#N/A
P4_D1_TLCA_LCAG-95_BSH1208_0h.mzML,466.3163,3657,6.17,6.06,6.36,GCA,,#N/A
P4_D2_TDCA_LCAG-95_BSH1208_0h.mzML,466.3163,116014,6.16,6.06,6.36,GCA,,#N/A
P4_D3_TCDCA_LCAG-95_BSH1208_0h.mzML,466.3163,117323,6.15,6.06,6.36,GCA,,#N/A
P4_D4_TUDCA_LCAG-95_BSH1208_0h.mzML,466.3163,113066,6.16,6.06,6.36,GCA,,#N/A
P4_D5_TCA_LCAG-95_BSH1208_0h.mzML,466.3163,166235,6.19,6.06,6.36,GCA,,#N/A
P4_D6_GLCA_LCAG-95_BSH1208_0h.mzML,466.3163,122161,6.13,6.06,6.36,GCA,,#N/A
P4_D7_GDCA_LCAG-95_BSH1208_0h.mzML,466.3163,224123,6.16,6.06,6.36,GCA,,#N/A
P4_D8_GCDCA_LCAG-95_BSH1208_0h.mzML,466.3163,744420,6.24,6.06,6.36,GCA,,#N/A
P4_D9_GUDCA_LCAG-95_BSH1208_0h.mzML,466.3163,141118,6.14,6.06,6.36,GCA,,#N/A
P4_D10_GCA_LCAG-95_BSH1208_0h.mzML,466.3163,982146560,6.14,6.06,6.36,GCA,,#N/A
P4_D11_BHI_50MeOH.mzML,466.3163,135357,6.18,6.06,6.36,GCA,,#N/A
P4_D12_BHI_50DMSO_25MeOH.mzML,466.3163,117421,6.17,6.06,6.36,GCA,,#N/A
P4_E1_TLCA_Ep_BSH101_0h.mzML,466.3163,112084,6.14,6.06,6.36,GCA,,#N/A
P4_E2_TDCA_Ep_BSH101_0h.mzML,466.3163,107740,6.16,6.06,6.36,GCA,,#N/A
P4_E3_TCDCA_Ep_BSH101_0h.mzML,466.3163,111575,6.16,6.06,6.36,GCA,,#N/A
P4_E4_TUDCA_Ep_BSH101_0h.mzML,466.3163,120690,6.18,6.06,6.36,GCA,,#N/A
P4_E5_TCA_Ep_BSH101_0h.mzML,466.3163,123005,6.17,6.06,6.36,GCA,,#N/A
P4_E6_GLCA_Ep_BSH101_0h.mzML,466.3163,125102,6.18,6.06,6.36,GCA,,#N/A
P4_E7_GDCA_Ep_BSH101_0h.mzML,466.3163,222973,6.19,6.06,6.36,GCA,,#N/A
P4_E8_GCDCA_Ep_BSH101_0h.mzML,466.3163,824742,6.2,6.06,6.36,GCA,,#N/A
P4_E9_GUDCA_Ep_BSH101_0h.mzML,466.3163,125387,6.18,6.06,6.36,GCA,,#N/A
P4_E10_GCA_Ep_BSH101_0h.mzML,466.3163,430215232,6.19,6.06,6.36,GCA,,#N/A
P4_E11_BHI_50MeOH.mzML,466.3163,135498,6.17,6.06,6.36,GCA,,#N/A
P4_E12_BHI_50DMSO_25MeOH.mzML,466.3163,116063,6.14,6.06,6.36,GCA,,#N/A
P4_F1_TLCA_AZ-52_0h.mzML,466.3163,111209,6.19,6.06,6.36,GCA,,#N/A
P4_F2_TDCA_AZ-52_0h.mzML,466.3163,119956,6.2,6.06,6.36,GCA,,#N/A
P4_F3_TCDCA_AZ-52_0h.mzML,466.3163,124625,6.19,6.06,6.36,GCA,,#N/A
P4_F4_TUDCA_AZ-52_0h.mzML,466.3163,119218,6.19,6.06,6.36,GCA,,#N/A
P4_F5_TCA_AZ-52_0h.mzML,466.3163,120056,6.2,6.06,6.36,GCA,,#N/A
P4_F6_GLCA_AZ-52_0h.mzML,466.3163,116607,6.16,6.06,6.36,GCA,,#N/A
P4_F7_GDCA_AZ-52_0h.mzML,466.3163,187438,6.19,6.06,6.36,GCA,,#N/A
P4_F8_GCDCA_AZ-52_0h.mzML,466.3163,439267,6.2,6.06,6.36,GCA,,#N/A
P4_F9_GUDCA_AZ-52_0h.mzML,466.3163,127374,6.2,6.06,6.36,GCA,,#N/A
P4_F10_GCA_AZ-52_0h.mzML,466.3163,440722592,6.19,6.06,6.36,GCA,,#N/A
P4_F11_BHI_50MeOH.mzML,466.3163,174885,6.2,6.06,6.36,GCA,,#N/A
P4_F12_BHI_50DMSO_25MeOH.mzML,466.3163,178435,6.2,6.06,6.36,GCA,,#N/A
P4_G1_TLCA_EcAZ-1-cat_0h.mzML,466.3163,131135,6.21,6.06,6.36,GCA,,#N/A
P4_G2_TDCA_EcAZ-1-cat_0h.mzML,466.3163,131121,6.2,6.06,6.36,GCA,,#N/A
P4_G3_TCDCA_EcAZ-1-cat_0h.mzML,466.3163,114207,6.21,6.06,6.36,GCA,,#N/A
P4_G4_TUDCA_EcAZ-1-cat_0h.mzML,466.3163,137261,6.21,6.06,6.36,GCA,,#N/A
P4_G5_TCA_EcAZ-1-cat_0h.mzML,466.3163,141838,6.23,6.06,6.36,GCA,,#N/A
P4_G6_GLCA_EcAZ-1-cat_0h.mzML,466.3163,144214,6.2,6.06,6.36,GCA,,#N/A
P4_G7_GDCA_EcAZ-1-cat_0h.mzML,466.3163,186418,6.21,6.06,6.36,GCA,,#N/A
P4_G8_GCDCA_EcAZ-1-cat_0h.mzML,466.3163,512718,6.19,6.06,6.36,GCA,,#N/A
P4_G9_GUDCA_EcAZ-1-cat_0h.mzML,466.3163,148710,6.21,6.06,6.36,GCA,,#N/A
P4_G10_GCA_EcAZ-1-cat_0h.mzML,466.3163,633843840,6.21,6.06,6.36,GCA,,#N/A
P4_G11_BHI_50MeOH.mzML,466.3163,137214,6.21,6.06,6.36,GCA,,#N/A
P4_G12_BHI_50DMSO_25MeOH.mzML,466.3163,145248,6.19,6.06,6.36,GCA,,#N/A
P4_H1_TLCA_ctrl_0h.mzML,466.3163,140029,6.22,6.06,6.36,GCA,,#N/A
P4_H2_TDCA_ctrl_0h.mzML,466.3163,138838,6.19,6.06,6.36,GCA,,#N/A
P4_H3_TCDCA_ctrl_0h.mzML,466.3163,136249,6.16,6.06,6.36,GCA,,#N/A
P4_H4_TUDCA_ctrl_0h.mzML,466.3163,145678,6.17,6.06,6.36,GCA,,#N/A
P4_H5_TCA_ctrl_0h.mzML,466.3163,130268,6.17,6.06,6.36,GCA,,#N/A
P4_H6_GLCA_ctrl_0h.mzML,466.3163,132174,6.15,6.06,6.36,GCA,,#N/A
P4_H7_GDCA_ctrl_0h.mzML,466.3163,229394,6.15,6.06,6.36,GCA,,#N/A
P4_H8_GCDCA_ctrl_0h.mzML,466.3163,607658,6.17,6.06,6.36,GCA,,#N/A
P4_H9_GUDCA_ctrl_0h.mzML,466.3163,123130,6.17,6.06,6.36,GCA,,#N/A
P4_H10_GCA_ctrl_0h.mzML,466.3163,972195008,6.17,6.06,6.36,GCA,,#N/A
P4_H11_BHI_50MeOH.mzML,466.3163,143188,6.19,6.06,6.36,GCA,,#N/A
P4_H12_BHI_50DMSO_25MeOH.mzML,466.3163,151496,6.22,6.06,6.36,GCA,,#N/A
P7_A1_TLCA_Dny_BSH1_0h.mzML,466.3163,95827,6.21,6.06,6.36,GCA,,#N/A
P7_A2_TDCA_Dny_BSH1_0h.mzML,466.3163,84799,6.22,6.06,6.36,GCA,,#N/A
P7_A3_TCDCA_Dny_BSH1_0h.mzML,466.3163,91863,6.26,6.06,6.36,GCA,,#N/A
P7_A4_TUDCA_Dny_BSH1_0h.mzML,466.3163,83446,6.24,6.06,6.36,GCA,,#N/A
P7_A5_TCA_Dny_BSH1_0h.mzML,466.3163,224515,6.24,6.06,6.36,GCA,,#N/A
P7_A6_GLCA_Dny_BSH1_0h.mzML,466.3163,89443,6.24,6.06,6.36,GCA,,#N/A
P7_A7_GDCA_Dny_BSH1_0h.mzML,466.3163,148099,6.21,6.06,6.36,GCA,,#N/A
P7_A8_GCDCA_Dny_BSH1_0h.mzML,466.3163,725888,6.25,6.06,6.36,GCA,,#N/A
P7_A9_GUDCA_Dny_BSH1_0h.mzML,466.3163,165386,6.22,6.06,6.36,GCA,,#N/A
P7_A10_GCA_Dny_BSH1_0h.mzML,466.3163,1065558208,6.22,6.06,6.36,GCA,,#N/A
P7_A11_BHI_50MeOH.mzML,466.3163,63692,6.21,6.06,6.36,GCA,,#N/A
P7_A12_BHI_50DMSO_25MeOH.mzML,466.3163,101611,6.22,6.06,6.36,GCA,,#N/A
P7_B1_TLCA_Dny_BSH2_0h.mzML,466.3163,107360,6.23,6.06,6.36,GCA,,#N/A
P7_B2_TDCA_Dny_BSH2_0h.mzML,466.3163,105893,6.24,6.06,6.36,GCA,,#N/A
P7_B3_TCDCA_Dny_BSH2_0h.mzML,466.3163,121987,6.23,6.06,6.36,GCA,,#N/A
P7_B4_TUDCA_Dny_BSH2_0h.mzML,466.3163,103456,6.23,6.06,6.36,GCA,,#N/A
P7_B5_TCA_Dny_BSH2_0h.mzML,466.3163,95850,6.22,6.06,6.36,GCA,,#N/A
P7_B6_GLCA_Dny_BSH2_0h.mzML,466.3163,110976,6.2,6.06,6.36,GCA,,#N/A
P7_B7_GDCA_Dny_BSH2_0h.mzML,466.3163,291069,6.21,6.06,6.36,GCA,,#N/A
P7_B8_GCDCA_Dny_BSH2_0h.mzML,466.3163,631987,6.21,6.06,6.36,GCA,,#N/A
P7_B9_GUDCA_Dny_BSH2_0h.mzML,466.3163,1680718,6.22,6.06,6.36,GCA,,#N/A
P7_B10_GCA_Dny_BSH2_0h.mzML,466.3163,727450816,6.21,6.06,6.36,GCA,,#N/A
P7_B11_BHI_50MeOH.mzML,466.3163,202399,6.23,6.06,6.36,GCA,,#N/A
P7_B12_BHI_50DMSO_25MeOH.mzML,466.3163,118611,6.24,6.06,6.36,GCA,,#N/A
P7_C1_TLCA_Lgasseri_BSH_0h.mzML,466.3163,101084,6.21,6.06,6.36,GCA,,#N/A
P7_C2_TDCA_Lgasseri_BSH_0h.mzML,466.3163,101152,6.19,6.06,6.36,GCA,,#N/A
P7_C3_TCDCA_Lgasseri_BSH_0h.mzML,466.3163,137948,6.22,6.06,6.36,GCA,,#N/A
P7_C4_TUDCA_Lgasseri_BSH_0h.mzML,466.3163,108186,6.22,6.06,6.36,GCA,,#N/A
