rt_matched_detected_BA	BSH_strain	t0hvt48h	culture_supplement_BA
GCA	Ep-BSH101	0.36943753620035	TUDCA
GUDCA	Ep-BSH101	0.369768708654683	TUDCA
GCDCA	Ep-BSH101	0.370326519700724	GCA
GDCA	LCAG-95-BSH1208	0.371621017591691	GLCA
GDCA	Dny-BSH1	0.372894258636648	TCDCA
GDCA	Dny-BSH1	0.373130760205878	GLCA
TCAA	Ep-BSH101	0.373900966300059	GCA
TCAA	AZ-52	0.373900966300059	GCA
TCAA	ctrl	0.373900966300059	GCA
TCDCA	Dny-BSH1	0.373900966300059	GCA
TCDCA	Lgasseri-BSH	0.373900966300059	GCA
TCDCA	Ep-BSH101	0.373900966300059	GCA
TCDCA	AZ-52	0.373900966300059	GCA
TCDCA	EcAZ-1-cat	0.373900966300059	GCA
TDCA	Lgasseri-BSH	0.373900966300059	GCA
TLCA	ctrl	0.373900966300059	GCA
Lys-CA	AZ-52	0.373900966300059	GCA
TCAA	LCAG-95-BSH1208	0.373900966300059	GCDCA
TCAA	AZ-52	0.373900966300059	GCDCA
TCAA	ctrl	0.373900966300059	GCDCA
TCDCA	Dny-BSH1	0.373900966300059	GCDCA
TCDCA	Dny-BSH2	0.373900966300059	GCDCA
TCDCA	Lgasseri-BSH	0.373900966300059	GCDCA
TCDCA	Ep-BSH101	0.373900966300059	GCDCA
TCDCA	AZ-52	0.373900966300059	GCDCA
TDCA	Lgasseri-BSH	0.373900966300059	GCDCA
TLCA	Dny-BSH1	0.373900966300059	GCDCA
TLCA	Lgasseri-BSH	0.373900966300059	GCDCA
TLCA	Ep-BSH101	0.373900966300059	GCDCA
TLCA	ctrl	0.373900966300059	GCDCA
TUDCA	Ep-BSH101	0.373900966300059	GCDCA
Tyr-UDCA	EcAZ-1-cat	0.373900966300059	GCDCA
Lys-CDCA	Ep-BSH101	0.373900966300059	GCDCA
TCAA	Dny-BSH2	0.373900966300059	GDCA
TCAA	Lgasseri-BSH	0.373900966300059	GDCA
TCAA	LCAG-95-BSH1208	0.373900966300059	GDCA
TCAA	EcAZ-1-cat	0.373900966300059	GDCA
TCDCA	Dny-BSH1	0.373900966300059	GDCA
TCDCA	Lgasseri-BSH	0.373900966300059	GDCA
TCDCA	Ep-BSH101	0.373900966300059	GDCA
TCDCA	EcAZ-1-cat	0.373900966300059	GDCA
TDCA	Lgasseri-BSH	0.373900966300059	GDCA
TLCA	Dny-BSH1	0.373900966300059	GDCA
TLCA	LCAG-95-BSH1208	0.373900966300059	GDCA
TLCA	EcAZ-1-cat	0.373900966300059	GDCA
Tyr-UDCA	ctrl	0.373900966300059	GDCA
TCAA	Lgasseri-BSH	0.373900966300059	GLCA
TCAA	AZ-52	0.373900966300059	GLCA
TCAA	EcAZ-1-cat	0.373900966300059	GLCA
TCAA	ctrl	0.373900966300059	GLCA
TLCA	Dny-BSH1	0.373900966300059	GLCA
TLCA	Lgasseri-BSH	0.373900966300059	GLCA
TLCA	LCAG-95-BSH1208	0.373900966300059	GLCA
TLCA	EcAZ-1-cat	0.373900966300059	GLCA
TCAA	Dny-BSH1	0.373900966300059	GUDCA
TCDCA	Dny-BSH1	0.373900966300059	GUDCA
TCDCA	Dny-BSH2	0.373900966300059	GUDCA
TCDCA	Lgasseri-BSH	0.373900966300059	GUDCA
TCDCA	LCAG-95-BSH1208	0.373900966300059	GUDCA
TCDCA	Ep-BSH101	0.373900966300059	GUDCA
TCDCA	AZ-52	0.373900966300059	GUDCA
TCDCA	EcAZ-1-cat	0.373900966300059	GUDCA
TCDCA	ctrl	0.373900966300059	GUDCA
TLCA	EcAZ-1-cat	0.373900966300059	GUDCA
Tyr-UDCA	Dny-BSH1	0.373900966300059	GUDCA
Lys-UDCA	LCAG-95-BSH1208	0.373900966300059	GUDCA
Lys-CA	AZ-52	0.373900966300059	GUDCA
Lys-CDCA	Dny-BSH1	0.373900966300059	GUDCA
Lys-CDCA	AZ-52	0.373900966300059	GUDCA
TLCA	Dny-BSH1	0.373900966300059	TCA
TLCA	Dny-BSH2	0.373900966300059	TCA
TLCA	LCAG-95-BSH1208	0.373900966300059	TCA
TLCA	Ep-BSH101	0.373900966300059	TCA
Tyr-UDCA	ctrl	0.373900966300059	TCA
GUDCA	Dny-BSH1	0.373900966300059	TCDCA
TCAA	Dny-BSH1	0.373900966300059	TCDCA
TCAA	Dny-BSH2	0.373900966300059	TCDCA
TCAA	Lgasseri-BSH	0.373900966300059	TCDCA
TCAA	LCAG-95-BSH1208	0.373900966300059	TCDCA
TCAA	Ep-BSH101	0.373900966300059	TCDCA
TCAA	EcAZ-1-cat	0.373900966300059	TCDCA
TCAA	ctrl	0.373900966300059	TCDCA
TLCA	LCAG-95-BSH1208	0.373900966300059	TCDCA
Ala-UDCA	Dny-BSH2	0.373900966300059	TCDCA
GUDCA	EcAZ-1-cat	0.373900966300059	TDCA
TLCA	Dny-BSH1	0.373900966300059	TDCA
TLCA	Lgasseri-BSH	0.373900966300059	TDCA
TLCA	LCAG-95-BSH1208	0.373900966300059	TDCA
TLCA	AZ-52	0.373900966300059	TDCA
Lys-CA	AZ-52	0.373900966300059	TDCA
TCAA	Lgasseri-BSH	0.373900966300059	TLCA
TCAA	LCAG-95-BSH1208	0.373900966300059	TLCA
TCAA	Ep-BSH101	0.373900966300059	TLCA
Trp-UDCA	EcAZ-1-cat	0.373900966300059	TLCA
Tyr-UDCA	Dny-BSH2	0.373900966300059	TLCA
Tyr-UDCA	LCAG-95-BSH1208	0.373900966300059	TLCA
Tyr-UDCA	Ep-BSH101	0.373900966300059	TLCA
Tyr-UDCA	AZ-52	0.373900966300059	TLCA
Lys-UDCA	Dny-BSH2	0.373900966300059	TLCA
TCAA	EcAZ-1-cat	0.373900966300059	TUDCA
TLCA	Dny-BSH1	0.373900966300059	TUDCA
TLCA	LCAG-95-BSH1208	0.373900966300059	TUDCA
Tyr-UDCA	Ep-BSH101	0.373900966300059	TUDCA
Tyr-UDCA	ctrl	0.373900966300059	TUDCA
Lys-UDCA	LCAG-95-BSH1208	0.373900966300059	TUDCA
Trp-UDCA	ctrl	0.374621011549618	GCA
GLCA	Lgasseri-BSH	0.375384329518903	TUDCA
GDCA	AZ-52	0.3755634357387	TCDCA
TCAA	ctrl	0.375711769799921	TDCA
GDCA	Dny-BSH1	0.376242300793398	TCA
TCDCA	EcAZ-1-cat	0.376622143095411	TDCA
TDCA	Ep-BSH101	0.38001459642856	GDCA
Phe-UDCA	Dny-BSH2	0.3800887700179	TUDCA
Tyr-UDCA	Lgasseri-BSH	0.381038229512665	GUDCA
Trp-UDCA	LCAG-95-BSH1208	0.381404506789285	TCA
GCDCA	LCAG-95-BSH1208	0.386833512077529	GDCA
GUDCA	Lgasseri-BSH	0.386887952523378	GUDCA
Tyr-UDCA	EcAZ-1-cat	0.390876954426672	GCA
GDCA	Lgasseri-BSH	0.392526030499625	TCDCA
TUDCA	Dny-BSH2	0.393467671197841	GCA
TDCA	LCAG-95-BSH1208	0.393535291314191	GDCA
Tyr-UDCA	Lgasseri-BSH	0.393952056486938	GCDCA
GCA	AZ-52	0.394524621994106	TLCA
GUDCA	ctrl	0.399173707088019	TUDCA
GCA	ctrl	0.400051617179492	TCA
GCA	Ep-BSH101	0.401638640873107	TLCA
GCDCA	Dny-BSH2	0.404461440842971	TDCA
GLCA	Dny-BSH1	0.4046436744327	TDCA
GCA	AZ-52	0.405542664782006	TCA
GCDCA	Lgasseri-BSH	0.407734386187608	TDCA
GLCA	Dny-BSH1	0.407848598458027	GUDCA
GCA	EcAZ-1-cat	0.408701620555416	TUDCA
GUDCA	Dny-BSH1	0.408981831912012	GCA
GDCA	Dny-BSH2	0.410224815592673	TCA
TCAA	Dny-BSH1	0.411749079690916	GCA
GCA	AZ-52	0.412314189575529	TUDCA
GDCA	AZ-52	0.413022535395554	TLCA
Phe-UDCA	LCAG-95-BSH1208	0.413581988082213	TCDCA
TDCA	Ep-BSH101	0.41360870014961	TDCA
GCA	EcAZ-1-cat	0.414602192067678	TLCA
GLCA	Dny-BSH1	0.41519740345573	TCDCA
GCDCA	Ep-BSH101	0.416854554992197	GLCA
GLCA	Dny-BSH2	0.418639046258579	GLCA
Tyr-UDCA	Lgasseri-BSH	0.42231023326341	TCDCA
GLCA	Dny-BSH2	0.422851097169243	TUDCA
GCDCA	Ep-BSH101	0.423260924207455	TUDCA
TCDCA	ctrl	0.423411625014963	TDCA
Phe-UDCA	AZ-52	0.423483537550069	TCDCA
TCDCA	LCAG-95-BSH1208	0.424397038826092	TDCA
GLCA	EcAZ-1-cat	0.424847186059404	TLCA
GDCA	Dny-BSH2	0.425546827453337	TCDCA
TCDCA	AZ-52	0.427289404982405	GLCA
TUDCA	Ep-BSH101	0.427722954875393	TUDCA
GLCA	AZ-52	0.427885031635237	GCDCA
GLCA	Lgasseri-BSH	0.429887477443411	GUDCA
GUDCA	Dny-BSH2	0.430426490067023	TUDCA
GDCA	EcAZ-1-cat	0.431099569957771	GLCA
Tyr-UDCA	ctrl	0.433636581751413	TCDCA
TLCA	Dny-BSH2	0.434619722111649	TDCA
TDCA	EcAZ-1-cat	0.434729807513681	GCA
TUDCA	EcAZ-1-cat	0.437594429900272	GLCA
Tyr-UDCA	LCAG-95-BSH1208	0.438521171922052	GLCA
GDCA	Dny-BSH2	0.439384321280354	GUDCA
Tyr-UDCA	Lgasseri-BSH	0.43941250613909	TDCA
GLCA	EcAZ-1-cat	0.439653822567665	GLCA
Tyr-UDCA	Dny-BSH2	0.440856202429987	GCDCA
GCDCA	EcAZ-1-cat	0.441092980799684	TUDCA
Tyr-UDCA	Dny-BSH2	0.442045544147558	TDCA
GDCA	LCAG-95-BSH1208	0.444140597495006	TDCA
GLCA	AZ-52	0.444262941049597	TDCA
GDCA	EcAZ-1-cat	0.446903185306755	GUDCA
TUDCA	LCAG-95-BSH1208	0.447020606223788	TCDCA
TUDCA	ctrl	0.451447653060333	GCA
GUDCA	EcAZ-1-cat	0.451988806963355	GCDCA
Trp-UDCA	Dny-BSH2	0.452952596139112	TDCA
TUDCA	Dny-BSH2	0.453438400564641	TCA
TCAA	EcAZ-1-cat	0.453822171111313	TCA
TDCA	Lgasseri-BSH	0.456526714217157	TCA
Tyr-UDCA	Lgasseri-BSH	0.457118143249454	TCA
GUDCA	EcAZ-1-cat	0.458406699466611	GCA
Tyr-UDCA	EcAZ-1-cat	0.46001849294183	TCDCA
TUDCA	EcAZ-1-cat	0.461478822857664	TLCA
GDCA	Ep-BSH101	0.462486482531955	TDCA
TDCA	Dny-BSH1	0.463292385474679	TUDCA
Phe-UDCA	AZ-52	0.46469251939154	GCDCA
Tyr-UDCA	LCAG-95-BSH1208	0.46516316114745	GCDCA
TDCA	Dny-BSH2	0.467610450162251	TCA
TUDCA	EcAZ-1-cat	0.467982008503423	TCA
TUDCA	ctrl	0.468458934226998	TLCA
GUDCA	ctrl	0.470038991038071	GCA
Tyr-UDCA	EcAZ-1-cat	0.471462723066699	GDCA
TUDCA	Dny-BSH2	0.471594037039281	GLCA
TDCA	ctrl	0.473723727736171	GDCA
GDCA	Ep-BSH101	0.474383143712713	GDCA
Trp-UDCA	LCAG-95-BSH1208	0.474936714438787	TUDCA
TUDCA	ctrl	0.477116801627792	GLCA
TUDCA	Ep-BSH101	0.478760700265622	TLCA
Tyr-UDCA	AZ-52	0.478877561347592	GLCA
Tyr-UDCA	AZ-52	0.480130238187679	GUDCA
GDCA	Dny-BSH2	0.48089727332735	TDCA
GDCA	EcAZ-1-cat	0.482157482290125	TCA
Tyr-UDCA	Dny-BSH1	0.483158191621399	TDCA
TDCA	Ep-BSH101	0.483366701127918	TCDCA
GLCA	AZ-52	0.484710243169992	TCDCA
GDCA	Ep-BSH101	0.48510634112093	TCA
GLCA	ctrl	0.485433950972925	GUDCA
TLCA	ctrl	0.486139460660914	TLCA
GLCA	Ep-BSH101	0.486559831706975	GCA
TCDCA	EcAZ-1-cat	0.487943301856007	GLCA
GCDCA	EcAZ-1-cat	0.49000860221723	GDCA
GDCA	Ep-BSH101	0.492197791128761	GCA
TUDCA	Lgasseri-BSH	0.4925678184596	TLCA
Tyr-UDCA	ctrl	0.492937407836134	GCA
GUDCA	Ep-BSH101	0.495640789861952	TCA
GLCA	Ep-BSH101	0.496277072324657	TUDCA
GUDCA	Lgasseri-BSH	0.499021755270366	GCDCA
Phe-UDCA	LCAG-95-BSH1208	0.49979485027248	GDCA
GCA	Ep-BSH101	0.501174296373821	GDCA
Phe-UDCA	ctrl	0.501862231102418	GCA
GDCA	AZ-52	0.502380204344364	GDCA
GCDCA	ctrl	0.503505425461687	GUDCA
TLCA	Dny-BSH2	0.50351485193504	TUDCA
TUDCA	LCAG-95-BSH1208	0.503716848269379	TCA
GUDCA	EcAZ-1-cat	0.505319959632066	TUDCA
GUDCA	EcAZ-1-cat	0.50540600147432	TCA
TDCA	ctrl	0.510567440862932	GUDCA
GDCA	Lgasseri-BSH	0.511449526679305	TUDCA
Phe-UDCA	Ep-BSH101	0.511891258794065	GDCA
TUDCA	LCAG-95-BSH1208	0.5141531170894	TLCA
GCDCA	Lgasseri-BSH	0.514292107372935	TUDCA
Trp-UDCA	ctrl	0.516124972652344	TLCA
Tyr-UDCA	ctrl	0.516163105528433	TLCA
TUDCA	EcAZ-1-cat	0.517646495927885	TDCA
GUDCA	ctrl	0.518281640728975	GCDCA
TUDCA	Dny-BSH2	0.518395843904273	TUDCA
TDCA	Dny-BSH2	0.52714229584682	TUDCA
GCDCA	Dny-BSH1	0.529174336473841	TCA
Phe-UDCA	ctrl	0.529959045735128	GDCA
Phe-UDCA	ctrl	0.530706040428307	GUDCA
TUDCA	LCAG-95-BSH1208	0.532006977391455	GUDCA
GUDCA	LCAG-95-BSH1208	0.534203922350156	GCA
TUDCA	Lgasseri-BSH	0.542267328293757	GCA
GDCA	Ep-BSH101	0.542984653308851	GUDCA
Trp-UDCA	LCAG-95-BSH1208	0.544152975249266	GDCA
GUDCA	Lgasseri-BSH	0.544622867134603	TLCA
GUDCA	AZ-52	0.544712313095925	TCDCA
GCA	ctrl	0.544792469845423	TCDCA
Tyr-UDCA	LCAG-95-BSH1208	0.545726404567079	TUDCA
GLCA	Ep-BSH101	0.548504725758675	TLCA
TLCA	Dny-BSH2	0.548965452006372	GCDCA
Trp-UDCA	LCAG-95-BSH1208	0.549749432988065	GLCA
TUDCA	Dny-BSH2	0.550898358116815	GCDCA
GCDCA	AZ-52	0.551184737999225	GDCA
Phe-UDCA	ctrl	0.551185720742858	TUDCA
Tyr-UDCA	Ep-BSH101	0.552916781939822	GUDCA
TCAA	Ep-BSH101	0.553098698051131	TDCA
GCA	ctrl	0.553712123911815	GCDCA
GCA	AZ-52	0.553739623193365	GCDCA
TUDCA	AZ-52	0.554707282318395	TCA
TDCA	EcAZ-1-cat	0.555839072651803	TCDCA
TUDCA	Dny-BSH1	0.556965123810858	TUDCA
TUDCA	ctrl	0.557209926621193	GUDCA
GLCA	LCAG-95-BSH1208	0.558622211695198	GCDCA
TDCA	Dny-BSH2	0.55892861658143	GLCA
GLCA	ctrl	0.560446743646874	TCDCA
TLCA	Ep-BSH101	0.561700360422243	TCDCA
GLCA	LCAG-95-BSH1208	0.561934648743535	TUDCA
TDCA	Dny-BSH2	0.563306464293747	TDCA
TLCA	ctrl	0.566425774603403	TCDCA
GLCA	Lgasseri-BSH	0.568113982087143	TDCA
TDCA	Ep-BSH101	0.570230298897181	GLCA
TDCA	EcAZ-1-cat	0.574893758333731	TUDCA
GCDCA	ctrl	0.576718831584196	GDCA
GLCA	AZ-52	0.577257527983311	TUDCA
GUDCA	Dny-BSH2	0.577968152949729	GCA
GUDCA	AZ-52	0.580083831112172	GCDCA
GUDCA	Lgasseri-BSH	0.582255331942756	TDCA
GLCA	Dny-BSH1	0.583016692048517	GDCA
GUDCA	ctrl	0.585493365388208	GDCA
GCA	Ep-BSH101	0.586068854987343	GUDCA
GCDCA	Dny-BSH2	0.586901476350071	TLCA
GUDCA	Ep-BSH101	0.587833097636091	TDCA
TDCA	Ep-BSH101	0.593197708181789	TCA
TDCA	LCAG-95-BSH1208	0.596703116446703	GCDCA
GLCA	Dny-BSH2	0.598854458259732	GUDCA
TDCA	ctrl	0.599533899213422	TCA
Tyr-UDCA	Dny-BSH1	0.60434510152633	GDCA
GCA	EcAZ-1-cat	0.605062447301795	TCDCA
Trp-UDCA	Lgasseri-BSH	0.608018981687753	TCDCA
Phe-UDCA	Ep-BSH101	0.608417248145699	GLCA
GUDCA	Lgasseri-BSH	0.612740671085207	GCA
GCDCA	LCAG-95-BSH1208	0.61411951623786	TUDCA
TCDCA	LCAG-95-BSH1208	0.616296131816012	GLCA
TDCA	ctrl	0.622043067117093	GCDCA
TDCA	ctrl	0.624760636010034	GCA
GDCA	Ep-BSH101	0.626712865204112	TUDCA
GDCA	Dny-BSH2	0.627021903993369	TLCA
GLCA	AZ-52	0.627630196502275	GCA
GUDCA	ctrl	0.628267753943633	TLCA
Lys-CDCA	Dny-BSH1	0.629785474873465	TCDCA
GUDCA	Ep-BSH101	0.63067714609645	GDCA
Trp-UDCA	EcAZ-1-cat	0.631336223960254	TUDCA
Tyr-UDCA	LCAG-95-BSH1208	0.631832890650305	GUDCA
Tyr-UDCA	Ep-BSH101	0.634843650743507	TCDCA
GUDCA	LCAG-95-BSH1208	0.635404270225529	TLCA
Phe-UDCA	LCAG-95-BSH1208	0.636435767344347	GUDCA
GUDCA	ctrl	0.637960408433659	GUDCA
GCDCA	Lgasseri-BSH	0.638900020889362	GDCA
TUDCA	Dny-BSH1	0.642722273688504	TCDCA
GLCA	AZ-52	0.64465200860728	TCA
GLCA	Lgasseri-BSH	0.645288407135209	TLCA
Tyr-UDCA	Dny-BSH1	0.647392351080921	TCDCA
TUDCA	Dny-BSH2	0.647527777268288	GDCA
TCDCA	Ep-BSH101	0.647592020151367	GLCA
TCAA	LCAG-95-BSH1208	0.648711825821556	GLCA
TCDCA	Ep-BSH101	0.652108219271637	TCDCA
Ala-UDCA	Dny-BSH1	0.652782599286414	TUDCA
GCDCA	Lgasseri-BSH	0.653580297041006	TCA
GUDCA	Lgasseri-BSH	0.654241103652601	TCDCA
TCDCA	EcAZ-1-cat	0.659152655723444	TCA
GCDCA	Ep-BSH101	0.660115333708369	TDCA
GCDCA	Ep-BSH101	0.66350169241574	TCA
Tyr-UDCA	Dny-BSH1	0.665680573210251	GCA
GDCA	Lgasseri-BSH	0.674752728264839	GLCA
GLCA	ctrl	0.675525044670702	GLCA
Tyr-UDCA	LCAG-95-BSH1208	0.676192893407146	TCDCA
GDCA	AZ-52	0.677023324921184	GUDCA
Lys-CDCA	Dny-BSH1	0.678986129999993	GDCA
Trp-UDCA	LCAG-95-BSH1208	0.681538958542071	GUDCA
GDCA	ctrl	0.686166604698975	GDCA
GCDCA	Lgasseri-BSH	0.689085821297519	TLCA
TLCA	Ep-BSH101	0.690326209991104	TLCA
Tyr-UDCA	EcAZ-1-cat	0.690581553037835	TUDCA
TDCA	Ep-BSH101	0.697012883303732	GUDCA
GLCA	LCAG-95-BSH1208	0.697420852387177	GCA
GCDCA	LCAG-95-BSH1208	0.697854154629567	TDCA
GUDCA	Lgasseri-BSH	0.69795493634955	GDCA
GLCA	LCAG-95-BSH1208	0.699640907519434	GUDCA
Phe-UDCA	LCAG-95-BSH1208	0.704581953552766	GLCA
TDCA	AZ-52	0.705121924665251	GCA
TDCA	ctrl	0.70896765191576	TUDCA
GLCA	AZ-52	0.710428423489433	TLCA
Phe-UDCA	ctrl	0.710681456228387	TDCA
Trp-UDCA	Dny-BSH2	0.7169975901676	GDCA
TCAA	EcAZ-1-cat	0.719304726428681	GCA
Trp-UDCA	Ep-BSH101	0.727581411081046	GLCA
TDCA	EcAZ-1-cat	0.733777083358289	GCDCA
TUDCA	ctrl	0.733886011666278	TCA
Trp-UDCA	AZ-52	0.734095140679438	TDCA
TUDCA	EcAZ-1-cat	0.735196551855283	TCDCA
Tyr-UDCA	Ep-BSH101	0.737452491891471	GCA
Tyr-UDCA	Dny-BSH1	0.739609103144174	GCDCA
TDCA	Lgasseri-BSH	0.74004721307995	GUDCA
GDCA	EcAZ-1-cat	0.745805285346548	TCDCA
TDCA	LCAG-95-BSH1208	0.748015258442393	TLCA
GLCA	EcAZ-1-cat	0.750386212367533	GCDCA
GLCA	EcAZ-1-cat	0.750662198213965	TCDCA
GCDCA	Dny-BSH1	0.752607916711567	TDCA
TDCA	EcAZ-1-cat	0.756343334967678	GLCA
TDCA	Ep-BSH101	0.76105188921464	GCDCA
GDCA	AZ-52	0.769141528373454	GCA
GCDCA	LCAG-95-BSH1208	0.769459049945216	TLCA
Trp-UDCA	Lgasseri-BSH	0.769539277259223	TUDCA
GCA	Lgasseri-BSH	0.77105548712179	GUDCA
GCA	ctrl	0.77257194806072	TDCA
TUDCA	Ep-BSH101	0.773094163975272	TDCA
TDCA	AZ-52	0.775899690880496	GCDCA
TCAA	ctrl	0.780377262631501	TCA
Tyr-UDCA	AZ-52	0.780896645369429	TCDCA
Tyr-UDCA	EcAZ-1-cat	0.78200924160398	GUDCA
GUDCA	Ep-BSH101	0.782062953033621	GCA
Phe-UDCA	LCAG-95-BSH1208	0.784030007094716	TCA
GLCA	Lgasseri-BSH	0.784393530462105	TCDCA
TUDCA	ctrl	0.785689611043709	TCDCA
TDCA	AZ-52	0.7863370943247	GUDCA
Phe-UDCA	Lgasseri-BSH	0.793100845873141	TCDCA
GCA	ctrl	0.795012809859247	TLCA
GCDCA	AZ-52	0.796537678290658	TUDCA
TDCA	Dny-BSH2	0.803143410090723	GUDCA
TCDCA	Dny-BSH2	0.804466743534523	TDCA
TDCA	EcAZ-1-cat	0.805519550206003	GUDCA
TUDCA	Dny-BSH1	0.810509591722413	TCA
TDCA	Dny-BSH2	0.810763705782757	GCA
Trp-UDCA	Lgasseri-BSH	0.812129050812582	GDCA
GLCA	LCAG-95-BSH1208	0.813051237745867	TCA
TUDCA	Lgasseri-BSH	0.814949450938031	TCDCA
GLCA	Lgasseri-BSH	0.815315521606184	GDCA
GDCA	ctrl	0.815958495931178	GLCA
TUDCA	AZ-52	0.816095580840617	GCDCA
GLCA	ctrl	0.816134093081011	TCA
TLCA	Dny-BSH2	0.817028538796491	GLCA
GCA	ctrl	0.817688954494724	TUDCA
GLCA	LCAG-95-BSH1208	0.817730881628536	TLCA
Trp-UDCA	Ep-BSH101	0.818972626800338	TCA
Tyr-UDCA	Dny-BSH2	0.824056141458587	GCA
TCAA	Ep-BSH101	0.829354084073843	GLCA
Ala-UDCA	Dny-BSH1	0.832197369867686	GUDCA
GUDCA	AZ-52	0.833080695832972	GUDCA
GLCA	Ep-BSH101	0.838347275848265	GLCA
Tyr-UDCA	AZ-52	0.839237884114667	GCDCA
TUDCA	Dny-BSH1	0.842070866311749	GCA
Tyr-UDCA	Ep-BSH101	0.84242978763874	GDCA
Lys-CDCA	Dny-BSH1	0.84307936270246	TDCA
Tyr-UDCA	AZ-52	0.84354402079108	GDCA
TUDCA	AZ-52	0.850189935064638	GCA
TUDCA	Dny-BSH1	0.850574622473853	GUDCA
GUDCA	Dny-BSH2	0.853112197988222	TLCA
Tyr-UDCA	Lgasseri-BSH	0.853455754475725	GLCA
TCDCA	Lgasseri-BSH	0.854400463379044	TCA
TUDCA	Dny-BSH1	0.856343463585217	TDCA
GUDCA	Ep-BSH101	0.858992840286569	GLCA
Tyr-UDCA	Dny-BSH2	0.861746164542114	GDCA
GDCA	Ep-BSH101	0.863252978168537	TCDCA
Tyr-UDCA	EcAZ-1-cat	0.864731286590776	GLCA
TDCA	LCAG-95-BSH1208	0.865953900464996	GUDCA
Tyr-UDCA	Ep-BSH101	0.866601955650506	GCDCA
TCDCA	Dny-BSH2	0.869319674558095	GCA
GLCA	ctrl	0.870031093327174	TDCA
GLCA	Dny-BSH2	0.871015551741639	GDCA
TCDCA	Ep-BSH101	0.873374036355212	TUDCA
GUDCA	Dny-BSH2	0.874775195270479	TDCA
TDCA	EcAZ-1-cat	0.875574805063069	TLCA
TLCA	Ep-BSH101	0.87603071925047	GDCA
GLCA	ctrl	0.879723337518394	GCA
Phe-UDCA	LCAG-95-BSH1208	0.880847868083387	TUDCA
TDCA	Dny-BSH2	0.881363180145831	GCDCA
Trp-UDCA	Dny-BSH1	0.882499787414247	TCDCA
TDCA	LCAG-95-BSH1208	0.882589980657265	GCA
TUDCA	Ep-BSH101	0.882820867235862	TCA
GLCA	EcAZ-1-cat	0.884543451186673	GCA
TLCA	Dny-BSH2	0.884878612942353	GDCA
Tyr-UDCA	Dny-BSH2	0.886119097626579	TCDCA
TDCA	AZ-52	0.886192769960735	GDCA
Trp-UDCA	AZ-52	0.889567355563524	TCDCA
GUDCA	AZ-52	0.890111844015259	GDCA
TDCA	Ep-BSH101	0.890457226660931	TLCA
Trp-UDCA	Dny-BSH2	0.890815397640325	TUDCA
GCA	Lgasseri-BSH	0.891282887904771	GDCA
TCAA	Ep-BSH101	0.891288555945663	TCA
TUDCA	Ep-BSH101	0.891669241753199	GDCA
TCDCA	Lgasseri-BSH	0.892115521497028	GLCA
Tyr-UDCA	LCAG-95-BSH1208	0.893775507363603	GDCA
TDCA	Dny-BSH2	0.894168670025846	GDCA
TDCA	EcAZ-1-cat	0.894907637817295	GDCA
GLCA	EcAZ-1-cat	0.897805528259645	TDCA
Phe-UDCA	ctrl	0.899190541758817	GLCA
TUDCA	Ep-BSH101	0.900629691381926	GCA
TLCA	ctrl	0.902541582919612	GDCA
GLCA	Ep-BSH101	0.903199442557566	TDCA
Tyr-UDCA	AZ-52	0.904167812589211	TUDCA
GLCA	EcAZ-1-cat	0.904388627835424	GUDCA
TCDCA	Dny-BSH2	0.906583014868994	TLCA
Tyr-UDCA	Lgasseri-BSH	0.90822230725092	GCA
Tyr-UDCA	Dny-BSH2	0.908555270518779	TCA
TUDCA	Ep-BSH101	0.912808341752308	GLCA
Phe-UDCA	ctrl	0.913868361138539	TCA
Tyr-UDCA	Dny-BSH1	0.915044391686141	TCA
GUDCA	AZ-52	0.915697445927109	TDCA
GLCA	Ep-BSH101	0.917709771472973	GUDCA
TUDCA	AZ-52	0.918349904795607	GDCA
TUDCA	Lgasseri-BSH	0.919201837877179	GUDCA
GLCA	Ep-BSH101	0.920194167100321	TCA
TUDCA	EcAZ-1-cat	0.920290918069234	GCA
GCA	EcAZ-1-cat	0.920334652688337	GCDCA
GUDCA	Dny-BSH1	0.924433604001664	TDCA
TUDCA	Dny-BSH1	0.924784508129234	GDCA
Tyr-UDCA	Lgasseri-BSH	0.926300137972089	GDCA
TLCA	Ep-BSH101	0.928974841658832	GLCA
GLCA	LCAG-95-BSH1208	0.93058441756841	TCDCA
TCDCA	Ep-BSH101	0.93196147384459	TDCA
TUDCA	LCAG-95-BSH1208	0.933319926020781	GCDCA
GDCA	ctrl	0.936759725773088	TLCA
Phe-UDCA	Ep-BSH101	0.93832031083196	TCA
Tyr-UDCA	Dny-BSH2	0.938501753375064	TUDCA
Tyr-UDCA	LCAG-95-BSH1208	0.939391659825867	TCA
GLCA	Dny-BSH1	0.939393177560116	TLCA
GUDCA	ctrl	0.939452628385034	TDCA
GLCA	ctrl	0.939809774178219	TLCA
Tyr-UDCA	ctrl	0.939813720623691	TDCA
Trp-UDCA	LCAG-95-BSH1208	0.941238251574573	GCDCA
GLCA	AZ-52	0.942100388762598	GUDCA
Trp-UDCA	ctrl	0.945440398883912	TUDCA
TUDCA	EcAZ-1-cat	0.948796239948817	TUDCA
TUDCA	EcAZ-1-cat	0.949843833686354	GDCA
GDCA	Lgasseri-BSH	0.950669017502767	TCA
TLCA	Dny-BSH2	0.950789091268045	TCDCA
TLCA	EcAZ-1-cat	0.952923773853031	TCDCA
