rt_matched_detected_BA	BSH_strain	t0hvt48h	culture_supplement_BA
Ile/Leu-UDCA	AZ-52	0.0391656633974394	TUDCA
GDCA	EcAZ-1-cat	0.0397690321400192	GDCA
TUDCA	Lgasseri-BSH	0.0422170047326126	GLCA
GCA	Dny-BSH2	0.0423211044364709	GCDCA
Phe-UDCA	LCAG-95-BSH1208	0.042434589215956	GCA
TDCA	Dny-BSH1	0.0430566356245149	TCDCA
GUDCA	Dny-BSH1	0.043212567546016	TUDCA
GCA	LCAG-95-BSH1208	0.0438777477287172	GCA
TCDCA	LCAG-95-BSH1208	0.0439110663049922	TCA
Trp-UDCA	Dny-BSH1	0.0446428472444634	GDCA
GUDCA	LCAG-95-BSH1208	0.0448636740457128	GCDCA
TCDCA	Dny-BSH1	0.0449090567523682	TCA
Tyr-UDCA	Dny-BSH2	0.044950280538054	GLCA
TDCA	Dny-BSH2	0.045540657392926	TLCA
Ala-UDCA	LCAG-95-BSH1208	0.0457842715794099	TUDCA
TDCA	AZ-52	0.0475567432268397	TLCA
Trp-UDCA	ctrl	0.0484844774808868	TCDCA
Trp-UDCA	Dny-BSH1	0.0489154120629622	GCA
Tyr-UDCA	Dny-BSH1	0.0494933916843227	TUDCA
GCA	AZ-52	0.0511404857611712	GCA
Phe-UDCA	Dny-BSH1	0.0519773390175172	TCA
Trp-UDCA	Dny-BSH2	0.0521277763555799	GCDCA
Lys-UDCA	AZ-52	0.0521968059108835	TUDCA
TDCA	Dny-BSH1	0.0525637626459289	TCA
GDCA	AZ-52	0.052959378781685	GCDCA
GUDCA	LCAG-95-BSH1208	0.0535095889651748	GDCA
GCDCA	EcAZ-1-cat	0.053780146479611	TCDCA
Trp-UDCA	Ep-BSH101	0.0539149917064404	TLCA
TDCA	LCAG-95-BSH1208	0.0543772347153069	TCDCA
GDCA	EcAZ-1-cat	0.0556351623650397	GCA
GUDCA	EcAZ-1-cat	0.0569344807197738	GDCA
Trp-UDCA	Dny-BSH1	0.0586864692873694	GLCA
TCAA	LCAG-95-BSH1208	0.0601122036436076	TDCA
TDCA	AZ-52	0.0604327021581947	TCA
Phe-UDCA	AZ-52	0.0604578830214161	GDCA
TCDCA	ctrl	0.061796530311101	TCDCA
TLCA	Lgasseri-BSH	0.0619112172647466	TLCA
Tyr-UDCA	Lgasseri-BSH	0.0630470862277501	TUDCA
Trp-UDCA	AZ-52	0.0642113848357516	GCDCA
Trp-UDCA	AZ-52	0.0657180088593098	TUDCA
GCA	Ep-BSH101	0.0673503139041661	GCA
TDCA	Dny-BSH1	0.0715286597200972	GLCA
Phe-UDCA	AZ-52	0.0735073817977312	TLCA
Phe-UDCA	ctrl	0.073686876048027	TCDCA
Phe-UDCA	Lgasseri-BSH	0.0738705617514659	GUDCA
GUDCA	EcAZ-1-cat	0.0742439787951875	GUDCA
GCDCA	Lgasseri-BSH	0.0745455760845811	GCDCA
GCDCA	EcAZ-1-cat	0.0749251064832694	TCA
Trp-UDCA	LCAG-95-BSH1208	0.0763273961294508	TLCA
GCA	Dny-BSH2	0.0765426721207326	GUDCA
Phe-UDCA	Ep-BSH101	0.0769646358900748	TLCA
Trp-UDCA	Dny-BSH1	0.0770757620063535	TUDCA
Phe-UDCA	EcAZ-1-cat	0.0785314457718326	TUDCA
GCDCA	Lgasseri-BSH	0.0785626926080147	GUDCA
GCDCA	ctrl	0.079268004980651	GCA
GCA	Dny-BSH1	0.0800779384838504	TDCA
GCDCA	Dny-BSH2	0.0802791478377713	GCDCA
TUDCA	LCAG-95-BSH1208	0.0814129060469975	GLCA
Phe-UDCA	EcAZ-1-cat	0.0815164740115595	GCA
TCDCA	ctrl	0.0826429645457019	TLCA
GCDCA	AZ-52	0.0839744534184771	GUDCA
GDCA	ctrl	0.0844516969944568	GCDCA
GDCA	AZ-52	0.0868777122146273	TDCA
Trp-UDCA	ctrl	0.088339968249052	GLCA
Trp-UDCA	Ep-BSH101	0.089569711970644	GCDCA
GCDCA	LCAG-95-BSH1208	0.0902271907617281	GCA
GLCA	AZ-52	0.090992576132624	GLCA
Trp-UDCA	Dny-BSH2	0.0914585332798453	TCA
GDCA	LCAG-95-BSH1208	0.0917000234870517	GCDCA
TDCA	AZ-52	0.0921850416409415	GLCA
Phe-UDCA	Lgasseri-BSH	0.0925057965404894	TLCA
GCDCA	EcAZ-1-cat	0.0926552973552904	GUDCA
GCA	LCAG-95-BSH1208	0.0927436910265669	TCA
GCDCA	Dny-BSH1	0.0933077055695347	GCA
GDCA	Ep-BSH101	0.0951301715264836	GCDCA
TCDCA	Dny-BSH1	0.0961171974546567	TUDCA
Ala-UDCA	LCAG-95-BSH1208	0.0962703469710748	GUDCA
