Feature	Intercept_mean	C(condition, Treatment('FA'))[T.FT]_mean	C(condition, Treatment('FA'))[T.NA]_mean	Intercept_std	C(condition, Treatment('FA'))[T.FT]_std	C(condition, Treatment('FA'))[T.NA]_std	Intercept_hdi	C(condition, Treatment('FA'))[T.FT]_hdi	C(condition, Treatment('FA'))[T.NA]_hdi
tr_R6TI72_R6TI72_9FIRM	-12.25638071499999	-2.950617406440002	3.9705901278000004	1.8580038371359013	3.6303804553419803	1.875744440910104	(-15.5262, -8.95886)	(-10.0856, 3.34983)	(0.831536, 7.57078)
tr_R5SJZ7_R5SJZ7_9CLOT	-8.152864250000013	-1.0606793543400006	-0.4146630497924999	0.47737069170502866	0.938210974837481	0.6058245740225019	(-9.07092, -7.29654)	(-2.82341, 0.667107)	(-1.50795, 0.708161)
tr_A0A5M8C2R6_A0A5M8C2R6_CLOSY	-9.10509528999999	0.38257790777900036	2.2915487499999987	0.7570195222305136	0.9798700677986053	0.8024744807734183	(-10.5382, -7.73797)	(-1.47709, 2.30566)	(0.825156, 3.80968)
tr_A8SVL9_A8SVL9_9FIRM	-7.966842570000009	0.5686912274330014	0.4008071744402501	0.4177925663079645	0.5297088082913185	0.4666489074221206	(-8.77455, -7.21881)	(-0.384049, 1.60076)	(-0.54332, 1.21282)
tr_A0A6N2WJG7_A0A6N2WJG7_9FIRM	-10.050771799999989	-3.912080235889997	1.7120749549099976	1.0940373608110752	3.183920707639516	1.1539838111785488	(-12.2205, -8.20477)	(-10.0349, 1.30741)	(-0.0770077, 4.22669)
tr_A0A1I2S4P1_A0A1I2S4P1_9BACL	-12.668175587499993	-2.481910465064993	2.2639090818414984	2.3656859081852883	3.756950445968892	2.4405433871315174	(-17.0951, -8.66983)	(-10.3808, 3.949)	(-1.92735, 6.88601)
tr_A0A1L8WSH7_A0A1L8WSH7_9ENTE	-11.638414669999989	2.352083551609998	3.077122477599993	1.7359501982225134	1.8604172440807112	1.7647701327267693	(-14.8844, -8.82217)	(-0.759873, 6.21942)	(0.0309979, 6.42406)
tr_A0A401LCP1_A0A401LCP1_9FIRM	-11.676631610000005	1.3962354652650013	2.7208149937100043	1.7026461613763173	2.0782326569190412	1.747677614978111	(-14.6004, -8.43079)	(-2.56412, 5.32311)	(-0.557815, 5.78907)
tr_A0A3N6QD50_A0A3N6QD50_9CYAN	-8.877211390000022	-0.07881050842150007	0.49413634982500054	1.0954413831444236	1.6212193040595178	1.3534512286612737	(-10.6917, -6.5972)	(-3.30187, 2.85678)	(-2.12525, 2.82531)
tr_R7R1N8_R7R1N8_9FIRM	-7.4354386999999935	0.6426301962175012	0.7369985051750008	0.3194794313952151	0.4004622002452203	0.34943241202420977	(-8.05436, -6.84524)	(-0.0913047, 1.40065)	(0.138554, 1.43828)
tr_A8RN92_A8RN92_ENTBW	-9.890220465000017	0.6524099490290004	1.9476694600299966	0.9571059834525288	1.224175329154406	0.984861508066807	(-11.7035, -8.21617)	(-1.59069, 3.09451)	(0.252918, 3.7854)
tr_A0A3S4EL61_A0A3S4EL61_SALBN	-8.035941955000006	0.27862414858069984	-6.074442758999999	0.45959651736292323	0.6297365921073028	2.701774179811704	(-8.84386, -7.14065)	(-0.919158, 1.47585)	(-11.0036, -1.73424)
tr_A0A0R1U9F4_A0A0R1U9F4_9LACO	-12.668175587499993	-2.481910465064993	2.2639090818414984	2.3656859081852883	3.756950445968892	2.4405433871315174	(-17.0951, -8.66983)	(-10.3808, 3.949)	(-1.92735, 6.88601)
tr_R5ZJZ0_R5ZJZ0_9CLOT	-12.32870981999998	-2.8432847220950013	3.5511435667800084	2.1750866151948465	3.667336788991604	2.1992926326374223	(-16.3912, -8.86389)	(-9.46512, 4.21025)	(0.104355, 7.85061)
tr_A0A062X2Y1_A0A062X2Y1_9LACO	-12.499794990000002	-2.750439645549995	3.0169390041999953	2.1561470479359928	3.823543104819057	2.1953459896294123	(-16.5865, -9.09449)	(-9.9628, 4.17461)	(-0.694203, 7.02458)
tr_A0A934TM50_A0A934TM50_9RHOB	-12.39006811900001	-2.410866908527001	2.5080307694400052	2.466684087940334	3.7673243460967023	2.474407333580753	(-17.1321, -8.18331)	(-9.83613, 4.13671)	(-2.06264, 6.98084)
tr_A0A7X1A1P2_A0A7X1A1P2_9LIST	-12.367571720000022	-2.8162286650999984	3.2486709459400007	1.9830961524213189	3.630974108026069	2.02796893774941	(-16.1235, -8.92355)	(-9.76102, 3.59086)	(-0.527605, 6.82139)
tr_A0A8B3F4H8_A0A8B3F4H8_LACLL	-12.506389595000003	-2.6231545586750036	3.371562591400002	2.069313697691866	3.7393574651265626	2.108208802132241	(-16.3011, -8.98327)	(-10.2003, 3.49515)	(-0.268179, 7.27575)
tr_D1PI43_D1PI43_9FIRM	-12.328430505000005	-2.9103968570849985	3.576928436099999	2.0066800305000543	3.646500881627206	2.0392001049853175	(-16.0464, -8.96804)	(-10.3688, 3.21701)	(0.0975565, 7.3045)
tr_A0A366U9N1_A0A366U9N1_ENTGA	-9.924620524999995	0.6937468627759988	0.04506596220300012	1.0772914817535577	1.3609672935411332	1.2567521679456823	(-11.9158, -8.13581)	(-1.81048, 3.3001)	(-2.1641, 2.43805)
tr_A0A414EJM8_A0A414EJM8_9FIRM	-8.44757087000001	0.0724516895152	0.24568165949800022	0.5008737271659823	0.6951173240522328	0.5793797141514904	(-9.40935, -7.55297)	(-1.18085, 1.35086)	(-0.758685, 1.36126)
tr_A0A0R1U3N2_A0A0R1U3N2_9LACO	-10.942368188499996	-1.8016946445615063	2.5191973609814986	3.1916415833756413	3.9658773297867023	3.0258335353640304	(-17.3154, -4.67899)	(-9.61549, 5.38175)	(-2.63029, 8.71029)
tr_A0A0U5KG99_A0A0U5KG99_LACDE	-12.658923789999994	-2.5577259271999977	2.330252769584995	2.244782333685237	3.736184734168514	2.326319748788487	(-17.065, -8.96404)	(-10.1842, 3.55314)	(-1.58651, 6.93266)
tr_A0A0D4CMX6_A0A0D4CMX6_LIMMU	-12.362469375000007	-2.5605269117920058	3.579142664076101	2.058507185538482	3.573566538550707	2.0876272116043806	(-16.0744, -8.88558)	(-9.59094, 3.81422)	(0.0785882, 7.53439)
tr_A0A173V7R5_A0A173V7R5_9FIRM	-11.293919914999998	3.106682696349999	3.393764511799995	1.4815426351486287	1.5513298457878082	1.49156050549334	(-14.0212, -8.87521)	(0.42574, 5.95902)	(0.774926, 6.01078)
tr_A0A386YRU3_A0A386YRU3_CLONO	-8.404975415000017	0.2916893477582995	2.2790639814999967	0.5569469928329149	0.7384411126067904	0.5789712008387089	(-9.40426, -7.38076)	(-1.06547, 1.68108)	(1.10075, 3.25414)
tr_A0A4Q1RLI5_A0A4Q1RLI5_9FIRM	-7.557814625000011	0.9244999473600009	0.4392543611484997	0.33936036039534634	0.40351113494743074	0.3766914285318345	(-8.18934, -6.94741)	(0.15788, 1.696)	(-0.202067, 1.18218)
tr_R5G8N9_R5G8N9_9CLOT	-9.071174719999998	0.9108097271595018	1.3610414848500005	0.6639371205017252	0.79800939811677	0.7013019559141203	(-10.3876, -7.97658)	(-0.574789, 2.422)	(0.117105, 2.70304)
tr_A0A174EB34_A0A174EB34_9FIRM	-11.538080214999987	2.2487913868150007	3.2525498931319943	1.5261918655910518	1.6710769585264107	1.5532981359168807	(-14.4174, -8.90166)	(-0.713679, 5.38549)	(0.566374, 6.19607)
tr_A0A2X3IHM8_A0A2X3IHM8_CLOPF	-12.614326260000025	-2.6358633351349985	2.684261823720102	2.134320498189603	3.6389341966427575	2.2050599395019277	(-16.5281, -8.93818)	(-9.78721, 3.59196)	(-1.14854, 6.85504)
tr_A0A6N3AZ83_A0A6N3AZ83_9CLOT	-8.002661575000001	-0.07645837624850002	-1.7367316640999972	0.5469748375900569	0.8433782528607836	0.8981575645270706	(-8.97737, -7.00035)	(-1.61772, 1.41989)	(-3.56008, -0.235595)
tr_A0A366ABI8_A0A366ABI8_9VIBR	-11.527170344999996	1.6501857173149996	0.4231262622800007	2.408108821451063	2.4936321643613155	2.5610776589552633	(-16.3581, -6.92927)	(-3.05779, 6.36673)	(-4.1509, 5.52332)
tr_A0A1T4RBG9_A0A1T4RBG9_9HYPH	-9.953190154999993	-3.7950743901074953	-0.9605416957350011	1.5660051553170662	3.5432433743453027	1.9247040103974316	(-13.4752, -7.66937)	(-10.6934, 2.42242)	(-4.64464, 2.58229)
tr_A0A3E2VTU2_A0A3E2VTU2_CLOIN	-8.667434840000013	0.2890439737197009	1.9907139600499966	0.6088689310131329	0.7847221958314726	0.6391430209490296	(-9.78044, -7.54221)	(-1.21822, 1.68664)	(0.912707, 3.29707)
