"Sample ID"	Current_Natural_Log_Ratio	condition	condition
cFA01a	0.37124715079782344	FA	FA
cFA01b	0.1445812288111079	FA	FA
cFA05a	1.3059128426689313	FA	FA
cFA05b	1.0898016589859552	FA	FA
cFA09a	0.9035517060967253	FA	FA
cFA09b	0.9509762898620453	FA	FA
cFA13a	0.570979546585737	FA	FA
cFA13b	-0.3224681885371963	FA	FA
cFA17a	0.44701411102103616	FA	FA
cFA17b	0.5866039326530696	FA	FA
cFA21a	-0.3110554236370904	FA	FA
cFA21b	-0.4054651081081646	FA	FA
cFT01a	0.8306769791511632	FT	FT
cFT01b	0.8428925669192875	FT	FT
cFT05a	0.1970638385311574	FT	FT
cFT05b	0.4054651081081646	FT	FT
cFT09a	0.30200212622652955	FT	FT
cFT09b	1.578978704949392	FT	FT
cFT13a	-0.004705891037413146	FT	FT
cFT13b	1.5228698961256413	FT	FT
cFT17a	0.2937611185281632	FT	FT
cFT17b	2.3245639997128213	FT	FT
cFT21a	1.140914668358799	FT	FT
cFT21b	0.4152212830535289	FT	FT
cNA01a	2.2096913461013497	NA	NA
cNA01b	2.2208743282198125	NA	NA
cNA01c	2.477107957302181	NA	NA
cNA05a	2.5367914851570124	NA	NA
cNA05b	2.6206999750665867	NA	NA
cNA05c	2.4554362274792183	NA	NA
cNA09a	3.6942995215832752	NA	NA
cNA09b	2.899171311848013	NA	NA
cNA09c	2.8154704497230467	NA	NA
cNA13a	3.1257854018021893	NA	NA
cNA13b	2.9843777314510653	NA	NA
cNA13c	3.0980111226744094	NA	NA
cNA17a	1.6139222248814296	NA	NA
cNA17b	3.575482969898469	NA	NA
cNA17c	3.0754475954004095	NA	NA
cNA21a	3.2280642509226074	NA	NA
cNA21b	2.6704472263233425	NA	NA
cNA21c	3.150654856159831	NA	NA
