Feature	Intercept_mean	C(condition, Treatment('FA'))[T.FT]_mean	C(condition, Treatment('FA'))[T.NA]_mean	Intercept_std	C(condition, Treatment('FA'))[T.FT]_std	C(condition, Treatment('FA'))[T.NA]_std	Intercept_hdi	C(condition, Treatment('FA'))[T.FT]_hdi	C(condition, Treatment('FA'))[T.NA]_hdi
tr_A7VXC0_A7VXC0_9FIRM	-3.983601439999998	0.11049088604100013	-1.2624295854500007	0.28329667999983066	0.42075005610069716	0.5628901333229291	(-4.52171, -3.46941)	(-0.649214, 0.964149)	(-2.31816, -0.23311)
tr_R7R1N8_R7R1N8_9FIRM	-7.054524294000005	0.1666947825955	-4.0017751060599975	1.2537887330346549	1.8186995188982378	3.243866865841808	(-9.35678, -4.89266)	(-3.65109, 3.2127)	(-10.0761, 1.65937)
tr_A0A413VM04_A0A413VM04_9FIRM	-6.937393730000004	-0.01422190577889994	-0.33773908196349983	1.1033577213992234	1.599661636166058	1.611866984596577	(-9.03798, -4.96668)	(-2.9593, 2.85395)	(-3.15294, 2.79555)
tr_A0A6P1TS46_A0A6P1TS46_9FIRM	-4.9517410599999945	-0.27728920658900036	-1.3650008993949994	0.4507570704692013	0.7053992475848063	0.8896807742674223	(-5.80249, -4.14346)	(-1.6513, 1.03965)	(-3.10106, 0.214064)
tr_A0A810QG66_A0A810QG66_9FIRM	-6.178399135000003	0.20167539911499968	-0.10127378978799986	0.7613935531266345	1.0939813811903318	1.141956208988983	(-7.56726, -4.83193)	(-1.71408, 2.36558)	(-2.18645, 2.13266)
tr_R5M9U6_R5M9U6_9CLOT	-7.019974525000018	0.07094334204150003	0.6869402620507019	1.1296024605403332	1.6821876613258804	1.3812937201793467	(-9.22355, -5.17476)	(-3.27477, 3.11959)	(-1.69901, 3.58104)
tr_S6FT47_S6FT47_LACLL	-9.187755969999982	-2.7831718919850013	4.392012684444992	2.020839134748846	3.6314657294181956	2.0408200135955776	(-12.9658, -5.71954)	(-9.88803, 3.60464)	(0.913913, 8.10817)
tr_A0A1E3ALT3_A0A1E3ALT3_9FIRM	-7.094199479999995	0.18503518518850015	-3.964356302235005	1.2687100674349245	1.851553592281754	3.318643238361472	(-9.47898, -4.94832)	(-3.08063, 3.5852)	(-10.2222, 2.13959)
tr_A0A3E3IBU0_A0A3E3IBU0_9FIRM	-5.548387764999998	-4.276122465320002	-1.321577974795	0.9886699921509776	3.2496828383400596	1.6726602834759814	(-7.37962, -3.63341)	(-10.5382, 1.45534)	(-4.56359, 1.75369)
tr_C0EDC4_C0EDC4_9FIRM	-5.7763083700000015	-0.2562135504700001	-4.803986404134996	0.6562901575769995	1.0352265734996742	2.9949398069858293	(-6.99258, -4.56309)	(-2.27428, 1.60853)	(-10.2652, 0.483806)
tr_R7IT85_R7IT85_9CLOT	-7.040747417149996	-3.561102075673509	-0.097779540164	1.3769794604143695	3.184446354478984	1.7457194344147642	(-9.72184, -4.81971)	(-10.3468, 1.40758)	(-3.39259, 3.24817)
tr_A0A4P7VQQ5_A0A4P7VQQ5_9BACT	-6.275046365000008	-4.292113032150003	-0.9775416877075003	0.8377698557527214	3.180028906441433	1.4650666069558167	(-7.81273, -4.74919)	(-10.7934, 0.563352)	(-3.89738, 1.60258)
tr_C6LHK8_C6LHK8_9FIRM	-8.715402557999992	1.7280928873900008	1.356309493155001	2.2102509833949258	2.4537766201901996	2.349655348637234	(-13.25, -5.07784)	(-2.84326, 6.48749)	(-2.78066, 6.1222)
tr_A0A412Z9I5_A0A412Z9I5_9FIRM	-5.777631635000008	-1.1501581642050012	-4.638402635485002	0.6747975701615828	1.3927570619775282	2.821217356088505	(-7.08095, -4.65103)	(-3.8845, 1.3107)	(-10.3237, 0.106431)
tr_A0A3E2WA33_A0A3E2WA33_9FIRM	-6.937393730000004	-0.01422190577889994	-0.33773908196349983	1.1033577213992234	1.599661636166058	1.611866984596577	(-9.03798, -4.96668)	(-2.9593, 2.85395)	(-3.15294, 2.79555)
tr_A0A415TH29_A0A415TH29_9FIRM	-7.0133257539999985	0.07417467225250012	-3.8180315972699983	1.3484737992785183	1.9048881114421734	3.230176933829212	(-9.64255, -4.7755)	(-3.77863, 3.60742)	(-10.3312, 1.61009)
tr_A0A414AWQ7_A0A414AWQ7_9FIRM	-5.777631635000008	-1.1501581642050012	-4.638402635485002	0.6747975701615828	1.3927570619775282	2.821217356088505	(-7.08095, -4.65103)	(-3.8845, 1.3107)	(-10.3237, 0.106431)
tr_A0A4U8Q543_A0A4U8Q543_9FIRM	-6.176260539999992	-0.7921002431600006	-1.0699453970100001	0.8014452542373107	1.4497837427573774	1.380313947894173	(-7.73673, -4.71732)	(-3.64098, 1.84067)	(-3.82836, 1.28893)
tr_V2XPW3_V2XPW3_9FIRM	-6.595009609499991	0.2524455803144998	0.32330867141149977	1.6426890125217533	1.9968072479081596	1.9244090217277967	(-9.58346, -3.39548)	(-3.52959, 3.6748)	(-3.49494, 3.95187)
tr_A0A8I0Q0T5_A0A8I0Q0T5_MORMO	-8.923626035000007	-2.8677583127390975	4.881328662499996	1.944193811092821	3.6232503681398525	1.9782941235787492	(-12.6302, -5.63388)	(-9.99139, 3.10877)	(1.67522, 8.86925)
tr_A0A7I8D403_A0A7I8D403_9FIRM	-6.151420976441498	2.478083806809998	0.18815116889000008	3.14847468964844	3.186942664418195	3.319725706799695	(-11.6794, 0.282075)	(-3.86689, 8.28968)	(-5.93941, 6.20154)
tr_A0A7X2TKD6_A0A7X2TKD6_9FIRM	-7.0607364950000004	1.234836987929501	-3.910131059145008	1.2536011107332607	1.5913063809945729	3.104596960742161	(-9.6145, -5.00061)	(-1.70153, 4.34493)	(-9.69804, 1.42514)
tr_A0A426DFQ3_A0A426DFQ3_9FIRM	-6.076647909999997	0.5951104632800004	0.28061179425650007	0.7664063358050559	1.0525825459802916	1.0006897499049754	(-7.44138, -4.69853)	(-1.47445, 2.42252)	(-1.40376, 2.21611)
tr_A0A6I1MM49_A0A6I1MM49_9CLOT	-7.0985365959999935	-3.5991702372474994	0.017137974002500046	1.4341628169275018	3.51588556158879	1.938090810561375	(-9.8247, -4.64913)	(-11.0149, 1.7483)	(-4.2267, 3.28921)
tr_A0A412Z9M0_A0A412Z9M0_9FIRM	-5.693139009999996	-1.183378527410003	-1.5164031451535014	0.6667165695574243	1.316894137659697	1.3458196291602553	(-6.93391, -4.62574)	(-3.6681, 1.35784)	(-4.15094, 0.821221)
tr_A0A6I4WSU1_A0A6I4WSU1_AERCA	-5.334654640000007	1.220816038086499	0.9645855039869989	0.9243127062641574	1.2317876559557008	1.1434345740017515	(-7.08175, -3.50742)	(-1.06196, 3.66523)	(-1.31702, 3.04105)
tr_A0A0V8B632_A0A0V8B632_LACLL	-9.187755969999982	-2.7831718919850013	4.392012684444992	2.020839134748846	3.6314657294181956	2.0408200135955776	(-12.9658, -5.71954)	(-9.88803, 3.60464)	(0.913913, 8.10817)
tr_W7UXF9_W7UXF9_RUMFL	-7.04414307845001	0.12270895803000029	-4.011359399045	1.3942296988095335	1.8454305464701892	3.3484874288472843	(-9.99722, -5.047)	(-3.40134, 3.69094)	(-10.964, 1.28565)
tr_A0A3E4F7X5_A0A3E4F7X5_9FIRM	-3.610106935000006	0.09192199577599978	-1.4203721213500005	0.2349054929950676	0.35743320892258423	0.4710823071166838	(-4.04458, -3.16459)	(-0.601734, 0.710576)	(-2.32728, -0.548333)
tr_A0A1V4SJB4_A0A1V4SJB4_RUMHU	-5.132349725000001	-0.8810622001249989	-1.165336222422498	0.4710108720863825	0.9201510362486885	0.9278631578175943	(-6.0334, -4.26497)	(-2.76571, 0.725206)	(-2.85784, 0.616493)
tr_D3L852_D3L852_OENOE	-0.24768163094999968	0.0053378137059999905	0.11652533375250024	0.044479933925291155	0.06554390490800033	0.05848706429744398	(-0.331194, -0.166259)	(-0.11627, 0.120659)	(0.00636056, 0.225504)
tr_A0A7X3MIN2_A0A7X3MIN2_9FIRM	-5.420796390000007	-1.465407748143	-1.7886089150139992	0.5579879013066212	1.2526175316196357	1.2927767748753731	(-6.48244, -4.4045)	(-3.94523, 0.67469)	(-4.2188, 0.574412)
tr_A0A855A885_A0A855A885_9FIRM	-3.9208032700000017	0.13563161169199994	-1.1160057339574996	0.2704027417762386	0.40462691550031954	0.5136191510172515	(-4.39861, -3.40081)	(-0.669785, 0.851241)	(-2.03637, -0.129746)
tr_A0A4P8ICW8_A0A4P8ICW8_9FIRM	-6.158164764999998	0.09871081136499991	-1.119316217670002	0.7656472541460223	1.2300704875507942	1.41650063749256	(-7.68249, -4.8845)	(-2.0223, 2.3233)	(-3.73602, 1.50486)
tr_A0A1H9GIX4_A0A1H9GIX4_9SPIR	-6.909442329500007	-3.4013369956108574	-0.07166042084000007	1.910338125083864	3.308520328110561	2.0032619235714546	(-10.3033, -4.64875)	(-9.59079, 2.88311)	(-4.00168, 3.46955)
