Feature	Intercept_mean	C(condition, Treatment('FA'))[T.FT]_mean	C(condition, Treatment('FA'))[T.NA]_mean	Intercept_std	C(condition, Treatment('FA'))[T.FT]_std	C(condition, Treatment('FA'))[T.NA]_std	Intercept_hdi	C(condition, Treatment('FA'))[T.FT]_hdi	C(condition, Treatment('FA'))[T.NA]_hdi
tr_R5G8N9_R5G8N9_9CLOT	-9.112935370000017	1.0439764462750005	0.9529741956560008	0.7298738959175496	0.8844814075860516	0.7834767102526066	(-10.4994, -7.83306)	(-0.632105, 2.62792)	(-0.439434, 2.4485)
tr_A0A852T2K3_A0A852T2K3_9MICO	-11.596079320000026	1.444173174213499	2.838754510000001	1.7626956506745104	2.006940225078142	1.7934665468158726	(-14.7354, -8.71203)	(-2.14216, 5.29222)	(-0.236598, 6.14115)
tr_A0A173URL3_A0A173URL3_9FIRM	-11.845633832999992	-2.462732197234996	2.4160867196619993	2.686088153616826	4.005486162127457	2.505439005779426	(-17.3665, -7.55388)	(-10.8787, 4.25066)	(-1.91969, 7.38616)
tr_A0A433NP38_A0A433NP38_CHLFR	-9.949231374999995	-4.029190218600004	3.155803572050004	1.186455962897639	3.1626771545241326	1.2251446667771442	(-12.1756, -7.78217)	(-9.43964, 2.21854)	(1.10907, 5.61754)
tr_A0A1I3PH24_A0A1I3PH24_9FLAO	-10.152496230000018	-3.829242797898505	-0.2573746245649999	1.1584692960797398	3.2772754474035226	1.4150249712537588	(-12.2299, -8.07903)	(-10.1162, 1.6914)	(-2.83665, 2.60605)
tr_A0A943DTI7_A0A943DTI7_BACT4	-12.547398100000011	-2.481784054175	2.1575882063334992	2.344648657358768	3.8191983735274526	2.395771804657356	(-17.1777, -8.74332)	(-9.70318, 4.30353)	(-1.96919, 6.84027)
tr_R7L5K0_R7L5K0_9CLOT	-9.149247390000006	-0.9336444775149998	0.9297331657649989	0.7528155366085295	1.4226931815235369	0.8025442330748772	(-10.5725, -7.80114)	(-3.62918, 1.51921)	(-0.500886, 2.52081)
tr_A0A120DHQ5_A0A120DHQ5_9LACO	-12.492876703499997	-2.6063340686150003	2.0639978883450047	2.4208438055318937	3.731931706863973	2.4632191529984135	(-17.4068, -8.88271)	(-10.0367, 3.77654)	(-1.92366, 7.20085)
tr_A0A412LA28_A0A412LA28_9FIRM	-8.315593774999984	0.8806283890050015	1.3332927181999996	0.5340489932575468	0.6405658163803046	0.5538956134769749	(-9.36277, -7.40672)	(-0.358365, 2.0778)	(0.290355, 2.33195)
tr_A8RLG2_A8RLG2_ENTBW	-8.664153760000003	-1.3800931423549971	2.090453020999998	0.6373857153429646	1.3842162316420932	0.6545351552145767	(-9.92589, -7.61285)	(-4.16503, 1.05736)	(0.999682, 3.36519)
