name	ratio	min	max	phase
Lactobacillus amylovorus (strain GRL 1118)-F2LZQ3	-2.6250023446655	-10.6096	4.42173	light
Dorea phocaeensis-A0A850HF69	-1.0187135620555	-2.83457	0.525963	light
Candidatus Protochlamydia naegleriophila-A0A0U5JCS7	-2.58066981405249	-10.7658	3.31119	light
Stenotrophomonas pictorum JCM 9942-A0A0R0AIR5	-2.7571622012335	-10.2313	3.6309	light
Lactococcus lactis-A0A552Z589	-0.0505308877605	-3.5748	3.55444	light
Enterococcus faecium (Streptococcus faecium)-A0A4U4F1S6	-2.505587987205	-9.61263	3.9375	light
Lactobacillus gasseri 224-1-D1YKI9	-2.0033834318905	-8.7931	5.67845	light
Lactobacillus amylovorus-F0TEJ3	-3.60590078798	-9.74102	1.83952	light
Lachnotalea glycerini-A0A318EUE0	-2.607280046956	-9.65845	4.85764	light
Lysinibacillus varians-A0A806LHU2	-2.73008133527349	-9.99014	4.20799	light
Lactococcus lactis subsp. cremoris (Streptococcus cremoris)-A0A166JQB6	-0.476997797610001	-3.76576	2.64166	light
Stenotrophomonas rhizophila-A0A498CFC5	-2.394079366465	-10.327	3.88728	light
Lactobacillus johnsonii-A0A6P1Y699	-2.4651924132094	-9.90295	5.0269	light
Legionella erythra-A0A0W0TXE7	-2.47171471465	-9.40321	3.59414	light
Ligilactobacillus ruminis DPC 6832-A0A837DWL8	-2.675970047445	-10.1698	3.54732	light
Bacillus licheniformis-A0A415J9M0	-2.595251688475	-10.4023	3.49137	light
Streptococcus vestibularis-A0A943QYT1	-2.5239063361165	-9.30231	3.74173	light
Subdoligranulum variabile-A0A2V2F486	-1.203274601136	-2.23246	-0.181229	light
Lactobacillus johnsonii (strain CNCM I-12250 / La1 / NCC 533)-Q74LX7	-2.10654432295	-9.84191	6.22241	light
Lactococcus lactis-A0A552XLX1	-0.476997797610001	-3.76576	2.64166	light
Chitinophaga jiangningensis-A0A1M7BWT8	-0.1111360390305	-3.24761	2.72742	light
Bacteroides fragilis CAG:558-R5RRI5	-2.8876467480475	-10.6209	3.38666	light
Ligilactobacillus salivarius-A0A5C8H7B1	1.29001062863295	-4.04238	7.58465	light
Alcaligenes faecalis-A0A411SX43	-2.52696521314	-9.22407	4.81921	light
[Ruminococcus] lactaris-A0A3E4LQA4	1.2713207985355	0.100762	2.33405	light
Lactobacillus helveticus (Lactobacillus suntoryeus)-A0A2X0PK62	-0.863491412019999	-5.38618	4.77798	light
Ligilactobacillus salivarius GJ-24-F7QWZ2	1.613697492411	-2.0134	6.15569	light
Zhenhengia yiwuensis-A0A926IEI1	-2.64236259629601	-9.49618	4.79221	light
Enterococcus avium (Streptococcus avium)-A0A2N8PS02	-2.653844725395	-9.14162	4.17511	light
Rhodococcus erythropolis DN1-T5I2X8	-2.72311323458	-8.85948	4.54233	light
Enterocloster bolteae (strain ATCC BAA-613 / DSM 15670 / CCUG 46953 / JCM 12243 / WAL 16351) (Clostridium bolteae)-A8RLF4	-1.64292822066	-4.19211	0.437369	light
Cytobacillus kochii-A0A248TG32	1.629649162829	-2.57264	5.30327	light
Alcaligenes faecalis-A0A4P8JJH3	-2.43665133212001	-10.2107	3.82229	light
Lachnospira eligens-A0A415PAJ0	-1.281229856534	-3.645	0.994091	light
Yersinia frederiksenii-A0A0T9T737	-2.64520515006	-10.0513	3.34153	light
Lactobacillus helveticus (Lactobacillus suntoryeus)-A0A8H9F7E2	0.185125587875	-5.02495	6.30824	light
Anaerotignum faecicola-A0A401LCP1	-3.762691823875	-9.89089	1.47282	light
Gordonia paraffinivorans NBRC 108238-M3V3C7	-2.71220008768	-10.135	3.58543	light
Roseburia sp. CAG:18-R5V3T1	0.702987541337501	-1.70813	3.02556	light
Enterococcus casseliflavus (Enterococcus flavescens)-A0A7T4GAT4	-3.85059157805	-10.2824	1.29356	light
[Ruminococcus] lactaris CC59_002D-V8BM28	-4.500878143915	-9.98193	0.602888	light
Listeria monocytogenes-A0A823J3B1	2.349255095385	-1.44777	6.13885	light
Limosilactobacillus mucosae (Lactobacillus mucosae)-A0A1H0CSY4	-2.593169726205	-8.97444	3.59672	light
