"Feature ID"	Log_Ratio_Classification
tr_A0A3E4F7X5_A0A3E4F7X5_9FIRM	Denominator
tr_D3L852_D3L852_OENOE	Denominator
tr_A0A855A885_A0A855A885_9FIRM	Denominator
tr_A7VXC0_A7VXC0_9FIRM	Denominator
tr_A0A6I4WSU1_A0A6I4WSU1_AERCA	Denominator
tr_A0A6P1TS46_A0A6P1TS46_9FIRM	Denominator
tr_A0A386YRU3_A0A386YRU3_CLONO	Denominator
tr_A0A921IL61_A0A921IL61_9FIRM	Denominator
tr_B1C4T2_B1C4T2_9FIRM	Denominator
tr_A0A4R3MPD0_A0A4R3MPD0_9FIRM	Denominator
tr_S0FQ07_S0FQ07_RUMCE	Denominator
tr_A0A2V2F486_A0A2V2F486_9FIRM	Denominator
tr_C6PU30_C6PU30_9CLOT	Denominator
tr_A0A1C9W8W2_A0A1C9W8W2_9GAMM	Denominator
tr_A0A1U7NKD7_A0A1U7NKD7_9FIRM	Denominator
tr_A0A3R6BUP9_A0A3R6BUP9_LACAM	Denominator
tr_A0A0F5JLM1_A0A0F5JLM1_9BACT	Denominator
tr_A0A810QG66_A0A810QG66_9FIRM	Denominator
tr_A0A7I8D403_A0A7I8D403_9FIRM	Denominator
tr_A0A1D9MHY5_A0A1D9MHY5_9ACTO	Denominator
tr_A0A426DFQ3_A0A426DFQ3_9FIRM	Denominator
tr_A0A926DVY3_A0A926DVY3_9FIRM	Numerator
tr_R6RWB1_R6RWB1_9CLOT	Numerator
tr_A0A1E3ADP5_A0A1E3ADP5_9FIRM	Numerator
tr_A0A1E3ALT3_A0A1E3ALT3_9FIRM	Numerator
tr_R7QYW0_R7QYW0_9FIRM	Numerator
tr_R5M9U6_R5M9U6_9CLOT	Numerator
tr_W7UXF9_W7UXF9_RUMFL	Numerator
tr_A0A413WHK1_A0A413WHK1_9FIRM	Numerator
tr_R2QCK8_R2QCK8_9ENTE	Numerator
tr_A0A2V2F3I9_A0A2V2F3I9_9FIRM	Numerator
tr_A0A415TH29_A0A415TH29_9FIRM	Numerator
tr_A0A8B2XLX2_A0A8B2XLX2_9FIRM	Numerator
tr_N9XMW9_N9XMW9_9FIRM	Numerator
tr_A0A426DFX4_A0A426DFX4_9FIRM	Numerator
tr_E7GDJ9_E7GDJ9_9FIRM	Numerator
tr_A0A3E2VNX1_A0A3E2VNX1_9FIRM	Numerator
tr_A0A412Z9I5_A0A412Z9I5_9FIRM	Numerator
tr_A0A414AWQ7_A0A414AWQ7_9FIRM	Numerator
tr_A8RLG2_A8RLG2_ENTBW	Numerator
tr_A0A4P8ICW8_A0A4P8ICW8_9FIRM	Numerator
tr_A0A4R3Z8B6_A0A4R3Z8B6_9FIRM	Numerator
