FeatureID	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b
PF08455.13	2	4	0	1	0	0	1	1	2	1	10	2
PF00176.26	3	7	2	2	0	0	2	1	3	5	13	2
PF00271.34	29	35	27	40	46	45	24	30	32	60	36	18
PF01565.26	7	7	5	6	5	2	6	4	2	10	4	1
PF04030.17	0	0	0	0	0	0	0	0	0	0	0	0
PF08447.15	7	11	10	16	1	3	12	24	26	30	18	5
PF00015.24	78	137	70	116	26	27	74	95	94	287	207	49
PF08448.13	5	7	9	15	2	3	7	19	22	23	14	5
PF00512.28	67	127	57	96	49	63	60	84	104	210	109	44
PF02518.29	112	190	87	171	112	114	119	162	192	384	235	71
PF01025.22	7	3	2	6	9	5	0	3	4	5	2	0
PF00012.23	54	76	37	74	70	105	17	101	55	67	86	23
PF06100.14	0	2	0	1	1	1	0	0	0	0	1	1
PF00359.25	9	7	3	6	3	6	0	2	1	3	10	3
PF02302.20	6	12	9	36	35	54	1	3	0	13	12	7
PF02378.21	11	34	22	76	28	94	17	25	15	66	45	16
PF04167.16	0	0	0	0	2	1	0	1	0	1	0	0
PF00521.23	8	11	20	18	30	32	8	15	7	23	7	6
PF03989.16	38	46	106	92	156	148	25	76	30	121	42	20
PF01544.21	0	1	0	0	0	1	0	1	0	1	0	1
PF00471.23	3	0	3	3	4	3	0	3	3	4	6	1
PF00122.23	15	17	11	27	14	19	6	11	8	27	16	7
PF00702.29	15	16	11	27	13	16	6	11	9	26	18	7
PF10543.12	0	1	0	0	0	2	0	0	0	0	2	1
PF10552.12	0	0	0	0	0	0	0	0	0	0	0	0
PF00692.22	0	0	0	2	2	2	1	2	2	1	3	1
PF06605.14	0	0	0	0	1	0	0	0	0	0	1	1
PF18013.4	2	1	0	8	4	6	3	1	0	0	0	0
PF01551.25	9	9	5	21	15	11	7	12	12	26	14	6
PF01521.23	0	0	0	0	1	0	0	0	0	0	0	0
PF08282.15	1	16	12	23	20	25	3	3	5	12	6	2
PF01219.22	0	1	1	2	0	1	0	0	0	0	0	0
PF00654.23	0	1	1	2	3	5	1	2	1	3	0	0
PF17767.4	3	8	3	4	2	4	1	1	1	8	0	0
PF04095.19	3	8	3	4	2	4	1	1	1	8	0	0
PF17956.4	3	8	3	4	1	4	1	1	1	8	0	0
PF00583.28	6	10	11	9	6	4	4	9	6	14	12	8
PF00005.30	247	328	192	471	307	405	231	384	289	948	600	169
PF02687.24	84	135	103	96	55	90	44	63	19	75	100	43
PF12704.10	9	16	9	13	10	10	13	10	5	15	24	3
PF08245.15	6	14	12	22	18	22	5	11	12	16	15	2
PF08353.13	1	2	1	2	1	2	0	1	0	0	1	1
PF13328.9	3	10	3	20	16	14	3	7	5	16	14	1
