FeatureID	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF08455.13	1	1	2	1	10	2	2	5	1	4	3	5	1	9	3
PF00176.26	2	1	3	5	13	2	29	33	7	21	80	29	42	88	17
PF00271.34	24	30	32	60	36	18	141	158	99	155	190	101	155	403	101
PF01565.26	6	4	2	10	4	1	15	12	6	18	20	12	23	10	9
PF04030.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF08447.15	12	24	26	30	18	5	63	35	30	36	7	29	50	48	38
PF00015.24	74	95	94	287	207	49	407	276	190	304	95	156	315	294	290
PF08448.13	7	19	22	23	14	5	34	16	14	24	6	17	17	43	27
PF00512.28	60	84	104	210	109	44	394	342	163	352	364	250	439	779	241
PF02518.29	119	162	192	384	235	71	652	498	276	545	507	397	675	1069	403
PF01025.22	0	3	4	5	2	0	5	7	5	82	16	20	13	14	16
PF00012.23	17	101	55	67	86	23	71	99	146	655	283	398	489	136	349
PF06100.14	0	0	0	0	1	1	1	8	1	22	9	11	6	7	6
PF00359.25	0	2	1	3	10	3	8	0	1	10	8	2	20	6	1
PF02302.20	1	3	0	13	12	7	23	3	0	44	9	11	22	4	1
PF02378.21	17	25	15	66	45	16	211	25	15	161	27	34	173	31	17
PF04167.16	0	1	0	1	0	0	11	1	0	0	0	0	1	4	1
PF00521.23	8	15	7	23	7	6	60	38	38	61	29	33	62	85	22
PF03989.16	25	76	30	121	42	20	309	165	180	304	111	116	300	280	110
PF01544.21	0	1	0	1	0	1	1	3	0	15	4	3	3	7	0
PF00471.23	0	3	3	4	6	1	2	7	8	12	24	18	20	1	5
PF00122.23	6	11	8	27	16	7	52	51	30	158	59	45	80	108	28
PF00702.29	6	11	9	26	18	7	57	45	24	162	57	49	86	116	27
PF10543.12	0	0	0	0	2	1	4	0	1	2	1	0	6	2	0
PF10552.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00692.22	1	2	2	1	3	1	5	2	5	8	10	1	2	3	6
PF06605.14	0	0	0	0	1	1	1	4	26	0	1	0	0	13	1
PF18013.4	3	1	0	0	0	0	3	1	1	7	3	4	0	0	1
PF01551.25	7	12	12	26	14	6	25	44	22	41	55	44	29	89	29
PF01521.23	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
PF08282.15	3	3	5	12	6	2	21	19	14	81	28	15	13	29	15
PF01219.22	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0
PF00654.23	1	2	1	3	0	0	6	7	8	3	6	1	8	12	1
PF17767.4	1	1	1	8	0	0	9	12	4	10	4	8	18	18	7
PF04095.19	1	1	1	8	0	0	9	11	4	10	3	7	17	17	6
PF17956.4	1	1	1	8	0	0	9	10	1	10	4	8	18	14	6
PF00583.28	4	9	6	14	12	8	68	41	24	48	67	44	107	101	31
PF00005.30	231	384	289	948	600	169	3693	991	565	1759	1172	881	2886	1425	744
PF02687.24	44	63	19	75	100	43	313	349	97	246	580	259	579	1019	220
PF12704.10	13	10	5	15	24	3	44	58	31	68	92	58	68	195	53
