FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF08455.13	1	0	0	13	1	16	2	4	0	1	0	0	4	9	9	4	9	7	7	19	18	2	5	1	4	3	5	1	9	3
PF00176.26	3	5	1	20	2	22	3	7	2	2	0	0	16	83	110	48	160	160	29	171	140	29	33	7	21	80	29	42	88	17
PF00271.34	23	46	12	54	48	93	29	35	27	40	46	45	124	244	319	296	540	847	245	533	491	141	158	99	155	190	101	155	403	101
PF01565.26	10	18	3	4	8	20	7	7	5	6	5	2	16	13	16	8	15	13	13	9	8	15	12	6	18	20	12	23	10	9
PF04030.17	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
PF08447.15	18	44	4	7	5	55	7	11	10	16	1	3	58	47	50	20	23	45	72	47	50	63	35	30	36	7	29	50	48	38
PF00015.24	42	429	5	145	28	534	78	137	70	116	26	27	456	286	269	192	74	282	431	196	188	407	276	190	304	95	156	315	294	290
PF08448.13	14	38	1	4	7	44	5	7	9	15	2	3	40	20	36	19	21	23	39	42	36	34	16	14	24	6	17	17	43	27
PF00512.28	72	292	29	120	79	326	67	127	57	96	49	63	433	628	752	479	781	1413	650	800	853	394	342	163	352	364	250	439	779	241
PF02518.29	126	491	46	204	140	556	112	190	87	171	112	114	671	861	1055	686	1069	1834	986	1113	1125	652	498	276	545	507	397	675	1069	403
PF01025.22	0	5	4	3	2	4	7	3	2	6	9	5	10	8	13	12	16	12	21	9	13	5	7	5	82	16	20	13	14	16
PF00012.23	14	91	17	68	72	161	54	76	37	74	70	105	240	164	138	144	146	149	100	133	113	71	99	146	655	283	398	489	136	349
PF06100.14	0	0	1	0	0	0	0	2	0	1	1	1	5	13	10	15	9	40	9	18	30	1	8	1	22	9	11	6	7	6
PF00359.25	2	3	1	7	4	5	9	7	3	6	3	6	15	7	4	13	8	13	19	11	11	8	0	1	10	8	2	20	6	1
PF02302.20	3	8	3	5	9	9	6	12	9	36	35	54	26	16	13	17	10	15	29	10	13	23	3	0	44	9	11	22	4	1
PF02378.21	14	49	6	29	21	54	11	34	22	76	28	94	169	48	37	84	30	49	755	52	34	211	25	15	161	27	34	173	31	17
PF04167.16	0	1	1	1	0	3	0	0	0	0	2	1	7	2	0	2	0	1	15	2	0	11	1	0	0	0	0	1	4	1
PF00521.23	16	40	8	16	17	38	8	11	20	18	30	32	49	53	77	69	55	121	61	100	76	60	38	38	61	29	33	62	85	22
PF03989.16	87	206	45	72	83	194	38	46	106	92	156	148	270	186	314	302	236	502	275	361	342	309	165	180	304	111	116	300	280	110
PF01544.21	0	0	0	2	0	0	0	1	0	0	0	1	10	3	7	2	11	7	4	11	11	1	3	0	15	4	3	3	7	0
PF00471.23	1	1	1	3	4	5	3	0	3	3	4	3	14	4	2	5	5	4	8	2	8	2	7	8	12	24	18	20	1	5
PF00122.23	11	25	13	17	21	16	15	17	11	27	14	19	51	75	90	60	110	149	79	111	127	52	51	30	158	59	45	80	108	28
PF00702.29	12	24	11	19	11	16	15	16	11	27	13	16	58	73	94	63	106	150	82	102	128	57	45	24	162	57	49	86	116	27
PF10543.12	1	0	0	2	1	1	0	1	0	0	0	2	6	1	2	3	4	9	6	2	0	4	0	1	2	1	0	6	2	0
PF10552.12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00692.22	2	3	0	2	1	3	0	0	0	2	2	2	5	8	9	12	7	17	10	9	17	5	2	5	8	10	1	2	3	6
PF06605.14	0	0	0	0	0	5	0	0	0	0	1	0	0	8	9	2	22	11	4	1	4	1	4	26	0	1	0	0	13	1
PF18013.4	1	5	0	0	0	3	2	1	0	8	4	6	0	1	9	2	2	9	2	11	3	3	1	1	7	3	4	0	0	1
PF01551.25	9	42	2	8	9	40	9	9	5	21	15	11	19	101	124	78	167	227	94	130	114	25	44	22	41	55	44	29	89	29
PF01521.23	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	0
PF08282.15	5	14	10	4	21	18	1	16	12	23	20	25	40	42	41	17	36	53	32	31	29	21	19	14	81	28	15	13	29	15
PF01219.22	0	0	0	0	0	0	0	1	1	2	0	1	3	2	0	1	1	2	3	1	0	0	0	0	3	1	0	0	1	0
PF00654.23	1	2	0	0	3	0	0	1	1	2	3	5	9	1	8	6	15	27	12	15	17	6	7	8	3	6	1	8	12	1
PF17767.4	1	8	1	5	2	15	3	8	3	4	2	4	8	16	20	6	11	25	26	26	21	9	12	4	10	4	8	18	18	7
PF04095.19	1	8	1	5	2	15	3	8	3	4	2	4	8	18	17	5	8	34	25	24	22	9	11	4	10	3	7	17	17	6
PF17956.4	1	7	0	5	2	15	3	8	3	4	1	4	8	14	19	6	7	22	25	24	16	9	10	1	10	4	8	18	14	6
PF00583.28	6	23	4	17	2	29	6	10	11	9	6	4	87	85	113	86	140	204	88	115	101	68	41	24	48	67	44	107	101	31
PF00005.30	318	894	108	559	333	978	247	328	192	471	307	405	2244	1108	1376	1122	1298	2381	3134	1486	1618	3693	991	565	1759	1172	881	2886	1425	744
PF02687.24	89	42	30	165	119	58	84	135	103	96	55	90	331	754	917	718	1292	1957	3181	1237	1217	313	349	97	246	580	259	579	1019	220
PF12704.10	21	5	9	21	10	10	9	16	9	13	10	10	55	96	130	109	196	275	80	177	174	44	58	31	68	92	58	68	195	53
PF08245.15	10	24	4	15	19	26	6	14	12	22	18	22	56	60	80	40	69	133	78	107	80	77	58	41	74	30	37	57	85	44
PF08353.13	1	0	0	1	3	2	1	2	1	2	1	2	1	0	2	7	0	2	10	2	1	1	1	1	5	1	3	2	2	0
PF13328.9	3	11	4	16	9	19	3	10	3	20	16	14	17	30	48	25	45	79	52	63	48	28	27	22	48	41	31	23	46	23
PF04607.20	9	63	6	20	12	53	7	15	8	27	16	18	73	38	67	38	47	94	121	69	66	59	38	25	65	49	41	45	56	31
PF02824.24	5	21	5	15	22	26	5	11	6	28	25	23	36	60	73	35	65	113	66	92	71	42	55	48	59	60	50	47	75	32
PF19296.2	2	8	2	13	4	15	1	8	2	13	11	8	10	15	28	19	14	42	45	36	34	25	25	11	36	36	26	22	26	20
PF13291.9	3	9	4	14	8	17	1	9	3	19	15	14	17	29	47	24	45	78	50	60	47	26	27	22	44	42	31	22	44	21
PF13460.9	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	3	3	1	0	0	0	0	0	0	0	1	0
PF13520.9	3	1	6	4	1	1	2	2	2	1	1	1	9	2	2	13	12	17	38	14	7	9	5	2	7	9	4	22	8	1
PF00580.24	6	14	1	11	8	22	7	15	6	10	9	7	28	57	77	50	60	115	34	88	78	32	41	20	43	13	18	28	83	20
PF13361.9	9	18	1	15	8	26	10	20	8	10	9	8	39	60	107	68	70	141	54	130	115	36	56	25	58	20	27	42	117	24
PF00890.27	14	9	2	18	18	21	10	18	6	21	18	41	12	21	45	40	50	64	34	54	43	67	52	75	53	18	12	17	42	26
PF00056.26	8	9	3	14	14	2	3	13	14	35	13	45	34	13	29	26	19	21	36	17	8	68	31	20	61	16	14	31	28	18
PF02866.21	8	9	3	14	14	2	3	13	14	35	13	45	34	13	29	26	18	20	36	17	8	68	31	20	61	16	14	31	27	18
PF00478.28	4	18	2	12	7	18	16	19	16	19	16	21	29	19	28	24	20	35	39	32	32	31	28	23	63	25	28	35	22	16
PF00588.22	2	14	6	5	3	4	6	7	1	5	5	8	13	17	22	18	24	33	12	16	12	13	14	10	10	10	7	12	32	12
PF01288.23	0	0	0	1	1	0	1	0	0	0	1	1	1	4	0	0	3	6	0	5	3	2	3	4	3	0	1	4	10	4
PF01227.25	0	0	0	1	1	0	0	1	0	0	1	1	5	3	8	2	2	11	5	7	4	5	3	1	1	4	1	5	9	3
PF00528.25	70	255	2	129	93	269	53	63	53	81	56	86	1160	340	370	292	263	632	3672	506	462	2277	321	278	593	342	308	1183	474	298
PF01594.19	0	7	1	4	1	12	1	5	4	4	7	2	30	27	30	10	17	38	70	27	27	38	15	4	15	13	8	31	29	9
PF02776.21	3	12	2	8	10	15	6	15	4	12	7	13	27	36	34	40	33	83	41	41	52	37	28	35	41	25	30	43	40	27
PF00205.25	3	9	2	8	9	8	6	14	4	11	7	13	26	33	30	40	28	73	40	39	49	34	23	33	37	20	29	41	36	23
PF02775.24	131	236	23	254	132	394	120	209	126	233	158	281	1853	269	364	254	212	222	714	174	177	1514	533	409	1061	460	284	1459	488	420
PF07517.17	14	26	4	20	19	29	11	23	8	25	12	19	25	39	59	49	53	99	42	83	57	30	44	36	49	37	31	42	55	38
PF01043.23	13	26	4	20	19	29	11	23	6	25	12	19	25	39	59	49	53	99	42	83	56	30	44	36	49	37	30	42	55	38
PF07516.16	14	26	4	20	19	30	11	23	8	25	12	19	24	39	59	49	54	97	38	79	57	27	43	36	49	37	30	43	55	38
PF02810.18	15	27	6	24	18	36	14	23	7	23	18	15	38	52	82	63	70	144	55	85	64	47	64	48	58	44	34	61	79	63
PF00665.29	8	7	25	17	23	20	8	9	8	15	10	13	73	136	163	243	282	467	195	258	378	45	68	14	148	142	95	44	106	35
PF13333.9	1	3	10	3	7	5	2	0	3	5	3	3	19	44	55	106	63	183	35	52	28	15	16	3	26	33	18	9	24	8
PF00872.21	6	8	7	4	11	9	7	12	6	20	7	12	42	51	115	44	180	136	68	118	64	31	28	10	87	88	36	27	110	23
PF05524.16	12	63	0	15	13	91	9	25	12	54	11	33	58	21	16	25	13	19	54	28	21	44	12	7	58	10	22	54	19	14
PF00391.26	163	448	32	214	125	526	127	181	122	280	179	300	1391	204	243	308	153	146	1147	159	139	1322	423	325	954	544	389	1442	274	409
PF02896.21	162	449	31	212	124	523	128	182	123	277	177	293	1387	200	241	276	149	132	1136	149	133	1282	422	326	950	541	389	1427	271	405
PF00977.24	2	6	0	4	6	11	0	3	1	1	2	3	11	19	13	10	6	13	25	14	14	12	13	8	23	4	6	15	19	19
PF00180.23	3	17	0	5	4	17	4	9	3	10	5	14	22	27	24	15	19	25	23	27	23	49	17	14	34	11	18	34	26	18
PF00330.23	8	10	1	9	14	29	10	6	10	9	12	9	50	24	37	28	21	34	84	55	36	31	24	31	45	21	21	31	23	26
PF01195.22	0	0	1	0	0	2	1	0	0	0	0	0	2	4	4	1	3	6	1	7	5	1	1	2	0	1	0	2	5	1
PF01751.25	14	28	9	12	35	31	14	35	9	36	28	34	52	182	201	165	278	399	91	221	190	54	92	38	60	108	74	65	157	77
PF01131.23	8	12	6	8	17	16	5	16	4	25	7	15	19	150	161	125	248	337	50	203	171	21	69	23	44	101	63	35	114	48
PF01396.22	2	6	0	2	9	14	5	12	3	11	0	3	29	35	35	26	55	43	28	42	40	26	37	30	8	13	42	34	21	30
PF13495.9	0	5	1	0	2	4	0	1	2	1	1	0	6	17	9	16	9	36	19	12	15	20	4	3	21	9	9	17	7	6
PF00589.25	64	165	20	122	56	157	37	58	74	72	50	33	262	450	656	649	1035	1583	384	727	742	255	216	62	305	445	230	250	565	146
PF07690.19	11	12	11	12	15	16	7	10	10	12	16	16	80	58	65	78	93	210	488	103	83	254	55	46	67	25	26	176	101	36
PF00664.26	10	32	9	13	13	43	9	15	7	19	9	16	167	177	203	150	209	402	195	250	305	146	117	76	146	132	100	121	226	71
PF04079.19	1	1	1	2	0	0	0	2	0	1	1	1	3	0	7	0	4	6	3	3	3	3	3	0	3	2	4	0	3	2
PF12850.10	0	3	0	2	2	2	2	3	2	3	1	3	15	4	14	4	3	15	10	20	11	21	7	7	20	4	6	16	16	6
PF14691.9	14	11	4	24	16	28	13	24	11	11	12	20	53	40	50	61	35	57	61	71	52	68	37	34	114	61	31	31	42	37
PF07992.17	75	88	20	110	73	122	62	93	56	73	75	73	132	83	94	147	94	128	128	129	108	142	96	71	282	116	66	105	107	84
PF00310.24	0	1	3	2	1	1	1	3	0	1	2	0	82	33	52	20	29	88	20	48	50	185	33	19	218	46	42	20	52	44
PF04898.17	0	1	2	2	0	0	1	3	0	0	1	0	59	31	41	19	20	75	12	44	45	106	30	18	192	45	37	12	41	37
PF01645.20	0	11	2	5	0	11	1	3	0	0	1	0	88	45	53	19	25	86	17	54	47	165	38	19	224	47	42	20	66	54
PF01493.22	0	3	2	2	0	2	1	3	0	1	1	0	74	34	43	19	25	77	13	46	46	140	31	19	199	46	39	14	49	41
PF00282.22	0	4	0	0	0	3	0	0	0	0	0	0	0	2	0	1	4	6	2	9	5	0	4	12	1	1	0	0	7	0
PF13508.10	0	5	1	1	1	5	2	1	0	1	0	2	50	6	5	2	10	23	29	3	8	9	6	2	4	8	5	6	12	5
PF01321.21	10	11	1	9	5	19	14	11	6	8	6	12	16	14	24	17	14	25	23	26	18	26	12	13	33	10	8	22	14	9
PF03960.18	1	2	0	0	0	1	1	11	5	17	6	19	38	7	7	3	4	1	200	4	1	25	2	2	94	6	7	21	3	0
PF17757.4	7	4	2	5	11	20	3	5	8	8	11	10	28	46	67	39	56	87	34	87	77	38	32	22	39	38	16	32	57	20
PF02559.19	4	26	1	6	8	20	3	2	3	3	6	6	23	27	31	23	37	49	31	50	53	24	25	19	21	19	14	23	38	12
PF00270.32	14	23	11	16	29	37	15	21	12	22	35	37	61	91	147	107	168	270	86	207	190	58	84	67	79	67	47	69	173	33
PF03461.18	3	1	1	2	5	3	2	1	3	3	5	5	8	24	29	20	35	45	12	50	46	13	21	12	16	19	12	12	36	8
PF05833.14	0	5	2	3	0	2	1	3	1	2	0	0	15	3	7	7	8	10	12	15	13	7	2	3	5	3	3	6	4	6
PF05670.16	0	5	2	3	0	2	1	3	1	2	0	0	15	3	7	7	8	10	12	15	13	7	2	3	5	3	3	6	4	6
PF02653.19	28	133	1	48	14	135	14	27	10	26	6	29	114	82	61	61	54	126	667	86	83	242	51	49	128	80	64	166	61	44
PF00224.24	8	17	1	7	10	22	4	14	15	16	19	32	24	8	10	40	18	26	24	18	19	69	11	8	56	18	9	51	23	14
PF02887.19	8	17	0	7	8	18	4	13	15	16	18	22	24	8	10	40	18	25	23	18	15	69	10	8	51	16	9	51	23	14
PF01210.26	1	2	1	0	3	4	1	4	2	3	3	4	8	4	8	4	7	12	8	6	7	6	4	10	13	6	5	14	9	4
PF07479.17	1	2	1	0	3	4	1	4	2	3	3	4	8	4	7	5	7	12	8	5	7	6	4	10	13	6	5	14	9	4
PF20618.1	1	2	1	0	3	4	1	4	2	3	3	4	8	4	7	5	5	7	8	4	5	6	4	10	13	5	4	12	9	4
PF00483.26	120	472	14	215	75	433	68	146	74	157	97	126	555	95	122	238	88	94	600	96	79	537	125	111	556	124	127	388	131	170
PF00348.20	4	8	3	18	10	5	8	2	10	7	11	10	6	17	11	8	10	23	8	22	20	3	12	16	13	6	11	7	15	12
PF01180.24	2	4	1	0	2	6	2	4	4	4	1	7	5	17	21	10	24	37	12	36	29	7	11	3	8	15	9	18	26	7
PF13421.9	1	4	0	3	0	7	4	4	1	1	0	0	8	5	4	4	8	18	10	6	7	9	4	5	7	1	4	7	9	7
PF00849.25	9	16	0	8	11	10	3	5	3	5	11	11	17	27	22	30	35	46	26	42	41	16	23	20	28	26	21	19	35	25
PF00690.29	4	2	4	8	15	8	10	10	8	9	9	9	28	25	25	30	22	37	41	30	25	32	26	12	58	13	23	48	40	12
PF00689.24	4	2	4	8	15	8	10	10	8	9	9	9	28	25	25	30	23	37	41	29	26	32	26	12	58	13	23	48	40	12
PF06736.14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
PF05382.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF05263.14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF14657.9	6	2	3	5	3	4	1	4	3	5	0	2	10	77	104	88	227	300	37	132	174	12	34	5	16	84	35	16	67	18
PF14659.9	11	9	4	10	13	17	4	9	7	9	7	7	73	166	274	220	432	583	79	240	307	38	73	10	88	168	77	67	162	42
PF06146.15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0
PF00392.24	7	31	0	14	13	36	11	19	14	22	9	22	42	50	65	69	62	102	49	64	69	55	27	7	78	51	31	58	51	34
PF02080.24	9	17	6	8	34	24	5	9	3	6	24	13	40	18	40	23	70	90	48	55	62	50	63	22	24	15	22	23	64	13
PF00367.23	8	32	1	20	10	28	7	17	12	46	14	22	130	31	13	62	19	30	707	37	16	183	22	10	67	14	16	152	23	16
PF00358.23	5	12	1	5	10	27	1	8	9	22	14	21	39	21	11	37	13	30	94	23	16	71	15	3	27	10	9	27	18	8
PF01047.25	0	0	1	0	1	1	3	1	0	1	1	2	4	12	22	8	8	16	6	10	6	7	2	2	7	4	4	9	4	4
PF00881.27	4	9	8	0	10	13	1	7	4	6	11	10	24	43	33	27	40	72	67	70	54	50	13	15	17	40	20	55	34	13
PF00106.28	3	10	1	5	1	13	5	8	3	4	1	2	12	29	36	21	43	54	14	57	62	20	10	9	10	21	15	32	23	9
PF13292.9	0	8	1	5	8	6	6	2	3	10	0	3	15	10	15	10	14	25	21	21	19	11	8	15	21	5	7	19	14	9
PF02779.27	13	24	6	19	31	25	12	22	13	22	16	23	68	18	33	34	27	42	89	48	48	131	60	74	78	38	26	92	44	28
PF02780.23	13	24	6	19	30	25	11	22	13	21	15	23	68	19	33	34	26	40	85	44	48	131	60	75	77	38	26	92	43	27
PF01554.21	20	44	9	28	36	54	24	30	8	33	14	31	235	395	540	387	495	1096	987	677	654	328	189	122	114	235	138	327	532	124
PF01261.27	8	12	7	16	21	20	12	12	2	10	6	9	59	35	45	83	38	84	157	69	42	84	54	52	58	31	32	40	42	29
PF01479.28	26	77	11	58	38	104	32	32	20	44	37	40	100	77	61	60	62	82	135	75	72	100	83	68	92	73	58	139	65	75
PF02861.23	26	50	18	10	28	50	16	34	12	18	42	52	32	79	110	68	96	227	78	156	134	46	66	68	110	60	123	244	127	132
PF00004.32	25	82	33	40	41	92	40	110	44	63	67	86	180	147	196	171	171	333	188	255	210	134	119	93	356	126	155	229	220	117
PF17871.4	16	31	16	16	24	32	22	73	31	30	36	51	93	54	80	62	76	137	71	106	84	41	40	37	247	56	93	134	91	73
PF07724.17	22	67	18	32	37	80	30	89	36	39	46	60	134	85	117	107	102	196	147	152	133	79	74	61	275	84	115	190	129	116
PF10431.12	22	63	17	28	35	76	29	86	36	39	45	58	132	85	111	105	94	192	143	146	128	77	73	61	273	78	114	184	125	114
PF01370.24	5	12	4	8	4	11	3	13	3	7	4	2	14	23	42	14	32	56	33	34	32	41	42	52	11	7	11	30	62	15
PF13522.9	4	12	1	3	1	13	2	8	4	5	5	3	19	22	27	13	17	40	24	21	21	37	21	17	25	16	9	28	18	12
PF00156.30	11	28	7	8	9	30	6	10	11	19	17	19	95	41	51	28	47	97	83	59	39	158	48	30	108	52	35	47	63	26
PF18072.4	5	34	1	13	21	44	9	24	8	24	39	32	26	43	43	37	48	75	86	49	68	44	43	28	74	50	42	29	37	23
PF00586.27	6	20	1	5	5	23	6	10	9	7	5	10	16	22	19	13	20	26	20	27	43	21	14	10	13	8	11	16	24	16
PF02769.25	11	54	4	14	38	68	15	36	17	31	62	61	44	64	63	52	71	106	110	77	105	90	94	64	85	58	55	47	81	46
PF13507.9	5	33	3	11	20	44	9	27	8	24	39	33	28	42	43	37	48	75	88	47	61	50	49	29	72	50	42	31	38	29
PF01259.21	3	8	0	8	4	6	1	3	3	1	4	5	18	14	12	6	23	21	23	16	13	12	11	10	19	8	6	12	15	4
PF00128.27	52	134	15	85	43	134	46	69	25	91	49	71	205	116	198	173	171	346	312	285	199	302	200	135	290	115	99	239	278	146
PF02806.21	20	59	8	30	27	76	14	33	12	30	30	46	105	43	47	58	39	52	132	58	54	95	47	31	116	53	37	71	51	50
PF08240.15	36	36	3	18	17	52	17	15	11	20	9	6	25	27	13	41	27	49	67	45	23	18	17	5	78	12	14	28	18	14
PF00107.29	36	36	3	19	16	52	17	15	11	20	9	6	25	25	7	39	17	36	67	47	25	18	17	6	78	11	14	28	17	13
PF06541.14	3	8	0	3	0	7	4	0	2	3	1	0	26	11	22	3	7	18	61	30	21	43	10	8	20	5	2	29	26	11
PF02922.21	25	74	9	41	28	94	20	37	14	39	32	47	117	60	72	70	59	83	169	98	98	133	77	54	137	64	49	88	88	68
PF12848.10	4	15	4	6	15	13	11	7	3	15	18	22	27	42	73	49	98	138	48	84	90	37	46	34	21	43	28	23	94	24
PF16326.8	3	4	1	0	6	4	3	1	0	5	2	4	5	15	13	8	22	27	11	14	15	8	11	5	1	7	7	2	11	3
PF03577.18	1	4	1	6	3	3	0	4	0	4	6	11	18	4	10	10	17	23	8	6	6	10	11	6	25	4	6	5	7	2
PF11797.11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01018.25	1	8	0	4	3	14	3	5	1	1	2	5	10	15	9	13	17	20	10	17	21	10	7	4	24	3	5	12	26	6
PF01926.26	20	43	12	25	22	61	23	40	20	38	34	33	68	107	149	93	131	215	128	157	145	82	85	54	135	69	53	76	129	58
PF09269.14	1	7	0	3	3	14	3	4	1	1	1	2	10	14	6	10	10	13	10	8	17	8	3	4	24	3	4	12	16	4
PF00171.25	30	73	4	98	51	68	55	45	32	44	40	45	44	23	16	42	29	37	84	52	33	43	13	12	54	19	16	54	30	35
PF00696.31	13	23	8	19	14	41	3	21	16	16	18	21	46	44	53	35	45	82	76	63	52	61	53	60	63	33	38	48	48	43
PF02881.22	5	14	4	6	12	22	10	7	5	12	11	17	13	22	24	23	20	58	17	34	31	18	29	27	13	17	12	19	25	25
PF00448.25	6	20	4	8	13	29	10	7	6	12	11	17	20	31	37	24	24	67	25	43	34	22	38	33	23	19	17	26	34	34
PF02978.22	4	11	3	5	8	20	6	2	5	8	7	10	9	16	18	17	13	40	10	21	18	12	24	22	8	11	11	19	19	16
PF00753.30	28	45	7	55	22	76	23	35	27	53	21	32	142	130	126	100	125	217	233	144	137	122	70	53	196	82	54	119	120	63
PF07521.15	11	29	4	22	7	41	13	18	14	15	6	11	61	41	35	43	32	60	88	45	33	47	23	28	70	22	18	43	34	24
PF17770.4	7	14	2	6	6	22	9	9	9	9	5	9	41	23	19	24	24	39	61	23	24	20	14	17	30	13	11	25	13	10
PF01118.27	2	13	1	7	11	12	4	5	1	7	6	17	20	21	20	18	22	30	25	34	29	27	29	20	33	24	22	23	26	14
PF02774.21	2	13	0	6	7	12	4	5	1	5	4	7	17	14	16	12	13	15	22	23	24	26	27	19	29	20	18	21	26	12
PF01081.22	1	1	0	1	0	2	4	3	1	2	1	0	47	9	6	19	4	10	59	9	10	31	10	16	27	11	12	17	9	14
PF01263.23	1	16	1	13	4	14	4	5	2	14	1	5	16	18	19	17	17	34	22	21	23	24	24	39	15	14	17	20	19	19
PF13347.9	4	4	5	5	5	3	5	3	4	2	6	5	68	31	22	19	22	50	255	21	42	66	19	21	9	18	10	61	31	8
PF01232.26	3	5	1	5	3	5	1	6	1	1	1	0	69	11	23	14	16	22	156	22	21	47	17	13	26	8	9	19	25	14
PF08125.16	3	5	1	5	3	5	1	6	1	1	1	0	69	11	23	14	16	23	156	22	21	47	17	13	26	8	9	19	25	14
PF00356.24	8	27	0	14	5	30	6	9	6	14	5	9	67	67	52	30	50	85	108	71	72	75	27	18	52	29	27	76	76	25
PF13377.9	11	32	1	15	5	40	7	9	6	18	4	9	114	72	53	37	61	94	144	77	78	108	39	28	79	41	39	105	97	32
PF00206.23	4	15	2	7	11	16	6	14	12	16	10	11	37	24	29	30	36	78	56	42	34	35	34	14	46	23	18	50	36	22
PF10397.12	2	7	1	4	3	9	1	7	3	6	4	4	21	11	11	21	14	34	38	15	20	16	13	6	28	10	7	25	17	11
PF02926.20	5	20	2	5	10	11	4	5	2	6	3	1	20	20	14	13	15	29	28	17	12	17	12	9	12	7	3	36	22	11
PF01170.21	4	16	1	3	4	4	2	0	2	2	2	0	9	10	9	7	11	21	8	10	10	8	15	5	10	4	4	8	12	5
PF05103.16	1	2	0	0	1	0	0	0	0	1	0	0	2	1	1	5	4	1	4	1	3	3	1	0	4	1	3	0	1	1
PF08230.14	0	0	0	0	2	0	2	0	0	0	3	2	1	5	8	0	2	2	0	3	0	0	0	4	2	2	1	1	6	21
PF00155.24	23	46	5	30	23	48	20	28	21	37	25	33	155	99	107	72	134	170	141	125	116	110	69	49	160	45	35	150	115	41
PF01381.25	37	53	11	44	21	56	17	18	33	25	23	19	249	201	283	210	340	627	371	271	280	354	137	47	197	197	137	308	296	71
PF01209.21	1	0	1	0	0	1	0	0	0	0	4	2	0	2	0	0	0	5	1	1	2	5	2	3	0	1	0	0	2	1
PF06018.17	5	25	2	8	7	26	5	9	8	16	2	3	38	7	6	21	1	8	67	2	3	44	10	10	17	4	3	24	11	18
PF08222.14	5	25	2	8	7	26	5	9	8	16	2	3	38	7	6	21	1	8	67	2	3	44	10	10	17	4	3	24	11	18
PF12464.11	2	8	0	1	2	6	0	0	0	1	1	2	6	5	11	4	8	12	10	17	5	1	3	6	2	4	3	5	6	2
PF00132.27	28	149	1	56	30	91	14	19	14	27	21	38	42	29	58	34	50	101	64	69	42	111	53	67	40	33	26	72	72	44
PF02686.18	0	0	1	0	1	0	0	1	0	0	0	1	0	2	7	0	1	1	3	3	2	4	0	2	2	1	2	1	4	2
PF02903.17	3	14	0	2	2	8	4	0	0	5	2	0	7	13	9	10	8	30	18	25	11	13	13	9	4	1	2	17	17	8
PF07274.15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01425.24	1	1	0	4	2	0	0	2	2	5	2	5	17	6	17	4	12	5	8	18	17	11	5	0	25	11	9	9	7	5
PF01476.23	19	27	18	23	12	32	3	7	7	39	30	23	55	63	96	53	95	191	42	101	130	97	62	117	76	52	47	39	133	65
PF03610.19	5	32	0	2	4	18	6	14	12	23	10	25	43	9	8	9	9	2	29	2	4	15	5	2	95	11	15	11	4	3
PF03830.18	38	80	1	35	23	83	23	54	39	73	54	82	76	10	15	8	9	0	67	1	5	39	3	8	168	18	42	19	7	4
PF03609.17	46	162	4	63	39	200	28	63	33	110	54	90	88	8	5	7	11	1	235	0	6	66	9	15	160	18	28	52	6	4
PF03613.17	30	166	1	46	15	187	16	42	21	68	32	71	71	8	6	13	11	0	213	1	6	55	8	10	124	5	21	23	3	6
PF02934.18	2	1	0	0	1	1	0	4	2	2	2	3	17	14	10	6	3	20	13	16	21	14	6	2	33	20	14	10	12	3
PF02637.21	2	1	0	0	1	1	0	4	2	2	2	3	17	14	10	6	3	20	13	16	21	14	6	2	33	20	14	10	12	3
PF02403.25	4	9	2	16	4	11	4	4	3	15	4	14	29	22	26	25	19	36	55	40	30	39	19	13	23	20	11	33	31	13
PF00587.28	24	51	4	48	37	67	23	37	17	55	29	53	112	118	127	94	134	225	144	181	160	154	116	90	136	102	84	150	154	67
PF12849.10	2	1	2	1	3	1	1	0	2	1	6	6	1	15	22	16	41	68	5	24	30	6	8	8	4	29	9	1	15	4
PF01668.21	0	2	0	2	0	3	0	1	3	2	0	1	4	2	3	5	4	9	3	8	2	4	7	3	1	1	3	6	6	2
