FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF01808.21	5	8	0	7	4	8	4	8	3	6	7	19	18	14	11	15	13	19	21	24	12	13	10	15	19	13	6	13	14	13
PF03976.17	4	14	0	8	6	22	4	4	4	0	6	2	10	8	1	15	0	2	5	10	8	2	2	6	23	10	8	6	2	8
PF00203.24	4	26	0	22	17	42	13	14	9	15	22	23	33	29	34	21	9	16	48	17	13	51	38	25	32	66	33	61	19	26
PF06750.16	0	0	0	0	0	0	0	0	0	0	0	0	32	8	2	5	1	4	92	5	8	130	8	24	24	1	9	41	10	25
PF05848.14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	3	1	0	0	0	0	0	1	2	1	0	0
PF17727.4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	3	1	0	0	0	0	0	1	2	1	0	0
PF00313.25	22	82	3	51	25	69	30	44	36	65	32	38	282	23	48	12	18	6	1256	10	18	652	47	66	79	12	20	401	41	48
PF01988.22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00939.22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	1	3	0	0	0	0	1	0	0	0	0
PF07929.14	2	2	0	1	2	0	0	0	0	0	3	6	1	0	2	1	2	8	1	1	6	5	11	3	0	4	1	4	10	5
PF01270.20	0	0	0	0	0	0	0	0	0	0	0	0	2	4	10	2	2	12	6	5	9	20	14	19	0	2	3	8	6	5
PF02133.18	7	2	0	8	4	2	1	4	1	1	6	2	4	0	0	2	3	0	2	0	1	2	1	0	4	1	0	3	3	0
PF04260.15	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	3	2	3	1	1	1	0	0	0	1	3	0
PF02540.20	4	21	0	11	8	23	1	13	8	17	17	20	29	17	35	31	46	70	41	41	47	27	26	15	53	25	17	28	44	15
PF00958.25	2	17	1	6	4	17	3	13	10	11	14	12	24	18	28	30	38	44	39	28	29	39	17	17	38	21	19	32	35	18
PF12698.10	6	4	1	4	5	3	4	2	1	2	6	11	9	36	39	21	33	67	48	70	55	25	15	12	8	20	25	25	45	6
PF08402.13	10	14	15	44	15	38	12	19	9	32	34	29	35	17	30	17	22	29	86	20	22	38	24	19	35	40	61	38	27	28
PF03611.17	1	1	0	8	1	2	1	0	1	0	2	0	3	3	5	7	2	10	8	5	4	4	0	1	0	0	1	7	4	2
PF03099.22	4	3	0	2	2	3	3	2	3	3	3	0	2	7	6	5	7	13	9	16	6	5	8	9	5	4	2	9	10	6
PF10437.12	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	1	3	5	0	0	0	1	3	0
PF00173.31	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
PF01545.24	1	0	0	1	0	2	0	0	0	3	2	2	5	8	12	33	31	69	12	17	24	7	7	5	12	13	10	11	23	0
PF16916.8	0	0	0	1	0	2	0	0	0	3	2	2	5	7	4	7	4	9	12	6	13	5	4	4	12	4	5	8	11	0
PF13412.9	3	15	0	9	4	13	1	4	2	6	2	1	31	34	34	28	48	99	38	29	38	39	12	6	35	25	13	36	32	6
PF01037.24	0	3	0	0	4	3	1	2	0	6	2	1	2	3	2	2	4	9	5	2	8	10	7	4	6	2	2	9	5	2
PF00375.21	3	3	0	18	5	8	5	12	5	9	4	2	27	8	19	17	15	22	146	18	16	139	10	12	22	21	7	65	9	8
PF01087.25	4	29	2	4	2	27	4	4	1	4	1	3	13	10	11	18	4	21	25	15	45	19	13	8	15	9	7	18	10	10
PF02744.20	4	29	2	4	2	27	4	4	1	4	1	3	13	10	11	18	4	21	25	15	45	19	13	8	15	9	7	18	10	10
PF13350.9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	3	1	1	0	0	9	2	2	0	0	0
PF04204.19	1	3	0	0	1	4	1	2	0	0	2	3	4	4	3	3	1	5	9	3	5	12	5	4	2	2	0	9	8	4
PF12784.10	40	55	4	43	9	46	14	28	23	33	17	17	120	57	80	87	80	148	132	69	74	113	32	18	134	61	50	141	97	51
PF03606.18	0	2	0	2	0	2	0	1	0	0	0	0	2	2	3	4	2	3	10	3	3	4	1	0	8	0	2	5	1	0
PF03853.18	1	2	2	0	0	5	1	0	1	4	2	2	7	5	8	6	14	12	7	9	7	10	9	6	17	3	6	5	13	6
