FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c	Name
PF01025.22	0.0	5.0	4.0	3.0	2.0	4.0	7.0	3.0	2.0	6.0	9.0	5.0	0.0	3.0	6.0	0.0	6.0	4.0	0.0	3.0	4.0	5.0	2.0	0.0	10.0	8.0	13.0	12.0	16.0	12.0	21.0	9.0	13.0	5.0	7.0	5.0	82.0	16.0	20.0	13.0	14.0	16.0	GrpE
PF00012.23	14.0	91.0	17.0	68.0	72.0	161.0	54.0	76.0	37.0	74.0	70.0	105.0	64.0	95.0	78.0	75.0	77.0	106.0	17.0	101.0	55.0	67.0	86.0	23.0	240.0	164.0	138.0	144.0	146.0	149.0	100.0	133.0	113.0	71.0	99.0	146.0	655.0	283.0	398.0	489.0	136.0	349.0	Hsp70 protein
PF06100.14	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	5.0	13.0	10.0	15.0	9.0	40.0	9.0	18.0	30.0	1.0	8.0	1.0	22.0	9.0	11.0	6.0	7.0	6.0	MCRA family
PF00359.25	2.0	3.0	1.0	7.0	4.0	5.0	9.0	7.0	3.0	6.0	3.0	6.0	6.0	12.0	8.0	3.0	3.0	25.0	0.0	2.0	1.0	3.0	10.0	3.0	15.0	7.0	4.0	13.0	8.0	13.0	19.0	11.0	11.0	8.0	0.0	1.0	10.0	8.0	2.0	20.0	6.0	1.0	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF02302.20	3.0	8.0	3.0	5.0	9.0	9.0	6.0	12.0	9.0	36.0	35.0	54.0	3.0	13.0	10.0	5.0	34.0	32.0	1.0	3.0	0.0	13.0	12.0	7.0	26.0	16.0	13.0	17.0	10.0	15.0	29.0	10.0	13.0	23.0	3.0	0.0	44.0	9.0	11.0	22.0	4.0	1.0	PTS system, Lactose/Cellobiose specific IIB subunit
PF02378.21	14.0	49.0	6.0	29.0	21.0	54.0	11.0	34.0	22.0	76.0	28.0	94.0	42.0	30.0	51.0	28.0	52.0	56.0	17.0	25.0	15.0	66.0	45.0	16.0	169.0	48.0	37.0	84.0	30.0	49.0	755.0	52.0	34.0	211.0	25.0	15.0	161.0	27.0	34.0	173.0	31.0	17.0	Phosphotransferase system, EIIC
PF04167.16	0.0	1.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	7.0	2.0	0.0	2.0	0.0	1.0	15.0	2.0	0.0	11.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	Protein of unknown function (DUF402)
PF00521.23	16.0	40.0	8.0	16.0	17.0	38.0	8.0	11.0	20.0	18.0	30.0	32.0	12.0	8.0	18.0	12.0	7.0	14.0	8.0	15.0	7.0	23.0	7.0	6.0	49.0	53.0	77.0	69.0	55.0	121.0	61.0	100.0	76.0	60.0	38.0	38.0	61.0	29.0	33.0	62.0	85.0	22.0	DNA gyrase/topoisomerase IV, subunit A
PF03989.16	87.0	206.0	45.0	72.0	83.0	194.0	38.0	46.0	106.0	92.0	156.0	148.0	60.0	48.0	95.0	58.0	42.0	84.0	25.0	76.0	30.0	121.0	42.0	20.0	270.0	186.0	314.0	302.0	236.0	502.0	275.0	361.0	342.0	309.0	165.0	180.0	304.0	111.0	116.0	300.0	280.0	110.0	DNA gyrase C-terminal domain, beta-propeller
PF01544.21	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	10.0	3.0	7.0	2.0	11.0	7.0	4.0	11.0	11.0	1.0	3.0	0.0	15.0	4.0	3.0	3.0	7.0	0.0	CorA-like Mg2+ transporter protein
PF00471.23	1.0	1.0	1.0	3.0	4.0	5.0	3.0	0.0	3.0	3.0	4.0	3.0	2.0	2.0	1.0	1.0	0.0	3.0	0.0	3.0	3.0	4.0	6.0	1.0	14.0	4.0	2.0	5.0	5.0	4.0	8.0	2.0	8.0	2.0	7.0	8.0	12.0	24.0	18.0	20.0	1.0	5.0	Ribosomal protein L33
PF00122.23	11.0	25.0	13.0	17.0	21.0	16.0	15.0	17.0	11.0	27.0	14.0	19.0	12.0	8.0	15.0	15.0	31.0	21.0	6.0	11.0	8.0	27.0	16.0	7.0	51.0	75.0	90.0	60.0	110.0	149.0	79.0	111.0	127.0	52.0	51.0	30.0	158.0	59.0	45.0	80.0	108.0	28.0	E1-E2 ATPase
PF00702.29	12.0	24.0	11.0	19.0	11.0	16.0	15.0	16.0	11.0	27.0	13.0	16.0	12.0	9.0	15.0	16.0	30.0	21.0	6.0	11.0	9.0	26.0	18.0	7.0	58.0	73.0	94.0	63.0	106.0	150.0	82.0	102.0	128.0	57.0	45.0	24.0	162.0	57.0	49.0	86.0	116.0	27.0	haloacid dehalogenase-like hydrolase
PF10543.12	1.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	6.0	1.0	2.0	3.0	4.0	9.0	6.0	2.0	0.0	4.0	0.0	1.0	2.0	1.0	0.0	6.0	2.0	0.0	ORF6N domain
PF10552.12	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ORF6C domain
PF00692.22	2.0	3.0	0.0	2.0	1.0	3.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	2.0	1.0	3.0	1.0	5.0	8.0	9.0	12.0	7.0	17.0	10.0	9.0	17.0	5.0	2.0	5.0	8.0	10.0	1.0	2.0	3.0	6.0	dUTPase
PF06605.14	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	8.0	9.0	2.0	22.0	11.0	4.0	1.0	4.0	1.0	4.0	26.0	0.0	1.0	0.0	0.0	13.0	1.0	Prophage endopeptidase tail
PF18013.4	1.0	5.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	8.0	4.0	6.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	2.0	2.0	9.0	2.0	11.0	3.0	3.0	1.0	1.0	7.0	3.0	4.0	0.0	0.0	1.0	Phage tail lysozyme
PF01551.25	9.0	42.0	2.0	8.0	9.0	40.0	9.0	9.0	5.0	21.0	15.0	11.0	2.0	3.0	12.0	11.0	5.0	15.0	7.0	12.0	12.0	26.0	14.0	6.0	19.0	101.0	124.0	78.0	167.0	227.0	94.0	130.0	114.0	25.0	44.0	22.0	41.0	55.0	44.0	29.0	89.0	29.0	Peptidase family M23
PF01521.23	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	Iron-sulphur cluster biosynthesis
PF08282.15	5.0	14.0	10.0	4.0	21.0	18.0	1.0	16.0	12.0	23.0	20.0	25.0	3.0	1.0	16.0	4.0	11.0	13.0	3.0	3.0	5.0	12.0	6.0	2.0	40.0	42.0	41.0	17.0	36.0	53.0	32.0	31.0	29.0	21.0	19.0	14.0	81.0	28.0	15.0	13.0	29.0	15.0	haloacid dehalogenase-like hydrolase
PF01219.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	1.0	1.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	Prokaryotic diacylglycerol kinase
PF00654.23	1.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	2.0	3.0	5.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	3.0	0.0	0.0	9.0	1.0	8.0	6.0	15.0	27.0	12.0	15.0	17.0	6.0	7.0	8.0	3.0	6.0	1.0	8.0	12.0	1.0	Voltage gated chloride channel
PF17767.4	1.0	8.0	1.0	5.0	2.0	15.0	3.0	8.0	3.0	4.0	2.0	4.0	2.0	4.0	2.0	1.0	3.0	3.0	1.0	1.0	1.0	8.0	0.0	0.0	8.0	16.0	20.0	6.0	11.0	25.0	26.0	26.0	21.0	9.0	12.0	4.0	10.0	4.0	8.0	18.0	18.0	7.0	Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain
PF04095.19	1.0	8.0	1.0	5.0	2.0	15.0	3.0	8.0	3.0	4.0	2.0	4.0	2.0	4.0	2.0	1.0	3.0	3.0	1.0	1.0	1.0	8.0	0.0	0.0	8.0	18.0	17.0	5.0	8.0	34.0	25.0	24.0	22.0	9.0	11.0	4.0	10.0	3.0	7.0	17.0	17.0	6.0	Nicotinate phosphoribosyltransferase (NAPRTase) family
PF17956.4	1.0	7.0	0.0	5.0	2.0	15.0	3.0	8.0	3.0	4.0	1.0	4.0	2.0	4.0	2.0	1.0	3.0	3.0	1.0	1.0	1.0	8.0	0.0	0.0	8.0	14.0	19.0	6.0	7.0	22.0	25.0	24.0	16.0	9.0	10.0	1.0	10.0	4.0	8.0	18.0	14.0	6.0	Nicotinate phosphoribosyltransferase C-terminal domain
PF00583.28	6.0	23.0	4.0	17.0	2.0	29.0	6.0	10.0	11.0	9.0	6.0	4.0	6.0	13.0	7.0	7.0	7.0	13.0	4.0	9.0	6.0	14.0	12.0	8.0	87.0	85.0	113.0	86.0	140.0	204.0	88.0	115.0	101.0	68.0	41.0	24.0	48.0	67.0	44.0	107.0	101.0	31.0	Acetyltransferase (GNAT) family
PF00005.30	318.0	894.0	108.0	559.0	333.0	978.0	247.0	328.0	192.0	471.0	307.0	405.0	351.0	527.0	390.0	409.0	234.0	489.0	231.0	384.0	289.0	948.0	600.0	169.0	2244.0	1108.0	1376.0	1122.0	1298.0	2381.0	3134.0	1486.0	1618.0	3693.0	991.0	565.0	1759.0	1172.0	881.0	2886.0	1425.0	744.0	ABC transporter
PF02687.24	89.0	42.0	30.0	165.0	119.0	58.0	84.0	135.0	103.0	96.0	55.0	90.0	63.0	95.0	184.0	284.0	69.0	209.0	44.0	63.0	19.0	75.0	100.0	43.0	331.0	754.0	917.0	718.0	1292.0	1957.0	3181.0	1237.0	1217.0	313.0	349.0	97.0	246.0	580.0	259.0	579.0	1019.0	220.0	FtsX-like permease family
PF12704.10	21.0	5.0	9.0	21.0	10.0	10.0	9.0	16.0	9.0	13.0	10.0	10.0	9.0	17.0	20.0	14.0	16.0	16.0	13.0	10.0	5.0	15.0	24.0	3.0	55.0	96.0	130.0	109.0	196.0	275.0	80.0	177.0	174.0	44.0	58.0	31.0	68.0	92.0	58.0	68.0	195.0	53.0	MacB-like periplasmic core domain
PF08245.15	10.0	24.0	4.0	15.0	19.0	26.0	6.0	14.0	12.0	22.0	18.0	22.0	6.0	6.0	16.0	15.0	7.0	12.0	5.0	11.0	12.0	16.0	15.0	2.0	56.0	60.0	80.0	40.0	69.0	133.0	78.0	107.0	80.0	77.0	58.0	41.0	74.0	30.0	37.0	57.0	85.0	44.0	Mur ligase middle domain
PF08353.13	1.0	0.0	0.0	1.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	3.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	7.0	0.0	2.0	10.0	2.0	1.0	1.0	1.0	1.0	5.0	1.0	3.0	2.0	2.0	0.0	MurT ligase C-terminal
PF13328.9	3.0	11.0	4.0	16.0	9.0	19.0	3.0	10.0	3.0	20.0	16.0	14.0	6.0	14.0	7.0	10.0	7.0	12.0	3.0	7.0	5.0	16.0	14.0	1.0	17.0	30.0	48.0	25.0	45.0	79.0	52.0	63.0	48.0	28.0	27.0	22.0	48.0	41.0	31.0	23.0	46.0	23.0	HD domain
PF04607.20	9.0	63.0	6.0	20.0	12.0	53.0	7.0	15.0	8.0	27.0	16.0	18.0	14.0	22.0	8.0	15.0	9.0	17.0	10.0	10.0	8.0	44.0	30.0	4.0	73.0	38.0	67.0	38.0	47.0	94.0	121.0	69.0	66.0	59.0	38.0	25.0	65.0	49.0	41.0	45.0	56.0	31.0	Region found in RelA / SpoT proteins
PF02824.24	5.0	21.0	5.0	15.0	22.0	26.0	5.0	11.0	6.0	28.0	25.0	23.0	8.0	15.0	9.0	20.0	15.0	20.0	5.0	9.0	7.0	29.0	19.0	3.0	36.0	60.0	73.0	35.0	65.0	113.0	66.0	92.0	71.0	42.0	55.0	48.0	59.0	60.0	50.0	47.0	75.0	32.0	TGS domain
PF19296.2	2.0	8.0	2.0	13.0	4.0	15.0	1.0	8.0	2.0	13.0	11.0	8.0	5.0	13.0	5.0	8.0	5.0	9.0	3.0	6.0	4.0	12.0	11.0	1.0	10.0	15.0	28.0	19.0	14.0	42.0	45.0	36.0	34.0	25.0	25.0	11.0	36.0	36.0	26.0	22.0	26.0	20.0	RelA/SpoT, AH and RIS domains
PF13291.9	3.0	9.0	4.0	14.0	8.0	17.0	1.0	9.0	3.0	19.0	15.0	14.0	6.0	13.0	6.0	10.0	7.0	10.0	3.0	6.0	4.0	15.0	13.0	1.0	17.0	29.0	47.0	24.0	45.0	78.0	50.0	60.0	47.0	26.0	27.0	22.0	44.0	42.0	31.0	22.0	44.0	21.0	ACT domain
PF13460.9	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	NAD(P)H-binding
PF13520.9	3.0	1.0	6.0	4.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	4.0	6.0	1.0	2.0	1.0	0.0	1.0	0.0	9.0	2.0	2.0	13.0	12.0	17.0	38.0	14.0	7.0	9.0	5.0	2.0	7.0	9.0	4.0	22.0	8.0	1.0	Amino acid permease
PF00580.24	6.0	14.0	1.0	11.0	8.0	22.0	7.0	15.0	6.0	10.0	9.0	7.0	7.0	9.0	11.0	14.0	7.0	23.0	10.0	1.0	6.0	16.0	12.0	2.0	28.0	57.0	77.0	50.0	60.0	115.0	34.0	88.0	78.0	32.0	41.0	20.0	43.0	13.0	18.0	28.0	83.0	20.0	UvrD/REP helicase N-terminal domain
PF13361.9	9.0	18.0	1.0	15.0	8.0	26.0	10.0	20.0	8.0	10.0	9.0	8.0	7.0	10.0	11.0	13.0	7.0	18.0	11.0	3.0	6.0	17.0	14.0	2.0	39.0	60.0	107.0	68.0	70.0	141.0	54.0	130.0	115.0	36.0	56.0	25.0	58.0	20.0	27.0	42.0	117.0	24.0	UvrD-like helicase C-terminal domain
PF00890.27	14.0	9.0	2.0	18.0	18.0	21.0	10.0	18.0	6.0	21.0	18.0	41.0	24.0	18.0	14.0	16.0	8.0	23.0	7.0	14.0	11.0	27.0	21.0	9.0	12.0	21.0	45.0	40.0	50.0	64.0	34.0	54.0	43.0	67.0	52.0	75.0	53.0	18.0	12.0	17.0	42.0	26.0	FAD binding domain
PF00056.26	8.0	9.0	3.0	14.0	14.0	2.0	3.0	13.0	14.0	35.0	13.0	45.0	6.0	6.0	18.0	10.0	6.0	22.0	5.0	7.0	4.0	14.0	6.0	3.0	34.0	13.0	29.0	26.0	19.0	21.0	36.0	17.0	8.0	68.0	31.0	20.0	61.0	16.0	14.0	31.0	28.0	18.0	lactate/malate dehydrogenase, NAD binding domain
PF02866.21	8.0	9.0	3.0	14.0	14.0	2.0	3.0	13.0	14.0	35.0	13.0	45.0	6.0	6.0	18.0	10.0	6.0	22.0	5.0	7.0	4.0	14.0	6.0	3.0	34.0	13.0	29.0	26.0	18.0	20.0	36.0	17.0	8.0	68.0	31.0	20.0	61.0	16.0	14.0	31.0	27.0	18.0	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF00478.28	4.0	18.0	2.0	12.0	7.0	18.0	16.0	19.0	16.0	19.0	16.0	21.0	7.0	17.0	21.0	11.0	8.0	13.0	4.0	8.0	9.0	17.0	10.0	6.0	29.0	19.0	28.0	24.0	20.0	35.0	39.0	32.0	32.0	31.0	28.0	23.0	63.0	25.0	28.0	35.0	22.0	16.0	IMP dehydrogenase / GMP reductase domain
PF00588.22	2.0	14.0	6.0	5.0	3.0	4.0	6.0	7.0	1.0	5.0	5.0	8.0	2.0	2.0	7.0	2.0	2.0	4.0	1.0	2.0	2.0	6.0	3.0	0.0	13.0	17.0	22.0	18.0	24.0	33.0	12.0	16.0	12.0	13.0	14.0	10.0	10.0	10.0	7.0	12.0	32.0	12.0	SpoU rRNA Methylase family
PF01288.23	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	3.0	6.0	0.0	5.0	3.0	2.0	3.0	4.0	3.0	0.0	1.0	4.0	10.0	4.0	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
PF01227.25	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	5.0	3.0	8.0	2.0	2.0	11.0	5.0	7.0	4.0	5.0	3.0	1.0	1.0	4.0	1.0	5.0	9.0	3.0	GTP cyclohydrolase I
PF00528.25	70.0	255.0	2.0	129.0	93.0	269.0	53.0	63.0	53.0	81.0	56.0	86.0	83.0	95.0	87.0	108.0	35.0	127.0	41.0	66.0	47.0	264.0	124.0	38.0	1160.0	340.0	370.0	292.0	263.0	632.0	3672.0	506.0	462.0	2277.0	321.0	278.0	593.0	342.0	308.0	1183.0	474.0	298.0	Binding-protein-dependent transport system inner membrane component
PF01594.19	0.0	7.0	1.0	4.0	1.0	12.0	1.0	5.0	4.0	4.0	7.0	2.0	0.0	1.0	4.0	3.0	5.0	2.0	0.0	1.0	1.0	10.0	7.0	1.0	30.0	27.0	30.0	10.0	17.0	38.0	70.0	27.0	27.0	38.0	15.0	4.0	15.0	13.0	8.0	31.0	29.0	9.0	AI-2E family transporter
PF02776.21	3.0	12.0	2.0	8.0	10.0	15.0	6.0	15.0	4.0	12.0	7.0	13.0	5.0	1.0	11.0	3.0	4.0	8.0	3.0	6.0	1.0	22.0	9.0	3.0	27.0	36.0	34.0	40.0	33.0	83.0	41.0	41.0	52.0	37.0	28.0	35.0	41.0	25.0	30.0	43.0	40.0	27.0	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
PF00205.25	3.0	9.0	2.0	8.0	9.0	8.0	6.0	14.0	4.0	11.0	7.0	13.0	5.0	1.0	11.0	3.0	3.0	8.0	3.0	6.0	1.0	18.0	8.0	3.0	26.0	33.0	30.0	40.0	28.0	73.0	40.0	39.0	49.0	34.0	23.0	33.0	37.0	20.0	29.0	41.0	36.0	23.0	Thiamine pyrophosphate enzyme, central domain
PF02775.24	131.0	236.0	23.0	254.0	132.0	394.0	120.0	209.0	126.0	233.0	158.0	281.0	149.0	185.0	179.0	167.0	73.0	317.0	66.0	138.0	79.0	357.0	228.0	80.0	1853.0	269.0	364.0	254.0	212.0	222.0	714.0	174.0	177.0	1514.0	533.0	409.0	1061.0	460.0	284.0	1459.0	488.0	420.0	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
PF07517.17	14.0	26.0	4.0	20.0	19.0	29.0	11.0	23.0	8.0	25.0	12.0	19.0	7.0	20.0	13.0	19.0	5.0	25.0	7.0	16.0	14.0	35.0	14.0	3.0	25.0	39.0	59.0	49.0	53.0	99.0	42.0	83.0	57.0	30.0	44.0	36.0	49.0	37.0	31.0	42.0	55.0	38.0	SecA DEAD-like domain
PF01043.23	13.0	26.0	4.0	20.0	19.0	29.0	11.0	23.0	6.0	25.0	12.0	19.0	7.0	20.0	11.0	18.0	5.0	25.0	7.0	15.0	14.0	33.0	13.0	3.0	25.0	39.0	59.0	49.0	53.0	99.0	42.0	83.0	56.0	30.0	44.0	36.0	49.0	37.0	30.0	42.0	55.0	38.0	SecA preprotein cross-linking domain
PF07516.16	14.0	26.0	4.0	20.0	19.0	30.0	11.0	23.0	8.0	25.0	12.0	19.0	7.0	20.0	12.0	19.0	5.0	25.0	7.0	15.0	14.0	37.0	14.0	3.0	24.0	39.0	59.0	49.0	54.0	97.0	38.0	79.0	57.0	27.0	43.0	36.0	49.0	37.0	30.0	43.0	55.0	38.0	SecA Wing and Scaffold domain
PF02810.18	15.0	27.0	6.0	24.0	18.0	36.0	14.0	23.0	7.0	23.0	18.0	15.0	10.0	24.0	12.0	20.0	6.0	32.0	7.0	17.0	16.0	41.0	16.0	5.0	38.0	52.0	82.0	63.0	70.0	144.0	55.0	85.0	64.0	47.0	64.0	48.0	58.0	44.0	34.0	61.0	79.0	63.0	SEC-C motif
PF00665.29	8.0	7.0	25.0	17.0	23.0	20.0	8.0	9.0	8.0	15.0	10.0	13.0	8.0	13.0	12.0	3.0	25.0	15.0	1.0	13.0	9.0	19.0	8.0	3.0	73.0	136.0	163.0	243.0	282.0	467.0	195.0	258.0	378.0	45.0	68.0	14.0	148.0	142.0	95.0	44.0	106.0	35.0	Integrase core domain
PF13333.9	1.0	3.0	10.0	3.0	7.0	5.0	2.0	0.0	3.0	5.0	3.0	3.0	0.0	1.0	4.0	0.0	10.0	5.0	1.0	3.0	6.0	8.0	1.0	3.0	19.0	44.0	55.0	106.0	63.0	183.0	35.0	52.0	28.0	15.0	16.0	3.0	26.0	33.0	18.0	9.0	24.0	8.0	Integrase core domain
PF00872.21	6.0	8.0	7.0	4.0	11.0	9.0	7.0	12.0	6.0	20.0	7.0	12.0	2.0	5.0	11.0	7.0	12.0	5.0	3.0	3.0	7.0	8.0	1.0	0.0	42.0	51.0	115.0	44.0	180.0	136.0	68.0	118.0	64.0	31.0	28.0	10.0	87.0	88.0	36.0	27.0	110.0	23.0	Transposase, Mutator family
