FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c	Name
PF08455.13	1.0	0.0	0.0	13.0	1.0	16.0	2.0	4.0	0.0	1.0	0.0	0.0	3.0	5.0	5.0	9.0	1.0	35.0	1.0	1.0	2.0	1.0	10.0	2.0	4.0	9.0	9.0	4.0	9.0	7.0	7.0	19.0	18.0	2.0	5.0	1.0	4.0	3.0	5.0	1.0	9.0	3.0	Bacterial SNF2 helicase associated
PF00176.26	3.0	5.0	1.0	20.0	2.0	22.0	3.0	7.0	2.0	2.0	0.0	0.0	10.0	7.0	5.0	10.0	4.0	36.0	2.0	1.0	3.0	5.0	13.0	2.0	16.0	83.0	110.0	48.0	160.0	160.0	29.0	171.0	140.0	29.0	33.0	7.0	21.0	80.0	29.0	42.0	88.0	17.0	SNF2-related domain
PF00271.34	23.0	46.0	12.0	54.0	48.0	93.0	29.0	35.0	27.0	40.0	46.0	45.0	25.0	33.0	73.0	46.0	44.0	110.0	24.0	30.0	32.0	60.0	36.0	18.0	124.0	244.0	319.0	296.0	540.0	847.0	245.0	533.0	491.0	141.0	158.0	99.0	155.0	190.0	101.0	155.0	403.0	101.0	Helicase conserved C-terminal domain
PF01565.26	10.0	18.0	3.0	4.0	8.0	20.0	7.0	7.0	5.0	6.0	5.0	2.0	8.0	8.0	6.0	9.0	4.0	5.0	6.0	4.0	2.0	10.0	4.0	1.0	16.0	13.0	16.0	8.0	15.0	13.0	13.0	9.0	8.0	15.0	12.0	6.0	18.0	20.0	12.0	23.0	10.0	9.0	FAD binding domain
PF04030.17	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-arabinono-1,4-lactone oxidase
PF08447.15	18.0	44.0	4.0	7.0	5.0	55.0	7.0	11.0	10.0	16.0	1.0	3.0	13.0	21.0	17.0	11.0	8.0	27.0	12.0	24.0	26.0	30.0	18.0	5.0	58.0	47.0	50.0	20.0	23.0	45.0	72.0	47.0	50.0	63.0	35.0	30.0	36.0	7.0	29.0	50.0	48.0	38.0	PAS fold
PF00015.24	42.0	429.0	5.0	145.0	28.0	534.0	78.0	137.0	70.0	116.0	26.0	27.0	96.0	129.0	98.0	86.0	35.0	148.0	74.0	95.0	94.0	287.0	207.0	49.0	456.0	286.0	269.0	192.0	74.0	282.0	431.0	196.0	188.0	407.0	276.0	190.0	304.0	95.0	156.0	315.0	294.0	290.0	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF08448.13	14.0	38.0	1.0	4.0	7.0	44.0	5.0	7.0	9.0	15.0	2.0	3.0	7.0	12.0	10.0	7.0	6.0	12.0	7.0	19.0	22.0	23.0	14.0	5.0	40.0	20.0	36.0	19.0	21.0	23.0	39.0	42.0	36.0	34.0	16.0	14.0	24.0	6.0	17.0	17.0	43.0	27.0	PAS fold
PF00512.28	72.0	292.0	29.0	120.0	79.0	326.0	67.0	127.0	57.0	96.0	49.0	63.0	71.0	88.0	98.0	93.0	59.0	138.0	60.0	84.0	104.0	210.0	109.0	44.0	433.0	628.0	752.0	479.0	781.0	1413.0	650.0	800.0	853.0	394.0	342.0	163.0	352.0	364.0	250.0	439.0	779.0	241.0	His Kinase A (phospho-acceptor) domain
PF02518.29	126.0	491.0	46.0	204.0	140.0	556.0	112.0	190.0	87.0	171.0	112.0	114.0	115.0	183.0	169.0	156.0	102.0	223.0	119.0	162.0	192.0	384.0	235.0	71.0	671.0	861.0	1055.0	686.0	1069.0	1834.0	986.0	1113.0	1125.0	652.0	498.0	276.0	545.0	507.0	397.0	675.0	1069.0	403.0	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
