FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b
PF02779.27	13	24	6	19	31	25	20	23	22	11	17	20
PF02780.23	13	24	6	19	30	25	20	22	23	11	17	21
PF01554.21	20	44	9	28	36	54	20	22	21	16	48	20
PF01261.27	8	12	7	16	21	20	11	15	8	11	5	7
PF01479.28	26	77	11	58	38	104	22	31	27	40	28	58
PF02861.23	26	50	18	10	28	50	8	12	14	7	26	38
PF00004.32	25	82	33	40	41	92	19	32	49	38	58	100
PF17871.4	16	31	16	16	24	32	9	8	28	14	32	55
PF07724.17	22	67	18	32	37	80	17	22	41	34	44	70
PF10431.12	22	63	17	28	35	76	17	15	40	33	41	68
PF01370.24	5	12	4	8	4	11	3	3	1	3	1	5
PF13522.9	4	12	1	3	1	13	2	3	3	3	2	3
PF00156.30	11	28	7	8	9	30	1	6	19	10	10	21
PF18072.4	5	34	1	13	21	44	8	12	19	16	12	19
PF00586.27	6	20	1	5	5	23	4	3	5	8	4	12
PF02769.25	11	54	4	14	38	68	11	15	24	23	16	33
PF13507.9	5	33	3	11	20	44	8	12	18	16	12	19
PF01259.21	3	8	0	8	4	6	5	3	7	3	1	6
PF00128.27	52	134	15	85	43	134	47	52	70	83	43	100
PF02806.21	20	59	8	30	27	76	20	21	25	18	15	25
PF08240.15	36	36	3	18	17	52	19	15	33	14	7	33
PF00107.29	36	36	3	19	16	52	19	15	33	14	7	33
PF06541.14	3	8	0	3	0	7	0	2	0	1	1	2
PF02922.21	25	74	9	41	28	94	22	25	30	29	19	41
PF12848.10	4	15	4	6	15	13	3	13	6	9	6	12
PF16326.8	3	4	1	0	6	4	0	0	2	1	0	2
PF03577.18	1	4	1	6	3	3	0	2	3	0	5	4
PF11797.11	0	0	0	0	1	0	0	0	0	0	0	0
PF01018.25	1	8	0	4	3	14	0	0	2	0	7	3
PF01926.26	20	43	12	25	22	61	12	16	26	19	25	35
PF09269.14	1	7	0	3	3	14	0	0	2	0	5	3
PF00171.25	30	73	4	98	51	68	63	22	33	36	14	38
PF00696.31	13	23	8	19	14	41	11	19	21	16	18	34
PF02881.22	5	14	4	6	12	22	4	3	6	13	9	9
