CycID	BH.Q	ADJ.P	PER	LAG	AMP
PF02580.19	1	0.898239271017049	20	18	0.324597913218431
PF13580.9	1	0.551671075837743	24	22	0.04375465297615
PF00367.23	1	0.898239271017049	24	2	0.370882575410255
PF01418.20	1	1	20	8	0.335843129278284
PF13238.9	1	1	24	18	0.0774513293834569
PF06736.14	1	1	0	0	0
PF01183.23	1	1	20	0	0.408471426988593
PF01643.20	1	1	20	0	0.18823961763541
PF00478.28	1	1	24	0	0.0976333994654571
PF00860.23	1	1	20	12	0.218526201204888
PF13419.9	1	1	20	18	0.955210742875308
PF00588.22	1	0.312045855379189	24	0	0.198706702831666
PF00186.22	1	1	20	4	0.191879497304134
PF06689.16	1	1	20	6	0.281011009779533
PF07724.17	1	0.455602586713698	24	2	0.174381054461516
PF10431.12	1	1	20	18	0.509739016011967
PF01926.26	1	1	20	4	0.811344711727302
PF02152.21	1	1	0	0	0
PF01288.23	1	1	0	0	0
PF01227.25	1	1	0	0	0
PF01712.22	1	1	24	6	0.106044665632647
PF03447.19	1	1	20	0	0.227950629657834
PF00742.22	1	1	20	0	0.227950629657834
PF01565.26	1	1	24	6	0.0810946859988365
PF02873.19	1	1	20	18	0.131444514454796
PF08402.13	1	0.13380658436214	20	0	0.249224906108803
PF00528.25	1	1	24	22	4.19381004703543
PF13416.9	1	1	20	18	0.974425250254245
PF01553.24	1	0.898239271017049	24	0	0.447433582849327
PF00122.23	1	1	24	6	0.237723086087416
PF01594.19	1	1	20	18	0.545768902115985
PF13424.9	1	1	24	6	0.0882400469418583
PF02525.20	1	1	24	6	0.118782360436173
PF02776.21	1	0.312045855379189	24	0	0.402952233344277
PF00205.25	1	1	20	4	0.200233332798044
PF02775.24	1	1	24	22	0.314005302047411
PF07517.17	1	0.207574955908289	20	4	0.105074728115198
PF01043.23	1	0.207574955908289	20	4	0.105074728115198
PF07516.16	1	0.207574955908289	20	4	0.105074728115198
PF02810.18	1	1	20	6	0.768763073087336
PF13276.9	1	0.455602586713698	20	12	0.38783163036992
PF00665.29	1	1	20	16	2.59629922679192
PF13333.9	1	0.455602586713698	20	12	0.26902692028026
PF00793.23	1	0.647739564961787	24	18	0.234891839098288
PF11797.11	1	0.13380658436214	20	8	0.0583602191500719
PF00381.22	1	0.898239271017049	24	4	1.11328406459532
PF00872.21	1	1	20	16	1.86668023346154
PF08206.14	1	1	20	4	0.132838409686695
PF17876.4	1	1	20	4	0.124329546806128
PF00773.22	1	1	20	4	0.124329546806128
PF00575.26	1	0.647739564961787	20	0	2.22260462383089
PF00155.24	1	1	20	18	1.02310370822848
PF13393.9	1	0.312045855379189	20	10	0.298655556452624
PF01634.21	1	1	20	4	0.20461455806721
PF00815.23	1	1	24	0	0.0891972302590544
PF00475.21	1	0.383824221046443	20	6	0.231074077942871
PF01636.26	1	1	24	22	0.126133072484077
PF00117.31	1	0.898239271017049	24	2	0.327158336258427
PF05524.16	1	1	20	6	0.184816251834718
PF00391.26	1	1	20	0	0.399909569498786
PF02896.21	1	1	20	18	0.384563495161173
PF00977.24	1	1	20	18	0.231483079692015
PF02811.22	1	1	20	0	0.714124357962665
