FeatureID	Name	rab.all	rab.win.FT	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	diffexpr
PF13561.9	Enoyl-(Acyl carrier protein) reductase	8.26562190669407	8.86567276808024	7.68753336081936	1.08036103190159	0.60616750341396	-1.07780442996225	0.208666683002966	0.0165692168952217	0.08649976677835	0.0678537462537463	0.207905361367061	none
PF08240.15	Alcohol dehydrogenase GroES-like domain	7.93784348282538	9.59090464540569	7.03127141209176	2.44134284666806	0.993377698493723	-2.35279254615042	0.0219855486673902	1.67342453562763e-05	0.00182597636311901	0.000788011988011988	0.0124634381880862	up
PF00107.29	Zinc-binding dehydrogenase	7.9038342120215	9.59063273757957	7.01867995428991	2.50767535801616	1.14501383520364	-2.25121809700651	0.0213193327233724	2.12386074105675e-05	0.00199216623190502	0.000792007992007992	0.0124885972041763	up
PF12698.10	ABC-2 family transporter protein	7.39183480766326	6.98630474644443	7.6136713326917	-0.540078491557789	0.757791701070435	0.575985951581891	0.267155240844119	0.337668312437491	0.575327834923559	0.165267532467532	0.365118475312146	none
PF01264.24	Chorismate synthase	5.16540370992359	5.39621522118161	5.0681670044811	0.277402093562244	0.507149909162137	-0.482509343799041	0.292000009315869	0.227622739836563	0.439462186802289	0.252639360639361	0.449336788415988	none
PF03703.17	Bacterial PH domain	3.41117874217335	2.932033929457	3.56879847190186	-0.525150448728705	1.34486479128745	0.333029174577574	0.338666673336384	0.296898599587169	0.531404001721422	0.370793606393606	0.582639742900437	none
PF07905.14	Purine catabolism regulatory protein-like family	4.21175944057972	6.09082461926434	2.23076280994802	3.5453900022966	1.29837862905161	-2.50154640283385	0.000672920018806483	1.04111050327481e-05	0.00152549915527366	0.000414785214785215	0.0100306966260958	up
PF17853.4	GGDEF-like domain	7.8493793563099	8.63919999647572	7.37406015778165	1.10612340936107	1.16645530535599	-0.832730934231675	0.261159238627766	0.0496473432646849	0.179905948201481	0.151756243756244	0.346409940805999	none
PF13556.9	PucR C-terminal helix-turn-helix domain	7.40375386358404	8.38132643175791	6.96744567207824	1.32462038292051	1.06676590786925	-0.956353660152533	0.243837454552399	0.0268307245477358	0.119828479492735	0.112792807192807	0.287060247116807	none
PF13649.9	Methyltransferase domain	7.39894117131145	7.71596168071739	7.18006238267258	0.535415924051913	0.819080146965399	-0.603399677001415	0.266000011097222	0.187492209397777	0.411995834330835	0.166611788211788	0.366691714158053	none
PF00092.31	von Willebrand factor type A domain	6.62224930786314	6.07546409006293	7.28481481020221	-1.04599449719711	0.943951624627855	1.11528885219497	0.134000029203452	0.00840126059581467	0.0537035078472236	0.0158937062937063	0.077929042211591	down
PF00144.27	Beta-lactamase	7.28530504689672	5.02409060672067	7.56933043997973	-2.56649990872561	0.627642090220177	4.19580930218291	4.67861010389608e-05	1.41814644175318e-06	0.000658316047645332	0.0003996003996004	0.00993774626741887	down
PF07732.18	Multicopper oxidase	0.222493366524589	-1.95044148198286	1.31754823398001	-2.79451228919798	5.52207835127761	0.424902218661745	0.301798809497187	0.374876906138733	0.587154378518688	0.256493906093906	0.464095543054465	none
PF00394.25	Multicopper oxidase	-0.701781040399181	-2.81432465701506	0.667620957553041	-2.87900674808636	4.35606344955097	0.615702391857728	0.239840119790646	0.170584753977033	0.34168216503542	0.136451548451548	0.293775178588411	none
PF07731.17	Multicopper oxidase	0.369568571609689	-2.04039653051221	1.3183658834367	-2.93700491026351	5.4301587649899	0.484842844833792	0.294000009189488	0.357206715893217	0.572734690933404	0.235816983016983	0.440542284787424	none
PF00795.25	Carbon-nitrogen hydrolase	7.43701939610945	7.39935916483058	7.45093152902674	-0.090428766131736	0.611399059659852	0.158159423261753	0.412000003363445	0.604366905155235	0.783210638798708	0.672713286713287	0.816681603044479	none
PF00672.28	HAMP domain	10.9790602684694	11.4578514764126	10.5198693036909	0.748670853413838	0.766043257450923	-0.834162053726158	0.215856111459035	0.069322934140883	0.224251434193327	0.0819036963036963	0.233242932524304	none
PF01966.25	HD domain	10.7652842453452	11.4253092793807	9.8383126250485	1.52264999456123	0.947380367795581	-1.45765823211217	0.0772818669404057	0.00125646199407524	0.0151443052662009	0.00490549450549451	0.035079710649194	up
PF00587.28	tRNA synthetase class II core domain (G, H, P, S and T)	9.84348001457213	10.2440530378016	9.39419527926594	0.792487869661904	0.464423682849321	-1.72995091404035	0.0333334674308612	0.000326122129701947	0.00675215325753271	0.00128271728271728	0.0154931927302768	up
PF04073.18	Aminoacyl-tRNA editing domain	6.11864364792448	6.22816823364489	6.0727688754921	0.27642973806692	0.771558440914881	-0.350513638625278	0.331112598656842	0.373924008772302	0.601250222824229	0.331330669330669	0.542173436380454	none
PF03129.23	Anticodon binding domain	9.44704055746362	10.0536862091493	9.17639999057597	0.845472481347733	0.362420305053014	-2.3925985351186	4.67861010389608e-05	6.40909834678567e-05	0.00302497164133569	0.000407592407592408	0.00999176368257427	up
PF01648.23	4'-phosphopantetheinyl transferase superfamily	4.81177712624764	5.01217500051368	4.69680437414561	0.344260281527276	0.943868087542262	-0.315944048297144	0.331333340382384	0.472013224566866	0.681889950077042	0.354306493506493	0.569009442774818	none
PF01134.25	Glucose inhibited division protein A	6.69481903425287	6.28262995591259	6.72802358618758	-0.434970767968875	0.534919632925179	0.726720996687231	0.293137917292776	0.121481510014521	0.315683161353727	0.215457342657343	0.428902098725511	none
PF03738.17	Glutathionylspermidine synthase preATP-grasp	0.98788574696137	1.52308396813747	0.311468224295275	1.04614207197195	2.82436655685641	-0.295568098893029	0.323333340809957	0.438170439897633	0.619872203959313	0.319774625374625	0.527314071445136	none
PF00005.30	ABC transporter	13.3067474310848	13.9822317886382	12.7964037007026	1.0148830636707	0.800225757368301	-1.00263543386298	0.206000016643155	0.0189421453371803	0.0949694646832523	0.0742921078921079	0.21918380360222	none
PF12848.10	ABC transporter	8.39780989957518	8.39608547810035	8.39780989957518	0.0774642758527779	0.477421957543624	-0.156176492015126	0.473017989008912	0.596596468551325	0.778798707261605	0.912648951048951	0.958478033804675	none
PF16326.8	ABC transporter C-terminal domain	5.94630915373655	5.89080571465086	5.98630166034511	-0.046604210376846	0.658497619556201	0.0659003872450768	0.471333334398563	0.874137851678167	0.939690447427734	0.841986013986014	0.920158121516872	none
PF01513.24	ATP-NAD kinase N-terminal domain	5.25657251570391	5.77113095093968	5.10796164961516	0.721968394251763	0.716888063058832	-0.95799631370502	0.150566314404717	0.0255619251513143	0.110634052759309	0.0309506493506494	0.113080724265808	none
PF20143.2	ATP-NAD kinase C-terminal domain	5.20516536404037	5.75858520947658	5.03584150705998	0.762100824100442	0.698551770629547	-1.0295106940408	0.122584975818035	0.0150138250649236	0.0767576885600747	0.0177166833166833	0.0778872335248871	up
PF12419.11	SNF2 Helicase protein	4.74695587199906	5.57865438360167	2.32197560512164	3.00241673642439	1.75034845300483	-1.28027950848037	0.118000033985092	0.003165799414992	0.0280424964890415	0.012210989010989	0.0649749679097727	up
PF00176.26	SNF2-related domain	8.88318909620563	8.50155876710464	8.99438571552548	-0.446378236523334	1.22025101464824	0.329702604945779	0.350433050712716	0.865458433844207	0.93725546905798	0.388411588411588	0.614312065477939	none
PF00271.34	Helicase conserved C-terminal domain	10.860988676877	10.8356306647625	10.860988676877	0.123849143083804	0.642077676589479	-0.189876081659976	0.403730849800456	0.49200542727122	0.706790581889985	0.606431968031968	0.783465945616181	none
PF10646.12	Sporulation and spore germination	5.97349244312206	6.77517453039375	5.52366337568937	1.10268216938737	0.941409269856583	-1.06026256154541	0.0966667094342541	0.0120538899867222	0.0691252787517364	0.0096983016983017	0.055604332048286	up
PF00977.24	Histidine biosynthesis protein	6.51310338180176	7.01101693771774	5.96400017160292	0.86427715503595	1.11312088027512	-0.842319821997671	0.174000021002175	0.0308356679390714	0.130154377805846	0.0440663336663337	0.153417471185966	none
PF01205.22	Uncharacterized protein family UPF0029	4.39669513244325	4.07738257291126	4.46557298086099	-0.345850059040028	0.780241906079657	0.396605854855633	0.325116596310885	0.278879650386091	0.505192217086056	0.345205194805195	0.543769347179194	none
PF03806.16	AbgT putative transporter family	2.33506471669988	2.41647706537134	2.2900921659546	0.0640502421341811	1.70387052404601	-0.0343330336558604	0.481333334025656	0.823718655001741	0.912485891157849	0.744314885114885	0.85832145589971	none
