FeatureID	rab.all	rab.win.FA	rab.win.FT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF08455.13	1.55554584225378	0.533080360883982	2.24544592391182	1.63559449445089	3.34146057930099	0.412343196680092	0.296567812985554	0.103549505991589	1	0.118808718136084	0.997176682807257
PF00176.26	2.39547807781418	1.90902087235524	2.84373887359952	0.991944423554272	2.43584606079775	0.347988242724949	0.323000001873692	0.163544190304426	1	0.191389095895355	0.999221962084989
PF00271.34	5.51249322239403	5.45946974215336	5.55511941622268	0.180426731578552	0.672668409715529	0.251468809356237	0.389536822134221	0.326310338851452	1	0.433051337274921	1
PF01565.26	2.92031412600147	3.0766553032836	2.74931791899471	-0.284671947125427	1.41982824397292	-0.17841650794072	0.412862380038479	0.509240737264393	1	0.517037447543707	1
PF04030.17	-1.69547915227484	-1.588151674324	-1.80611293548719	-0.207526317710757	4.29876988550113	-0.0370663938611828	0.47766666687387	0.690264930086986	1	0.704496764239933	1
PF08447.15	4.13309776053155	3.57745141884281	4.39278135093905	0.777245241586059	1.4844295425965	0.438709466043875	0.291333335672909	0.0739841507858078	1	0.104722699430062	0.998488937038272
PF00015.24	6.91743221530645	6.74490175971507	7.01373381365676	0.445203582625723	1.57122913184784	0.277818352335741	0.360879708159727	0.166878090588676	1	0.239211431589006	1
PF08448.13	3.5843164774632	3.2000901758468	3.76385548534632	0.586931777664316	1.56185773310008	0.340986519007217	0.356333334783289	0.18874995609135	1	0.277302410068058	0.999475119532059
PF00512.28	6.77793112169096	6.63656612940182	6.83567854400762	0.191197930545864	0.643866171715697	0.244183903901896	0.385333334454002	0.529200424385734	1	0.369574978662474	1
PF02518.29	7.56844839715053	7.41410708227889	7.66321934481242	0.267880708801653	0.638071924249978	0.373465680422586	0.337887372552628	0.314410597605132	1	0.189296809799435	1
PF01025.22	1.92859571384178	2.1394587935553	1.68642239754404	-0.636244705702885	2.55613448672346	-0.198432264119318	0.374666667904968	0.322751814228731	1	0.392003687657073	0.999667713218425
PF00012.23	6.35613395491313	6.22939846914597	6.49297978227278	0.253806979371057	0.86228976959197	0.24738866140803	0.365878041990381	0.381381077747835	1	0.245736713414463	1
PF06100.14	-0.537886230387451	-0.565812012121174	-0.510813794253776	0.0704595296412016	3.97058814019331	0.0151717125406335	0.49083638795553	0.742658625415019	1	0.744717979288177	1
PF00359.25	2.4203004485772	2.32928720129831	2.59962389305185	0.24301307176478	1.98903143658084	0.0977413484375334	0.455333333750241	0.812944758724382	1	0.652196172114331	1
PF02302.20	3.35580936850341	3.38045578112564	3.31855009548465	-0.309640657730991	2.27693933070236	-0.10976053969309	0.442333333874482	0.390906833840407	1	0.641180917077269	1
PF02378.21	5.21103616765651	5.00056750922906	5.44507654278424	0.441087484781592	1.04214497643669	0.384234345058058	0.326000001833108	0.244659912133435	1	0.173577225574264	1
PF04167.16	-0.522497356259455	-0.239479955509165	-0.816801911865056	-0.528427544540006	3.84556597798332	-0.115076937015296	0.42933333400099	0.602752928073552	1	0.587465736444199	0.999584992713274
PF00521.23	4.126724384286	4.51730786242298	3.80615891502629	-0.695146896821894	0.928546854299989	-0.678212704457972	0.217666670504575	0.0361045330190576	0.987735500637549	0.0394489519095792	0.959641205225327
PF03989.16	6.41822685032701	6.88772554731382	6.08187805610704	-0.730101735575962	0.835077289140886	-0.82118061467494	0.193602137162429	0.0104548270886212	0.998744305464652	0.0132379211850204	0.97616082524467
PF01544.21	-0.5122547291132	-1.13327826019652	0.0343939302170364	1.06635878093719	3.81399427772179	0.242612644136892	0.367210931012052	0.387837867113965	1	0.35081726350107	0.993936771133686
PF00471.23	1.5348088915703	1.66045104403739	1.40930618416248	-0.209108859091267	2.23944017722382	-0.0719793517173176	0.458000000391653	0.647590213038669	1	0.65536000585765	1
PF00122.23	4.18085513632122	4.29678886132832	4.05499326013905	-0.253401745032025	0.87798504376694	-0.263232985090757	0.37366666791619	0.447992145794444	1	0.401261692002976	0.999914976021467
PF00702.29	4.14558752549177	4.18664392574275	4.10938255786949	-0.067683355474589	0.86180527656922	-0.0701851551489478	0.466666666976686	0.748631209890223	1	0.704571643056096	1
PF10543.12	-0.475774406770796	-0.340550215708302	-0.620864957355909	-0.196552710335193	3.79283596166876	-0.0478719514283723	0.47566666689251	0.692603695595546	1	0.716519542511601	1
PF10552.12	-1.74789322815624	-1.67836729424869	-1.80347639363195	-0.194832241579216	4.11230413263668	-0.0379195102521168	0.480333333515715	0.713460162279695	1	0.729801490742398	0.999547948839807
PF00692.22	0.906918525356736	0.698647388443993	1.12758004133461	0.521332571911549	2.3981449931515	0.170023628236648	0.397333334325795	0.357559504524012	1	0.451692473363223	0.999355245447114
PF06605.14	-1.34949291456103	-1.32682764816304	-1.36344771979371	-0.0659424045954067	4.27728202496455	-0.012216061561933	0.492502499236335	0.751759873104699	1	0.773102384625739	0.999896582255504
PF18013.4	0.265079906429809	1.11371682808876	-0.605664025875009	-1.53475136183281	3.86029045527523	-0.346452307078381	0.314000001998828	0.27262623530306	0.999688205807642	0.197107618051621	0.995096677631113
PF01551.25	3.7166893342004	3.71181718297571	3.72060957949949	-0.166131701307497	1.27225582711521	-0.110619755735262	0.448183939171768	0.576676536905282	1	0.679175009134088	1
PF01521.23	-1.469301743874	-1.42547177056067	-1.51568024797237	-0.0652689774259478	4.28240792178619	-0.012652518778637	0.492666666734582	0.738586194982679	0.999614143542246	0.747802790963243	0.999085427089473
PF08282.15	3.35416988569596	4.05725390048044	2.81956550501961	-1.08932604868747	1.68597848018007	-0.551166112122546	0.244918363737219	0.113277629344973	1	0.0501372243317324	0.995357081017764
PF01219.22	-1.18852536040349	-0.854447718548349	-1.50458707780599	-0.590936601061802	4.24526282826133	-0.113863781667024	0.435188271186432	0.597462709065651	1	0.596229767809254	1
PF00654.23	0.429418024213578	0.683995650661101	0.172103192898154	-0.526166277694643	3.31868727010303	-0.126358475052607	0.418527158388566	0.605863084603886	1	0.562999505945663	1
PF17767.4	1.77735962399989	2.18266935463433	1.29869300000084	-0.89472224149971	2.01621223310888	-0.391108711904523	0.294333335625473	0.14120615447633	1	0.173177426154408	0.991968486404728
PF04095.19	1.76557972167528	2.1852256581313	1.24999263559295	-0.929102639107384	2.03252245596791	-0.394847737904443	0.290000002360909	0.136935430665294	0.9995461123616	0.167747125535657	0.988684493996319
PF17956.4	1.73362719657535	2.10424996610362	1.28212313635987	-0.807392990024675	2.23200259501888	-0.299815901886443	0.329556816179691	0.314483621331719	1	0.254249208995339	0.999396610147155
PF00583.28	3.43214225683801	3.42445000960945	3.43621909389633	0.0663562706695817	1.20041573662461	0.0432124707959154	0.480506498014705	0.61976831951933	1	0.729735856954998	1
PF00005.30	8.76887604651604	8.67683873495583	8.86995710494781	0.17988069946872	0.593305142176416	0.292420045740955	0.348000001550719	0.23795785262618	1	0.23122918500264	1
PF02687.24	6.7105777140406	6.77483115157804	6.68058305210611	0.049589962700165	1.26498959341623	0.0335304488008381	0.482333333497118	0.687804033697197	1	0.835686765112664	1
PF12704.10	3.91461223668481	3.78199567519113	4.05128777143357	0.237496910825733	1.2041547029092	0.176483165704387	0.417527491620856	0.525411992494432	1	0.514260493847248	1
PF08245.15	3.91136165322071	4.13595158324637	3.60872572160249	-0.488499263148572	0.941216763119352	-0.468046172721727	0.289333335704967	0.140731646018516	0.998664957498602	0.142312342926961	0.991571159074032
PF08353.13	0.68129505289498	0.708660844220018	0.634817766899336	-0.113522462942183	2.95659037174395	-0.0321464547577397	0.481506164783156	0.651782864848661	1	0.766850805944627	1
PF13328.9	3.38945059057965	3.47312203048461	3.30878722005831	-0.161707246276309	1.30258511126611	-0.11120831190322	0.442185938562867	0.650034550674642	1	0.652682750551373	1
PF04607.20	4.14173806101295	4.19771937872884	4.0808616049791	-0.117529346472628	1.13674285314513	-0.096876618209665	0.456666667070938	0.634458907418389	1	0.6952098547569	1
PF02824.24	3.99732454200681	4.0269359142416	3.97442210480472	-0.101043639561443	1.1332933115158	-0.0827675597994168	0.460000000372756	0.725787859964201	1	0.736283785402913	1
PF19296.2	2.95740743149572	2.90632644991435	2.98580823875812	0.16012661298091	1.44021156361493	0.0911353937659987	0.449666667137487	0.594219854492844	1	0.663252696959791	1
PF13291.9	3.2815615376887	3.3687804532256	3.20854142897319	-0.128620417010186	1.35333104651994	-0.083862525756002	0.454515162037183	0.782367696699622	1	0.700360193716635	1
PF13460.9	-1.24955982658895	-1.20339138021868	-1.3001536724104	0.0419248433614872	4.31262938805276	0.00814454243728236	0.495834721797958	0.754483363307569	1	0.761515394821896	1
PF13520.9	0.838799451849289	1.13885605901452	0.405614058473251	-0.854370554531626	3.04358502919554	-0.246902614230977	0.374875042887926	0.258330692066974	1	0.389813871684918	0.999780294618174
PF00580.24	3.46418218074472	3.37189478438561	3.56858122297132	0.19353404300743	1.14655649075212	0.122752297175571	0.422192603203671	0.767183200988363	1	0.540367890018179	1
PF13361.9	3.63967681392735	3.66085850903604	3.62017470073181	-0.0566930082059152	1.09619317023731	-0.039240763597848	0.478173942221671	0.761818619325814	1	0.753465727568972	1
PF00890.27	4.19378809373508	4.11431603721604	4.24947892113067	0.186752491713419	1.0667604507567	0.155571397845542	0.42233333407025	0.452658031274759	1	0.528034526114618	0.999783116802433
PF00056.26	3.50343601757169	3.79134157749449	3.28809703799331	-0.441095724745716	1.53392810801104	-0.240386992231642	0.384000001135174	0.574878590590713	1	0.38351599389976	1
PF02866.21	3.50683447545107	3.79983848160664	3.28540679440819	-0.461567844079636	1.52869232989102	-0.259487522507125	0.378000001201141	0.570956244931836	1	0.37856357991181	1
PF00478.28	3.79721073487062	3.963786288892	3.69325037787527	-0.195019133819318	1.10794769920539	-0.157362314863281	0.4246666673804	0.685943640168281	1	0.567533901150673	1
PF00588.22	2.11261820347075	2.6024100226458	1.67077936362875	-0.920084344845061	1.66482969481116	-0.483521622217777	0.271576143957352	0.128709644929774	0.996712649918159	0.118493078062064	0.985205696735269
PF01288.23	-0.954926021652918	-0.740088306365652	-1.21982189934098	-0.474576041400219	4.04009160227351	-0.0990253228833197	0.447517494659646	0.618592480023336	1	0.6194600474233	0.999514520118908
