FeatureID	rab.all	rab.win.FA	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF08455.13	0.754839468022673	0.360639067096802	0.874930499390633	-0.340150320724891	2.79320660162255	0.0949742829970778	0.449700201746251	0.558799868560265	0.995559462279401	0.659351448551449	0.970401129888624
PF00176.26	3.33583433693762	1.53672715384053	3.96518529659186	-2.48144548233817	2.29799270990309	0.993783701138817	0.0672885381042418	0.0421217495315627	0.603734666204687	0.00522757242757246	0.0982099665091655
PF00271.34	6.01994833324675	5.72237232510179	6.16942451041546	-0.479951727370191	0.517205245910436	0.908703545894514	0.11792141970925	0.0222582335508812	0.445932081876575	0.0250245754245754	0.224098122300392
PF01565.26	2.87045832988473	3.00981508036394	2.78922664672695	0.212822329157227	1.17406185428883	-0.155644597037643	0.429333336003963	0.684156802130972	0.980904454332228	0.642032367632368	0.977705990315955
PF08447.15	4.10278050278361	3.64109865216828	4.25667523260817	-0.604083375998896	1.60559603398081	0.371291354700704	0.277148577907692	0.233962240419731	0.971865893068034	0.208286913086913	0.686615601483908
PF00015.24	7.04509556194971	7.00503430923819	7.06641669920308	-0.136441557011126	1.28994714555896	0.102322876353577	0.427714859492894	0.420877459623845	1	0.604082317682318	0.998502073127901
PF08448.13	3.38092419503229	3.236111073056	3.43006336330049	-0.145397969058973	1.39751405808577	0.0971099950358628	0.458361094155813	0.658960427144516	0.998570524398616	0.711418581418581	0.988182093704243
PF00512.28	7.2933565835387	6.7318591436643	7.42224744365168	-0.707573514218318	0.572843160003393	1.1771461707127	0.11200003612238	0.016197011264835	0.444653198091957	0.0102609390609391	0.156121947851588
PF02518.29	7.96392872999896	7.4889676971754	8.06963227261513	-0.563374869426185	0.394235485435568	1.29822162511027	0.0880000475329704	0.0112520576105636	0.379307403087735	0.00689950049950053	0.119577720207081
PF01025.22	2.75391489242894	2.89368338435878	2.63784615522788	0.120612915743244	1.72181610524024	-0.0704376742481196	0.47035309903515	0.830795510329831	0.999183240107204	0.798444355644356	0.998100045029922
PF00012.23	6.69665372134854	6.59705024780016	7.36717549568853	-0.70822611161929	1.18532731831939	0.409304186191296	0.379333338078856	0.563755753526337	1	0.435260739260739	1
PF06100.14	1.26617188303776	0.422854200494987	1.81600953124123	-1.45440484211257	2.56126785591614	0.498836028063501	0.260000011550008	0.228281196183896	0.903203005824381	0.163154045954046	0.642412584070883
PF00359.25	2.10025695036491	2.99101248002746	1.15904852955446	1.77106333600287	1.98898124405334	-0.78437175854568	0.133333362713645	0.0300657830344251	0.459544894204489	0.0316987012987013	0.426252263663675
PF02302.20	3.26128182311593	4.93382978389214	2.30718539739311	2.84508159308195	2.39459036774914	-1.10722457985318	0.067954759945389	0.00857200027556508	0.284008208092839	0.00624655344655345	0.244643552811968
PF02378.21	5.1222384394172	5.52180842597818	4.08372386663704	1.18115071336388	1.77830951708435	-0.647779656234707	0.253333345407786	0.105366461601854	0.789049363247164	0.138658141858142	0.867218220071133
PF04167.16	-0.757248486233123	-0.421899718277972	-0.974332837909313	0.515232425099795	3.99449181910285	-0.107119598369948	0.437708196877331	0.67827743666129	0.974384743148789	0.685474525474525	0.980342821536462
PF00521.23	4.57827753833109	4.80428218991886	4.53801272993923	0.304022227596468	0.876493968061969	-0.30942294861322	0.384666671178323	0.585447836371395	0.989186588874285	0.565156843156843	0.991437658385418
PF03989.16	6.7599582058257	7.20385748292595	6.48301606669922	0.470150066104094	0.9091706468793	-0.41935369667005	0.368421057860494	0.368809408633673	0.998303573268228	0.4416	0.998812469099077
PF01544.21	0.195039546678984	-0.458632867353594	0.553968325246643	-1.01091619957222	3.46754348700863	0.234849885619054	0.364666672075246	0.496308020746547	0.974976957339416	0.413818181818182	0.875870341246464
PF00471.23	2.24437901343639	2.07289856099212	2.37872047706648	-0.388864037544163	2.30360682141227	0.123873480828096	0.416000003201469	0.695809190133544	0.998996836679187	0.587241158841159	0.975044069226581
PF00122.23	4.74265986987474	4.59901469714528	4.86769747975247	-0.226667938003588	0.753272024524222	0.278437796552164	0.365756167909403	0.361567813173466	0.959487199229696	0.419506493506493	0.895945670579028
PF00702.29	4.67638580993712	4.51678225164266	4.90445621249293	-0.321803306249642	0.847941260221614	0.364538766212237	0.332445043623722	0.312846829971407	0.949953357267757	0.347734665334665	0.871624760336146
PF10543.12	-0.436115440720315	-0.371786411580796	-0.459493331235744	0.135865905689135	3.74084006206769	-0.0295854291411798	0.481333334025656	0.744874367940367	0.98665607394081	0.762646953046953	0.98770705112106
PF00692.22	0.897539241845428	0.465984421224893	1.11479299866899	-0.823721372621232	2.75834452141399	0.248501635186784	0.358666672355798	0.390309762217518	0.980486105690579	0.43474005994006	0.894666641204219
PF06605.14	-0.669972145618034	-1.10330990093366	-0.425436097837586	-0.96954863678867	4.30098941154187	0.198869203786019	0.403333337052597	0.553088596087201	0.980144043758342	0.526796003996004	0.920220710010905
PF18013.4	0.775149937817133	2.22277933264144	0.0161375219510544	2.06021174444607	2.99366465108104	-0.580527706997646	0.213333349149593	0.170990378598907	0.716839284047128	0.103323876123876	0.664875770917041
PF01551.25	4.23375295771322	4.00198035451504	4.37132540549567	-0.313228385545361	0.968421287932204	0.300197475736762	0.36175883298481	0.430350783076909	0.983521848444	0.397814185814186	0.92158067236783
PF01521.23	-2.03666004738567	-0.999015052524868	-2.64807989868901	1.54077769448662	4.14673982466317	-0.319582857478307	0.339107268463884	0.419533489687977	0.863011195387748	0.426820779220779	0.877715003140955
PF08282.15	3.65563174405181	4.62718757885826	3.30683738330411	1.15272797995959	1.25046926153497	-0.594400580205901	0.263157906031298	0.432692200878131	0.963069772617768	0.148223776223776	0.892931398846921
PF01219.22	-1.00190088407089	0.412039287401572	-1.9536503504016	2.26647792077613	3.47838637378013	-0.569187750260436	0.227333347706512	0.201521450444072	0.71834807021796	0.165978021978022	0.706712574669798
PF00654.23	1.46781456521077	1.44354638710242	1.47509554771796	0.0748568889386707	2.11003138415867	-0.02764555341394	0.483677548905506	0.754859239867258	0.993835144490211	0.799451348651349	0.991739047542595
PF17767.4	2.33933825217682	2.49772984550943	2.26713581854071	0.270219709459274	1.21540785736096	-0.205646887971146	0.407333336887512	0.567232389173829	0.953472271825574	0.589365434565435	0.953216938124898
PF04095.19	2.26882504734459	2.48177501048166	2.16291188927793	0.336762198409159	1.2504588750366	-0.257939455771995	0.37508328274276	0.500592252374416	0.922750146512734	0.53565034965035	0.923539975676471
PF17956.4	2.20814083222449	2.45577181592123	2.09017275540868	0.389888571094434	1.47251540592109	-0.221895667533673	0.371752170300835	0.531499353093215	0.959797113734971	0.517383016983017	0.94808646562287
PF00583.28	4.36605350523705	3.45262218644873	4.71832869872535	-1.31233699947461	0.95021925621501	1.28795690589157	0.0600000722350049	0.0142908764546693	0.381172514676721	0.00535624375624379	0.0927657214490486
PF00005.30	8.9875567683532	8.80850519843461	9.2235762188621	-0.443828778750488	0.649878011954573	0.606000875862771	0.2245170033051	0.046902408099886	0.681567129181243	0.0789226773226773	0.545714512396015
PF02687.24	7.27249994800093	7.05519455061491	7.41456319955519	-0.370157785054948	0.896460479440298	0.350286005606955	0.347333339568994	0.298456541417765	0.997649851371732	0.318955444555445	0.967898416428982
PF12704.10	4.63741563088695	4.0175702243674	5.03149461087227	-1.04884190028633	0.82139545277807	1.21396396303675	0.0886667138003665	0.0076461501132144	0.288460150424488	0.00788251748251751	0.124192590006132
PF08245.15	4.70160777065711	4.52230790904978	4.77395862502638	-0.255410330489336	0.670009787402543	0.350003029599271	0.339773490948412	0.31611415816134	0.953229670882864	0.334747652347652	0.807308928531265
PF08353.13	0.341860532472277	1.26563410419615	-0.298198642170776	1.55793047426856	2.13172694940607	-0.640940738454612	0.21319122167346	0.134360323516038	0.664148916957262	0.149902497502497	0.675250271456658
PF13328.9	3.94349186145643	3.92508371078596	3.94972583308901	-0.123144233572471	1.13593960217941	0.0902894185933431	0.453333335076917	0.570708398137338	0.999122678344235	0.70397002997003	0.990898405665762
PF04607.20	4.43146420908278	4.39616246805323	4.45197081002738	-0.109288316708622	0.732973488445305	0.129296549963641	0.436666669050594	0.636211384477178	0.99162909690329	0.650230569430569	0.96963503744582
PF02824.24	4.67573721326451	4.46836294734984	4.720042866169	-0.27729444417516	1.03902620596982	0.258389710766121	0.407728184745777	0.398599500199985	0.996249700860347	0.520775224775225	0.97521926572603
PF19296.2	3.53306890562865	3.38808026683308	3.61092757861462	-0.349228848078039	1.31231883890064	0.221344041189722	0.37508328274276	0.347771913442924	0.990341458837843	0.458677722277722	0.930022222240833
