FeatureID	rab.all	rab.win.FT	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF08455.13	2.57589499252691	3.45746143587023	2.1942464879725	1.26253255476693	1.70665768484231	-0.693674767231093	0.214000015743663	0.16339631653351	0.68743411645137	0.121314685314685	0.598223873566718
PF00176.26	5.08222283542756	4.10676563935361	5.81350994352429	-1.38784349645513	1.54795988824248	0.853503480912785	0.169886763817166	0.0490628698876792	0.47468524576425	0.0408951048951049	0.2671158122631
PF00271.34	7.24000635091466	6.55876265392315	7.65133732880934	-1.00436657306246	0.827932496492047	1.17909999236084	0.0939374191989484	0.00856740720025649	0.216984229778711	0.00650389610389614	0.078664750064526
PF01565.26	3.04433258112291	3.72138055215024	2.70423860382084	0.970081629839341	1.09792169118372	-0.850511938314005	0.177881432759714	0.0776178412939703	0.488799393000498	0.0862337662337662	0.517493574547065
PF04030.17	-1.9283432152653	-1.15334515147963	-2.31112948030268	1.1442280293665	4.08437882643363	-0.243638638582867	0.374000004983114	0.500880828248133	0.880091268362217	0.48638961038961	0.875392361933675
PF08447.15	4.70709700985948	4.92176118430658	4.53955952771043	0.346852871994652	0.922206696202525	-0.347938318554689	0.353333339276837	0.390166826509893	0.917119678384118	0.442607392607393	0.93969561282084
PF00015.24	7.31637981599623	7.59256187001846	7.01385132781997	0.515198833327422	1.16612424713857	-0.429215539650941	0.32711526375861	0.27857368517558	0.968674110725515	0.314668531468531	0.974157649615959
PF08448.13	4.03952423116365	4.091233482396	4.00528644043902	0.0908186362353272	0.878029737019692	-0.0883414101247204	0.451698869225096	0.673264963011592	0.976742837185161	0.705822177822178	0.980120550139569
PF00512.28	8.37254187460805	7.44245546947585	8.57565208200065	-1.13372427207946	0.323209922219634	3.50993812610555	4.67861010389608e-05	4.723921945941e-05	0.0106068655205098	0	0
PF02518.29	8.9306873643308	8.22587407701391	9.04945401511644	-0.845208988136645	0.299232578312346	2.78199228677831	4.67861010389608e-05	0.000449549032945798	0.0436949775672409	1.59840159840208e-06	6.36916710502462e-05
