FeatureID	Name	rab.all	rab.win.FA	rab.win.FT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	diffexpr
PF13561.9	Enoyl-(Acyl carrier protein) reductase	7.01869200044718	7.24370422527336	6.62291141857353	-0.560332873203796	0.23688760958517	-2.18945060968545	0.00399848587424311	0.000806036001512578	0.0476790912792279	0.00252813852813853	0.0655796396390022	down
PF08240.15	Alcohol dehydrogenase GroES-like domain	7.4847353832402	7.41628399559567	7.57521043997076	0.183254593234824	0.508640475383446	0.411527482045486	0.270486353193786	0.246321360110604	0.571900286923928	0.217753246753247	0.546387464931637	none
PF00107.29	Zinc-binding dehydrogenase	7.48097066058971	7.4126002164736	7.57291986914159	0.194922369416888	0.509875283913297	0.440912732066629	0.267333344332271	0.237732809971862	0.563220973490848	0.209316017316017	0.536442257210461	none
PF12698.10	ABC-2 family transporter protein	5.68149560472227	5.64525939255739	5.9626151058225	0.141507776920843	1.0399500595635	0.134869427822945	0.424666669521598	0.900634668016156	0.963635631190617	0.742437229437229	0.903352519867937	none
PF01264.24	Chorismate synthase	3.93686247420092	4.17447914306269	3.53614727764547	-0.657920348495636	0.349843872992151	-1.8667706286386	0.0119923861501963	0.00328802510136279	0.0729179802124609	0.00362770562770563	0.071362468667397	down
PF03703.17	Bacterial PH domain	1.35766992523812	0.72744568101832	1.92216778436744	1.1768266873671	0.883132659168902	1.28989063893383	0.0832778652650822	0.0131498395923874	0.136371137567654	0.0204848484848485	0.144469712761313	none
PF07905.14	Purine catabolism regulatory protein-like family	3.62457896980846	3.94590108079414	3.23777780680927	-0.728933076773426	1.07375154203651	-0.762703534544387	0.167333355440424	0.083527087566564	0.360326283790769	0.0672424242424242	0.299436076598793	none
PF17853.4	GGDEF-like domain	6.80044652865198	6.31686405971096	7.05621947972533	0.792447377933448	0.420736209722051	2.02935072450107	4.67861010389608e-05	0.00175987961958586	0.0619045139972949	0.00216883116883117	0.0642912759658539	up
PF13556.9	PucR C-terminal helix-turn-helix domain	6.46716609141589	6.02831307879419	6.62655532008593	0.638375915	0.332692229726284	1.79297496116162	0.023333526999661	0.00325844903911963	0.0776739797152126	0.00508225108225108	0.078336074087678	up
PF13649.9	Methyltransferase domain	5.92019248247226	6.01685335142581	5.78366770522364	-0.161914843152428	0.838254481486448	-0.171521521863481	0.441705531832793	0.87212306391553	0.952427796948976	0.803627705627706	0.930862452519902	none
PF00092.31	von Willebrand factor type A domain	4.17602777685402	4.56841875725062	3.88770691605142	-0.871313290034159	0.6675687346394	-1.30424012202057	0.0133247926383199	0.00834838458407176	0.11669963624513	0.00373593073593074	0.0716044597719836	down
PF00144.27	Beta-lactamase	3.51721218217346	3.74433599106831	3.37874614819655	-0.539914062953137	0.855348729904811	-0.649095599685503	0.198666684192755	0.0906931912907699	0.373227453086315	0.116393939393939	0.378692173744576	none
PF07732.18	Multicopper oxidase	-1.24253090524855	-1.04040202409943	-1.42382482309566	-0.328553125097642	2.78895803614103	-0.107287555189975	0.443333335459407	0.655861437890363	0.841822994684595	0.718922077922078	0.880196261832319	none
PF00394.25	Multicopper oxidase	-3.34216658403555	-2.6204110997534	-4.17535743465374	-1.31421031681408	3.84875064501592	-0.285580522260051	0.332666673645881	0.437518373397076	0.682823944998749	0.430900432900433	0.685229795069884	none
