FeatureID	Name	rab.all	rab.win.FA	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	diffexpr
PF13561.9	Enoyl-(Acyl carrier protein) reductase	8.19035979103981	8.27232802048965	7.99175865237943	0.252288863616881	0.570629969677373	-0.444353816892442	0.261825461095393	0.144700733802143	0.357719186190142	0.175505294705295	0.390280791069386	none
PF08240.15	Alcohol dehydrogenase GroES-like domain	7.18990261583847	8.4677713451787	6.49788301734396	1.9170940067571	0.784444842133209	-2.26772803501361	0.0780000543327781	0.000221052357159841	0.00721554354696236	0.00567992007992008	0.0407108251549198	up
PF00107.29	Zinc-binding dehydrogenase	7.13066888261467	8.46303178054453	6.42952834444605	1.98329684009638	0.749252724818389	-2.30298679735932	0.084666716289347	0.000221115342915782	0.00721908706578093	0.00577022977022977	0.0411185954608419	up
PF12698.10	ABC-2 family transporter protein	6.67073398033764	6.67304216110955	6.6694724747364	-0.0114194630317046	0.568152086602371	0.0241118051489363	0.49100599633544	0.814091064053206	0.91075108685578	0.89815984015984	0.954559677041277	none
PF01264.24	Chorismate synthase	4.98516334921819	5.22572942419429	4.38864487059811	0.827355658228278	0.58831350535073	-1.14210362911083	0.125249865072792	0.00859632448243413	0.0575960207546031	0.0201222777222777	0.0912956869600282	up
PF03703.17	Bacterial PH domain	2.51585876933873	1.75548372019528	3.0580367289621	-1.22486464343221	0.989885176834234	1.15107159096277	0.121252531203847	0.0129036888984438	0.0704507706185066	0.0182177822177822	0.0829212951554263	down
PF07905.14	Purine catabolism regulatory protein-like family	2.52230015881233	4.99886047675295	1.81134443300208	3.17271381810613	1.44637344662857	-2.27281931650014	0.0106670959500989	5.02979291057422e-05	0.00306621374896644	0.0007000999000999	0.0112660276328641	up
PF17853.4	GGDEF-like domain	7.17442244977298	7.37542611078549	7.11451943579862	0.218478583385305	0.609081120845876	-0.322493031256355	0.37508328274276	0.466048484398565	0.692971973929184	0.492901498501498	0.717543759260147	none
PF13556.9	PucR C-terminal helix-turn-helix domain	6.9878203150543	7.08480022864373	6.93079341766519	0.175193194875212	0.638688816428347	-0.252625598818604	0.398666670580509	0.457049024698912	0.686446266551232	0.558508691308691	0.762915919521605	none
PF13649.9	Methyltransferase domain	6.83880867252344	7.01055427474766	6.7229447632222	0.148592659365294	0.589658150471416	-0.238181660917382	0.40066667049685	0.708320892252086	0.853234857746611	0.587166433566433	0.781533316434316	none
