FeatureID	rab.all	rab.win.FA	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF08455.13	1.86007208934582	1.26980346788982	2.02951194175678	-0.702593548264151	2.97414901120568	0.189172616230398	0.404198601386754	0.338289446010571	0.848349860492419	0.435435346363834	0.863838255891695
PF00176.26	4.40830989455492	2.66460153896978	5.17494760479985	-2.5867568320944	2.215330487903	1.04265259644211	0.101666676762603	0.00380590677416597	0.0585995646492081	0.000115352896137193	0.00291522182041589
PF00271.34	6.8224987930194	6.20352775007473	7.31717415467586	-1.15532080146016	0.823298753372478	1.40557101154396	0.0463179177941546	8.32396551249159e-06	0.00114291240879437	6.09860483291014e-06	0.000322535781299448
PF01565.26	3.4052113025267	3.80265203152721	3.18713668606999	0.58931442370898	1.24775757086396	-0.444751338004545	0.323000001873692	0.204991221082514	0.708818346400582	0.156729104435636	0.607147549093775
PF04030.17	-1.80422692624838	-0.885258117689737	-2.28004114007274	1.47878375487262	4.27851562785461	-0.295360673207321	0.344218595398492	0.325392297447834	0.716706025080377	0.285004451550974	0.664850209270953
PF08447.15	4.76749475219547	4.28981338147254	4.91415823521615	-0.500554766608139	1.60315093972914	0.26991993092962	0.372000001268305	0.240902247508619	0.830040084066507	0.26047750352701	0.811412272069937
PF00015.24	7.50307442530141	7.44538904345176	7.55295641174046	-0.231321646190687	1.78317660083531	0.114009387643833	0.441186271794763	0.52992992398511	1	0.595486191733514	1
PF08448.13	4.13140788957543	3.9206225207797	4.19924755780898	-0.210941392532684	1.57649075634318	0.113597590281826	0.455514828805446	0.602073795194995	0.99173379817953	0.659607486366707	0.986812512326251
PF00512.28	8.21644725847733	7.35932034164332	8.52392556726076	-1.10464741168338	0.796748875191485	1.20841646416037	0.131333340813683	0.000567611166527862	0.0214083311755885	0.000372583494256316	0.00737808014378242
PF02518.29	8.8471082600204	8.14808040911007	9.07264556940575	-0.885868837739115	0.677340638567101	1.09345913382695	0.173608802330333	0.00250414158281587	0.0550649660147858	0.00186886202936705	0.0254117351113835
PF01025.22	3.03783877864007	2.93851923665215	3.08252074300721	-0.254258897543536	1.67732565143251	0.114768511007438	0.435666667272373	0.372253150345087	0.895632963968472	0.573173982216526	0.930358711852028
PF00012.23	6.91094565578156	7.01832209948514	6.61915799747214	0.0568801647464117	1.42817255485915	-0.0374206653954388	0.488666666771659	0.595257311708843	0.999939721746265	0.90792291615904	1
PF06100.14	2.14512847294366	0.0390845270152642	2.86134428140436	-2.7508902283508	2.8019622027507	0.892998886149804	0.109963354770321	0.00555162930355531	0.0743151249343058	0.000767763579170481	0.0097960565262753
