FeatureID	rab.all	rab.win.FA	rab.win.FT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF08455.13	2.17611003401121	0.76124624717642	2.63572637287762	1.76995326123542	3.19692447605033	0.491047435975011	0.282478357691991	0.19641412729378	1	0.219658008658009	0.999973479152427
PF00176.26	2.93695069329586	2.18260761902998	3.27886934504915	0.987405509068882	1.84397731967393	0.470003704113466	0.30533334183134	0.258777009536981	1	0.260917748917749	0.999792846497765
PF00271.34	5.50737495026893	5.3086003755475	5.73006688326456	0.466760775519355	0.724138560203014	0.632588640638626	0.244503677013663	0.167911690550506	1	0.165160173160173	0.994548521627086
PF01565.26	3.08755114512775	3.25194086009003	2.87045071086883	-0.298032250898846	1.21874190831853	-0.212340718619139	0.392666670834013	0.593047260461127	0.998427999233652	0.604580086580087	1
PF04030.17	-1.82121497162382	-1.4660220040563	-2.08137389593796	-0.626991370731159	4.24820799339053	-0.12792779358027	0.428666669363533	0.649273553250783	1	0.658467532467532	0.999735930735931
PF08447.15	4.06590613401359	4.14493231605708	4.0511877007248	0.0486812187799188	1.38390766640203	0.0348773933353317	0.484666667235102	0.663553525553615	1	0.821419913419913	1
PF00015.24	6.66552591587143	6.50536954738403	6.66641948557665	0.147429173361063	1.92044723777931	0.0720899378952653	0.479333334100075	0.677546448479142	1	0.85108658008658	1
PF08448.13	3.28114815581666	3.64258851141403	3.22193355664522	-0.342373947229464	1.57733397616676	-0.174694104624936	0.433710861922799	0.832016366278215	1	0.770593073593074	1
PF00512.28	6.61047523036244	6.67830574253913	6.57979085049971	-0.140136371079839	0.637322840261114	-0.211806253420441	0.399333337219243	0.448848884202537	1	0.649896103896104	1
PF02518.29	7.37460839500489	7.4573458172822	7.33610025737018	-0.145899032380248	0.66728255281509	-0.212911573394186	0.406395739763836	0.539970281585956	1	0.652809523809524	1
PF01025.22	1.49470449751078	1.39881194043056	1.67404928189297	0.0733027227994256	2.93432921942059	0.0221038750153794	0.485333333877011	0.737933736858857	1	0.777437229437229	1
PF00012.23	6.23454596459749	5.85838591161011	6.42703923370533	0.604974433112393	0.644565259129045	0.801536136860848	0.125333364978809	0.0675593069713092	1	0.0318787878787879	0.927812067203634
PF06100.14	-1.11340979487012	-1.89962690255136	-0.471245949249727	1.13164978141562	4.20945593335597	0.239833610647491	0.36933333852758	0.512597895675459	1	0.469207792207792	0.992830844088362
PF00359.25	2.29644582703224	1.68984948967985	3.05044538568384	1.33595542647678	1.60171963994142	0.774200538367831	0.181333353209282	0.118207598795183	1	0.103285714285714	0.951383041845402
PF02302.20	2.84703302592554	2.46546207772583	3.61623802260003	1.16068557807881	1.54070566992699	0.691649502450277	0.233177895211057	0.15882093097732	1	0.150861471861472	0.978363637328833
PF02378.21	4.96838554855701	4.58954367314811	5.46553422580151	0.948707736239071	0.724293968456025	1.25079932754716	0.0639574291089369	0.0139416222062048	0.994358631097558	0.0104588744588744	0.691261457454012
PF04167.16	-0.532656029849973	-0.0634240290657084	-1.02118693456763	-0.933381430179037	3.60676000805365	-0.194372147972609	0.386409065056362	0.544790822469636	1	0.585341991341991	0.999952922077922
PF00521.23	3.98981464160788	4.28167038731824	3.62058521561148	-0.632308504409774	0.760804766179684	-0.798704784740195	0.177881432759714	0.112162685741018	0.998238802029362	0.14295670995671	0.999905844155844
PF03989.16	6.35086344055707	6.67314760911955	6.00226039127845	-0.584602136804473	0.539478469829565	-1.02542594373855	0.148666692369559	0.0449799768383262	0.999701319172115	0.0605800865800866	1
PF01544.21	-0.55892823384261	-1.60384937058766	0.188028014797863	1.53759281541428	3.69409505982663	0.355265007231032	0.314000007995311	0.406510036652133	1	0.356121212121212	0.993850162532192
PF00471.23	1.00439479960372	1.26159229662621	0.760264696606274	-0.475143691684891	2.18796036396115	-0.179188725436332	0.392000004195757	0.550746089252267	1	0.61004329004329	1
PF00122.23	3.99458907957164	4.03658729811279	3.95451807873805	0.0151564991535329	1.04023898367064	0.0095252987490871	0.495669553791098	0.821272699827456	1	0.815896103896104	1
PF00702.29	3.94478060482293	3.89486104180649	4.00160275713385	0.173416637860103	0.995337139729587	0.162816905781329	0.425333336161842	0.595376247169477	1	0.603506493506494	0.999133674864341
PF10543.12	-0.571905715916015	-0.140780016872312	-1.01592549565393	-0.891104383526529	3.55364560541542	-0.217461356065383	0.389333337643233	0.534791244531223	1	0.57352380952381	1
PF10552.12	-1.88834790313549	-1.67071614980966	-2.0662604682237	-0.407520739218532	4.35719686907369	-0.0924604886374797	0.452365091718084	0.679904021386441	1	0.699926406926407	0.999571057513915
PF00692.22	0.777499023982406	0.795806387500022	0.746207909454702	0.0252547097289861	2.12016759100035	0.0105106188831629	0.493333333580291	0.751931443379452	1	0.746536796536797	0.998385401540177
PF06605.14	-1.69805254544214	-1.34174411000264	-1.93860759455376	-0.762317475702154	4.28167347346244	-0.151279168492204	0.419333336400829	0.643559599984703	1	0.664164502164502	1
PF18013.4	-0.356480955862224	0.124973925319735	-0.794917700560033	-0.859819756201355	3.85442556744883	-0.188885170033542	0.398666670580509	0.617339018852553	1	0.61517316017316	1
PF01551.25	3.27166661954569	3.5472692621045	3.01741500162037	-0.747687475580298	1.50920017393712	-0.427756780515795	0.296666675689746	0.311805505013366	1	0.366194805194805	1
PF01521.23	-1.71012051810696	-1.92895708758585	-1.53907085651202	0.209061373856143	4.50619908482334	0.0350202186184563	0.480000000741928	0.726805046150714	1	0.701995670995671	0.999818368797928
PF08282.15	3.13730952409083	3.28102240556246	2.92330073184259	-0.609396734725344	1.75925688319184	-0.313172688094729	0.368666671891333	0.406591037379811	1	0.515818181818182	1
PF01219.22	-1.89515301181388	-2.21233828331782	-1.52577101205671	0.605121999100609	4.32654089231409	0.125909139740257	0.441039309340154	0.644416550314195	1	0.607380952380952	0.996586643777658
PF00654.23	-0.379766178351828	-0.167089653831026	-0.614314694330009	-0.364309225474653	3.85535441079158	-0.0736464130452497	0.457333334925171	0.729749506723858	1	0.732809523809524	1
PF17767.4	1.71265760159866	1.98124018104087	1.48602918766005	-0.421022513873723	1.70295017733048	-0.224670793930581	0.39333333747232	0.603819129406765	1	0.593251082251082	1
PF04095.19	1.68933460398648	1.96146278408018	1.4649297551528	-0.484050618523649	1.78693849692865	-0.232834105917712	0.381745507631124	0.581168791883225	1	0.580281385281385	0.999905844155844
PF17956.4	1.58677800801744	1.77081560616532	1.44629272629141	-0.25525234210455	2.00903004855871	-0.0960416680399345	0.446369089281922	0.786275277244124	1	0.717896103896104	1
