FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b
PF13561.9	1.64006613871726	0.970500667328291	1.22252179383482	1.61793663106391	1.09277947916881	0.897196091466247	1.311139401655	1.52354577396057	1.49268244769669	1.05004684439145	0.912264362463566	1.20603711340206
PF08240.15	3.06339744147594	1.10021331690679	1.36541745304215	1.38343576585715	0.840420940127022	1.22656200198523	1.45907065563335	1.07036892445833	1.21258553514717	0.904369304147858	0.549956020075542	0.887125773195876
PF00107.29	3.06009050561309	1.09529676146151	1.35463287498877	1.3917894862462	0.826547181057694	1.22630701842256	1.44401654996817	1.0511907085692	1.2042366499689	0.903960480367941	0.548696986943999	0.891678350515464
PF12698.10	0.321164389522235	0.116331861788896	0.606362901051496	0.194084770372138	0.289355229893326	0.0971578439318465	0.255410566518141	0.381417138395471	0.200995318076155	0.14732986968742	0.191235059760956	0.278663917525773
PF01264.24	0.103602819597946	0.109966576548829	0.156645996225398	0.100145195616286	0.0747333155201118	0.11731065193833	0.101718650541057	0.138297872340426	0.121926464328979	0.103330210373903	0.0768182680533278	0.101558762886598
PF03703.17	0.0352014620137499	0.144382464665823	0.0997573469937989	0.064482765479245	0.0261854356360348	0.0842447477939368	0.0340547422024188	0.0222037868436463	0.0338539108797433	0.0457201260539988	0.0157637846880875	0.00880824742268041
PF07905.14	0.0879818988773823	0.0311762088908662	0.0196818549474252	0.0833383057859459	0.100363800793373	0.0683264882388832	0.081031190324634	0.0737116923677533	0.060275676914514	0.0241376373392386	0.0628999154895569	0.051859793814433
PF17853.4	0.678835610477765	0.921049929844975	0.379707018962883	0.600970622749965	0.310278913941586	0.868173498101283	0.584404837683004	0.503391567440953	0.515666437481583	0.380836385316413	0.225798106276194	0.23480412371134
PF13556.9	0.560003480985119	0.720224039788736	0.363440280399029	0.553632873878712	0.298111113394857	0.673721211900447	0.519637173774666	0.430289869217256	0.446419801591199	0.32494676773699	0.224366602852659	0.224445360824742
PF13649.9	0.464189365590462	0.631897151591892	0.482519996405141	0.535294468643714	0.46297247857275	0.518937082805912	0.495448758752387	0.373926410306461	0.674327996594964	0.378059790477813	0.468653524430417	0.481154639175258
PF00092.31	0.135845444260726	0.0896273228157832	0.248494652646715	0.0877737335163196	0.146280804883563	0.0590104816457368	0.0767663908338638	0.0892543431583057	0.0782175948662541	0.105118814411038	0.162898190786637	0.155529896907216
PF00144.27	0.0950744060569141	0.0294537033868337	0.236002516401546	0.0595898721085188	0.0612295233592995	0.0389123129741101	0.0684277530235519	0.0510931095061487	0.0919359591395737	0.0572523635124776	0.0649868060226626	0.0861855670103093
