FeatureID	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b
PF13561.9	1.90978985135828	1.4790376904571	1.34398505022191	1.46497609219829	1.39562846045781	1.24424478463733	1.00114371492905	0.903439614874765	0.733763865347894	0.901079368862145	0.903885021333932	0.944765045342127
PF08240.15	2.27939052234285	1.79531676022454	1.71102546134081	1.38967673382647	0.998884389719858	1.33405313692978	1.09281961471103	1.66510849089514	0.796713081164582	1.37295322072944	1.19262918881154	1.37606485298159
PF00107.29	2.27566283025022	1.78126704089816	1.7079420696099	1.39313008296212	0.985868936451533	1.3335518451394	1.08592158404518	1.66736435731063	0.792572249994636	1.36649885310852	1.19589789654914	1.37881286067601
PF12698.10	0.288802944876753	0.205068163592622	0.25982247138519	0.501369079243124	0.301999834724403	0.216538772991941	0.372994031237714	0.26947138305542	0.342337316827222	0.353451100717924	0.143448860942685	0.13011816433086
PF01264.24	0.133358184613951	0.0947554129911788	0.0562718990889979	0.0729494462380972	0.144616147425833	0.0807658196120773	0.0694449408484935	0.0726528523919161	0.0482095732583836	0.0715541124251542	0.0950919480000998	0.0696619950535862
PF03703.17	0.153534318065328	0.132381716118685	0.0072412987619715	0.0267276962687482	0.0566068919923973	0.0422049126595458	0.041495407269738	0.0865368962068885	0.0407002939346478	0.0642259227263249	0.0663472814831449	0.116790327012916
PF07905.14	0.14589254927543	0.0813793103448276	0.109320252277505	0.120049859005272	0.0582596479629783	0.0795897119500251	0.0605096679652597	0.0500941882369357	0.0425883413074728	0.0256486639459025	0.0198118621653317	0.0218466611706513
PF17853.4	1.01598247984716	0.965036086607859	0.728381219341275	0.623646246270792	0.475828443930254	0.595978097404851	0.699274455841882	0.686132235633387	0.606835589692978	0.77144587764505	0.855378396586571	0.863011816433086
PF13556.9	0.902054890266064	0.844522854851644	0.630530249941602	0.573010748293759	0.456284604578134	0.554081672000926	0.544587011687337	0.548780204190795	0.466798257847197	0.588131907414579	0.691019786910198	0.752404506732619
PF13649.9	1.22529239084852	1.31695268644747	0.439313244569026	0.521251379296252	0.404594661598215	0.513824085142483	0.337181457521713	0.263866601548873	0.510394988092429	0.361653112494663	1.122539112209	1.09782907392141
PF00092.31	0.0752527841200317	0.0651804330392943	0.12618547068442	0.0866811067064449	0.108214197173787	0.0969614005321405	0.0659423138782658	0.0613967766692249	0.0520500332553799	0.0611377560646231	0.0524989395413828	0.0241137675185491
PF00144.27	0.069614649829924	0.130425020048115	0.0403877598691894	0.0760349830397646	0.0890009090157838	0.0566266918597925	0.0565781478966368	0.0530477452964022	0.0526722306850608	0.0538492855511533	0.0518002844524291	0.0504946413849959
PF07732.18	0	0	0.00116795141322121	0	0.105032641930419	0	0.00193001894277851	0	0.0099337037911133	0.000953260448628199	0.00167178181999651	0.00171750480901347
PF00394.25	0	0	0	0	0.00396661432939426	0	0	0	0.000386191508077839	0	0	0.00103050288540808
PF07731.17	0	0	0.00116795141322121	0	0.104206263945128	0	0.00193001894277851	0	0.00965478770194598	0.000953260448628199	0.00167178181999651	0.00103050288540808
PF00795.25	0.309538232142025	0.274226142742582	0.30121466946975	0.256753443132126	0.318733988926535	0.225581305672309	0.213981915007684	0.181678643689388	0.193439035379433	0.212100449819774	0.227012999975048	0.175391591096455
PF00672.28	7.50659335538885	6.12436246992783	3.03251576734408	3.29424986717888	2.5489215767292	3.35186827594185	4.47056721112263	3.77690178841368	3.56699349910961	4.53242574994787	6.25341218155052	4.42841439956032
PF01966.25	5.6635291924887	6.26960705693665	4.39752394300397	4.58770280763415	4.44678125774729	5.2494697875294	6.08574287858751	4.86315960836298	6.58724709819992	5.7190165529705	7.16101504603638	5.59947787853806
PF00587.28	2.28358417594707	2.28323977546111	1.95195047886008	2.01969839388614	2.21448640608214	1.97784675895577	1.97194324314665	1.57047838321821	1.75491857795705	1.81761943062548	1.98185991965467	1.83553173948887
PF04073.18	0.282419272168119	0.190344827586207	0.237351086194814	0.304834688789897	0.348896785389637	0.208402421624957	0.170234818971371	0.15065466638759	0.172413053272973	0.102008797799557	0.135289567582404	0.132247870294037
PF03129.23	2.07138530357392	1.94036888532478	1.66806820836253	1.67947198496056	1.90885050822246	1.66841476111518	1.69230494299296	1.27161096769692	1.49037739492373	1.4362656021925	1.70399480999077	1.53503709810387
PF01648.23	0.0562881505987605	0.12327185244587	0.115487035739313	0.137500510850464	0.148913312949343	0.184244013419196	0.0996819042853569	0.0758157166445731	0.107597245167242	0.106775100042698	0.107468123861566	0.103531189887332
PF01134.25	0.108056474535203	0.0930232558139535	0.0964027096472787	0.0849442151293473	0.240517312618792	0.145933752361856	0.109546445548447	0.104630340240471	0.101761462378511	0.103974897474853	0.0876812136636974	0.124209947787854
PF03738.17	0	0.00702485966319166	0.00546601261387526	0.00886836405247456	0.00446244112056855	0.00514788107816296	0.00300225168876658	0.00439545105700133	0.00607178871033491	0.00925457018876543	0.00396736282655887	0.00137400384721077
PF00005.30	47.1470574530544	52.1702646351243	25.6629058631161	29.8491765090523	26.2277910916453	26.115740562218	24.3402909324851	28.8835554315217	20.9756913900749	27.4319957897664	41.5717493824388	33.5695932948612
PF12848.10	0.500163086529053	0.518813151563753	0.375613174491941	0.503208140912992	0.779770266920089	0.603651717888405	0.338825547732228	0.374543594037071	0.312042738526894	0.464168329907554	0.542331012800359	0.41962077493817
PF16326.8	0.0636037463305531	0.0703448275862069	0.068114926419061	0.0905431362131677	0.110404098834807	0.133787066671808	0.0812037599628293	0.0709783948463918	0.069085369778369	0.0900731825990249	0.0911994410759288	0.082646331409728
PF01513.24	0.124132146684684	0.134081796311147	0.168348516701705	0.142098165025134	0.193331129658706	0.144314194269849	0.0990028235462311	0.0770250470941185	0.0982428286382458	0.0838571300902619	0.0699154128303017	0.0745397087111844
PF20143.2	0.124132146684684	0.134081796311147	0.161434244335436	0.142098165025134	0.189199239732253	0.140728029923264	0.0977161442510454	0.0770250470941185	0.0982428286382458	0.0822385732868619	0.0710382513661202	0.0745397087111844
PF12419.11	0.070173803643819	0.0562309542902967	0.0390095772015884	0.0454861253014018	0.0331790761094124	0.0337022326765126	0.0303084456199292	0.0171864461964232	0.0398420905833637	0.0137726275234095	0.026548893380243	0.0466474306128057
PF00176.26	0.363356786729416	0.347810745789896	0.184699836486802	0.232375658997098	0.267663829435584	0.619230324297227	0.0770577933450088	0.102583781018163	0.10972129846167	0.0703327474753493	0.380367792000399	0.425185490519373
PF00271.34	1.64344625133964	1.70874097834804	2.51394533987386	1.62509706158813	2.36608544748368	2.63718042648363	1.10951070445691	1.06751319798135	1.15908944624429	1.03619410765885	1.43593582353969	1.43549051937345
PF10646.12	0.354223941102465	0.427072975140337	0.38215370240598	0.330969798520577	0.237005206181307	0.248351521227779	0.404160263054434	0.199283704272192	0.401639168400953	0.281618953995254	0.455498166030392	0.382316570486397
PF00977.24	0.242952332137366	0.332574178027265	0.39329595888811	0.431259961584045	0.394967358069581	0.496972968804226	0.458951356374424	0.267052722156329	0.3502756978266	0.35220987617544	0.519849290116526	0.349134377576257
PF01205.22	0.061506919528447	0.0379791499599038	0.102289184769914	0.0626915689239446	0.0756962234526072	0.0668838931091659	0.0944279638300154	0.0398148794158004	0.0721105365916454	0.0879779955713108	0.123911470419443	0.0575020610057708
PF09186.14	0.0496249009831788	0.0379791499599038	0.0841859378649848	0.0605255629572112	0.0486736633336088	0.0622565842748621	0.0744486936631045	0.030000697690644	0.0684202621811238	0.0755856097391443	0.123911470419443	0.0575020610057708
