FeatureID	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF13561.9	2.46062663807482	1.52814058418428	1.67255521262415	1.61305412985401	2.16029004365346	2.15040605332139	2.28677446129916	2.37986617774922	2.35380481031934	1.89345653727733	1.81642331627991	2.05162282939803	1.98252185962062	1.8697354841446	1.86265239083525	1.32128160325215	2.54338974810854	2.20400134725497
PF08240.15	0.644278880519052	0.85735771392385	0.523081819164395	1.08178784821914	0.815899932840833	1.01498693798983	1.04500120909501	1.09427286130118	1.01980561651812	0.376443259291841	0.431473909592385	0.247885450974935	1.75918581872044	0.650036051065274	0.486097557623321	0.536155190243555	0.663326851204764	0.89499494779387
PF00107.29	0.63736460108869	0.804462738682639	0.452689476275685	0.915651431675332	0.550232958361316	0.664534757365954	1.05195513930735	1.10130419990171	0.986921664352578	0.379151088629866	0.436830063833619	0.252825841567318	1.75078121267141	0.599691798736092	0.465590939703396	0.522326427272403	0.628330953176749	0.856584708656113
PF12698.10	0.195845017503345	0.941748682902803	0.854669805089529	0.70951900586416	1.38540967092008	1.51829790253833	0.571000019606946	1.52498393376933	1.82574461414431	0.353474818561689	0.442899927295042	0.316540644183637	0.29867169955564	0.656327315397339	0.93732561815358	0.362525407410049	1.34458083923308	0.523341192320647
PF01264.24	0.105487436080717	0.216971424048128	0.204055530869831	0.1363500315933	0.185862995298858	0.288264593303558	0.161162561190011	0.274622916115374	0.309248891476687	0.0982103584781174	0.124732359042429	0.158981614634071	0.0956041855798175	0.127436981324134	0.174127575353574	0.0636593802374924	0.212185895293367	0.203826204109128
PF03703.17	0.112007661149906	0.190523936427522	0.134726008478545	0.128091432118746	0.0741374244459369	0.17933319436005	0.152185847706314	0.209669980720523	0.188050342634478	0.134869144490873	0.0886666977941716	0.0826491008334493	0.154121076018921	0.0274836356439003	0.136797833885399	0.0708626038583604	0.199105162407706	0.216355675311553
PF07905.14	0.00732666190135811	0.0161393880225512	0.0179898881936855	0.0654258444279396	0.129417813969107	0.0339479205013683	0.0170155613795447	0.0193777643367482	0.0208447171585972	0.00270439300637783	0.0108257015361424	0.00228850644029008	0.0170003344641407	0.0716638626949232	0.00871393817776984	0.0159825981528367	0.0360669684907782	0.0220276187268441
PF17853.4	1.14360990451055	0.941449642470778	0.7448210018134	0.886053497988006	0.71034461047683	1.01484944314588	1.70651342749025	1.11577514837637	1.20773950821875	1.01528480316692	0.49917623281595	0.381855855020024	0.633102393807635	0.758274072922115	0.719353464271479	0.695941946296759	1.13045030536903	0.89479285954867
PF13556.9	1.0928318762486	0.749835087997045	0.693379288810962	0.718187763970336	0.61410762256548	0.807724549039088	1.60176658584248	0.692246626091559	0.873928427464505	0.983103557290521	0.43333488970858	0.370266425445718	0.605093411056429	0.639842789080062	0.636172464505134	0.793192597083051	0.889474643736137	0.861421353991243
PF13649.9	0.586879822583897	1.36482053176425	1.35013630522764	0.736833353656509	1.49189892545332	1.53209174010813	1.09284215754835	1.55939212943711	1.26659201863215	1.50294149989004	0.731758726262498	0.445802600856644	1.00764011658464	0.855597811488273	0.86544250037797	0.559476518204186	1.73448087265656	0.740613001010441
PF00092.31	0.315926211029856	0.646868431005216	0.288546758097251	0.50259951889501	0.376563549361988	0.874680102721954	0.242073892044155	0.475258004763165	0.342921126886729	0.130281641741808	0.267700989187639	0.263077731904563	0.0573988245974485	0.0907214454356524	0.142694173756477	0.0975216631601469	0.579965664975236	0.262404850117885
PF00144.27	0.437922692032771	0.680211439176056	1.03160239705052	1.35356782582669	1.44589489590329	1.52622381499403	0.586960073722117	1.14503458964957	1.19289649303534	0.53944221464702	0.425497428645753	0.249988402838985	0.451325911414783	0.942940353159063	0.900133320505243	0.330374781585422	1.5053933335359	0.360740990232402
PF07732.18	0	0.0107830461665655	0.0196111397999255	0.00202862242126617	0.0312395063801209	0.00908353033535436	0	0.0549654103504328	0.0566130693778833	0	0.000413551136932118	0	0	0.00206410020782379	0.00405459268523991	0	0.0138935310382547	0.00404176490400808
PF00394.25	0	0.00669322849327599	0.00856861497075742	0.000509926947422098	0.0171360812625923	0.00415589254112648	0	0.044781310248365	0.0435884803153133	0	0.000413551136932118	0	0	0.00130066588438211	0.00114078370466072	0	0.012678131931573	0.00097002357696194
PF07731.17	0	0.00998267324555617	0.0174915034406562	0.00262723231606602	0.0274722968435191	0.00908353033535436	0	0.0521604354893585	0.0474403188964035	0	0.000413551136932118	0	0	0.00130066588438211	0.00279010954272441	0	0.00960924918720185	0.00323341192320647
PF00795.25	0.547928007184619	0.804102131102844	0.724501315015192	0.939728851888393	1.22335669912693	1.53932130770903	0.530639121085963	1.00188258420595	1.01603439781431	0.535713794809765	0.525610154681466	0.431770036028513	0.587591380381289	0.603113115518923	0.482551507071485	0.413218985129979	0.985863389140409	0.657985853822836
PF00672.28	5.36763439086527	7.26232882134093	5.98461011901188	7.4875788446829	7.52631799865682	9.14862305566767	4.23781264909449	7.48123842286319	9.59307564831818	3.93499147789752	3.86700995857818	2.45235886255045	3.87922977686464	6.56215627783354	5.5606470855038	3.2395820703919	8.37044605147215	6.1618861569552
PF01966.25	6.37012243177361	6.16784084012771	4.63087703707262	4.7755434601869	3.72299991605104	5.42068986929119	6.01704170397433	4.59400446074169	5.15318672459354	5.58891508137233	4.78035765503165	3.84823181951725	6.36548807874241	6.49344718872379	6.30342097667578	3.9050458224869	5.87982741332685	7.42398113843045
PF00587.28	2.10696284892139	2.83164903207648	2.90381774730092	2.67334744870246	3.84996222296844	3.76157063464959	2.08615945675688	3.55652666994292	3.73754646840149	2.19446544424896	2.18777222670607	2.11986052481019	2.20125185149792	3.40601982101706	2.75177646137141	1.85975466248262	3.50250676065753	2.4797979117548
PF04073.18	0.303371455801763	0.757152783274844	0.39511102571185	0.586316221219612	0.630005456682337	0.678652373116653	0.295816531269811	1.08714323517181	1.32923366327765	0.206358588080053	0.288218461723174	0.207171684371666	0.289521716278848	0.391924561378706	0.366562667509655	0.259023642263667	0.736630609826502	0.332691141798585
PF03129.23	1.4762513516981	2.28397407143548	2.44364049045863	2.17073684443902	3.41136039288113	3.23769310263768	1.42799022266955	3.06249574717423	3.03959331750795	1.5532253408841	1.75507767424177	1.73020364614742	1.82995365282622	2.94870852360284	2.31902085022747	1.33061726634098	2.82100209656346	1.96580666891209
PF01648.23	0.184674034566815	0.261739535783706	0.238095809965293	0.123668370118281	0.235224983210208	0.408275415478371	0.205797773958054	0.338653460855102	0.327056926591123	0.304050060479437	0.186118022158337	0.240934885806621	0.138472932294902	0.211867162427721	0.201025330895996	0.238262668045502	0.235278478320318	0.296032334119232
PF01134.25	0.178873187808141	0.351011900050133	0.364139115397087	0.40540300856899	0.506432588985897	0.54730931461038	0.179115988157405	0.520077117907232	0.618874009047342	0.144315620189136	0.186351478445315	0.126555952436177	0.19756318983229	0.343729235293286	0.257995794219113	0.211963769924758	0.561681504664094	0.157574941057595
PF03738.17	0	0.00109061804621054	0.0201335430952695	0.000576439157955415	0.0099479516453996	0.00371679610401707	0.0102773075741633	0.0121800929951234	0.0212388587808483	0.00897569826259072	0.00374197077127287	0.0135996041502374	0	0	0.00333988482207897	0.00463217202153835	0.00426149311780256	0.00413607275176827
PF00005.30	51.8879373545206	44.6145280878123	38.6029915094453	45.7962065869259	51.9304063129617	59.6139455254299	54.0055128196749	48.1245983442332	57.5522282438303	68.6582774356719	26.4772780330974	16.1615252586167	39.7327392613121	55.2841672203922	41.1248127327955	46.2967228898477	45.0049907325818	33.8438666217582
PF12848.10	0.352449551877715	1.31398365831992	1.32958844227744	1.23584121318272	1.97345114170584	2.0889635993489	0.644937813302659	1.75359316523646	1.98755766560666	0.486969430393666	0.910979782685548	0.641841010653925	0.368211572459267	1.30316825244228	0.864975191390519	0.360442891274115	1.62473792956762	0.642263388346245
PF16326.8	0.0713650776195451	0.306665963042121	0.198849511823127	0.196100167389063	0.291439304902619	0.351915835414236	0.115661374969773	0.300820322836729	0.297684417969275	0.0606271992522542	0.142415005236091	0.111162654048955	0.0445984041282431	0.23454398936847	0.174127575353574	0.0562457654316585	0.174926316429157	0.0864398787470529
PF01513.24	0.140301680687671	0.231598019296903	0.247727245433475	0.213692647075126	0.236211383478845	0.35465686165801	0.272297999437934	0.376335387290667	0.307663367223541	0.159205245216626	0.19875134237365	0.188260580476566	0.131449185340915	0.210877525341778	0.198331432027159	0.133947865777556	0.356620886633648	0.291357359380263
PF20143.2	0.0916634592474478	0.227736879601045	0.246003915022397	0.215067232759481	0.22242276695769	0.355375383100553	0.254373982889672	0.374702302196348	0.310117794598468	0.153604024631625	0.19875134237365	0.188260580476566	0.102962396674471	0.207951027101918	0.19541762304658	0.133947865777556	0.354706633040625	0.291357359380263
PF12419.11	0.00289125932442587	0.129308600930543	0.00980556989996277	0.00791495305346473	0.00876217259905977	0.097692304280525	0.00147378878090545	0.0911200997996447	0.0342544900792762	0.00948083901473499	0.0223784526517299	0.0136150670315907	0.00675617564145444	0.00558438069924929	0.0188847808458293	0.016674392896623	0.0296557382030324	0.0487032670932974
PF00176.26	0.201545059657997	1.59887244166513	1.36608461732457	0.97887128778725	2.51737743451981	1.66625122525647	0.179661714823505	2.1865497297093	2.21429659157074	0.158335853309875	0.387570787281302	0.0833140047316417	0.174733623202255	1.52223149025207	0.697486152535151	0.305648468423492	1.42183464495154	0.410468171101381
PF00271.34	1.22928465387365	3.88737609611511	3.53745691673972	4.15934108570098	6.99308470449966	7.69961811915924	1.56892495114603	6.01898461422145	6.6479509114525	1.13359426544975	1.85445001033878	1.55667146015989	1.62561995317502	3.19399714419012	2.10754978902374	1.0032664122954	4.92709884233235	1.92133378241832
PF10646.12	0.263049614193288	0.709948371548941	0.300201755755443	0.30766331519028	0.112061366689053	0.442201159392007	0.212931434509532	0.392257966960269	0.412737940610024	0.27501305806026	0.321189159624069	0.219913098606794	0.278761527067705	0.130815885088997	0.263795923416304	0.490133010020326	0.493581173467838	0.552953856517346
