FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b
PF08455.13	0.040123898022397	0	0	0.28992483051021	0.015948428117273	0.161346432026126	0.0624661376167256	0.112571042710033	0	0.0204682957491946	0	0
PF00176.26	0.151441505837503	0.046877314524675	0.0580147551978538	0.426335948221125	0.0344931119745673	0.254457194075415	0.100041431621889	0.214422373529908	0.0984809218133248	0.0458277677378801	0	0
PF00271.34	1.23326185370503	0.831018333884072	2.88464118041583	1.40982733547713	0.959148710702932	1.23866066753636	1.22863881186857	1.54538292724101	1.47310713288944	1.16329457059794	1.15853520029854	1.32455408365495
PF01565.26	1.16754824874911	0.766764280261164	1.35535434831209	0.23273866825062	0.360967855881314	0.633218852888191	0.643273735538771	0.565809464858477	0.541126749332164	0.409798067101438	0.246832054256648	0.115938249713153
PF04030.17	0	0	0	0	0.073172024019781	0	0	0	0	0	0	0
PF08447.15	0.827257564927329	0.683344538006632	0.740554437737536	0.166499395776581	0.0918580007064641	0.57784226547039	0.238104343946203	0.336840920600979	0.468482117937881	0.385715408187318	0.0172634789804163	0.057803970654706
PF00015.24	3.10421729807005	10.745718485432	1.24010731052985	6.17878868566045	0.781225715294949	10.0557315655423	4.57746119769258	7.16149907152102	5.68071448506838	4.65626227704879	0.796196842600555	0.924515837418727
PF08448.13	0.627734095782702	0.513371543168378	0.147775542141739	0.0954877823976405	0.10840692334864	0.43896594872341	0.172068712751378	0.210567778965731	0.421873131055381	0.34248055315471	0.0328557753151721	0.0554048885643754
PF00512.28	5.21782225399095	6.07077175510762	7.14386317907445	4.95338262704053	2.22239491345814	5.23271478395144	3.60550721866335	5.91719655618705	4.58243291734779	3.50966449281056	1.59583340093781	2.13429644310003
PF02518.29	8.73523945675482	10.2827679721061	11.4453386988598	8.3168998218053	3.74353585305546	8.91494724137625	5.95987506772477	9.01389904901244	7.11072126310753	6.22171367957885	3.41098113023867	3.78441292027398
PF01025.22	0	0.324175886783423	3.1248602727476	0.311820248653299	0.165577534440127	0.197944676659301	1.03161551454887	0.464886613021214	0.452613532155815	0.691738037243655	0.810734509110379	0.481815653141407
PF00012.23	0.963164164879676	2.04015451054569	4.4062150681869	2.62679474837679	1.95102437301307	2.71714455596674	3.05876916212512	4.31891846266389	2.90327339420278	2.90492653414002	2.06188243311213	3.49229859879698
PF06100.14	0	0	0.26224010731053	0	0	0	0	0.100585223116313	0	0.0376365207825882	0.030470689403404	0.0336740725287716
PF00359.25	0.342149154157732	0.0647440206925628	0.245919964229823	0.381951129590562	0.183009537265984	0.182174773479584	0.441565477897823	0.315739125541613	0.4557633268211	0.322130117073937	0.0855385913390554	0.488247974687946
PF02302.20	1.20162020490827	0.651508073062066	0.878940308517773	0.931364315998607	0.887566231013776	0.722868578223867	0.361793670522995	2.96345169095718	3.43909732466808	5.86536497210655	5.27683221650739	8.5505371857724
PF02378.21	1.16816773886109	1.32432401636262	2.6105522021015	1.36488949880179	0.645037089367715	1.04693698250845	0.682506294419479	2.05607450340442	2.03034169291496	3.26272884418952	0.916181266529294	3.97760856715691
PF04167.16	0	0.0871571654835291	0.880281690140845	0.15060524752678	0	0.182849231916083	0	0	0	0	0.215550111141758	0.101543757171169
PF00521.23	0.825399094591375	0.65121181390367	1.48200312989045	0.463654425168466	0.313899682091134	0.477995793509225	0.315804570226599	0.393815767261268	1.14205972648618	0.476172703700794	0.627374945240375	0.74008205556135
