FeatureID	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c
PF00308.21	0.985707045380801	1.18837230089513	0.617651918278051	0.6990860996258	0.977320225198328	0.450913330742324	0.291003648847051	0.422129363227377	0.620597835982001	0.721891071009411	0.36801187431406	0.820428870490165
PF08299.14	0.985707045380801	1.18837230089513	0.617651918278051	0.6990860996258	0.977320225198328	0.450913330742324	0.291003648847051	0.422129363227377	0.620597835982001	0.721891071009411	0.36801187431406	0.820428870490165
PF01527.23	6.7590256120093	10.9220265685987	3.38495744123244	3.72198690581048	7.4176014387671	8.40137035597587	6.07147368080145	4.79171225792482	8.88549496709756	6.03822188395798	3.22234362988498	7.1808535918375
PF01025.22	0.244398797568321	0.783492736412431	0.376488417406365	0.461508468585727	0.60855796297876	0.621539923133394	0.287851390448225	0.813748096684949	0.688574531172783	0.713956482462817	0.444496284442038	0.269814985949494
PF00012.23	3.13298079166343	4.02009883416546	3.16246111598546	3.46390963101763	4.21184850294293	2.60582401289747	2.10071033768028	2.49415241723891	3.79742242567691	4.48248771223513	2.49791135843893	3.65802010448296
PF06100.14	0.0941162904821794	0.630759473735736	0.180003076537414	0.11370177338188	0.156821348346555	0.139252349901398	0.111635288021418	0.322120379349982	0.595059432465472	0.275914558245072	0.0622942180406415	0
PF08220.15	2.25275736033531	2.26473680402147	2.37636022834744	2.30168810695271	2.91464428900452	2.55301924544054	0.516932593488211	2.48627655138893	2.91773415351003	1.6603597772198	2.07510165205746	2.83232936650133
PF00455.25	2.00835856276699	0.697751331196608	1.78696972459293	1.66261143245048	2.05887997952742	2.01443192123332	0.516932593488211	1.51212708270465	1.36752217338154	0.946406851273589	1.50892024000039	1.96890028855402
PF00294.27	5.58717763755963	4.91238151179668	3.95178097332528	4.48319186297666	4.55490630953396	3.71658677721639	3.55936393470939	3.71145398296749	3.63603467110568	6.82469574000441	4.56023216798093	8.53030194443921
PF00359.25	0.935724609893513	1.67309812334265	0.385210970704527	0.605129399092271	0.761476726662686	0.319949331375682	0.587912384489161	0.714430180299509	0.681616901188649	0.636310611934247	0.727226796497658	0.567500895837655
PF02302.20	0.662737221481801	2.28912185716292	0.906327981677511	1.08965929300353	1.55831840541386	0.72198759194484	1.64166270835133	1.46313039752506	1.07839038156423	0.77939283148513	1.62971817843381	2.07787941082172
PF02378.21	5.95720426589723	10.0452840950204	6.77889381388088	6.75433247123374	7.30658036907504	6.74434224352608	4.46594049572502	4.1855262824485	5.35323302208235	7.25638928208156	4.82990625287067	7.44587065990231
PF13396.9	1.90245661833521	1.72374105618905	2.41897881747017	1.93909294406077	2.44739685518496	1.15036777936117	0.905691337766646	1.45182914047329	1.39426353161495	2.57282679052829	1.4547581865563	1.70822096071516
PF13091.9	3.88206301235415	3.44748211237811	4.91985050307084	4.09383327629637	3.9833731411186	2.40621554317629	2.25133053372485	3.11951551561697	2.92270528259682	5.14565713757318	2.93468885526004	3.4164381494823
PF10298.12	0.532346860242793	1.42229259509915	0.785941363475804	0.645974406301368	0.727039438141545	0.586604482445913	0.208999050004318	0.25427598010647	0.722172731292428	0.525212146215511	0.646040525448067	0.881609867416027
PF14527.9	0.532346860242793	1.42229259509915	0.785941363475804	0.69959662715221	0.83474082288379	0.586604482445913	0.208999050004318	0.25427598010647	0.722172731292428	0.525212146215511	0.646040525448067	0.881609867416027
PF02650.17	0.532346860242793	1.42229259509915	0.785941363475804	0.69959662715221	0.83474082288379	0.586604482445913	0.208999050004318	0.25427598010647	0.722172731292428	0.525212146215511	0.646040525448067	0.881609867416027
PF01226.20	0	0.674170742192654	0.311080662253165	0	0.119117688873724	0	0.482576215562657	0.07286385279341	0	0	0.177312131042919	0
