sample_name	organ	diet	schedule	genotype	condition	zt	replicate	condition_zt	timepoint	phase	cond_phase	fasted	cond_fasted
cFT2b	cecum	HFD	TRF	C57Bl6	FT	17	b	FT_17	2	dark	FT_dark	fed	FT_fed
cFT2c	cecum	HFD	TRF	C57Bl6	FT	17	c	FT_17	2	dark	FT_dark	fed	FT_fed
cFT3a	cecum	HFD	TRF	C57Bl6	FT	21	a	FT_21	3	dark	FT_dark	fed	FT_fed
cFT3b	cecum	HFD	TRF	C57Bl6	FT	21	b	FT_21	3	dark	FT_dark	fed	FT_fed
cFT3c	cecum	HFD	TRF	C57Bl6	FT	21	c	FT_21	3	dark	FT_dark	fed	FT_fed
cFT4a	cecum	HFD	TRF	C57Bl6	FT	1	a	FT_01	4	light	FT_light	fed	FT_fed
cFT4b	cecum	HFD	TRF	C57Bl6	FT	1	b	FT_01	4	light	FT_light	fed	FT_fed
cFT4c	cecum	HFD	TRF	C57Bl6	FT	1	c	FT_01	4	light	FT_light	fed	FT_fed
cFT5a	cecum	HFD	TRF	C57Bl6	FT	5	a	FT_05	5	light	FT_light	fasted	FT_fasted
cFT5b	cecum	HFD	TRF	C57Bl6	FT	5	b	FT_05	5	light	FT_light	fasted	FT_fasted
cFT5c	cecum	HFD	TRF	C57Bl6	FT	5	c	FT_05	5	light	FT_light	fasted	FT_fasted
cFT6a	cecum	HFD	TRF	C57Bl6	FT	9	a	FT_09	6	light	FT_light	fasted	FT_fasted
cFT6b	cecum	HFD	TRF	C57Bl6	FT	9	b	FT_09	6	light	FT_light	fasted	FT_fasted
cFT6c	cecum	HFD	TRF	C57Bl6	FT	9	c	FT_09	6	light	FT_light	fasted	FT_fasted
cNA1a	cecum	NCD	ad_lib	C57Bl6	NA	13	a	NA_13	1	dark	NA_dark	fasted	NA_fasted
cNA1b	cecum	NCD	ad_lib	C57Bl6	NA	13	b	NA_13	1	dark	NA_dark	fasted	NA_fasted
cNA1c	cecum	NCD	ad_lib	C57Bl6	NA	13	c	NA_13	1	dark	NA_dark	fasted	NA_fasted
cNA2a	cecum	NCD	ad_lib	C57Bl6	NA	17	a	NA_17	2	dark	NA_dark	fed	NA_fed
cNA2b	cecum	NCD	ad_lib	C57Bl6	NA	17	b	NA_17	2	dark	NA_dark	fed	NA_fed
cNA2c	cecum	NCD	ad_lib	C57Bl6	NA	17	c	NA_17	2	dark	NA_dark	fed	NA_fed
cNA3a	cecum	NCD	ad_lib	C57Bl6	NA	21	a	NA_21	3	dark	NA_dark	fed	NA_fed
cNA3b	cecum	NCD	ad_lib	C57Bl6	NA	21	b	NA_21	3	dark	NA_dark	fed	NA_fed
cNA3c	cecum	NCD	ad_lib	C57Bl6	NA	21	c	NA_21	3	dark	NA_dark	fed	NA_fed
cNA4a	cecum	NCD	ad_lib	C57Bl6	NA	1	a	NA_01	4	light	NA_light	fed	NA_fed
cNA4b	cecum	NCD	ad_lib	C57Bl6	NA	1	b	NA_01	4	light	NA_light	fed	NA_fed
cNA4c	cecum	NCD	ad_lib	C57Bl6	NA	1	c	NA_01	4	light	NA_light	fed	NA_fed
cNA5a	cecum	NCD	ad_lib	C57Bl6	NA	5	a	NA_05	5	light	NA_light	fasted	NA_fasted
cNA5b	cecum	NCD	ad_lib	C57Bl6	NA	5	b	NA_05	5	light	NA_light	fasted	NA_fasted
