sample_name	organ	diet	schedule	genotype	condition	zt	replicate	condition_zt	timepoint
iFA3c	ileum	HFD	ad_lib	C57Bl6	FA	21	c	FA_21	3
iFA4a	ileum	HFD	ad_lib	C57Bl6	FA	1	a	FA_01	4
iFA4b	ileum	HFD	ad_lib	C57Bl6	FA	1	b	FA_01	4
iFA4c	ileum	HFD	ad_lib	C57Bl6	FA	1	c	FA_01	4
iFA5a	ileum	HFD	ad_lib	C57Bl6	FA	5	a	FA_05	5
iFA5b	ileum	HFD	ad_lib	C57Bl6	FA	5	b	FA_05	5
iFA5c	ileum	HFD	ad_lib	C57Bl6	FA	5	c	FA_05	5
iFA6a	ileum	HFD	ad_lib	C57Bl6	FA	9	a	FA_09	6
iFA6b	ileum	HFD	ad_lib	C57Bl6	FA	9	b	FA_09	6
iFA6c	ileum	HFD	ad_lib	C57Bl6	FA	9	c	FA_09	6
iFT1a	ileum	HFD	TRF	C57Bl6	FT	13	a	FT_13	1
iFT1b	ileum	HFD	TRF	C57Bl6	FT	13	b	FT_13	1
iFT1c	ileum	HFD	TRF	C57Bl6	FT	13	c	FT_13	1
iFT2a	ileum	HFD	TRF	C57Bl6	FT	17	a	FT_17	2
iFT2b	ileum	HFD	TRF	C57Bl6	FT	17	b	FT_17	2
iFT2c	ileum	HFD	TRF	C57Bl6	FT	17	c	FT_17	2
iFT3a	ileum	HFD	TRF	C57Bl6	FT	21	a	FT_21	3
iFT3b	ileum	HFD	TRF	C57Bl6	FT	21	b	FT_21	3
iFT3c	ileum	HFD	TRF	C57Bl6	FT	21	c	FT_21	3
iFT4a	ileum	HFD	TRF	C57Bl6	FT	1	a	FT_01	4
iFT4b	ileum	HFD	TRF	C57Bl6	FT	1	b	FT_01	4
iFT4c	ileum	HFD	TRF	C57Bl6	FT	1	c	FT_01	4
iFT5a	ileum	HFD	TRF	C57Bl6	FT	5	a	FT_05	5
iFT5b	ileum	HFD	TRF	C57Bl6	FT	5	b	FT_05	5
iFT5c	ileum	HFD	TRF	C57Bl6	FT	5	c	FT_05	5
iFT6a	ileum	HFD	TRF	C57Bl6	FT	9	a	FT_09	6
iFT6b	ileum	HFD	TRF	C57Bl6	FT	9	b	FT_09	6
iFT6c	ileum	HFD	TRF	C57Bl6	FT	9	c	FT_09	6
iNA1a	ileum	NCD	ad_lib	C57Bl6	NA	13	a	NA_13	1
iNA1b	ileum	NCD	ad_lib	C57Bl6	NA	13	b	NA_13	1
iNA1c	ileum	NCD	ad_lib	C57Bl6	NA	13	c	NA_13	1
iNA2a	ileum	NCD	ad_lib	C57Bl6	NA	17	a	NA_17	2
iNA2b	ileum	NCD	ad_lib	C57Bl6	NA	17	b	NA_17	2
iNA2c	ileum	NCD	ad_lib	C57Bl6	NA	17	c	NA_17	2
iNA3a	ileum	NCD	ad_lib	C57Bl6	NA	21	a	NA_21	3
iNA3b	ileum	NCD	ad_lib	C57Bl6	NA	21	b	NA_21	3
iNA3c	ileum	NCD	ad_lib	C57Bl6	NA	21	c	NA_21	3
iNA4a	ileum	NCD	ad_lib	C57Bl6	NA	1	a	NA_01	4
iNA4b	ileum	NCD	ad_lib	C57Bl6	NA	1	b	NA_01	4
iNA4c	ileum	NCD	ad_lib	C57Bl6	NA	1	c	NA_01	4
iNA5a	ileum	NCD	ad_lib	C57Bl6	NA	5	a	NA_05	5
iNA5b	ileum	NCD	ad_lib	C57Bl6	NA	5	b	NA_05	5
iNA5c	ileum	NCD	ad_lib	C57Bl6	NA	5	c	NA_05	5
iNA6a	ileum	NCD	ad_lib	C57Bl6	NA	9	a	NA_09	6
iNA6b	ileum	NCD	ad_lib	C57Bl6	NA	9	b	NA_09	6
iNA6c	ileum	NCD	ad_lib	C57Bl6	NA	9	c	NA_09	6
iNT1a	ileum	NCD	TRF	C57Bl6	NT	13	a	NT_13	1
iNT1b	ileum	NCD	TRF	C57Bl6	NT	13	b	NT_13	1
iNT1c	ileum	NCD	TRF	C57Bl6	NT	13	c	NT_13	1
iNT2a	ileum	NCD	TRF	C57Bl6	NT	17	a	NT_17	2
iNT2b	ileum	NCD	TRF	C57Bl6	NT	17	b	NT_17	2
iNT2c	ileum	NCD	TRF	C57Bl6	NT	17	c	NT_17	2
iNT3a	ileum	NCD	TRF	C57Bl6	NT	21	a	NT_21	3
