CHROMATOGRAM,
p6_b9_gudca_dny_bsh2_48h.raw,
Data points: 2443,
Time,Intensity
6.0555788,0
6.0589142,0
6.0621996,0
6.065585,0
6.0703412,0
6.0736787,0
6.0770016,0
6.080262,0
6.082587,0
6.0849098,0
6.0872328,0
6.0895577,0
6.0918806,0
6.0942056,0
6.0965285,0
6.0988514,0
6.1011764,0
6.1034993,0
6.1058222,0
6.1081472,0
6.1104701,0
6.1127951,0
6.115118,0
6.1174409,0
6.1197659,0
6.1220888,0
6.1244117,0
6.1267366,0
6.1290595,0
6.133822,0
6.1374074,0
6.1407074,0
6.1438991,0
6.146224,0
6.1485469,0
6.1508698,0
6.1531948,0
6.1555177,0
6.1601572,0
6.1648155,0
6.1684259,0
6.1715759,0
6.1753884,0
6.1777113,0
6.1800363,0
6.1823592,0
6.1846821,0
6.1870071,0
6.18933,0
6.191655,0
6.1939778,0
6.1963007,0
6.1986257,0
6.2009486,0
6.2032715,0
6.2055965,0
6.2079194,0
6.2102444,0
6.2125673,0
6.2148902,0
6.2172152,0
6.2195381,0
6.2242797,0
6.2279151,0
6.2312172,0
6.2335401,0
6.235863,0
6.2381879,0
6.2405108,0
6.2428337,0
6.2451587,0
6.2474816,0
6.2498066,0
6.2521295,0
6.2544524,0
6.2582733,0
6.2605961,0
6.262919,0
6.265244,0
6.2675669,0
6.2698919,0
6.2722148,0
6.2745377,0
6.2768627,0
6.2791856,0
6.2815085,0
6.2838335,0
6.2861563,0
6.2884813,0
6.2908043,0
6.2931272,0
6.2954521,0
6.297775,0
6.3001,0
6.3024229,0
6.3047458,0
6.3070708,0
6.3093937,0
6.3117166,0
6.3140416,0
6.3163645,0
6.3186874,0
6.3210124,0
6.3233353,0
6.3256602,0
6.3303269,0
6.334981,0
6.3387977,0
6.3427914,0
6.3451143,0
6.3474392,0
6.3497622,0
6.3520872,0
6.35441,0
6.3567329,0
6.3590579,0
6.3613809,0
6.3637037,0
6.3660287,0
6.3683516,0
6.3706766,0
6.3729995,0
6.3753224,0
6.3776474,0
6.3799703,0
6.3881911,0
6.3914577,0
6.4053805,0
6.4123659,0
6.4228346,0
6.4257887,0
6.4450656,0
6.456801,0
6.4761488,0
6.4923924,0
6.5082589,0
6.5300046,0
6.5381108,0
6.5416483,0
6.5448483,0
6.5471712,0
6.5494962,0
6.5542191,0
6.5580294,0
6.5612753,0
6.5636002,0
6.5659231,0
6.568246,0
6.570571,0
6.5728939,0
6.5752189,0
6.5775418,0
6.5798647,0
6.5821897,0
6.5845126,0
6.5868355,0
6.5891605,0
6.5935522,0
6.5958771,0
6.5982,0
6.6005229,0
6.6028479,0
6.6051708,0
6.6074937,0
6.6098187,0
6.6121416,0
6.6144645,0
6.6167894,0
6.6217665,0
6.6254977,0
6.6287352,0
6.6310581,0
6.6333831,0
6.635706,0
6.6380289,0
6.6461976,0
6.6495246,0
6.6528059,0
6.6559496,0
6.65926,0
6.6623829,0
6.6656912,0
6.6773119,0
6.6808619,0
6.6889243,0
6.6935639,0
6.6982576,0
6.7016597,0
6.7063514,0
6.7096388,0
6.7129825,0
6.7163179,0
6.7209721,0
6.724322,0
6.7276928,0
6.730872,0
6.7331969,0
6.7355199,0
6.7378427,0
6.7401677,0
6.7424906,0
6.7448135,0
6.7471385,0
6.7518864,0
6.7554739,0
6.7586697,0
6.7609926,0
6.7633176,0
6.7656405,0
6.770403,0
6.7738967,0
6.7772091,0
6.7795321,0
6.781857,0
6.7841799,0
6.7865028,0
6.7888278,0
6.7911507,0
6.7934736,0
6.7957986,0
6.800484,0
6.804059,0
6.8074298,0
6.8121027,0
6.815561,0
6.8188943,0
6.8220505,0
6.8243755,0
6.8266984,0
6.8290213,0
6.8313462,0
6.8336692,0
6.8359941,0
6.838317,0
6.8422003,0
6.8445233,0
6.8468482,0
6.8491711,0
6.853819,0
6.8575148,0
6.8621627,0
6.8658877,0
6.8690543,0
