CHROMATOGRAM,
p6_e9_gudca_ep_bsh101_48h.raw,
Data points: 2447,
Time,Intensity
4.1037035,0
4.1090494,0
4.1132577,0
4.1155827,0
4.1179056,0
4.1202306,0
4.1225535,0
4.1248764,0
4.1272013,0
4.1295242,0
4.1318471,0
4.1407971,0
4.1444283,0
4.1467512,0
4.1632219,0
4.1665052,0
4.1696364,0
4.1889092,0
4.2051883,0
4.2083195,0
4.2106445,0
4.2129674,0
4.2152924,0
4.2176152,0
4.2199382,0
4.2222632,0
4.224586,0
4.2269089,0
4.229234,0
4.2315569,0
4.2338797,6846.279297
4.2362047,0
4.2385276,5660.509766
4.2408526,0
4.2431755,0
4.2454984,0
4.2478234,0
4.2501463,0
4.2524692,0
4.2547942,0
4.2592296,0
4.2615525,0
4.2638754,0
4.2662004,0
4.2685233,0
4.2708482,0
4.2731711,0
4.2779982,0
4.281919,0
4.2853293,0
4.2970835,0
4.3007459,0
4.3038376,0
4.3085251,0
4.3191271,0
4.3261666,0
4.3402498,0
4.343704,0
4.3467914,0
4.36641,0
4.3710496,0
4.3781537,0
4.385237,0
4.3922849,0
4.3993619,0
4.4025786,0
4.4056015,0
4.4162243,0
4.4192972,0
4.4298783,0
4.4381116,0
4.4486824,0
4.453322,0
4.4638865,0
4.4720843,0
4.4916029,0
4.4998278,0
4.5080486,0
4.5304943,0
4.5502379,0
4.5699503,0
4.5781211,0
4.5812773,0
4.5952793,0
4.6028001,0
4.6059688,0
4.6176375,0
4.6246332,0
4.632754,0
4.6361123,0
4.6394748,0
4.644229,0
4.6513289,0
4.6560851,0
4.6631767,0
4.6663746,0
4.6696933,0
4.6743975,0
4.6774954,0
4.6845953,0
4.6876432,0
4.6981369,0
4.7051785,0
4.7083535,0
4.7131076,0
4.7163139,0
4.7193701,0
4.7240076,0
4.7273034,0
4.7305054,0
4.7338387,0
4.7421095,0
4.7454178,0
4.7487428,0
4.7519094,0
4.7552906,0
4.758976,0
4.7637156,0
4.774203,0
4.7813238,0
4.7975091,0
4.8136194,0
4.8278193,0
4.8359568,0
4.8395005,0
4.8433402,0
4.8456629,0
4.8479879,0
4.8527254,0
4.8562566,0
4.8593691,0
4.861692,0
4.864017,0
4.8663399,0
4.8686628,0
4.8709877,0
4.8757211,0
4.878821,0
4.8859543,0
4.8930751,0
4.8977146,0
4.900873,0
4.9042001,0
4.9074166,0
4.9107771,0
4.9140625,0
4.9173041,0
4.9207499,0
4.9317832,0
4.9459935,0
4.9492643,0
4.9525017,0
4.9607559,0
4.9713829,0
4.9873807,0
5.0093389,0
5.0317283,0
5.0365345,0
5.0560948,0
5.0758029,0
5.0873904,0
5.0956278,0
5.0990049,0
5.1019507,0
5.1102506,0
5.113286,0
5.1165006,0
5.1195339,0
5.1227527,0
5.1258276,0
5.1290317,0
5.133838,0
5.1409359,0
5.1481254,0
5.1677898,0
5.1748668,0
5.1972459,0
5.2090333,0
5.228729,0
5.2393393,0
5.2556059,0
5.2743953,0
5.2885203,0
5.3024056,0
5.3165471,0
5.3327616,0
5.3409823,0
5.3554927,0
5.3695342,0
5.3813029,0
5.3860675,0
5.3932028,0
5.4002382,0
5.4034382,0
5.4175277,0
5.4245901,0
5.4280317,0
5.43614,0
5.439215,0
5.4424879,0
5.4456296,0
5.4528212,0
5.4600044,0
5.4634003,0
5.4666064,0
5.4749439,0
5.4782543,0
5.4816168,0
5.4849626,0
5.4897188,0
5.4931272,0
5.4963959,0
5.4995937,0
5.5019166,0
5.5042416,0
5.5088812,0
5.5124665,0
5.5155749,0
5.5236707,0
5.5271998,0
5.5303102,0
5.535031,0
5.5383997,0
5.5415768,0
5.5449163,0
5.5481767,0
5.5528663,0
5.5599392,0
5.5670412,0
5.5776307,0
5.5809848,0
5.5841828,0
5.5874806,0
5.5948952,0
5.5982764,0
5.602916,0
5.6062284,0
5.6094909,0
5.6128534,0
5.6160179,0
5.6192971,0
5.6226616,0
5.6257804,0
5.6281032,0
5.636347,0
5.6396761,0
5.6537302,0
5.6643155,0
5.6749425,0
5.6938861,0
5.7044798,0
5.7186568,0
5.7293442,0
5.7487607,0
5.7535336,0
5.765421,0
5.7842438,0
5.8002958,0
5.8198519,0
5.8246123,0
5.8443267,0
5.8586912,0
5.8783598,0
5.8901868,0
5.9097908,0
5.9145783,0
5.933199,0
5.9442656,0
5.9602801,0
5.9766675,0
5.9814237,0
5.9846528,0
5.987984,0
5.9927403,0
5.996209,0
6.0009194,0
6.0041985,0
6.007536,0
6.0106735,0
6.0129964,0
6.0177526,0
6.0211234,0
6.0244734,0
6.0291296,0
6.0325671,0
6.0372087,0
6.0407837,0
6.0441066,0
6.0472587,0
6.0495836,0
6.0543211,0
6.0577419,0
6.0610481,0
6.0642065,0
6.0665293,0
6.0688522,0
6.0711772,0
6.0735001,0
6.0758251,0
6.078148,0
6.0804709,0
6.0827959,0
6.0851188,0
6.0874417,0
6.0912958,0
6.0936187,0
6.0959437,0
6.0982666,0
6.1005895,0
6.1029145,0
6.1052374,0
6.1075624,0
6.1098853,0
6.1122082,0
6.1145332,0
6.1168561,0
6.119179,0
6.121504,0
6.1238268,0
6.1261518,0
6.1284747,0
6.1307976,0
6.135558,0
6.1401997,0
6.1437059,0
6.1470288,0
6.1493517,0
6.1516746,0
6.1539996,0
6.1563225,0
6.1586454,0
6.1609703,0
6.1632932,0
6.1656182,0
6.1679411,0
6.170264,0
6.172589,0
6.1766244,0
6.1789494,0
6.1812723,0
6.1835952,0
6.1859202,0
6.1882431,0
6.190568,0
6.1928909,0
6.1952138,0
6.1975388,0
6.1998617,0
6.2021846,0
6.2068659,0
6.2106742,0
6.2138637,0
6.2161866,0
6.2185116,0
6.2208345,0
6.2231574,0
6.2254824,0
6.2278053,0
6.2301282,0
6.2324532,0
6.2347761,0
6.237101,0
6.2394239,0
6.2417468,0
6.2440718,0
6.2463947,0
6.2487176,0
6.2510426,0
6.2533655,0
6.2556905,0
6.2598655,0
6.2621884,0
6.2645134,0
6.2668362,0
6.2691591,0
6.2714841,0
6.273807,0
6.2761299,0
6.2784549,0
6.2807778,0
6.2831028,0
6.2854257,0
6.2877486,0
6.2900736,0
6.2923965,0
6.2947194,0
6.2970444,0
6.2993673,0
6.3016923,0
6.3040152,0
6.306338,0
6.3110339,0
6.3148171,0
6.3179901,0
6.320313,0
6.3226359,0
6.3342379,0
6.3374295,0
6.3483044,0
6.356394,0
6.3593814,0
6.3734772,0
6.3816646,0
6.4011145,0
6.4187581,0
6.439585,0
6.4593516,0
6.4752493,0
6.4868972,0
6.4949701,0
6.4996763,0
6.5078054,0
6.5152345,0
6.5190178,0
6.5222178,0
6.5245407,0
6.5268657,0
6.5291886,0
6.5315115,0
6.5338365,0
6.5361594,0
6.5384844,0
6.5408072,0
6.5431301,0
6.5481614,0
6.5523988,0
6.5557217,0
6.5580467,0
6.5603696,0
6.5626946,0
6.5650175,0
6.5673404,0
6.5696654,0
6.5719883,0
6.5743112,0
6.5766362,0
6.5789591,0
6.581284,0
6.5836069,0
6.5859299,0
6.5882549,0
6.5928465,0
6.5951715,0
6.5974944,0
6.5998172,0
6.6021422,0
6.6044651,0
6.6067901,0
6.609113,0
6.6114359,0
6.6137609,0
6.6160838,0
6.6184067,0
6.6207317,0
6.6230546,0
6.6253795,0
