CHROMATOGRAM,
IM5.raw,
Data points: 2986,
Time,Intensity
5.2107074,0
5.2130387,0
5.2153616,0
5.2176865,0
5.2200095,0
5.2223324,2851.376953
5.2278949,0
5.2321198,0
5.2344427,0
5.2367677,0
5.2390906,0
5.2414135,0
5.2437385,0
5.2460614,0
5.2483864,0
5.2507176,0
5.2530405,3353.959473
5.2553634,0
5.2602092,0
5.2625321,0
5.2680362,0
5.2722716,0
5.2745945,0
5.2769195,0
5.2792424,0
5.2815653,0
5.2838903,0
5.2862132,0
5.2885361,0
5.2908611,0
5.2932027,0
5.2955277,0
5.2978506,0
5.3034151,0
5.3071172,0
5.3094401,0
5.3117651,0
5.314088,0
5.316413,0
5.3187358,0
5.3210588,0
5.3233837,0
5.3314503,0
5.3384649,0
5.3420003,0
5.3450711,0
5.3642543,0
5.3712647,0
5.3851479,0
5.3881937,0
5.3986041,0
5.4014624,0
5.4084936,0
5.4154727,0
5.4224518,0
5.4298434,0
5.4328725,0
5.43751,0
5.4403892,0
5.4434245,0
5.4464683,0
5.4493308,0
5.4563099,0
5.4633744,0
5.4703556,0
5.4785264,0
5.4814139,0
5.4844722,0
5.4891784,0
5.4920763,0
5.4956575,0
5.5002971,0
5.5038783,0
5.5071825,0
5.5102783,0
5.5131803,0
5.5213344,0
5.529401,0
5.5452655,0
5.5522988,0
5.5683174,0
5.5715528,0
5.574807,0
5.577907,0
5.5812048,0
5.5843569,0
5.5876964,0
5.5913048,0
5.5944069,0
5.5977651,0
5.6011213,0
5.6057609,0
5.6093255,0
5.6126879,0
5.6158983,0
5.62409,0
5.6275837,0
5.6309045,0
5.6356294,0
5.6392378,0
5.6423648,0
5.6446877,0
5.6470127,0
5.6493356,0
5.6516606,0
5.6564252,0
5.6597397,0
5.6678688,0
5.674848,0
5.6857166,0
5.6904062,0
5.6938124,0
5.6970145,0
5.7003519,0
5.7036811,0
5.7068561,0
5.7091789,0
5.7115039,0
5.7138268,0
5.7161497,0
5.720883,0
5.7279205,0
5.7316454,0
5.7349808,9364.270508
5.7373058,20759.58594
5.7396287,20124.62891
5.7443683,23938.86133
5.7481182,38512.98828
5.751389,44650.42188
5.7630077,70370.22656
5.7663286,63724.91406
5.7696181,95978.67188
5.7811555,93723.63281
5.7857951,93394.36719
5.79632,104415.6797
5.7995095,112329.2188
5.8025262,110471.2891
5.8057074,105241.4531
5.808722,81091.26563
5.8119136,82066.1875
5.8150719,100596.4141
5.8180886,116556.2109
5.8212531,120452.5938
5.8244406,77580.9375
5.8276468,108000.2422
5.8308697,102268.7734
5.8339426,97500.75
5.8371947,86075.33594
5.8445634,81557.90625
5.8478925,81631.40625
5.8512384,95060.34375
5.8545925,77071.55469
5.8592841,76987.22656
5.8627341,91426.69531
5.8658945,71051.60156
5.869234,64218.58594
5.872382,56524.65625
5.8747069,78561.45313
5.8770298,77667.21094
5.8793548,70405.36719
5.8816777,77532.17969
5.8840006,57813.88672
5.8863256,53594.51172
5.8886485,65720.42188
5.8909714,42442.22656
5.8956714,45835.39063
5.898788,53879.67188
5.9020671,35543.69141
5.9053526,43030.39453
5.9084546,38841.75
5.913165,20679.14844
5.9164545,31588.4375
5.9196004,24926.71289
5.9270316,0
5.9304503,0
5.9340773,9082.254883
5.9376127,8518.885742
5.9422523,0
5.9458043,0
5.9492647,0
5.9540647,4947.916016
5.9580709,0
5.9615855,4826.587891
5.9639084,0
5.9662313,4344.783691
5.9685563,0
5.9741918,0
5.9784229,0
5.9807458,3653.31665
5.9830708,0
5.9853937,0
5.9877165,0
5.9900415,0
5.9923832,0
5.9947061,0
5.9970311,0
5.999354,0
6.0049998,2987.73584
6.0098372,0
6.0121622,0
6.0144851,0
6.0201101,0
6.0243392,0
6.0266621,0
6.0289871,0
6.03131,0
6.0336329,0
6.0359579,0
6.0382808,5578.69043
6.0406037,0
6.0429287,0
6.0452516,0
6.0475766,0
6.0498994,0
6.0522224,0
6.0545473,0
6.0568702,3349.157959
6.0591931,0
6.0615181,0
6.063841,0
6.066166,0
6.0684889,0
6.0708118,0
