FeatureID	PC1	PC2	PC3
PF13561.9	0.00241589573154021	0.000570831752270794	0.0246652265104274
PF08240.15	-0.00601730986889139	0.0147003339007983	0.0229226436102996
PF00107.29	-0.00724542229442744	0.0144670082291048	0.0227908572838481
PF12698.10	0.0129512524323706	0.006134321463396	0.0157811922030628
PF01264.24	0.00656801404755979	0.00585570616897815	0.00546206611565818
PF03703.17	0.0110993304930867	-0.00950540131698928	-0.00440951427430676
PF07905.14	-0.0048804659782906	0.0334206598816342	-0.00469869279285604
PF17853.4	0.000838581359327327	-0.00222456648253149	0.0227425663349363
PF13556.9	-0.000321771106879196	-0.00280657729769937	0.021187070206364
PF13649.9	0.00551427537323247	-0.00106395668092447	0.0187061892437513
PF00092.31	0.0147702304638509	0.00229561507123941	0.0106488390409193
PF00144.27	0.023968969388477	-0.00905387425781721	0.0112994553461729
PF07732.18	0.00861850561172151	-0.00379563705668066	-0.0118766666353932
PF00394.25	-0.00907607903171785	-0.00290349006195729	-0.00937416934502387
PF07731.17	0.00731559669008083	0.0050556748562385	-0.0128190318873114
PF00795.25	0.00865200225529556	0.00392152039734505	0.0179527404855136
PF00672.28	0.00107259503661401	-0.00354653626332581	0.0401439320421048
PF01966.25	-0.00376362426812485	0.000905365320186942	0.0396193114079086
PF00587.28	0.0029481057444631	0.00562989422828744	0.032607632197862
PF04073.18	0.0101531968333402	0.00796046151636071	0.00829242728841423
PF03129.23	0.00328714594145056	0.00687569463950804	0.0310339287981542
PF01648.23	0.00643880508951114	-0.00329366336522087	0.00487540957519838
PF01134.25	0.0110659469022137	0.00848984564423842	0.0121439120541988
PF03738.17	-0.00451594292656627	0.00164974926117413	-0.0143595189218467
PF00005.30	-0.000132188344991981	-0.00162091986864634	0.0540758046176355
PF12848.10	0.00997285709118961	0.00942631274832379	0.0222294301779248
PF16326.8	0.00899983768441879	0.00985968898299221	0.00861298540185281
PF01513.24	0.00707232021163167	0.00454643858097846	0.00623941857756322
PF20143.2	0.00742292356176156	0.00484581369361249	0.00588259694380436
PF12419.11	0.000626868025935141	0.0246722509119299	-0.00222154301133288
PF00176.26	0.0171999025544224	-0.00380015748600957	0.0206845577806521
PF00271.34	0.0109800063261118	0.0074944056030227	0.0346458370906596
PF10646.12	0.000173374695551653	-0.00357664709471803	0.0125137113407401
PF00977.24	0.00173544093107734	0.000357885356921421	0.0144439462219967
PF01205.22	0.0101773001622732	0.00811942748691982	-0.00031119301790203
PF09186.14	0.0110703931510688	-0.010698096773459	-0.00118848823678087
PF03806.16	0.0118772632938511	-0.00617961184114682	-0.0134758863208076
PF01471.21	0.00843399848081754	-0.00320528744126031	0.0126159192823893
PF07486.15	0.00344067986978108	-0.00820352108108542	0.017063061091928
PF02463.22	0.00631802539595035	0.00861134408954682	0.0231088738639968
PF13673.10	0.0125156356319072	-0.00577440390711945	0.0167114025234164
PF07670.17	0.0157065079785725	-0.00287602170927684	0.0233369794130396
PF00015.24	-0.00579822528507156	-0.00629120529184389	0.0419576239265961
PF03807.20	0.00236441250043077	0.000790005292493543	0.00682154285923288
PF14748.9	0.00169486508523565	0.00139963210998994	0.00634472516938101
PF08455.13	-0.00174938020681307	0.00288033230543795	0.00913621865587932
PF02746.19	0.0146906048757983	0.00262877526713145	-0.00467863677648789
PF13378.9	0.0127451888008159	0.0084953322183953	-0.000348277472046931
PF09339.13	-0.000728639157288076	0.0122980838327934	-0.00479157746776353
PF01614.21	-0.001547306543957	0.0121313670994794	-0.00519184108574063
PF01546.31	0.000519618826689343	0.014684379652288	0.024391000767075
