SampleID	PC1	PC2	PC3
cFA01a	-0.0868293290996566	0.13977433593038	0.0399181737952648
cFA01b	-0.183020022334634	-0.0143997205533556	-0.0410000856287043
cFA05a	0.154416132581568	0.258691715455471	-0.0924777221159643
cFA05b	-0.166791444263533	-0.0180803992990215	-0.152813507916485
cFA09a	-0.00554837041999849	0.254372873327467	0.010034729558981
cFA09b	-0.185717588843781	-0.0830787301524832	0.0633722383820732
cFA13a	-0.126411411016648	0.0495001352769234	0.00925766770803788
cFA13b	-0.114496069917056	0.137818941133564	0.0485007376727652
cFA17a	-0.107833674331363	0.109893491179812	-0.010812969726217
cFA17b	-0.10255744901346	0.131265020204671	0.0428670595876626
cFA21a	-0.0480073899044692	0.306556221976494	-0.080096786530192
cFA21b	-0.0852550044137179	0.320926947724448	-0.147212743409297
cFT01a	-0.142280587981708	-0.00652681202808279	-0.107752522706416
cFT01b	-0.159723035912722	-0.0464670675365886	-0.115056657000891
cFT05a	-0.136591744325336	0.0629986636112611	-0.066085440573595
cFT05b	-0.114408658806221	0.0296685058280678	0.0689401201273923
cFT09a	0.119321241693053	0.197393797358363	0.165109107150877
cFT09b	-0.121858802941029	0.0509719258994826	-0.0010583656885188
cFT13a	-0.0820258537794995	0.119603017429768	0.219107505932417
cFT13b	-0.125665608226177	0.0539886109430359	0.0141659195537633
cFT17a	-0.0199811030882603	0.0669251473575883	0.410188158879956
cFT17b	-0.170094966939092	-0.00446224267367131	-0.0149401677580151
cFT21a	-0.149205028965665	-0.0478037481577826	0.0513408026748713
cFT21b	-0.115846232349794	-0.0351329042871606	0.0791583321081475
cNA01a	-0.113251230298799	-0.279402863321972	-0.187638724473281
cNA01b	0.248680391129043	-0.00439452806902791	0.0742801390813763
cNA01c	0.249649501906072	0.00700626394726509	0.0239269410923771
cNA05a	0.229814027057093	0.0561658743080197	0.133999420493295
cNA05b	0.252741186075207	0.0496012911408309	-0.335645119994724
cNA05c	0.275693592536569	0.0162002983476876	-0.27436615536123
cNA09a	-0.00779368625394176	-0.25694664775461	-0.0987384060575132
cNA09b	0.255834286201377	0.0272646548295479	-0.193143392303848
cNA09c	0.24961600018372	0.0224299000543417	-0.187114694986815
cNA13a	-0.0723548870764443	-0.297959082227589	-0.206322363037074
cNA13b	0.167228650291147	-0.18782169493876	0.339795042183373
cNA13c	0.0242873060588724	-0.190021504123271	0.0859058546878542
cNA17a	-0.0645527672973267	-0.242140485704049	0.0462789012830067
cNA17b	0.158341402858228	-0.10584624972777	0.114462325652836
cNA17c	0.12746680572945	-0.151358640083824	0.153360877843321
cNA21a	-0.0677960868561144	-0.288252049302461	-0.18086010622501
cNA21b	0.25436487042604	-0.0312376212350007	0.0260534281732896
cNA21c	0.108442639929007	-0.177684642088008	0.273112447870851
