filename	sample_name	ENB	mouseid	plate	well	collection_time	Phase	stool_wgt_mg
P1_G6_Dut.13L.mzML Peak area	Dut-13L	LgBSH	13L	P1	G6	ZT15	Dark	50.6
P1_G7_Dut.13R.mzML Peak area	Dut-13R	LgBSH	13R	P1	G7	ZT15	Dark	49
P1_G8_Dut.14L.mzML Peak area	Dut-14L	LgBSH	14L	P1	G8	ZT15	Dark	37.4
P1_G9_Dut.14R.mzML Peak area	Dut-14R	LgBSH	14R	P1	G9	ZT15	Dark	34.5
P1_G10_Dut.14B.mzML Peak area	Dut-14B	LgBSH	14B	P1	G10	ZT15	Dark	45.8
P1_G11_Dut.15N.mzML Peak area	Dut-15N	LgBSH	15N	P1	G11	ZT15	Dark	35.5
P1_H1_Dut.15B.mzML Peak area	Dut-15B	LgBSH	15B	P1	H1	ZT15	Dark	45.6
P1_H2_Dut.16L.mzML Peak area	Dut-16L	LgBSH	16L	P1	H2	ZT15	Dark	36
P1_H3_Dut.16R.mzML Peak area	Dut-16R	LgBSH	16R	P1	H3	ZT15	Dark	42.5
Blank_1.mzML Peak area								
Blank_10.mzML Peak area								
Blank_11.mzML Peak area								
Blank_12.mzML Peak area								
Blank_13.mzML Peak area								
Blank_14.mzML Peak area								
Blank_15.mzML Peak area								
Blank_16.mzML Peak area								
Blank_17.mzML Peak area								
Blank_18.mzML Peak area								
Blank_19.mzML Peak area								
Blank_2.mzML Peak area								
Blank_20.mzML Peak area								
Blank_21.mzML Peak area								
Blank_22.mzML Peak area								
Blank_23.mzML Peak area								
Blank_24.mzML Peak area								
Blank_25.mzML Peak area								
Blank_26.mzML Peak area								
Blank_27.mzML Peak area								
Blank_28.mzML Peak area								
Blank_29.mzML Peak area								
Blank_3.mzML Peak area								
Blank_30.mzML Peak area								
Blank_31.mzML Peak area								
Blank_32.mzML Peak area								
Blank_5.mzML Peak area								
Blank_6.mzML Peak area								
Blank_7.mzML Peak area								
Blank_8.mzML Peak area								
Blank_9.mzML Peak area								
Blank_pre.mzML Peak area								
