FeatureID	Compound_Name	Intercept_pval	ENB_pval	Phase_pval	ENB_Phase_pval	light_AZ51vAZ52	light_AZ51vDnBSH1	light_AZ51vLgBSH	light_AZ52vDnBSH1	light_AZ52vLgBSH	light_DnBSH1vLgBSH	dark_AZ51vAZ52	dark_AZ51vDnBSH1	dark_AZ51vLgBSH	dark_AZ52vDnBSH1	dark_AZ52vLgBSH	dark_DnBSH1vLgBSH	light_AZ51vAZ52_pval	light_AZ51vDnBSH1_pval	light_AZ51vLgBSH_pval	light_AZ52vDnBSH1_pval	light_AZ52vLgBSH_pval	light_DnBSH1vLgBSH_pval	dark_AZ51vAZ52_pval	dark_AZ51vDnBSH1_pval	dark_AZ51vLgBSH_pval	dark_AZ52vDnBSH1_pval	dark_AZ52vLgBSH_pval	dark_DnBSH1vLgBSH_pval
32391	Candidate Pentahydroxylated bile acid (delta mass -108.0217; sirius atomic difference: -6C, -4H, -2O; buddy atomic difference: -6C, -4H, -2O)""	0	0.734800968740746	0.00710387349048081	0.470923954757339	0.0855254494050796	0.204844963354154	0.211849889058583	0.119319513949074	0.126324439653503	0.00700492570442887	0.0606887285547976	-0.0441155719364351	0.00946433015694587	-0.104804300491233	-0.0512243983978518	0.053579902093381	0.9269613330705	0.465281800515109	0.435944248295074	0.826910225092301	0.80126813000966	0.999953425248495	0.97190850499263	0.988816837320453	0.999885226551561	0.875041626279105	0.982736142723397	0.980343611496008
42930	Candidate Dihydroxylated bile acid (delta mass -36.0208; sirius atomic difference: -4H, -2O; buddy atomic difference: -4H, -2O; spectral library match to CCMSLIB00005463909, DEOXYCHOLATE)""	0	0.538435601880081	0.00858860726586297	0.00769429059929372	-0.382467060304557	-0.356754219807685	-0.618213944198024	0.0257128404968719	-0.235746883893467	-0.261459724390339	-0.202743612364208	-0.158363458053217	0.61812852888912	0.0443801543109908	0.820872141253328	0.776491986942337	0.63724955454046	0.686042012243546	0.236706913975705	0.999812975864904	0.88308379888978	0.847820080642997	0.921510854406802	0.960251888536998	0.236814384757132	0.999043282053975	0.0685057479084582	0.0922303140413064
36372	Candidate Dihydroxylated bile acid (delta mass -36.0204; sirius atomic difference: -4H, -2O; buddy atomic difference: -4H, -2O; spectral library match to CCMSLIB00005463880, URSODEOXYCHOLATE)""	1.64973648075772e-08	0.645537030814334	0.0312520821218571	0.000748011983115138	0.121744329442135	-0.131988075336017	-0.345750078222093	-0.253732404778152	-0.467494407664228	-0.213762002886076	0.237099570271575	0.600470906345735	0.807799145579492	0.36337133607416	0.570699575307916	0.207328239233757	0.963021786952011	0.953626276280295	0.529884414482528	0.750048941082583	0.270319163701788	0.833634379478547	0.786367616379151	0.101808994279923	0.0151059597852253	0.487743530664388	0.129168914832116	0.845786087398
45141	Candidate Monohydroxylated bile acid (delta mass -18.0101; sirius atomic difference: -2H, -1O; buddy atomic difference: -2H, -1O; spectral library match to CCMSLIB00010121505, 3a-hydroxy-5b-cholan-24-oate CollisionEnergy:205060)""	1.11022302462516e-16	0.638605564888278	0.00281632231355167	0.860159709554976	-0.129827076027824	-0.110473514924963	-0.133638286189629	0.0193535611028605	-0.00381121016180469	-0.0231647712646652	-0.504706512697154	-0.350771178853438	-0.43096063477671	0.153935333843717	0.073745877920444	-0.0801894559232727	0.982570677014546	0.989098176253813	0.981051755604806	0.999939078848952	0.999999534213326	0.999895590822679	0.486855249767876	0.752124780179603	0.615522394369299	0.971579631181535	0.996684859342243	0.995751508802664
36401	Candidate Dihydroxylated bile acid (delta mass -18.0114; sirius atomic difference: -2H, -1O; buddy atomic difference: -2H, -1O; spectral library match to CCMSLIB00003139832, Spectral Match to Ursodeoxycholic acid from NIST14)""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36373	Candidate Dihydroxylated bile acid (delta mass -0.9844; sirius atomic difference: 1H, 1N, -1O; buddy atomic difference: 1H, 1N, -1O)""	4.65094629475971e-12	0.102288134703378	0.969742264141599	0.0884412657296474	0.402647233535894	0.0520937198191538	-0.192365027620481	-0.350553513716741	-0.595012261156375	-0.244458747439635	0.868700377247418	0.842481804626293	0.664704888782887	-0.0262185726211245	-0.20399548846453	-0.177776915843406	0.585605678008246	0.998379981822282	0.928813223758469	0.686799460629322	0.253931693662744	0.866145479964685	0.044208297318272	0.0534918230324833	0.171976178692847	0.999791763025136	0.916611786260051	0.942613564873837
32146	Candidate Trihydroxylated bile acid (delta mass 2.9896; sirius atomic difference: 2C, -3H, 1N, -2O; buddy atomic difference: 2C, -3H, 1N, -2O)""	0.323986493846641	0.403995302553649	0.323983558692639	0.403989838857272	1.43330057574925e-17	-0.0865884528854768	4.38856342576719e-17	-0.0865884528854768	2.95526285001794e-17	0.0865884528854768	2.50826939698656e-17	1.38777878078145e-17	2.63314669147884e-17	-1.12011636944909e-17	1.24877294492271e-18	1.24511277806528e-17	1	0.206906583359261	1	0.206906583359261	1	0.20690658335926	1	1	1	1	1	1
32466	Candidate Dihydroxylated bile acid (delta mass 21.001; sirius atomic difference: 2C, -1H, 1N, -1O; buddy atomic difference: 2C, -1H, 1N, -1O; spectral library match to CCMSLIB00005435537, glycoursodeoxycholic acid)""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41415	Candidate Monohydroxylated bile acid (delta mass 39.011; sirius atomic difference: 2C, 1H, 1N; buddy atomic difference: 2C, 1H, 1N)""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41595	Candidate Monohydroxylated bile acid (delta mass 39.9903; sirius atomic difference: -3C, 2N, 3O; buddy atomic difference: -3C, 2N, 3O)""	0	0.0342977810869779	6.86752281464642e-06	0.00391726571643236	0.324829195045028	0.141950632361292	0.0502523753113703	-0.182878562683736	-0.274576819733657	-0.0916982570499217	0.292082223887602	0.286107638016197	0.388574607073705	-0.00597458587140462	0.0964923831861024	0.102466969057507	0.0382820330443426	0.614076228815931	0.972143255553593	0.401975741596893	0.100594007834168	0.857287829371696	0.0728782557479215	0.0814999719383651	0.00961776022462224	0.999949550571657	0.837887014789232	0.812209446822108
