CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
101	4713	-0.067	0.000	0.7130	0.5541	1
172	1122	-4.979	0.000	0.9185	0.7481	1
172	49739	0.000	0.000	0.8874	0.7537	1
181	185	-1.995	0.000	0.9753	0.7715	1
181	561	9.947	0.000	0.7772	0.6820	1
181	1126	-1.995	0.000	0.9805	0.9116	1
181	38755	-1.995	0.000	0.9859	0.9279	1
181	42067	-1.995	0.000	0.9777	0.9101	1
181	49557	-2.019	0.000	0.9636	0.7203	1
181	49561	-0.025	0.000	0.8397	0.6612	1
181	49705	-1.995	0.000	0.9607	0.6900	1
181	49709	0.000	0.000	0.8436	0.6697	1
181	49736	-0.998	0.000	0.7936	0.6260	1
185	1126	0.000	0.000	0.9773	0.7685	1
185	8113	-0.116	0.000	0.8725	0.6111	1
185	38755	0.000	0.000	0.9808	0.8348	1
185	42067	0.000	0.000	0.9584	0.7335	1
185	49557	-0.024	0.000	0.9814	0.8973	1
185	49561	1.971	0.000	0.8719	0.8289	1
185	49679	2.963	0.000	0.8310	0.5213	1
185	49705	0.000	0.000	0.9779	0.8556	1
185	49709	1.995	0.000	0.8864	0.8349	1
185	49736	0.997	0.000	0.8013	0.7721	1
192	588	0.024	0.000	0.9025	0.7769	1
192	49765	0.001	0.000	0.9356	0.7745	1
197	580	0.023	0.000	0.8127	0.6749	1
197	49574	0.023	0.000	0.9104	0.6183	1
197	49700	0.000	0.000	0.9117	0.6103	1
282	49710	0.000	0.000	0.9738	0.8723	1
485	923	-0.096	0.000	0.9921	0.8827	1
498	577	2.033	0.000	0.7250	0.7832	1
498	2994	0.896	0.000	0.7926	0.6853	1
522	577	-5.005	0.000	0.7739	0.5903	1
522	595	-0.221	0.000	0.7246	0.6328	1
558	561	-1.998	0.000	0.9317	0.7546	1
560	18079	-0.027	0.000	0.9625	0.7059	1
561	49709	-9.947	0.000	0.7095	0.6642	1
576	620	4.979	0.000	0.9686	0.8600	1
576	49741	4.979	0.000	0.9696	0.8806	1
577	2994	-1.137	0.000	0.7049	0.6137	1
586	851	-0.045	0.000	0.9197	0.7109	1
586	4064	-0.000	0.000	0.9738	0.8659	1
587	2857	-2.945	0.000	0.7989	0.5552	1
587	4269	-2.946	0.000	0.7911	0.5295	1
588	49765	-0.023	0.000	0.8834	0.7877	1
589	49589	-0.997	0.000	0.7263	0.7425	1
589	49592	0.998	0.000	0.7120	0.7743	1
589	49652	0.001	0.000	0.9339	0.8593	1
590	2564	-3.982	0.000	0.7050	0.5997	1
598	857	-0.984	0.000	0.7253	0.6797	1
619	645	0.265	0.000	0.8041	0.5192	1
620	49741	0.000	0.000	0.9945	0.9723	1
624	1964	4.980	0.000	0.9370	0.7571	1
624	19667	4.885	0.000	0.8439	0.7115	1
624	49743	4.980	0.000	0.9289	0.7195	1
633	766	-0.019	0.000	0.7914	0.4912	1
633	855	0.984	0.000	0.7675	0.7582	1
633	1234	2.016	0.000	0.7897	0.7814	1
634	1235	-3.036	0.000	0.8004	0.7690	1
634	1478	6.996	0.000	0.7253	0.4538	1
634	1555	-0.950	0.000	0.7752	0.6296	1
634	2644	-3.036	0.000	0.7923	0.6323	1
634	2646	-4.040	0.000	0.7309	0.3884	1
634	2973	6.984	0.000	0.7013	0.4779	1
634	4062	1.020	0.000	0.7430	0.5272	1
634	13049	1.006	0.000	0.7205	0.4421	1
636	708	9.984	0.000	0.9223	0.8071	1
636	1062	-9.984	0.000	0.8660	0.7459	1
649	836	0.107	0.000	0.8536	0.6589	1
664	3100	1.032	0.000	0.7420	0.5898	1
676	1270	-6.937	0.000	0.8438	0.7035	1
676	2433	-6.937	0.000	0.8487	0.6419	1
708	1239	0.110	0.000	0.7884	0.4023	1
737	2391	-0.986	0.000	0.7439	0.4932	1
766	855	1.003	0.000	0.7279	0.6232	1
801	49482	0.000	0.000	0.9406	0.5065	1
830	2359	-6.973	0.000	0.8059	0.5042	1
830	3805	9.021	0.000	0.8048	0.4798	1
833	1140	-0.011	0.000	0.9401	0.6634	1
833	1160	-4.031	0.000	0.8707	0.5084	1
844	1213	0.113	0.000	0.7625	0.8048	1
849	1502	9.029	0.000	0.8535	0.7786	1
849	1574	10.032	0.000	0.7897	0.6099	1
851	4064	0.045	0.000	0.9325	0.7463	1
855	10204	-0.000	0.000	0.9717	0.7613	1
857	2900	9.081	0.000	0.8163	0.5372	1
858	884	-1.003	0.000	0.9122	0.8044	1
858	1087	0.035	0.000	0.7100	0.3955	1
858	3572	-4.057	0.000	0.7640	0.3927	1
858	4650	0.000	0.000	0.8584	0.4218	1
858	4673	-9.973	0.000	0.8106	0.4480	1
858	12895	-4.057	0.000	0.7722	0.2698	1
858	18080	4.006	0.000	0.7656	0.2906	1
859	865	2.946	0.000	0.7064	0.4730	1
859	1166	1.962	0.000	0.7320	0.4259	1
859	1384	0.965	0.000	0.8775	0.6217	1
859	1386	-0.042	0.000	0.9038	0.7141	1
859	2394	0.965	0.000	0.8752	0.6088	1
859	2423	0.959	0.000	0.8722	0.5799	1
859	2526	1.962	0.000	0.7270	0.3804	1
859	2880	1.003	0.000	0.8992	0.7379	1
859	2898	-1.967	0.000	0.7453	0.5275	1
859	4688	1.003	0.000	0.9361	0.6764	1
859	7952	1.035	0.000	0.7072	0.5871	1
859	8343	2.046	0.000	0.7915	0.5439	1
859	10151	1.962	0.000	0.7260	0.3793	1
859	11999	10.036	0.000	0.7570	0.3885	1
859	15553	1.035	0.000	0.7769	0.4582	1
862	904	0.051	0.000	0.7937	0.7888	1
862	1116	0.059	0.000	0.8221	0.8018	1
862	1290	-0.984	0.000	0.7196	0.7138	1
865	1084	-1.004	0.000	0.9140	0.8127	1
865	1166	-0.984	0.000	0.9134	0.8198	1
865	1384	-1.981	0.000	0.7769	0.6603	1
865	1386	-2.989	0.000	0.7520	0.5595	1
865	2394	-1.981	0.000	0.7793	0.6509	1
865	2423	-1.987	0.000	0.7819	0.6697	1
865	2526	-0.984	0.000	0.9092	0.7710	1
865	2880	-1.943	0.000	0.7676	0.5944	1
865	2898	-4.914	0.000	0.7040	0.5572	1
865	4688	-1.943	0.000	0.7165	0.5505	1
865	10151	-0.984	0.000	0.9025	0.8026	1
865	15553	-1.911	0.000	0.7540	0.6055	1
865	20555	-1.009	0.000	0.7952	0.5946	1
866	1114	-1.980	0.000	0.7404	0.7132	1
884	3572	-3.053	0.000	0.7322	0.4605	1
884	4650	1.003	0.000	0.7759	0.3791	1
884	4673	-8.969	0.000	0.7630	0.5624	1
884	4700	-9.006	0.000	0.7621	0.5600	1
884	12895	-3.053	0.000	0.7177	0.3061	1
898	927	6.940	0.000	0.8591	0.5719	1
898	3052	3.941	0.000	0.7101	0.6318	1
898	3059	4.961	0.000	0.8132	0.6362	1
904	1116	0.009	0.000	0.9258	0.8250	1
904	1118	-0.006	0.000	0.7666	0.8240	1
918	1244	-9.984	0.000	0.7894	0.7283	1
918	2658	-9.984	0.000	0.7577	0.7439	1
923	958	-1.003	0.000	0.7530	0.6309	1
925	2165	-8.005	0.000	0.7762	0.4654	1
925	3253	-9.984	0.000	0.7409	0.3910	1
