CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
24944	25556	0.001	0.000	0.7702	0.3873	1
24944	26203	0.001	0.000	0.8064	0.4629	1
24944	26751	0.000	0.000	0.7288	0.2793	1
24944	27413	2.016	0.000	0.7018	0.4238	1
24944	29899	0.000	0.000	0.8562	0.5657	1
24944	30177	-7.039	0.000	0.7487	0.4294	1
24944	31311	-8.023	0.000	0.8018	0.7250	1
24944	31819	5.957	0.000	0.7747	0.3459	1
24944	33672	7.937	0.000	0.7095	0.3261	1
24944	34948	9.952	0.000	0.7835	0.3395	1
24944	35195	-3.079	0.000	0.7024	0.4488	1
24944	35844	7.936	0.000	0.7674	0.3437	1
24944	36628	7.983	0.000	0.7158	0.2896	1
24944	36974	-6.079	0.000	0.7485	0.4338	1
24944	37820	-6.079	0.000	0.7033	0.2388	1
25007	25695	-0.000	0.000	0.8737	0.7118	1
25007	27269	-0.982	0.000	0.7146	0.5404	1
25007	29900	-0.982	0.000	0.8837	0.7620	1
25007	33565	-2.014	0.000	0.7492	0.4193	1
25007	34161	-2.015	0.000	0.7520	0.3706	1
25007	35604	7.936	0.000	0.7205	0.4353	1
25020	25647	0.000	0.000	0.9710	0.9340	1
25020	38170	-1.041	0.000	0.8409	0.6622	1
25020	38183	-0.036	0.000	0.9008	0.6050	1
25038	26475	0.000	0.000	0.8347	0.6769	1
25057	25439	2.015	0.000	0.8340	0.6330	1
25057	25794	-0.000	0.000	0.9817	0.9392	1
25115	25792	0.000	0.000	0.9723	0.9506	1
25125	26553	-0.000	0.000	0.9035	0.6017	1
25183	25967	0.002	0.000	0.7442	0.5193	1
25204	26939	2.962	0.000	0.7216	0.5969	1
25204	28000	1.979	0.000	0.7348	0.4567	1
25204	30025	-10.022	0.000	0.7084	0.4477	1
25204	30826	-0.000	0.000	0.7882	0.3766	1
25204	32962	1.979	0.000	0.7382	0.3331	1
25204	33698	3.995	0.000	0.7919	0.7208	1
25204	34988	-10.021	0.000	0.7697	0.3755	1
25204	36410	-4.010	0.000	0.7530	0.4293	1
25248	41390	3.995	0.000	0.7083	0.5875	1
25279	30612	-3.947	0.000	0.8662	0.5848	1
25305	25610	-0.038	0.000	0.9452	0.9052	1
25305	26578	-0.001	0.000	0.7065	0.4497	1
25309	29563	1.942	0.000	0.7001	0.3875	1
25309	33767	0.957	0.000	0.7464	0.6115	1
25309	34271	0.958	0.000	0.7992	0.5160	1
25374	38761	6.958	0.000	0.7740	0.4937	1
25439	25794	-2.015	0.000	0.8331	0.6372	1
25460	25901	-2.016	0.000	0.9363	0.6046	1
25463	25681	9.058	0.000	0.7442	0.6155	1
25529	25639	-1.012	0.000	0.7470	0.3171	1
25529	25901	1.003	0.000	0.7116	0.4060	1
25547	25580	0.000	0.000	0.8856	0.8067	1
25552	26504	0.982	0.000	0.7030	0.4109	1
