CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
41545	42182	2.012	0.000	0.7751	0.7314	1
41589	43974	-1.022	0.000	0.7652	0.7127	1
41593	41731	4.031	0.000	0.7073	0.4734	1
41593	42553	2.015	0.000	0.7223	0.4711	1
41618	42548	2.016	0.000	0.8208	0.7558	1
41620	44881	-0.987	0.000	0.7416	0.8141	1
41664	42915	0.036	0.000	0.7081	0.6548	1
41664	43522	-1.003	0.000	0.7924	0.6746	1
41678	42552	2.016	0.000	0.7551	0.5287	1
41678	43701	4.032	0.000	0.7006	0.6400	1
41705	42435	-2.016	0.000	0.7660	0.5877	1
41705	43526	-0.984	0.000	0.8661	0.6235	1
41731	42553	-2.016	0.000	0.8949	0.8801	1
41731	43417	0.000	0.000	0.8873	0.8335	1
41733	42345	2.013	0.000	0.7361	0.6730	1
41733	43019	-9.953	0.000	0.7063	0.7125	1
41820	45304	0.001	0.000	0.8522	0.6989	1
41830	44472	2.489	0.000	0.7958	0.5738	1
41837	44255	0.984	0.000	0.7020	0.4989	1
41849	42506	0.001	0.000	0.7495	0.6733	1
41912	45166	0.036	0.000	0.9028	0.7278	1
41943	43188	2.012	0.000	0.9079	0.8245	1
41945	46063	-0.001	0.000	0.7016	0.6383	1
41989	43506	0.000	0.000	0.7871	0.6671	1
42067	49557	-0.024	0.000	0.9578	0.6786	1
42067	49561	1.971	0.000	0.8494	0.6518	1
42067	49679	2.963	0.000	0.8757	0.7093	1
42067	49705	0.000	0.000	0.9579	0.6510	1
42067	49709	1.995	0.000	0.8555	0.6771	1
42067	49736	0.997	0.000	0.7705	0.5752	1
42106	43562	-2.907	0.000	0.7052	0.5249	1
42113	43564	-2.909	0.000	0.7167	0.6504	1
42113	46096	-2.907	0.000	0.7157	0.7648	1
42130	43741	0.935	0.000	0.8246	0.5694	1
42244	43181	1.978	0.000	0.8630	0.6392	1
42244	44888	0.001	0.000	0.7142	0.4911	1
42244	47011	0.982	0.000	0.7943	0.4911	1
42321	45533	4.031	0.000	0.7561	0.6660	1
42321	46241	-2.016	0.000	0.7441	0.3946	1
42361	42435	0.984	0.000	0.7472	0.5203	1
42361	42555	3.995	0.000	0.8724	0.8567	1
42361	43526	2.016	0.000	0.7773	0.5375	1
42361	44313	-1.031	0.000	0.7179	0.6054	1
42361	44354	6.012	0.000	0.7254	0.6727	1
42361	46080	3.995	0.000	0.8361	0.7061	1
42390	43485	2.016	0.000	0.7228	0.6957	1
42390	45211	0.984	0.000	0.7915	0.6542	1
42405	44320	2.017	0.000	0.8713	0.7568	1
42405	44500	0.000	0.000	0.9509	0.9167	1
42411	43040	3.995	0.000	0.7707	0.6467	1
42411	43674	1.979	0.000	0.7835	0.6372	1
42411	44471	0.000	0.000	0.7737	0.6750	1
42411	45966	-0.036	0.000	0.7827	0.7096	1
42435	44313	-2.016	0.000	0.7582	0.6988	1
42461	42916	-1.019	0.000	0.8022	0.5410	1
42552	43701	2.016	0.000	0.8089	0.6430	1
42552	44939	4.031	0.000	0.7566	0.6820	1
42552	45267	0.985	0.000	0.8537	0.7914	1
42552	45698	2.016	0.000	0.8332	0.7672	1
42553	43417	2.016	0.000	0.8609	0.8599	1
42555	44252	-3.995	0.000	0.7603	0.6062	1
42555	44354	2.016	0.000	0.7731	0.7265	1
42555	46080	-0.000	0.000	0.8537	0.6611	1
42595	42596	-1.003	0.000	0.7874	0.4985	1
42595	49620	-1.002	0.000	0.7849	0.6434	1
42632	43015	-7.012	0.000	0.7214	0.7870	1
42632	43674	8.983	0.000	0.7137	0.7277	1
42632	45966	6.967	0.000	0.7101	0.6523	1
42636	44595	-0.002	0.000	0.9358	0.8155	1
42783	42995	-0.974	0.000	0.7650	0.7250	1
42783	43019	-7.916	0.000	0.8164	0.7928	1
42783	43632	2.016	0.000	0.7524	0.7072	1
42838	44914	-4.008	0.000	0.7299	0.5595	1
42915	43522	-1.038	0.000	0.7511	0.6983	1
42915	45480	-4.030	0.000	0.7035	0.4997	1
43009	43564	8.060	0.000	0.7089	0.6734	1
43009	46096	8.062	0.000	0.7048	0.7249	1
43015	43693	-2.016	0.000	0.8540	0.7080	1
43040	43674	-2.015	0.000	0.7472	0.5187	1
43040	44471	-3.995	0.000	0.7561	0.7354	1
43181	44888	-1.977	0.000	0.7242	0.3880	1
43336	45832	0.001	0.000	0.7498	0.3546	1
43438	45503	0.005	0.000	0.8755	0.8041	1
43465	43748	4.031	0.000	0.7182	0.5609	1
43484	45504	5.956	0.000	0.7092	0.5429	1
43522	43693	1.003	0.000	0.7041	0.3719	1
43526	46080	1.980	0.000	0.7104	0.6314	1
43549	44065	-2.013	0.000	0.9483	0.6935	1
43564	46096	0.002	0.000	0.9203	0.7466	1
43634	46826	7.006	0.000	0.8364	0.7634	1
43659	44654	-2.016	0.000	0.7450	0.4780	1
43668	44472	-0.522	0.000	0.7945	0.5859	1
43674	44471	-1.979	0.000	0.7820	0.5336	1
43674	45966	-2.015	0.000	0.8186	0.7342	1
43693	44464	8.989	0.000	0.7403	0.7295	1
43693	45413	-5.027	0.000	0.7023	0.7502	1
43701	44939	2.016	0.000	0.8538	0.7589	1
43701	45698	0.000	0.000	0.7664	0.5135	1
43706	44313	2.016	0.000	0.7901	0.7167	1
43729	44365	2.015	0.000	0.7144	0.5081	1
43736	44765	2.016	0.000	0.7118	0.5554	1
43736	46160	2.016	0.000	0.8128	0.7473	1
43853	46108	-0.073	0.000	0.9324	0.7906	1
43920	44117	0.000	0.000	0.7717	0.5773	1
43954	44985	-2.014	0.000	0.8416	0.6504	1
43961	45559	-7.966	0.000	0.8404	0.7892	1
44055	45124	-2.015	0.000	0.7799	0.6395	1
44065	44066	-2.015	0.000	0.8479	0.7226	1
44161	47465	1.032	0.000	0.7285	0.5845	1
44218	44508	2.015	0.000	0.7747	0.5727	1
44259	46270	-0.000	0.000	0.7515	0.4070	1
44292	49336	0.001	0.000	0.9245	0.8784	1
44313	46080	5.027	0.000	0.7149	0.6879	1
44320	44500	-2.016	0.000	0.8776	0.7509	1
44354	46080	-2.016	0.000	0.8184	0.6151	1
44471	45966	-0.036	0.000	0.7000	0.5458	1
44585	44960	2.015	0.000	0.9289	0.8838	1
44616	44881	-0.038	0.000	0.8619	0.7903	1
44617	46310	-0.001	0.000	0.8621	0.5478	1
44617	47401	-1.031	0.000	0.8365	0.4762	1
44635	44658	3.008	0.000	0.8683	0.7144	1
44654	46521	-2.016	0.000	0.7304	0.3342	1
44681	46987	-5.063	0.000	0.7405	0.4299	1
44765	45211	2.016	0.000	0.7045	0.4898	1
44765	46160	0.000	0.000	0.7350	0.5324	1
44888	45503	2.017	0.000	0.7704	0.7042	1
44888	47011	0.981	0.000	0.7842	0.6543	1
44939	45698	-2.016	0.000	0.8225	0.6177	1
44974	46861	0.000	0.000	0.8696	0.7490	1
45075	46237	-0.000	0.000	0.9246	0.8425	1
45075	47082	0.000	0.000	0.7675	0.4397	1
45211	46160	-2.016	0.000	0.8002	0.7728	1
45351	46275	0.001	0.000	0.8793	0.8191	1
45480	46212	2.015	0.000	0.8751	0.6550	1
45480	46583	-2.015	0.000	0.8235	0.6714	1
45709	46810	0.000	0.000	0.9120	0.6875	1
45709	47121	-1.000	0.000	0.7591	0.6152	1
45709	47258	0.000	0.000	0.9124	0.7152	1
45709	47714	0.000	0.000	0.9933	1.0000	1
45709	48802	0.001	0.000	0.8751	0.5960	1
45709	49411	0.000	0.000	0.9001	0.6550	1
45834	47897	0.002	0.000	0.8230	0.4671	1
45996	47296	0.000	0.000	0.9069	0.7276	1
45996	49256	0.000	0.000	0.9056	0.7258	1
45996	49383	0.000	0.000	0.8817	0.6064	1
46047	46566	2.016	0.000	0.8740	0.4870	1
46105	46668	-5.027	0.000	0.7067	0.5182	1
46146	46594	2.016	0.000	0.8952	0.7514	1
46147	47299	1.979	0.000	0.9126	0.8171	1
