CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
8307	27754	-0.073	0.000	0.7862	0.7591	1
8317	10098	0.982	0.000	0.8848	0.8247	1
8317	10177	1.977	0.000	0.7454	0.5375	1
8322	18932	0.000	0.000	0.9737	0.7363	1
8343	10151	-0.084	0.000	0.7105	0.4935	1
8345	9405	0.036	0.000	0.9897	0.9469	1
8396	16216	2.016	0.000	0.8017	0.6209	1
8396	17064	4.031	0.000	0.7291	0.5953	1
8403	9656	-0.984	0.000	0.7875	0.6946	1
8464	10525	-3.976	0.000	0.7003	0.5687	1
8464	12577	1.979	0.000	0.8504	0.6172	1
8531	11024	0.000	0.000	0.9412	0.7871	1
8547	10164	0.017	0.000	0.8164	0.8531	1
8547	11028	0.000	0.000	0.8948	0.8542	1
8609	8815	-0.036	0.000	0.9780	0.8684	1
8642	9158	10.024	0.000	0.8157	0.7664	1
8673	8757	0.036	0.000	0.8591	0.7585	1
8678	9037	-2.016	0.000	0.9549	0.8846	1
8697	37691	-7.976	0.000	0.7496	0.5161	1
8705	17917	6.011	0.000	0.8083	0.6776	1
8705	20361	6.011	0.000	0.8436	0.7886	1
8706	22689	3.958	0.000	0.7333	0.4740	1
8748	9102	9.949	0.000	0.7531	0.5899	1
8764	12305	1.978	0.000	0.7916	0.6651	1
8807	15824	7.980	0.000	0.7009	0.6875	1
8814	11105	-0.037	0.000	0.7041	0.5747	1
8815	12028	2.016	0.000	0.7267	0.7158	1
8880	10891	-0.000	0.000	0.7009	0.6496	1
8973	18319	-6.010	0.000	0.7626	0.4591	1
8975	14751	-3.995	0.000	0.7561	0.6591	1
8975	26136	0.000	0.000	0.8771	0.7575	1
9004	38434	-0.061	0.000	0.7125	0.4929	1
9102	17270	-4.046	0.000	0.7368	0.4914	1
9107	10090	-6.008	0.000	0.7155	0.4045	1
9169	11704	0.002	0.000	0.7585	0.4903	1
9236	9338	1.978	0.000	0.8310	0.6523	1
9240	9969	-1.004	0.000	0.8364	0.7443	1
9240	14235	0.000	0.000	0.9664	0.8183	1
9263	9515	0.066	0.000	0.7555	0.6271	1
9281	9286	-0.001	0.000	0.7990	0.6432	1
9314	10228	-0.086	0.000	0.9191	0.8275	1
9335	22689	5.974	0.000	0.7959	0.6353	1
9335	26160	3.958	0.000	0.7781	0.5411	1
9340	12310	0.995	0.000	0.8114	0.6740	1
9340	19642	2.016	0.000	0.7591	0.6194	1
9422	9468	8.004	0.000	0.8671	0.6973	1
9468	11031	3.995	0.000	0.8190	0.4224	1
