FeatureID	Name	GO_Term	comparison	phase	datatype	diffexpr	rab.all	rab.win.A	rab.win.B	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF00165.26	Bacterial regulatory helix-turn-helix proteins, AraC family	regulation of transcription, DNA-templated	FTvNA	Dark	metaG	none	-2.29620842758619	-2.08572668671455	-2.43570688674222	0.504833453396087	4.48154830056841	-0.106325163881587	0.447333335305835	0.494979664835264	0.736821460897128	0.554941858141858	0.751574868220605
PF01804.21	Penicillin amidase	antibiotic biosynthetic process	FAvNA	Light	metaT	none	-0.0109652163975458	-0.537058062039957	0.245479750598335	-0.629380603112345	3.42228496375263	0.152517873059137	0.393737512444108	0.571499276666205	0.75610614686488	0.574043156843157	0.751591231485608
PF01804.21	Penicillin amidase	antibiotic biosynthetic process	FAvNA	Dark	metaT	none	-0.0109652163975458	-0.537058062039957	0.245479750598335	-0.629380603112345	3.42228496375263	0.152517873059137	0.393737512444108	0.571499276666205	0.75610614686488	0.574043156843157	0.751591231485608
PF13144.9	Chaperone for flagella basal body P-ring formation	NA	FAvFT	Dark	metaT	none	-5.27741979789705	-5.58745681837092	-4.92307423683598	0.70262446718802	4.37415618829518	0.140374912559696	0.418666669760886	0.509386038019475	0.726677226828482	0.544229437229437	0.75160139346049
PF06122.14	Conjugative relaxosome accessory transposon protein	NA	FAvFT	Dark	metaT	none	-5.28761759506063	-5.58380979272091	-4.99392621915633	0.72059715863795	4.34699047291418	0.138902143156585	0.42704863700083	0.506295144990154	0.72611322666559	0.547588744588745	0.751610363358869
PF06450.15	Bacterial Na+/H+ antiporter B (NhaB)	sodium ion transport	FAvFT	Dark	metaT	none	-5.28905297310846	-5.60751037981949	-4.9765182073136	0.586491505757834	4.08090878164727	0.112530925235276	0.434377084415154	0.487918651745595	0.716400880596787	0.532580086580087	0.751614724899948
PF01809.21	Putative membrane protein insertion efficiency factor	NA	FTvNA	Dark	metaG	none	-1.92084285265974	-1.76100130926317	-2.05783274722446	0.341059331577942	4.13830872219455	-0.067351276092302	0.4633333346987	0.503574928990929	0.740469327684663	0.559603996003996	0.751622451093464
PF08886.14	Glutamate-cysteine ligase	NA	FAvFT	Dark	metaT	none	-5.22947113891603	-4.89693371731047	-5.57960816176059	-0.52818399837625	4.33385453986484	-0.103839086744068	0.441333335536504	0.48492816686093	0.714471703888905	0.537203463203463	0.751650138038125
PF14620.9	YpeB sporulation	spore germination	FTvNA	Light	metaG	none	-2.31896115513777	-2.62677763140007	-2.10973239025171	-0.513293578810385	4.66036787188603	0.102178778555321	0.444666668741459	0.527491683409524	0.739340911974641	0.558497102897103	0.751660784889559
PF18719.4	ArlS sensor domain	NA	FTvNA	Dark	metaG	none	-2.27866351281753	-1.9738711950098	-2.48490798368576	0.41812321889513	4.32269512311033	-0.0800597865365101	0.456000001642348	0.514321827882281	0.749717377439752	0.554857542457542	0.751700359226609
PF08274.15	PhnA Zinc-Ribbon	NA	FTvNA	Light	metaG	none	-2.47646223134829	-2.12880429069232	-2.76179068259007	0.4864043436628	4.3852559705222	-0.103766635524033	0.449033979253343	0.508522696138285	0.722510331149485	0.564302497502498	0.751733685959176
PF00883.24	Cytosol aminopeptidase family, catalytic domain	proteolysis	FTvNA	Light	metaG	none	-2.33644955680668	-2.59439415310564	-2.12438716556427	-0.474043433964296	4.62100438767181	0.0890073961483641	0.460000001491024	0.532451309475567	0.74336361890122	0.561647552447552	0.751753613199901
PF04364.16	DNA polymerase III chi subunit, HolC	DNA replication	FTvNA	Dark	metaT	none	-4.09885353697819	-4.0183252942529	-4.14201186920864	0.431332291621235	4.20377056529671	-0.0935835846280877	0.449700201746251	0.546530607510795	0.710713039840773	0.601406593406593	0.751793102341576
PF18273.4	Type III R-M EcoP15I C-terminal domain	NA	FTvNA	Dark	metaG	none	-2.18945575766911	-1.96325731972054	-2.34310584435597	0.415595315911652	4.18715573268746	-0.0861371442447204	0.459027316648982	0.515502905767734	0.750456190712804	0.554585814185814	0.751798843056859
PF14518.9	Iron-containing redox enzyme	NA	FAvNA	Light	metaT	none	-2.08958871622463	-1.77476330073984	-2.26566175443282	0.324572321110795	3.30101440033605	-0.0865705398112799	0.448367756760455	0.55913346396168	0.729284975306428	0.597263136863137	0.75180218433573
PF14518.9	Iron-containing redox enzyme	NA	FAvNA	Dark	metaT	none	-2.08958871622463	-1.77476330073984	-2.26566175443282	0.324572321110795	3.30101440033605	-0.0865705398112799	0.448367756760455	0.55913346396168	0.729284975306428	0.597263136863137	0.75180218433573
PF00230.23	Major intrinsic protein	transmembrane transport	FTvNA	Dark	metaG	none	-2.26041212856889	-1.886581043799	-2.45728556227778	0.627364142877948	4.36140024472196	-0.118279133679391	0.438666668972974	0.537234089452438	0.76059171054709	0.559122477522477	0.751813789660465
PF16554.8	Dimerisation domain of d-ornithine 4,5-aminomutase	NA	FTvNA	Light	metaG	none	-1.57991787920972	-1.14494932413868	-1.8923673098127	0.609385646171821	4.21585024117141	-0.120173016546328	0.436666669050594	0.516525499406577	0.730439455709569	0.558290909090909	0.751815955101701
PF11667.11	Putative zincin peptidase	NA	FAvNA	Light	metaG	none	1.10172128093863	1.31028669605023	0.209360228117329	0.69909287091055	2.9624418930493	-0.215688514059565	0.419053967098574	0.308239363728573	0.492841443890937	0.614978221778222	0.751826629022004
PF11667.11	Putative zincin peptidase	NA	FAvNA	Dark	metaG	none	1.10172128093863	1.31028669605023	0.209360228117329	0.69909287091055	2.9624418930493	-0.215688514059565	0.419053967098574	0.308239363728573	0.492841443890937	0.614978221778222	0.751826629022004
PF15655.9	NTF2 fold immunity protein	NA	FTvNA	Light	metaG	none	-2.24784597029904	-2.09864195992894	-2.39141247547121	0.177778812955631	4.40708307524841	-0.0333856293805425	0.485333333877011	0.511021876975264	0.724654216443011	0.563433766233766	0.751840755266609
PF01343.21	Peptidase family S49	proteolysis	FTvNA	Light	metaG	none	-2.07300401076284	-2.43335230555533	-1.69555707855162	-0.896264428302363	4.6744317205666	0.168100153766403	0.418000003120978	0.528628310246852	0.742669430001818	0.557795404595405	0.751891086691347
PF00850.22	Histone deacetylase domain	NA	FTvNA	Dark	metaG	none	-2.312124444759	-2.02545094910068	-2.49535410553765	0.356983717364887	4.29871989603641	-0.0783882597581985	0.457028649169526	0.51843134976385	0.750976150165871	0.557398201798202	0.751894747576139
PF01165.23	Ribosomal protein S21	translation	FAvFT	Dark	metaT	none	8.67747788985392	8.65267306888236	8.71731875754879	0.084489378134033	0.454823342954429	0.207328228535826	0.353097940657105	0.566925123929422	0.804524819356212	0.464329004329004	0.751922304466188
PF13229.9	Right handed beta helix region	NA	FTvNA	Dark	metaT	none	5.09865830172381	5.15410584628616	5.07903458366011	0.169804843940737	0.674189164643295	-0.241189621232094	0.385742842566878	0.445345824078518	0.670629242052888	0.553900499500499	0.75192895793387
PF15655.9	NTF2 fold immunity protein	NA	FAvNA	Light	metaG	none	-2.40132840027301	-2.58240461849542	-2.25093663135689	-0.276215294346946	4.73398730621283	0.0570138593183675	0.468666667831736	0.569521180072276	0.712099764106845	0.625789010989011	0.751932728562069
PF15655.9	NTF2 fold immunity protein	NA	FAvNA	Dark	metaG	none	-2.40132840027301	-2.58240461849542	-2.25093663135689	-0.276215294346946	4.73398730621283	0.0570138593183675	0.468666667831736	0.569521180072276	0.712099764106845	0.625789010989011	0.751932728562069
PF05089.15	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain	NA	FAvNA	Light	metaG	none	-0.285840414555107	-0.289651702055282	-0.282553863922268	-1.17096137956171	5.24461856470012	0.198884924661143	0.426666669442425	0.517093827047085	0.669997460003224	0.621450949050949	0.751941831088879
PF05089.15	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain	NA	FAvNA	Dark	metaG	none	-0.285840414555107	-0.289651702055282	-0.282553863922268	-1.17096137956171	5.24461856470012	0.198884924661143	0.426666669442425	0.517093827047085	0.669997460003224	0.621450949050949	0.751941831088879
PF13686.9	DsrE/DsrF/DrsH-like family	NA	FAvFT	Dark	metaT	none	-5.1943468382574	-4.92657766888037	-5.45510046532983	-0.509092574014492	4.24772971976151	-0.105228495246708	0.442000002177447	0.502486466774702	0.724015266991457	0.540060606060606	0.751954643245368
PF07012.15	Curlin associated repeat	cell adhesion	FAvFT	Dark	metaT	none	-5.30577927607758	-5.63377125223076	-4.97399418469326	1.05195652084374	4.82819617325543	0.193263965912427	0.413724187166488	0.484767696915228	0.711573919629324	0.53982683982684	0.751965142419241
PF07168.14	Ureide permease	nitrogen compound transport	FTvNA	Light	metaG	none	-2.32322784156478	-2.59369125238875	-2.10765292557714	-0.521087091608839	4.83051752600345	0.0996575825310102	0.450366424239179	0.528017963362261	0.736258837420317	0.565542857142857	0.751978913681089
PF16360.8	GTP-binding GTPase Middle Region	NA	FAvNA	Light	metaG	none	2.73352963268159	3.00028073966676	2.54427185751805	0.236690737104293	1.54148081770762	-0.146587154842707	0.421333336320866	0.653543998619477	0.778886416041634	0.620258941058941	0.751994992390578
PF16360.8	GTP-binding GTPase Middle Region	NA	FAvNA	Dark	metaG	none	2.73352963268159	3.00028073966676	2.54427185751805	0.236690737104293	1.54148081770762	-0.146587154842707	0.421333336320866	0.653543998619477	0.778886416041634	0.620258941058941	0.751994992390578
PF06850.14	PHB de-polymerase C-terminus	NA	FAvFT	Dark	metaT	none	-5.28390970914757	-5.63136398692677	-4.92731976253934	0.797515585772711	4.39848741627002	0.160844623643737	0.420000003040807	0.490569286227505	0.720962598538989	0.53308658008658	0.751999318778008
PF02649.17	Type I GTP cyclohydrolase folE2	NA	FAvFT	Dark	metaT	none	-4.51116876141074	-5.17368492936837	-3.87810517426467	1.05053086682406	4.38229945407519	0.20135363531118	0.387333337729382	0.474495058417032	0.708434089101521	0.531796536796537	0.752038903299667
PF09563.13	LlaJI restriction endonuclease	NA	FTvNA	Dark	metaG	none	-2.27522390170583	-2.08373566839095	-2.35294856494735	0.321755215013126	4.37938868370521	-0.0649937980211806	0.466355764074866	0.513852246934063	0.748282699747418	0.561846153846154	0.75204833617557
PF08351.14	tRNA(Met) cytidine acetyltransferase TmcA, N-terminal	NA	FAvNA	Light	metaT	none	-3.70768956392535	-3.65242108217397	-3.7389799825097	-0.214449407021442	4.44248940309449	0.0441231350679229	0.480666667383788	0.532529860342509	0.711315449621858	0.597245954045954	0.752051330066998
PF08351.14	tRNA(Met) cytidine acetyltransferase TmcA, N-terminal	NA	FAvNA	Dark	metaT	none	-3.70768956392535	-3.65242108217397	-3.7389799825097	-0.214449407021442	4.44248940309449	0.0441231350679229	0.480666667383788	0.532529860342509	0.711315449621858	0.597245954045954	0.752051330066998
PF06818.18	Fez1	NA	FTvNA	Light	metaT	none	-3.84145593746001	-3.63036288677586	-4.0016836344206	-0.125624640848317	4.98646616143985	0.0197032604835642	0.492000000296372	0.549422468199651	0.714108245364276	0.608330869130869	0.752057562509444
PF03063.23	Prismane/CO dehydrogenase family	NA	FTvNA	Dark	metaG	none	0.247800379019695	-0.0235290467227474	0.572952561294016	-0.658341176299069	3.11716039759907	0.152911969360822	0.401732182328371	0.572911790579105	0.796130492003767	0.545901298701299	0.752078511944623
PF02205.23	WH2 motif	NA	FTvNA	Dark	metaT	none	-4.04209804749025	-3.89448707669221	-4.15751452589466	0.126736499065945	4.44007353361738	-0.0225121091813371	0.487674883867214	0.528460499189801	0.701925445280531	0.590487112887113	0.752098276708083
PF13668.9	Ferritin-like domain	NA	FTvNA	Light	metaT	none	-2.46891967448315	-2.9837142555694	-2.23386731463041	-0.305225068219832	4.04863524642112	0.0709646583911357	0.46369087410161	0.559010595696417	0.723968459273529	0.608209390609391	0.752105687508319
PF14501.9	GHKL domain	NA	FAvFT	Light	metaG	none	5.82369192786788	5.96645087581002	5.69803599625281	-0.270791562648252	0.342254765499323	-0.765002374226684	0.206666683232425	0.125774092747169	0.845718033980778	0.151372294372294	0.752124557378382
PF07998.14	Peptidase family M54	proteolysis	FAvFT	Dark	metaT	none	-5.28414259624783	-5.6182936754571	-4.89706938466757	0.973530554065881	4.60628834019509	0.185967768898861	0.411725519692567	0.494169538060018	0.716388528923497	0.55017316017316	0.752133513088297
