FeatureID	Name	GO_Term	comparison	datatype	diffexpr	rab.all	rab.win.A	rab.win.B	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF05593.17	RHS Repeat	NA	FAvNA	metaT	up	6.6477887571866	10.0039626353578	5.66697039489014	4.47630035091214	2.16085817138761	-2.28962066277816	2.33935978483207e-05	9.9450787554252e-06	0.000187666095483619	2.31231983776764e-08	2.2993930216059e-06
PF00015.24	Methyl-accepting chemotaxis protein (MCP) signalling domain	signal transduction	FAvNA	metaT	up	6.41182885019454	8.23971718849634	5.67262553578972	2.57502379585762	0.913501991900719	-2.75924296272874	2.33935978483207e-05	5.25339877555097e-11	7.20592407050634e-08	2.31231983776764e-08	2.2993930216059e-06
PF13289.9	SIR2-like domain	NA	FAvNA	metaT	up	2.70995916092671	6.22617788657585	1.25214153955847	5.03791372285192	1.94738351831809	-2.71664029497926	2.33935978483207e-05	1.46875177834077e-06	3.95904454187185e-05	2.31231983776764e-08	2.2993930216059e-06
PF05593.17	RHS Repeat	NA	FAvNA	metaG	up	6.6477887571866	10.0039626353578	5.66697039489014	4.47630035091214	2.16085817138761	-2.28962066277816	2.33935978483207e-05	9.9450787554252e-06	0.000187666095483619	2.31231983776764e-08	2.2993930216059e-06
PF00015.24	Methyl-accepting chemotaxis protein (MCP) signalling domain	signal transduction	FAvNA	metaG	up	6.41182885019454	8.23971718849634	5.67262553578972	2.57502379585762	0.913501991900719	-2.75924296272874	2.33935978483207e-05	5.25339877555097e-11	7.20592407050634e-08	2.31231983776764e-08	2.2993930216059e-06
PF13289.9	SIR2-like domain	NA	FAvNA	metaG	up	2.70995916092671	6.22617788657585	1.25214153955847	5.03791372285192	1.94738351831809	-2.71664029497926	2.33935978483207e-05	1.46875177834077e-06	3.95904454187185e-05	2.31231983776764e-08	2.2993930216059e-06
PF08659.13	KR domain	NA	FAvNA	metaT	up	0.801874785298942	4.65733471536735	-1.7838142001104	6.3788031471746	2.93522543529994	-2.18567492501234	2.33935978483207e-05	1.12692245134674e-06	3.67926812689448e-05	2.32156911711871e-08	2.30286808989911e-06
PF08659.13	KR domain	NA	FAvNA	metaG	up	0.801874785298942	4.65733471536735	-1.7838142001104	6.3788031471746	2.93522543529994	-2.18567492501234	2.33935978483207e-05	1.12692245134674e-06	3.67926812689448e-05	2.32156911711871e-08	2.30286808989911e-06
PF14765.9	Polyketide synthase dehydratase	NA	FAvNA	metaT	up	0.817954023933214	4.65870008788759	-1.81204354899452	6.42754504931975	2.94518712019266	-2.17961458781821	2.33935978483207e-05	2.28262585550116e-06	5.19675375009016e-05	2.33544303614532e-08	2.31049444840425e-06
PF14765.9	Polyketide synthase dehydratase	NA	FAvNA	metaG	up	0.817954023933214	4.65870008788759	-1.81204354899452	6.42754504931975	2.94518712019266	-2.17961458781821	2.33935978483207e-05	2.28262585550116e-06	5.19675375009016e-05	2.33544303614532e-08	2.31049444840425e-06
PF16197.8	Ketoacyl-synthetase C-terminal extension	NA	FAvNA	metaT	up	0.783342230416149	4.65779324576363	-1.80017996067918	6.39805071813032	2.90990957465451	-2.25601116996669	0.000336573254011322	1.18064326832783e-06	3.60079086081167e-05	2.35856623452299e-08	2.31909194164389e-06
PF16197.8	Ketoacyl-synthetase C-terminal extension	NA	FAvNA	metaG	up	0.783342230416149	4.65779324576363	-1.80017996067918	6.39805071813032	2.90990957465451	-2.25601116996669	0.000336573254011322	1.18064326832783e-06	3.60079086081167e-05	2.35856623452299e-08	2.31909194164389e-06
PF03632.18	Glycosyl hydrolase family 65 central catalytic domain	carbohydrate metabolic process	FAvNA	metaT	up	1.30288809669756	4.85424678406485	-0.325370500300904	5.11729468226946	2.28483645217254	-2.32202612131277	0.000336573254011322	2.36389041323511e-06	6.38680697880793e-05	2.37706479322513e-08	2.32559836906534e-06
