FeatureID	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c
PF04327.15	216.44	0	273.933	52.472	83.18	190.985	0	196.3	0	312.069	0	74.125
PF01016.22	0	883.602	79.303	182.264	288.928	299.327	383.988	183.16	225.922	240.909	158.951	171.687
PF01566.21	0	257.98	101.79	79.163	20.023	234.151	45.377	192.294	71.192	42.703	118.821	0
PF02562.19	0	65.974	214.439	180.091	190.501	125.446	146.234	183.251	159.252	204.59	226.142	96.73
PF02130.20	247.392	0	180.743	240.476	108.926	253.9	0	259.851	127.753	204.316	158.928	97.073
PF20260.1	84.126	169.909	152.007	257.038	277.222	201.478	196.9	105.947	44.344	138.991	92.652	396.167
PF04452.17	84.126	169.909	152.007	257.038	277.222	201.478	196.9	105.947	44.344	138.991	92.652	396.167
PF02091.18	67.918	0	0	18.146	28.765	0	79.482	28.434	0	71.95	0	0
PF02092.20	90.859	60.938	11.176	8.562	0	62.83	0	0	15.919	0	11.317	0
PF05979.15	0	0	95.36	0	0	175.522	0	396.124	0	0	0	0
PF00654.23	40.52	103.872	15.763	13.843	19.145	0	104.177	65.142	20.603	0	8.731	0
PF01522.24	705.333	1023.861	722.304	1008.611	835.288	714.054	842.133	435.885	582.719	1040.562	563.268	1295.214
PF17767.4	406.075	0	240.892	284.083	188.717	205.21	149.627	178.332	132.566	330.297	195.671	370.04
PF04095.19	406.075	0	240.892	273.513	188.717	205.21	149.627	170.358	132.566	330.297	188.679	370.04
PF17956.4	406.075	0	240.892	284.083	188.717	205.21	149.627	178.332	132.566	330.297	195.671	370.04
PF00583.28	2745.309	2499.595	2287.528	2069.28	3437.643	2756.769	3011.39	1909.855	3313.398	1993.932	1974.842	2092.955
PF02540.20	393.265	874.978	445.794	707.109	864.753	571.781	432.465	509.836	129.99	556.788	380.367	503.931
PF02687.24	7648.353	8107.222	5137.713	5427.202	6065.772	7257.268	6764.055	6742.516	6882.204	5653.319	6270.496	7087.297
PF12704.10	656.21	1235.696	598.829	1022.55	618.149	948.717	1171.333	1133.84	1216.799	506.739	1052.456	1236.011
PF07685.17	206.84	0	87.947	60.939	74.301	143.617	125.187	88.97	181.4	0	0	32.953
PF08245.15	719.079	919.108	1098.818	1174.902	1147.135	1243.309	1124.133	1099.794	668.413	1039.326	1085.147	1271.508
PF08353.13	93.165	0	50.217	25.617	20.792	0	109.429	97.804	0	0	17.301	0
PF03306.16	164.917	0	54.195	45.806	0	64.045	0	0	0	0	0	0
PF00009.30	2516.494	1845.329	2597.576	2677.703	2692.974	2611.147	2649.58	2267.836	2890.141	2258.63	2496.985	2068.124
PF03144.28	1852.96	1217.755	1748.61	1781.776	1875.774	1669.682	1855.815	1464.052	1922.763	1437.007	1766.985	1277.037
PF14492.9	1063.314	884.169	1014.023	969.722	903.138	934.471	916.727	764.166	1100.168	726.811	926.3	821.178
