FeatureID	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c
PF01551.25	1984.99	779.71	1173.346	1171.893	481.232	1166.438	1290.74	1651.633	1295.53	1319.437	811.67	1251.288	1042.754	1412.918	1270.908	1053.265	1072.793	1098.1
PF10651.12	0	0	0	0	0	0	0	0	0	43.419	0	0	0	0	0	0	0	0
PF00005.30	21528.187	22942.8	21534.839	20498.372	19699.117	20746.61	18043.94	15580.093	17194.607	22418.645	23801.499	22919.209	25293.716	21444.419	23855.482	24173.098	23447.222	19482.736
PF12848.10	306.069	721.686	963.674	929.057	908.701	992.841	1082.195	1002.081	653.901	614.141	676.147	647.787	825.055	294.954	710.633	891.042	325.516	706.508
PF04688.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF06971.16	323.579	0	396.701	241.835	185.722	233.053	75.38	114.447	173.744	64.879	0	89.275	207.752	163.377	257.547	0	0	196.012
PF02629.22	393.307	0	396.701	301.57	224.606	233.053	182.54	114.447	288.462	99.643	16.282	126.644	207.752	163.377	257.547	151.449	101.069	196.012
PF00156.30	661.419	968.789	2452.488	720.878	2370.981	898.446	1137.079	861.062	1288.781	771.08	982.451	1137.466	395.678	306.429	969.739	653.199	680.903	981.665
PF01979.23	1180.131	1372.649	1491.756	615.963	1890.705	1485.005	1079.702	1136.753	889.141	846.569	1067.291	1677.223	470.142	1051.584	2554.373	486.181	1099.417	1444.81
PF00730.28	648.836	467.503	1347.966	112.869	492.932	0	459.576	893.54	632.851	73.248	278.049	352.63	149.385	0	419.765	274.819	323.985	693.79
PF10576.12	328.193	232.174	0	0	235.292	0	29.783	114.963	0	0	75.217	0	0	0	128.445	0	0	372.454
PF01784.21	0	0	0	69.096	0	0	300.31	378.512	152.978	59.752	0	215.751	0	0	104.808	0	55.428	0
PF01521.23	0	0	0	0	128.722	0	0	0	0	0	0	0	0	0	0	0	0	0
PF08282.15	251.44	1162.793	1131.13	297.079	3962.666	1532.863	648.434	228.893	658.164	499.906	394.058	394.695	887.545	618.21	1868.567	164.864	559.565	2618.289
PF01966.25	1827.709	1432.367	1759.507	1714.161	2454.19	1749.62	1930.83	1631.446	1784.355	1735.866	970.209	1631.053	1448.247	1394.29	1273.329	1408.222	1447.197	2387.087
PF00829.24	685.325	0	0	1311.031	124.998	470.51	555.68	200.032	287.927	461.542	637.045	181.981	0	827.796	268.216	454.279	297.315	0
PF06325.16	0	323.673	0	56.002	78.08	0	260.907	342.897	293.15	249.405	0	124.254	273.055	0	0	0	97.219	122.114
PF04327.15	0	0	0	198.197	123.808	0	0	0	193.519	289.033	168.284	84.439	196.498	306.275	521.085	241.318	0	391.962
PF01016.22	728.106	0	0	373.803	431.369	0	99.891	544.553	746.893	167.335	604.137	607.663	918.364	364.936	284.959	246.461	0	435.548
PF01566.21	0	112.278	0	118.658	115.462	174.551	17.917	0	0	0	39.42	0	0	82.846	59.873	0	67.812	0
PF02562.19	221.871	0	264.809	275.652	239.777	0	175.623	231.403	113.27	145.136	249.157	225.199	129.428	420.253	502.864	140.815	189.243	0
PF02130.20	0	155.449	0	107.35	156.959	0	231.972	371.905	0	0	97.156	111.573	0	0	166.814	0	0	0
PF20260.1	286.461	202.777	0	36.82	213.998	201.343	38.679	100.016	84.088	157.964	132.977	76.51	178.046	0	0	0	0	169.342
PF04452.17	286.461	202.777	0	36.82	213.998	201.343	38.679	100.016	126.548	157.964	132.977	76.51	178.046	0	0	0	0	169.342
PF02091.18	0	0	0	58.95	0	159.944	19.278	0	48.014	24.464	0	48.954	0	0	0	0	0	0
PF02092.20	0	0	0	25.999	37.48	0	18.26	35.541	45.387	0	0	0	0	0	0	0	0	0
PF05979.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369.7	0	0	0
PF00654.23	0	353.763	0	161.701	378.562	59.383	467.283	907.675	563.3	167.692	0	401.669	0	0	61.063	209.485	0	447.772
PF01522.24	660.894	328.137	294.104	421.77	509.04	334.054	917.41	346.145	648.898	321.126	529.899	178.241	128.316	729.512	368.674	79.86	0	649.587
PF17767.4	0	159.297	0	130.427	197.91	406.87	181.027	0	223.41	147.95	80.506	270.582	180.27	309.414	226.564	0	63.777	335.412
PF04095.19	0	159.297	0	187.808	197.91	406.87	128.741	0	223.41	147.616	50.61	270.582	180.27	277.973	226.564	94.943	63.777	335.412
PF17956.4	0	159.297	0	90.603	197.91	298.821	181.027	0	223.41	147.95	80.506	270.582	180.27	309.414	226.564	0	63.777	335.412
PF00583.28	3129.575	2602.624	1946.92	2025.632	3256.789	2862.401	2882.476	2142.636	2080.872	3132.485	1584.948	2374.189	2053.183	3079.058	2143.842	3411.607	2927.65	1549.452
PF02540.20	915.06	732.613	392.608	457.481	928.377	46.611	607.595	653.427	761.665	374.846	445.451	623.859	0	65.866	555.309	107.523	322.548	559.267
PF02687.24	6295.01	7066.255	11757.894	8160.884	4345.87	7129.578	4285.324	3065.553	4695.153	11104.995	11247.667	9931.352	9895.823	9634.22	9894.452	9857.762	8675.62	6115.762
PF12704.10	935.612	1129.779	917.236	1453.93	890.78	971.334	1042.165	1000.827	905.896	2160.593	1892.281	1050.89	2632.404	1699.999	1655.258	974.447	715.319	624.028
PF07685.17	586.448	109.353	172.318	149.256	452.839	162.293	266.569	388.55	313.114	162.328	330.936	117.59	274.102	491.83	58.313	0	308.308	577.911
PF08245.15	904.575	726.996	1493.419	822.167	2026.486	1073.804	1963.59	2837.472	1583.174	519.577	780.33	761.694	467.59	712.531	546.568	253.551	404.831	1459.811
