FeatureID	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c
PF16472.8	392.731	353.486	281.382	452.405	354.564	383.928	233.375	542.022	395.461	314.01	0	384.481
PF12847.10	0	140.084	328.192	501.195	0	342.179	216.463	334.658	196.859	0	0	118.653
PF07934.15	0	33.997	0	0	0	0	83.452	0	0	221.505	0	0
PF07486.15	557.86	715.314	834.13	336.23	355.297	469.189	543.637	585.417	349.239	834.614	611.012	766.833
PF08367.14	120.426	228.061	222.002	136.171	299.159	221.585	141.165	301.366	169.827	188.093	187.215	200.951
PF18907.3	368.119	52.331	0	0	0	78.026	418.088	166.683	130.271	414.661	0	44.332
PF11187.11	63.614	159.493	105.927	189.36	118.579	123.601	183.193	468.138	105.564	368.178	0	172.359
PF12725.10	134.777	149.292	186.519	0	447.859	246.167	123.044	253.608	118.279	81.597	0	303.462
PF19275.2	61.805	0	0	157.167	0	5.458	40.664	0	55.949	0	0	36.119
PF16889.8	0	0	0	0	0	0	0	0	0	0	0	0
PF07940.16	50.6	0	0	0	0	0	0	0	0	0	0	0
PF14133.9	0	55.95	0	0	0	0	34.583	44.553	47.492	92.137	273.78	0
PF16990.8	0	0	0	0	0	0	0	0	0	0	0	0
PF06941.15	0	0	0	0	0	0	0	0	0	0	0	0
PF02732.18	0	0	0	0	0	0	0	0	22.334	0	0	0
PF18127.4	0	0	0	0	0	0	23.597	0	0	0	0	0
PF10547.12	0	0	0	0	0	0	0	0	0	0	0	0
PF00959.22	0	0	0	0	0	0	0	0	0	0	0	0
PF20195.1	188.561	0	156.993	0	351.486	199.835	248.541	213.462	56.886	0	0	227.034
PF05704.15	0	0	0	0	0	0	0	0	0	0	0	0
PF05050.15	0	0	0	0	0	14.604	34.687	0	0	0	0	0
PF13578.9	0	0	0	0	0	0	77.25	0	0	0	0	0
PF03102.17	149.363	345.647	373.037	0	278.418	237.411	246.572	169.087	112.645	61.716	265.848	134.867
PF01885.19	0	0	0	0	0	0	62.584	0	0	0	0	0
PF19601.2	230.866	108.322	761.264	0	0	107.664	33.477	0	138.609	272.314	0	275.225
PF04260.15	0	0	0	0	0	0	0	0	0	0	0	0
PF13569.9	0	0	0	0	40.748	0	38.625	0	0	115.7	0	0
PF12724.10	102.38	287.811	255.719	260.346	190.84	327.089	631.735	0	272.995	504.174	0	804.111
PF20335.1	0	0	0	0	0	0	66.575	0	0	0	527.046	0
PF13855.9	0	0	0	0	0	0	40.387	0	0	0	0	0
PF13739.9	187.893	269.31	469.276	238.85	274.168	177.648	165.107	0	56.684	0	0	56.546
PF19306.2	0	0	0	0	0	0	8.188	0	0	21.999	0	0
