#FeatureID	cFA01a_S39	cFA01b_S45	cFA05a_S40	cFA05b_S46	cFA09a_S41	cFA09b_S47	cFA13a_S36	cFA13b_S42	cFA17a_S37	cFA17b_S43	cFA21a_S38	cFA21b_S44	cFT01a_S51	cFT01b_S57	cFT05a_S52	cFT05b_S58	cFT09a_S53	cFT09b_S59	cFT13a_S48	cFT13b_S54	cFT17a_S49	cFT17b_S55	cFT21a_S50	cFT21b_S56	cNA01a_S4	cNA01b_S10	cNA01c_S16	cNA05a_S5	cNA05b_S11	cNA05c_S17	cNA09a_S6	cNA09b_S12	cNA09c_S18	cNA13a_S1	cNA13b_S7	cNA13c_S13	cNA17a_S2	cNA17b_S8	cNA17c_S14	cNA21a_S3	cNA21b_S9	cNA21c_S15	cNT01a_S21	cNT01b_S27	cNT01c_S33	cNT05a_S22	cNT05b_S28	cNT05c_S34	cNT09a_S23	cNT09b_S29	cNT09c_S35	cNT13a_S19	cNT13b_S24	cNT13c_S30	cNT17a_S20	cNT17b_S25	cNT17c_S31	cNT21b_S26	cNT21c_S32
tr|A0A015Y9D3|A0A015Y9D3_BACFG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.021	0.0	158.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.056	95.009	0.0	161.973	110.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A022NDM8|A0A022NDM8_ENTMU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	329.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	783.045	152.022	0.0	121.021	0.0	158.969	0.0	0.0	0.0	0.0	129.016	0.0	640.051	92.991	166.01	0.0	205.015	0.0	0.0	144.987	123.985	0.0	0.0	95.009	214.988	0.0	110.015	0.0	0.0	143.008	0.0	0.0	0.0	125.0	222.02
tr|A0A061BQR5|A0A061BQR5_LACDE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.007	0.0	0.0	0.0	0.0	0.0	0.0	95.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A062X2Y1|A0A062X2Y1_9LACO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.017	158.969	0.0	0.0	0.0	466.048	0.0	0.0	0.0	0.0	166.01	0.0	205.015	0.0	0.0	0.0	123.985	0.0	0.0	95.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	111.01
tr|A0A066ZNB2|A0A066ZNB2_HYDMR	0.0	0.0	278.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A069S927|A0A069S927_PHOVU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A069SEW1|A0A069SEW1_9BACT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.022	298.037	121.021	250.034	158.969	0.0	310.011	316.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	307.022	0.0	256.022	434.961	247.971	197.028	345.113	665.065	214.988	646.893	550.074	0.0	0.0	0.0	0.0	0.0	0.0	250.0	111.01
tr|A0A073J516|A0A073J516_9BACT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.01	744.924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	111.01
tr|A0A074M346|A0A074M346_9SPHN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.022	0.0	0.0	125.017	0.0	0.0	0.0	158.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197.028	172.056	95.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A076IUU4|A0A076IUU4_9BACT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A077UST9|A0A077UST9_9STAP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	640.051	0.0	0.0	0.0	102.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.993	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A078MD23|A0A078MD23_9BACL	0.0	0.0	278.046	0.0	338.016	0.0	392.991	0.0	352.983	0.0	0.0	0.0	0.0	0.0	0.0	338.974	0.0	0.0	0.0	0.0	0.0	432.966	0.0	0.0	0.0	152.022	149.018	485.086	501.068	475.907	345.95	465.017	632.004	466.048	388.049	545.039	320.026	1574.839	1663.096	372.962	614.045	1006.925	256.022	289.974	371.956	197.028	345.113	475.047	428.975	161.973	440.059	387.985	865.021	573.033	321.016	418.028	401.952	500.0	556.049
tr|A0A078S4I9|A0A078S4I9_BACUN	0.0	0.0	278.046	0.0	0.0	0.0	0.0	352.025	352.983	341.019	0.0	914.037	0.0	0.0	0.0	0.0	331.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.022	149.018	364.064	250.034	158.969	0.0	310.011	158.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.015	0.0	0.0	144.987	123.985	197.028	172.056	285.028	428.975	969.839	440.059	0.0	0.0	0.0	0.0	0.0	0.0	250.0	0.0
tr|A0A081BZU9|A0A081BZU9_9BACT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.022	298.037	243.043	375.051	475.907	0.0	310.011	474.003	0.0	129.016	0.0	0.0	277.972	166.01	0.0	102.007	0.0	256.022	434.961	371.956	0.0	172.056	95.009	214.988	161.973	110.015	0.0	0.0	0.0	0.0	209.014	401.952	0.0	222.02
