FeatureID	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
tr_A0A0R1NYZ2_A0A0R1NYZ2_LIMMU	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	2	0
tr_A0A0R1PDJ9_A0A0R1PDJ9_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
tr_A0A0R1SYU9_A0A0R1SYU9_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0
tr_A0A0R1U1F4_A0A0R1U1F4_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	3	0
tr_A0A0R1U3N2_A0A0R1U3N2_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0
tr_A0A0R1U5G5_A0A0R1U5G5_9LACO	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0R1U9F4_A0A0R1U9F4_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
tr_A0A0R1VBW9_A0A0R1VBW9_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
tr_A0A0R1WH11_A0A0R1WH11_9LACO	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0
tr_A0A0R1XFV4_A0A0R1XFV4_9LACO	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
tr_A0A0R1Z9U8_A0A0R1Z9U8_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
tr_A0A0R1ZQV3_A0A0R1ZQV3_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0
