FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
tr_A0A090D114_A0A090D114_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304.045	149.018	0	125.017	316.938	0	0	0	0	0	0	0	0	166.01	0	0	0
tr_A0A090RUG7_A0A090RUG7_9VIBR	395.023	0	0	0	0	0	785.982	705.051	704.967	682.038	329.024	457.018	470.022	473.035	0	1354.894	331.031	445.981	1063.103	0	669.966	0	418.024	1595.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A090SRK5_A0A090SRK5_9VIBR	395.023	0	0	0	0	0	785.982	705.051	704.967	682.038	329.024	457.018	470.022	473.035	0	1354.894	331.031	445.981	1063.103	0	669.966	0	418.024	1595.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A096B1U0_A0A096B1U0_FLAPL	0	0	835.137	0	338.016	0	392.991	0	352.983	341.019	0	0	0	0	0	338.974	331.031	0	354.034	377.012	0	432.966	418.024	0	0	457.068	745.092	1335.236	1001.136	1109.782	345.95	930.033	1422.01	466.048	518.066	545.039	320.026	1666.83	1330.077	744.924	921.067	1006.925
tr_A0A096DGB7_A0A096DGB7_FLAPL	0	0	278.046	0	0	0	0	0	0	0	0	0	0	0	0	0	331.031	0	0	0	0	0	0	0	0	304.045	298.037	607.107	250.034	316.938	0	310.011	158.001	0	259.033	272.02	320.026	277.972	499.029	372.962	205.015	502.963
tr_A0A097R7J6_A0A097R7J6_HAFAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	0	125.017	158.969	0	155.006	0	0	0	0	0	0	0	0	102.007	0
tr_A0A098CP10_A0A098CP10_9LACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.018	121.021	125.017	158.969	0	0	0	0	129.016	0	0	92.991	166.01	0	307.022	0
tr_A0A098LJX5_A0A098LJX5_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	783.045	761.113	447.055	121.021	125.017	158.969	0	155.006	158.001	466.048	0	0	0	92.991	166.01	0	307.022	0
tr_A0A099YB76_A0A099YB76_LIMMU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261.015	152.022	0	0	250.034	158.969	0	0	158.001	0	129.016	0	960.077	92.991	333.019	0	205.015	0
tr_A0A0B3VRN3_A0A0B3VRN3_9FIRM	0	0	0	0	0	0	0	352.025	0	0	0	0	0	0	0	0	0	0	354.034	0	0	0	0	0	261.015	0	0	121.021	125.017	0	690.9	0	0	933.097	0	0	0	92.991	0	1117.886	0	0
