mouseid	condition	cageid	weight	week
FT5b	FT	5b	28.2	8
FT5c	FT	5c	29.0	8
FT6a	FT	6a	30.7	8
FT6b	FT	6b	28.9	8
FT6c	FT	6c	29.3	8
FT7a	FT	7a	28.7	8
FT7b	FT	7b	30.8	8
FT7c	FT	7c		8
FT8a	FT	8a	32.9	8
FT8b	FT	8b	30.5	8
FT8c	FT	8c		8
NA1a	NA	1a	27.6	8
NA1b	NA	1b	28.7	8
NA1c	NA	1c	29.3	8
NA2a	NA	2a	26.8	8
NA2b	NA	2b	30.7	8
NA2c	NA	2c	31.8	8
NA3a	NA	3a	31.6	8
NA3b	NA	3b	28.0	8
NA3c	NA	3c	31.2	8
NA4a	NA	4a	24.6	8
NA4b	NA	4b	28.8	8
NA4c	NA	4c	29.3	8
NA5a	NA	5a	29.7	8
NA5b	NA	5b	29.2	8
NA5c	NA	5c	25.6	8
NA6a	NA	6a	32.3	8
NA6b	NA	6b	27.9	8
NA6c	NA	6c	27.3	8
NA7a	NA	7a	29.9	8
NA7b	NA	7b	30.7	8
NA7c	NA	7c	28.2	8
NA8a	NA	8a	30.0	8
NA8b	NA	8b	31.7	8
NA8c	NA	8c	32.0	8
NT1a	NT	1a	28.7	8
NT1b	NT	1b	28.6	8
NT1c	NT	1c	27.3	8
NT2a	NT	2a	22.7	8
NT2b	NT	2b	27.3	8
NT2c	NT	2c	27.0	8
NT3a	NT	3a	27.1	8
NT3b	NT	3b	27.0	8
NT3c	NT	3c	29.5	8
NT4a	NT	4a	28.0	8
NT4b	NT	4b	27.0	8
NT4c	NT	4c	28.3	8
NT5a	NT	5a	30.0	8
NT5b	NT	5b	27.0	8
NT5c	NT	5c	26.3	8
NT6a	NT	6a	27.7	8
NT6b	NT	6b	25.8	8
NT6c	NT	6c	27.7	8
NT7a	NT	7a	28.3	8
NT7b	NT	7b	27.1	8
NT7c	NT	7c	25.9	8
NT8a	NT	8a	26.4	8
NT8b	NT	8b	25.9	8
NT8c	NT	8c	24.1	8
