mouseid	condition	cageid	weight	week
NA7b	NA	7b	26.2	1
NA7c	NA	7c	25.9	1
NA8a	NA	8a	26.8	1
NA8b	NA	8b	28.7	1
NA8c	NA	8c	29.8	1
NT1a	NT	1a	24.3	1
NT1b	NT	1b	23.5	1
NT1c	NT	1c	25.2	1
NT2a	NT	2a	22.2	1
NT2b	NT	2b	20.7	1
NT2c	NT	2c	20.6	1
NT3a	NT	3a	22.3	1
NT3b	NT	3b	22.7	1
NT3c	NT	3c	22.8	1
NT4a	NT	4a	24.7	1
NT4b	NT	4b	25.3	1
NT4c	NT	4c	25.5	1
NT5a	NT	5a	24.3	1
NT5b	NT	5b	23.2	1
NT5c	NT	5c	25.4	1
NT6a	NT	6a	25.0	1
NT6b	NT	6b	23.9	1
NT6c	NT	6c	24.3	1
NT7a	NT	7a	24.8	1
NT7b	NT	7b	25.4	1
NT7c	NT	7c	21.3	1
NT8a	NT	8a	23.1	1
NT8b	NT	8b	23.0	1
NT8c	NT	8c	20.1	1
FA1a	FA	1a	34.1	2
FA1b	FA	1b	32.0	2
FA1c	FA	1c	30.5	2
FA2a	FA	2a	30.2	2
FA2b	FA	2b	30.7	2
FA2c	FA	2c	29.9	2
FA3a	FA	3a	31.0	2
FA3b	FA	3b	29.7	2
FA3c	FA	3c	28.4	2
FA4a	FA	4a	30.3	2
FA4b	FA	4b	30.2	2
FA4c	FA	4c	29.8	2
FA5a	FA	5a	29.8	2
FA5b	FA	5b	32.3	2
FA5c	FA	5c	28.6	2
FA6a	FA	6a	31.8	2
FA6b	FA	6b	31.7	2
FA6c	FA	6c	29.7	2
FA7a	FA	7a	28.0	2
FA7b	FA	7b	28.1	2
FA7c	FA	7c	25.5	2
FA8a	FA	8a	29.2	2
FA8b	FA	8b	29.8	2
FA8c	FA	8c	27.4	2
FT1a	FT	1a	27.9	2
FT1b	FT	1b	26.4	2
FT1c	FT	1c	28.7	2
FT2a	FT	2a	31.2	2
FT2b	FT	2b	29.7	2
FT2c	FT	2c	27.2	2
FT3a	FT	3a	23.9	2
FT3b	FT	3b	25.5	2
FT3c	FT	3c	27.2	2
FT4a	FT	4a	25.4	2
FT4b	FT	4b	25.0	2
FT4c	FT	4c	26.2	2
FT5a	FT	5a	25.4	2
FT5b	FT	5b	25.7	2
FT5c	FT	5c	25.3	2
FT6a	FT	6a	25.6	2
FT6b	FT	6b	25.7	2
FT6c	FT	6c	25.3	2
FT7a	FT	7a	25.2	2
FT7b	FT	7b	27.2	2
FT7c	FT	7c		2
FT8a	FT	8a	24.9	2
FT8b	FT	8b	25.3	2
FT8c	FT	8c		2
NA1a	NA	1a	25.4	2
NA1b	NA	1b	26.9	2
NA1c	NA	1c	26.4	2
NA2a	NA	2a	30.2	2
NA2b	NA	2b	30.5	2
NA2c	NA	2c	25.3	2
NA3a	NA	3a	26.1	2
NA3b	NA	3b	28.4	2
NA3c	NA	3c	28.8	2
NA4a	NA	4a	24.9	2
NA4b	NA	4b	25.4	2
NA4c	NA	4c	22.4	2
NA5a	NA	5a	23.2	2
NA5b	NA	5b	26.9	2
NA5c	NA	5c	26.5	2
NA6a	NA	6a	28.3	2
NA6b	NA	6b	25.9	2
NA6c	NA	6c	26.5	2
NA7a	NA	7a	27.1	2
NA7b	NA	7b	26.2	2
NA7c	NA	7c	26.4	2
NA8a	NA	8a	30.3	2
NA8b	NA	8b	28.2	2
NA8c	NA	8c	29.1	2
NT1a	NT	1a	24.6	2
NT1b	NT	1b	24.2	2
NT1c	NT	1c	24.8	2
NT2a	NT	2a	21.6	2
NT2b	NT	2b	20.0	2
NT2c	NT	2c	22.7	2
NT3a	NT	3a	23.2	2
NT3b	NT	3b	23.5	2
NT3c	NT	3c	23.4	2
NT4a	NT	4a	25.6	2
NT4b	NT	4b	24.2	2
NT4c	NT	4c	25.1	2
NT5a	NT	5a	25.8	2
NT5b	NT	5b	24.1	2
NT5c	NT	5c	23.4	2
NT6a	NT	6a	23.7	2
NT6b	NT	6b	24.3	2
NT6c	NT	6c	24.9	2
NT7a	NT	7a	25.4	2
NT7b	NT	7b	24.3	2
NT7c	NT	7c	22.2	2
NT8a	NT	8a	20.3	2
NT8b	NT	8b	22.7	2
