CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1244	1890	3	0.9465	21.982
4597	6541	5	0.8422	165.079
4383	4688	5	0.8856	0.483
4688	6541	5	0.9291	0.000
3532	4383	5	0.8915	-0.000
16985	18607	6	0.907	-0.004
32923	38293	7	0.9431	-0.503
32978	38293	7	0.9335	16.523
33195	38293	7	0.9464	8.514
36342	38293	7	0.9365	17.026
36533	38293	7	0.9184	0.001
36765	38293	7	0.9523	16.525
37988	38293	7	0.9187	715.880
38047	38293	7	0.9233	8.513
38293	38603	7	0.9496	-732.906
38293	38709	7	0.9371	-16.524
39124	39142	7	0.9137	-756.900
39133	39142	7	0.9325	34.054
39142	39155	7	0.9127	-17.028
39142	42904	7	0.9357	756.900
39142	42943	7	0.9372	748.386
39142	42949	7	0.9151	-0.001
39142	42970	7	0.9425	-34.056
39142	42993	7	0.9459	-17.028
39142	43373	7	0.9445	765.413
32923	36533	7	0.9356	-0.503
36342	36533	7	0.9328	17.025
36533	36712	7	0.8769	-732.906
39133	42970	7	0.9032	-0.002
39155	42970	7	0.9033	-17.028
39161	42970	7	0.8989	-799.470
39184	42970	7	0.8997	-782.441
41990	42970	7	0.9003	-782.943
42943	42970	7	0.8981	-782.442
42949	42970	7	0.928	-34.054
42970	42993	7	0.8999	17.027
42970	43373	7	0.9388	799.469
32923	38603	7	0.9465	-733.409
32978	38603	7	0.9405	-716.383
33195	38603	7	0.9231	-724.392
36342	38603	7	0.9188	-715.881
36765	38603	7	0.9306	-716.382
37988	38603	7	0.9	-17.026
38047	38603	7	0.9023	-724.394
38603	38709	7	0.9383	716.382
38603	38731	7	0.9157	733.408
41990	42949	7	0.9531	-748.888
42781	42949	7	0.9496	-765.415
42904	42949	7	0.8712	-756.901
42943	42949	7	0.8868	-748.388
42949	43373	7	0.9225	765.415
36342	37988	7	0.9063	-698.855
36712	37988	7	0.9265	17.026
36765	37988	7	0.9166	-699.356
37988	38047	7	0.9504	707.368
37988	38731	7	0.9036	716.382
39155	43373	7	0.8739	782.441
39161	43373	7	0.8732	-0.001
41990	43373	7	0.8767	16.526
42781	43373	7	0.9231	0.000
42904	43373	7	0.8935	8.513
42943	43373	7	0.8983	17.027
42993	43373	7	0.8725	782.441
32924	36712	7	0.9235	-724.895
36712	38047	7	0.9513	724.394
36712	38731	7	0.8992	733.408
36712	42993	7	0.8763	-99.068
32923	33195	7	0.9286	-9.017
32924	33195	7	0.9194	-0.503
32978	33195	7	0.9113	8.009
33195	36342	7	0.92	-8.511
33195	36765	7	0.9173	-8.010
33195	38047	7	0.9228	0.002
33195	38709	7	0.936	-8.010
