SampleID	PC1	PC2	PC3
cFA1a	-0.0273065596954253	-0.0792396838439593	-0.127486915618451
cFA1b	-0.0179882127096411	-0.145486831654477	-0.0969939950923008
cFA1c	-0.0619324070446488	-0.099658328067457	-0.0530428036416236
cFA2a	-0.116665154977934	-0.0865081123306296	0.0321278314522501
cFA2b	-0.094142355807403	0.0205313289904465	-0.0968716933101793
cFA2c	-0.0689161108584012	-0.0685016753277581	-0.0756594513156068
cFA3a	-0.176549935720309	-0.095646624617847	0.136932270124397
cFA3b	-0.127107479110115	-0.0963271028379953	0.0534277389154229
cFA3c	-0.143850512260914	-0.0727186889932279	0.0390171003236531
cFA4a	-0.136389487798859	-0.0292829528293587	-0.00165783783480779
cFA4b	-0.00215993024058354	-0.222929855770424	-0.117670893716491
cFA4c	-0.0711554122729064	-0.0749200122327453	-0.101202603287714
cFA5a	-0.0464356079885782	-0.0746831631499772	-0.185229111404699
cFA5b	-0.0751162102258757	-0.0674465811791952	-0.0227814422695927
cFA5c	-0.0489262876977083	-0.125970291760712	-0.119120258690679
cFA6a	-0.0899633355046035	-0.138676548191859	0.0688656179383989
cFA6b	-0.0691349277324041	-0.0745533384925484	-0.0238993333066354
cFA6c	-0.0673818545839175	-0.0964758929533265	-0.118974967085076
cFT1a	-0.143504229764784	0.064206652720918	0.116551159208897
cFT1b	-0.0534283926765599	-0.0794369141481969	-0.0369107635097177
cFT1c	-0.162925918316459	0.0199303254704368	0.0432907399909861
cFT2a	-0.103491332405962	-0.00392689665352974	0.0222361367548498
cFT2b	-0.131679605420004	-0.00467879324400943	-0.0366091679773135
cFT2c	-0.158323229913549	0.0446377278113661	-0.062850325355836
cFT3a	-0.11923321574381	0.000950572287942712	0.0896150881075515
cFT3b	-0.0849978281734521	0.0282054135469587	0.12608393102704
cFT3c	-0.150803691487269	0.0048191445450633	0.119599916049132
cFT4a	-0.154094662372842	0.0162077726644335	0.189923809603879
cFT4b	-0.0128151962447871	-0.048831983078553	-0.143346611731086
cFT4c	-0.0700998282598529	-0.0686014542777876	-0.0367784033144284
cFT5a	-0.110932416822134	0.0555111557979227	0.0496681764966848
cFT5b	-0.210059614909945	0.122041484531777	0.219727534739617
cFT5c	-0.072919779750289	-0.0274669937688233	-0.225934098382168
cFT6a	-0.0736616774867566	-0.00358179712730749	-0.0472837267842243
cFT6b	-0.126775536245782	-0.0286595212125255	0.0594276380914262
cFT6c	-0.151393623660258	0.060318561050956	0.0678555389663581
cNA1a	0.052763580147594	0.0594505451146794	-0.166998362929613
cNA1b	0.0590070565728868	0.121748928794469	-0.0283622207787298
cNA1c	0.0880373954810614	0.0675985126903942	-0.0568629664056358
cNA2a	0.0589303845153798	0.210497253669695	-0.089477080012236
cNA2b	0.0527479461624501	0.175756827286579	-0.109762722088601
cNA2c	0.0773891538315506	0.175122466755169	-0.111183569454386
cNA3a	0.00603837710354193	0.348737792385211	0.132400726508993
cNA3b	-0.0830307436208878	0.285788339252077	0.11176120644887
cNA3c	0.197953638890329	0.0171883995968931	0.00483686017615002
cNA4a	0.123796726221907	0.100027454094281	0.0138983197594198
cNA4b	0.203798054560532	0.193452962742599	0.0566021732890424
cNA4c	0.0703368429377602	0.292190314082525	0.0318986691196206
cNA5a	0.267215914223998	-0.115079940173475	-0.137423206165988
cNA5b	0.029301444530568	0.140612816328111	-0.116994604989434
cNA5c	0.164961435405338	-0.0436198603899493	0.0413321929454508
cNA6a	0.151857333933457	-0.0873332886328182	0.144038603435663
cNA6b	0.160440250033184	-0.143400181010396	0.246287499649647
cNA6c	0.178297887971566	-0.0311678502361642	0.087219171059249
cNT1a	-0.00131053785600775	0.201073303211279	-0.094425453177563
cNT1b	-0.0299015974566581	0.16697743512299	-0.184694080474442
cNT1c	0.0678689724739038	0.102511600594793	-0.198996816494313
cNT2a	0.0776442227804614	0.0201122119817782	0.32722200151429
cNT2b	0.095978853019514	-0.0602085095462769	0.243174435492089
cNT2c	0.0301371619330941	-0.0737352169219092	0.0633084619971514
cNT3a	0.241556809140871	-0.159902024073865	0.0820162287946939
cNT3b	0.138302854880397	-0.0852100329442323	-0.0241010947950567
cNT3c	0.118528136141591	0.18067487972391	-0.0279239827273464
cNT4a	0.12182763152346	-0.147851830914008	-0.0445909405780142
cNT4b	0.0275877814501863	-0.0110534794222603	-0.149762229001053
cNT4c	0.0157625413954498	-0.122276936558903	0.0057378413333634
cNT5a	0.12888983072488	-0.199942185716671	0.154225260225214
cNT5b	0.190394987028843	-0.00143555594359802	0.191368382251655
cNT5c	0.162384211555107	-0.0325601771225297	0.0818938513173207
cNT6a	0.179902038442366	0.00147063940306263	0.00297341451314104
cNT6c	0.106864985805048	-0.0693657148974288	-0.184681793920523
