FeatureID	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b
PF00553.22	1.389	0.717	0.915	0.813	0.575	1.218	1.763	1.397	0.534	0.265	0.304	0.796
PF00348.20	10.195	10.922	19.734	18.446	11.112	20.911	12.921	12.816	14.515	25.294	12.676	8.253
PF17848.4	1.092	0.754	0.89	2.452	1.272	2.688	0.723	0.893	1.147	5.808	0.653	0.66
PF01039.25	39.178	48.705	36.301	60.879	20.567	65.49	37.173	59.015	61.027	147.045	86.036	22.691
PF00364.25	40.272	59.48	43.377	75.833	31.262	81.909	35.186	54.774	43.631	170.209	73.656	20.916
PF02817.20	2.919	6.065	1.81	2.624	4.522	12.083	2.072	4.134	0.98	2.805	1.414	0.764
PF00198.26	2.944	6.065	1.81	2.689	4.624	12.102	2.103	4.891	1.003	2.805	1.58	0.879
PF02749.19	2.244	3.518	4.54	6.661	5.174	12.086	1.815	4.002	0.669	5.321	5.634	1.081
PF01729.22	2.244	3.57	4.587	6.817	5.219	12.365	1.849	4.002	0.711	5.398	5.722	1.153
PF00873.22	4.186	6.237	7.887	9.105	5.991	11.768	5.623	8.215	13.64	17.791	7.269	2.497
PF00912.25	6.532	13.079	9.929	10.559	6.767	11.569	6.232	8.836	6.333	26.641	17.843	3.56
PF00905.25	18.527	32.927	33.864	34.841	16.469	40.477	22.475	31.211	32.132	81.577	46.488	11.98
PF06832.15	0	0	0	0	0	0	0	0	0.016	0	0.063	0
PF00012.23	102.888	184.913	129.448	164.798	124.45	169.38	66.96	207.872	109.277	158.591	173.132	57.831
PF04371.18	0.088	0.543	0.464	0.623	0.72	1.917	0.796	1.198	0.542	3.816	1.29	0.051
PF13489.9	3.289	3.022	1.647	1.093	1.076	1.199	2.321	2.536	3.603	8.515	3.834	1.994
PF08442.13	0.216	0	0.064	0.166	0.099	0.124	0.192	0.055	0.103	0.108	0.061	0
PF00549.22	3.686	5.503	13.239	8.58	2.339	9.295	2.92	6.782	2.672	8.01	4.563	2.839
PF00521.23	12.402	20.966	24.651	25.968	17.094	28.651	13.351	19.659	16.003	47.447	20.989	6.827
PF03989.16	55.218	94.115	124.698	133.1	81.348	136.697	62.125	97.502	69.431	239.083	94.593	31.764
PF02518.29	243.208	357.686	296.076	319.135	175.34	377.725	220.753	278.182	359.88	705.966	385.903	117.723
PF00575.26	347.832	563.227	546.07	715.242	257.642	789.409	454.501	563.25	653.09	1652.249	715.231	212.909
PF10150.12	1.816	4.301	4.716	4.29	3.159	7.828	3.746	6.563	4.69	22.377	5.059	1.465
PF04313.17	7.177	10.505	9.041	8.601	6.546	9.97	6.381	14.032	5.065	21.694	9.135	3.762
PF18766.4	6.858	9.763	9.074	8.558	6.421	9.974	6.225	13.678	4.884	22.074	9.053	3.629
PF02534.17	4.878	2.51	2.887	3.796	21.095	3.855	1.184	3.249	2.328	3.351	3.924	1.32
PF03583.17	0	0	0.061	0	0.011	0	0	0	0.02	0	0	0
PF17757.4	6.351	9.831	10.002	10.886	12.025	12.808	4.963	7.824	9.32	17.277	7.547	2.834
PF02559.19	17.335	30.389	26.453	18.825	13.322	22.919	19.631	15.273	27.446	52.502	41.387	8.943
PF00270.32	15.166	23.667	27.945	30.966	29.078	38.087	17.861	22.845	29.199	59.312	22.903	7.63
PF03461.18	1.899	2.845	3.672	4.562	4.421	5.404	1.771	2.818	4.023	5.685	2.149	0.847
PF00204.28	10.444	13.769	18.668	22.856	14.653	23.426	10.427	14.712	17.418	33.962	15.211	5.238
PF18053.4	0	0	0	0	0.012	0	0	0.053	0	0	0	0
PF00986.24	10.284	13.498	18.098	22.869	14.38	22.913	10.347	14.308	17.171	35.303	14.99	5.222
PF02424.18	2.075	3.718	7.309	4.484	3.725	4.465	2.165	2.639	3.589	5.422	3.895	0.914
PF13740.9	1.056	3.235	3.568	5.192	2.577	5.871	3.093	1.608	5.695	8.175	4.074	1.454
PF00990.24	32.542	52.365	29.027	35.697	15.629	41.064	37.144	40.567	55.235	147.779	67.252	22.015
PF00278.25	1.971	4.425	3.569	5.483	3.781	7.091	5.013	5.04	7.638	16.135	8.203	1.783
PF02784.19	2.08	4.495	3.559	5.427	4.197	7.932	5.582	5.374	7.739	15.642	8.376	1.762
PF01909.26	6.142	8.115	9.07	9.504	3.118	11.004	4.76	12.645	6.001	30.021	7.495	2.736
PF04349.15	0	0	0	0.419	0.018	0.046	0	0.042	0	0	0	0
PF00155.24	39.905	55.121	76.705	87.416	46.581	83.396	39.855	59.558	61.082	177.114	72.973	26.111
PF04408.26	0.563	0.759	0.15	0.104	0.227	0.284	0.254	0.209	1.94	0.957	0.996	0.867
PF07717.19	0.563	0.759	0.121	0.104	0.227	0.284	0.254	0.209	1.926	0.957	0.996	0.867
PF11898.11	0.563	0.759	0.121	0.104	0.227	0.284	0.254	0.209	1.926	0.957	0.996	0.867
PF01381.25	199.834	280.479	195.125	169.805	127.498	254.712	112.498	219.202	115.143	338.253	259.381	74.305
PF00232.21	6.437	11.144	35.791	26.424	67.713	74.809	14.354	7.096	15.638	23.86	31.041	12.521
PF01103.26	0.326	0.227	0.377	0.246	0.752	0.488	0.154	0.444	0.292	0.851	0.302	0.054
PF01891.19	0.274	0.375	0.55	0.575	0.175	0.214	0.056	0.128	0.231	2.324	0.035	0.252
PF03843.16	0	0	0	0.113	0	0	0.087	0	0	0	0	0
PF17200.7	2.449	11.215	3.11	8.787	1.52	23.86	25.886	7.147	28.354	37.585	24.451	6.503
PF04172.19	1.459	1.212	1.823	1.201	2.281	1.502	1.302	1.514	2.11	2.148	2.582	0.573
PF07963.15	0.161	0.306	0.127	0.746	1.883	1.551	0.154	0.42	1.05	1.747	1.113	0.063
PF00114.22	0	0	0	0.136	0	0	0	0	0	0	0	0
PF01926.26	36.023	52.547	82.382	82.95	61.832	105.808	44.944	58.16	84.189	149.078	60.493	19.576
PF07650.20	56.954	93.395	117.254	185.782	49.608	227.481	79.051	113.234	131.143	306.993	164.033	54.957
PF00849.25	8.405	13.76	19.57	21.467	15.783	33.671	12.363	15.399	22.117	38.654	17.105	5.377
PF00171.25	125.305	75.789	60.322	104.348	29.392	56.683	33.084	59.64	57.914	116.528	71.223	38.81
PF00343.23	24.053	36.987	36.727	53.391	20.433	56.727	26.344	39.475	39.479	111.549	50.823	14.969
PF01899.19	0.527	0.718	0.775	0.857	0.818	1.502	0.266	0.456	1.259	0.938	1.547	0.119
PF13519.9	0.459	1.368	1.156	0.648	1.002	2.198	0.856	1.074	0.857	4.08	1.117	0.206
PF00903.28	4.502	7.156	3.884	7.459	3.467	9.814	4.911	8.468	3.362	23.464	5.844	2.374
PF03477.19	25.148	42.801	41.595	46.63	23.237	46.36	31.814	38.24	41.674	103.054	42.729	16.338
PF13597.9	16.46	28.809	33.171	37.951	17.114	32.142	22.206	30.7	32.71	81.213	31.958	11.603
PF11884.11	0	0	0	0	0	0	0	0	0	0	0	0
PF00512.28	125.482	191.3	177.837	200.372	105.131	226.706	125.905	154.597	199.304	382.988	205.524	63.115
PF13417.9	0	0	0	0	0.271	0.06	0	0.101	0.055	0	0	0.068
PF00043.28	0	0	0	0.1	0.187	0.13	0	0	0	0	0	0
PF00356.24	21.032	36.11	30.657	32.399	15.498	58.663	15.432	26.264	22.675	57.969	34.033	12.858
PF13377.9	24.383	42.459	33.192	35.034	17.173	62.846	23.71	33.775	32.461	77.568	42.86	15.671
PF04879.19	7.498	15.204	15.263	8.175	4.294	4.924	3.827	8.891	2.379	11.222	4.558	3.11
PF00384.25	8.102	15.924	15.882	9.291	4.914	5.729	4.184	9.399	3.027	11.972	5.061	3.508
PF01568.24	1.477	1.371	1.589	2.507	2.092	1.621	1.421	1.542	1.076	1.667	1.067	0.628
PF00704.31	5.391	6.238	8.999	10.159	4.399	9.864	5.858	8.798	6.096	19.782	7.838	2.26
PF06483.14	0	0	0	0	0	0	0	0	0.007	0	0	0
PF00085.23	197.555	195.515	173.059	102.013	56.601	187.312	44.805	90.749	51.841	205.987	175.795	76.08
PF00126.30	19.758	22.131	23.542	23.706	18.985	24.908	12.793	23.534	16.926	35.539	20.304	6.631
PF03466.23	18.997	19.451	23.337	24.717	18.49	24.299	13.071	23.65	16.856	36.317	20.307	6.597
PF08402.13	103.027	128.478	70.767	61.614	46.01	95.092	23.087	70.928	31.892	78.567	93.638	28.553
PF08447.15	13.184	19.949	20.214	19.519	8.298	27.926	13.998	18.379	22.06	47.685	25.586	6.582
PF02378.21	56.109	87.127	87.401	72.594	83.745	144.059	33.489	71.665	32.7	152.56	95.636	36.321
PF02302.20	68.123	135.047	90.465	73.724	314.731	243.762	34.321	35.687	32.617	132.754	69.375	24.297
PF00359.25	28.14	52.788	19.919	27.001	16.131	72.401	4.893	10.102	4.708	17.331	22.667	8.264
PF00072.27	443.378	638.239	631.649	696.62	285.417	886.495	406.246	547.295	589	1448.094	740.987	235.028
PF07228.15	4.787	5.323	8.722	7.232	3.095	9.793	2.805	5.641	2.919	8.624	4.889	1.757
PF13581.9	1.301	1.956	1.707	2.992	2.151	4.173	3.863	8.02	2.945	13.384	2.315	1.036
PF06723.16	14.529	34.709	22.398	29.688	13.56	33.822	29.115	28.405	44.075	86.369	43.024	12.533
