FeatureID	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b
PF00308.21	4.838	8.957	6.806	9.837	3.488	8.744	3.801	5.906	3.215	21.515	7.292	1.947
PF08299.14	4.838	8.957	6.806	9.58	3.488	8.744	3.801	5.906	3.215	21.515	7.184	1.947
PF07242.14	0	0	0	0	0.036	0	0	0.035	0	0	0	0
PF01527.23	36.177	40.285	30.019	26.332	52.254	29.793	19.176	27.383	24.412	49.069	36.895	10.281
PF02557.20	1.466	2.875	3.566	4.021	5.347	4.503	1.088	1.653	2.915	2.488	1.095	0.841
PF03444.18	0.231	0.649	0.215	0.796	0.365	2.051	1.091	1.54	0.198	0.672	0.267	0.52
PF01628.24	5.269	10.231	9.335	8.288	14.754	11.322	4.52	11.886	6.823	7.395	8.873	3.528
PF01025.22	5.245	8.657	22.871	12.354	30.815	20.657	10.016	13.099	15.276	21.053	12.312	3.89
PF06100.14	0.579	1.065	1.908	0.8	3.383	2.522	0.181	0.825	0.397	0.875	1.054	0.524
PF08220.15	13.537	21.261	28.41	18.974	22.182	26.272	10.348	14.578	14.169	42.413	17.964	4.939
PF00455.25	12.764	19.886	27.616	18.155	18.542	25.126	9.995	14.113	12.584	41.94	16.384	4.441
PF00294.27	40.187	51.247	90.534	77.15	98.22	99.945	27.327	57.694	53.996	135.817	55.218	19.098
PF13396.9	2.933	4.849	4.36	4.758	2.126	4.603	7.479	4.685	8.881	25.294	15.135	3.997
PF03668.18	3.413	5.305	8.35	6.794	5.574	10.826	7.919	6.352	11.406	27.331	10.291	4.059
PF01933.21	0.417	0.163	1.071	0.33	3.559	0.664	0.144	0.185	0.71	0.562	0.334	0.051
PF10298.12	7.551	16.086	15.052	21.136	6.648	15.021	13.81	13.012	16.153	44.751	15.359	4.727
PF14527.9	7.655	16.842	15.473	22.121	6.974	15.968	13.858	13.258	16.482	44.961	15.915	4.758
PF02650.17	7.655	16.842	15.473	22.121	6.974	15.968	13.858	13.258	16.482	44.961	15.915	4.758
PF01226.20	1.715	2.382	3.045	2.791	2.826	1.277	1.149	1.838	1.117	1.995	1.903	0.511
PF04167.16	0.558	1.928	1.929	0.581	1.239	1.254	1.481	3.786	2.424	8.274	2.743	1.024
PF00149.31	17.6	27.366	27.607	39.014	21.851	35.985	13.106	16.193	20.749	44.738	25.181	8.584
PF03462.21	23.302	39.606	37.713	45.066	29.678	45.779	29.795	36.522	52.886	88.092	53.522	13.719
PF00472.23	23.302	39.558	35.68	42.579	28.055	45.011	28.327	34.052	51.349	90.225	53.84	13.789
PF18075.4	3.791	6.438	8.672	11.08	11.403	10.128	8.658	10.011	10.204	28.629	11.982	3.508
PF02687.24	127.3	171.24	224.697	497.714	110.493	291.375	62.747	105.978	47.121	153.231	154.77	78.216
PF00268.24	0	0	0.146	0.18	1.522	0.418	0.068	0.126	0.196	0.13	0	0
PF08343.13	0	0.039	0.035	0.015	0.501	0.133	0.169	0.061	0.104	0.146	0.034	0.026
PF00317.24	0.225	0.407	1.464	0.522	2.181	1.467	0.788	1.303	1.368	4.129	0.662	0.102
PF02867.18	0.794	1.207	1.839	0.938	3.139	2.138	0.953	1.546	1.918	4.301	1.134	0.348
PF07972.14	0	0	0	0	0.373	0.62	0.317	0.137	0.082	0	0	0
PF00462.27	1.057	2.98	1.341	1.921	1.479	1.577	0.896	2.933	2.657	6.315	1.316	1.319
PF02660.18	3.901	4.965	4.356	6.231	3.185	5.71	3.632	3.746	3.483	8.13	3.908	1.642
PF00857.23	2.261	3.43	5.912	4.741	5.344	9.662	2.436	2.503	4.112	5.979	3.445	1.897
PF00929.27	9.66	14.404	11.702	14.075	9.306	17.663	7.994	11.47	16.15	31.767	13.893	5.207
PF01544.21	1.725	1.111	5.257	2.908	6.252	4.558	1.08	1.559	1.907	2.462	1.472	0.493
PF00471.23	38.177	56.12	25.921	61.406	10.629	65.233	19.872	41.625	22.021	112.597	86.512	15.149
PF00926.22	1.244	2.479	3.621	3.166	2.485	5.389	2.13	3.089	4.177	3.787	2.528	0.9
PF00925.23	1.244	2.622	3.621	3.068	2.475	5.389	2.13	3.089	4.177	3.787	2.528	0.906
PF01479.28	124.513	177.658	174.517	256.164	92.846	255.181	134.985	179.95	258.825	406.63	233.816	71.209
PF01783.26	58.905	76.236	61.139	106.809	28.204	116.042	48.619	80.364	79.042	156.428	92.273	27.561
PF13231.9	0.718	2.863	0.883	0.592	0.73	0.499	3.555	1.797	6.903	13.245	5.793	1.999
PF00535.29	41.825	69.069	71.171	87.772	37.773	99.439	72.827	65.133	112.797	216.721	115.753	30.829
PF00486.31	127.42	179.011	231.188	235.07	130.736	239.923	73.936	167.249	124.809	291.144	190.331	63.621
PF01569.24	7.363	10.605	8.271	12.095	3.993	10.545	2.849	7.631	4.309	10.533	6.029	2.473
PF13522.9	2.932	4.949	7.32	9.26	4.55	9.559	6.136	5.226	8.956	16.311	6.718	2.149
PF01380.25	45.063	78.468	53.805	76.42	24.333	63.725	44.873	62.198	80.48	214.061	80.52	20.009
PF20582.1	1.92	6.403	6.084	6.853	4.245	8.659	5.462	4.963	7.529	15.332	8.286	2.794
