FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b
PF13561.9	37.692	85.077	13.603	81.345	53.167	98.522	41.196	62.441	45.591	61.643	52.894	73.116
PF08240.15	70.403	96.448	15.193	69.555	40.889	134.69	45.844	43.868	37.036	53.091	31.887	53.782
PF00107.29	70.327	96.017	15.073	69.975	40.214	134.662	45.371	43.082	36.781	53.067	31.814	54.058
PF12698.10	7.381	10.198	6.747	9.758	14.078	10.669	8.025	15.632	6.139	8.649	11.088	16.894
PF01264.24	2.381	9.64	1.743	5.035	3.636	12.882	3.196	5.668	3.724	6.066	4.454	6.157
PF03703.17	0.809	12.657	1.11	3.242	1.274	9.251	1.07	0.91	1.034	2.684	0.914	0.534
PF07905.14	2.022	2.733	0.219	4.19	4.883	7.503	2.546	3.021	1.841	1.417	3.647	3.144
PF17853.4	15.601	80.742	4.225	30.215	15.096	95.335	18.362	20.631	15.75	22.357	13.092	14.235
PF13556.9	12.87	63.137	4.044	27.835	14.504	73.982	16.327	17.635	13.635	19.076	13.009	13.607
PF13649.9	10.668	55.394	5.369	26.913	22.525	56.985	15.567	15.325	20.596	22.194	27.173	29.17
PF00092.31	3.122	7.857	2.765	4.413	7.117	6.48	2.412	3.658	2.389	6.171	9.445	9.429
PF00144.27	2.185	2.582	2.626	2.996	2.979	4.273	2.15	2.094	2.808	3.361	3.768	5.225
PF07732.18	0.02	0	2.521	0	0.775	0.073	0.318	0.093	0.078	0.027	0.11	0.024
PF00394.25	0	0	0.047	0	0	0	0.033	0.093	0.026	0	0.025	0
PF07731.17	0.02	0	2.481	0	0.775	0.073	0.318	0.093	0.078	0.027	0.11	0
PF00795.25	8.615	20.098	7.062	11.982	16.024	19.682	8.501	15.241	9.707	13.195	19.367	20.421
PF00672.28	84.048	592.733	26.942	252.307	60.165	675.734	123.478	208.341	123.875	181.274	46.599	52.916
PF01966.25	100.179	702.711	35.251	260.697	127.714	775.292	144.494	187.711	118.491	246.198	143.527	166.869
PF00587.28	47.214	155.443	27.57	92.655	75.031	188.16	62.075	84.376	52.065	101.39	90.623	114.334
PF04073.18	4.379	10.471	4.893	12.62	6.222	15.12	7.225	14.686	6.878	12.367	8.296	13.007
PF03129.23	38.069	122.016	22.695	73.113	64.427	159.034	49.656	72.015	41.618	83.828	80.463	93.593
PF01648.23	3.723	8.768	2.488	7.985	2.775	11.317	4.7	4.119	2.516	6.436	4.375	3.537
PF01134.25	2.653	13.496	3.721	4.8	6.585	12.008	2.15	5.832	5.641	10.431	9.557	12.054
PF03738.17	0.094	0.282	0.014	0	0	0.74	0.298	0.312	0.118	0.169	0	0
