FeatureID	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF12363.11	0	0	0	0	0.921	0	0	0	0	0	0	0	0	0	0.397	0	0	0
PF09639.13	2.993	0.459	0	0	0.695	0	1.657	0	0	1.723	0	0	14.371	1.97	1.346	0	0	0
PF02943.18	0	0.471	2.007	0	0	5.17	0	2.052	2.647	0	0	0	0	1.93	2.637	0	0.869	0.527
PF04525.15	6.369	0.359	1.949	0.869	2.526	5.988	11.028	2.699	2.013	4.025	6.775	0.759	17.892	3.143	3.716	0	1.156	0.279
PF08887.14	0	0	0	0	0	4.742	0	0	0.998	0	0	0	0	0	0	0	0	0
PF08906.14	0	0	0	0	0	4.742	0	0	0.998	0	0	0	0	0	0	0	0	0
PF18705.4	0	0.164	0.374	0.064	0.092	1.396	0.873	0.46	0.878	0	0.04	0	0	0.692	0.532	0	0.211	0.142
PF20377.1	4.426	1.208	0.826	1.241	0.257	1.3	20.829	0.774	1.368	1.911	1.521	0.24	3.593	9.872	7.462	9.447	1.093	1.591
PF20076.2	2.926	8.162	9.188	2.243	0	27.765	12.23	19.204	6.843	5.344	3.121	1.029	0	2.241	2.359	0	15.215	0.371
PF14101.9	0.262	0.161	0.522	1.177	1.341	3.391	2.905	1.591	2.076	1.208	0.166	0.227	0	0.691	0.629	0	0.932	0.126
PF14249.9	0	12.215	18.339	11.923	11.277	30.771	0.361	7.671	4.44	2.194	7.942	1.139	5.32	9.421	4.194	4.688	37.335	0.747
PF09233.14	0	0	0.335	0	0	0.396	4.476	0.314	0	0	0	0	0	0	0	0	0	0
PF14184.9	0	0	0	0	0	4.565	10.036	0.604	2.241	0	0	0	0	0.758	0.582	0	0	0
PF20564.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF16079.8	0	1.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF20277.1	0	0	0	0.112	0	0	0.622	0.23	0	0.647	0.119	0	0.449	0	0	1.199	0	0
PF18730.4	0.547	0.335	0.763	0.749	0.719	2.248	8.171	2.295	4.573	1.259	0.925	0	0	0.48	0.41	4.959	4.642	0.589
PF18159.4	0	0	0	0	0.295	0	4.931	1.484	0.315	3.663	0	0.414	0	0	0	0.679	0.377	0
PF03188.19	0	0	0	0.889	0	0	0	0	0	1.642	0	0	0	0	0	0	0	0
PF18002.4	0.487	0.681	0.404	0.486	1.266	1.527	65.29	5.369	19.998	8.118	9.456	4.673	45.329	0.42	11.343	43.928	16.981	37.393
PF20383.1	0	0	0	0	0	0	0	0	0.689	0	0	0	0.533	1.17	0	0	0	0
PF10054.12	0	1.327	1.865	4.749	0	0	0.954	1.788	3.354	0	0.271	0	1.427	0.76	0.258	0	1.854	0.201
PF09711.13	2.441	0	0.402	0.203	0	0	5.415	0	0.202	2.816	0.345	0.353	4.239	0.119	0	3.914	0.966	0
PF14213.9	0.529	0.162	2.053	0.654	0	1.248	9.884	1.606	1.174	11.117	0.165	0.338	1.249	0.228	0	8.948	0.41	1.135
PF01519.19	8	1.651	0.234	0.403	0	4.663	4.322	7.025	4.189	0	0.199	0	0	0.551	0	0	0.929	0.677
PF10920.11	0	0	0	0	0.699	0	0	0	0.37	0	0	0	0	0	0	0	0	0
PF00644.23	0	0	0.193	0	0	0	1.073	0.271	0.096	0	0.082	0	0	0.397	0	0	0.612	0.093
PF20453.1	0.899	1.242	3.803	1.233	5.012	4.228	8.963	0.21	0	1.036	1.046	0	0	0.789	1.752	1.92	2.131	0.647
PF04505.15	12.099	9.766	18.087	6.465	26.216	50.34	15.378	15.358	17.186	91.112	26.999	58.303	5.326	12.568	4.638	16.308	22.991	13.453
PF19615.2	12.484	0.842	4.262	0.171	0.877	1.613	14.835	0	0	9.483	2.032	1.338	1.099	1.205	0	17.581	0	0.164
PF09499.13	0.891	0	0	0.888	0	0	1.972	0	0	0.513	0	0	0	0	0	0	0	0
PF20217.1	0.686	2.231	4.284	15.134	12.549	58.687	3.936	14.497	12.268	4.022	0.582	0.149	1.099	2.842	0.411	0.732	5.116	0.329
PF11114.11	0	0.445	0	1.806	2.019	4.257	0	3.133	1.627	1.894	0.501	7.125	0	2.148	0.217	0	9.807	0.985
PF19993.2	0	0	0.265	0	0	0	0	0.207	0	0	0	0	0	0	0	0	0	0
PF19591.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.644	0
PF20355.1	0	2.645	0.858	0.095	0	0	0.212	0.089	0.189	0	0	0	0	0.056	0	0	0	0
PF16219.8	111.098	102.624	172.662	30.971	24.866	145.117	95.843	25.688	37.586	545.855	155.758	77.515	30.975	24.456	40.06	119.273	40.875	112.446
PF00847.23	0	4.951	2.158	2.258	9.828	29.198	1.026	2.933	1.477	0	1.211	0	0	0.971	0.751	0	1.103	0.328
PF06818.18	2.161	0	2.956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF12684.10	0	0.209	0.176	0.509	1.265	1.201	0.822	2.07	2.95	0	0.901	0	0.283	0.199	0.829	0	4.612	0.254
PF13496.9	0	6.718	13.281	8.069	28.991	71.125	0	0	0	0	0	0	0.706	0	0	0	1.795	0.211
PF16928.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168	0
PF14470.9	1.301	0.732	11.231	0.773	1.108	1.274	0.48	0	0	0.999	3.943	1.238	2.082	0.254	3.574	3.934	25.209	0.972
PF06185.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF19094.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF16581.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01015.21	0	0	0	0	0.353	0	0	0.326	0	0	0	0	0	0	0	0	0	0
PF01993.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18093.4	0	0.172	0	0.068	0.497	0.553	0	0	0	0	0	0	0	0	0	0	0	0
PF14381.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00070.30	0	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189	0
PF16952.8	0	0	0.204	0	0	0	0	0	0	0	0	0	0	0	0.126	0	0	0
PF07237.14	0	0	0.751	0	0	0	0	2.165	0.765	0	0	0	0	0	0	0	0.611	0
PF12318.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267	0	0	0
PF13852.9	0	0	0.345	0	0	0.872	0	0	1.08	0	0	0	0	0	0	0	0.245	0
PF11990.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF12025.11	0	0	0	1.519	0	0	1.162	0	0	1.208	0.624	0	0	1.535	0	0	0	0
PF14163.9	2.441	6.74	4.371	0.608	9.521	8.605	0	0	0	4.497	1.755	0.74	1.172	0.286	3.658	0	3.856	1.404
PF16280.8	0.882	1.578	3.21	3.345	0.954	6.25	0	0	0	0	0.187	0	0	0.516	0	0	0	0
PF17239.5	0	0	0.177	0	0	0.608	0	0	0.172	0	0	0	0	0	0	0	0	0
PF09883.12	0	0	0	0	0	0.958	0	0.669	0	0	0	0	0	0	0	0	0	0
PF01775.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF16409.8	0	0	0.265	0	0	0	0	0.188	0	0	0	0	0	0	0	0	0	0
PF11981.11	0	0	0	0	0.172	0	0	0	0	0	0	0	0	0	0	0	0	0
PF09618.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF20101.2	0	0.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF12975.10	0	0	0	0	0	1.402	0	0	0	0	0	0	0	0	0	0	0	0
PF17893.4	0	0	0.121	0	0.078	0	0	0	0	0	0	0	0	0	0	0	0	0
PF17894.4	0	0	0.121	0	0.078	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18525.4	0	0	0.121	0	0.078	0	0	0	0	0	0	0	0	0	0	0	0	0
PF19915.2	0	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF19917.2	0	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF17541.5	0	0	0	0	0.187	0	0	0	0	0	0	0	0	0	0	0	0	0
PF07423.14	0	0.242	0.334	0	0	0	0.94	0	0	0	0	0	0	0	0	0	0	0
PF10740.12	0	0	0	0.261	0.496	0	0	0	0.519	0	0	0	0	0	0	0	0	0
PF13467.9	0	0	0	0	1.177	0	0	1.183	0	0	0	0	0	0	0	0	0	0
PF11815.11	0	0	0.185	0	0.172	0	0	0	0.182	0	0	0	0	0	0	0	0	0
PF07372.15	0	0	1.581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF20426.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF10938.11	0	0	0.3	0	0.402	0	0	0	0.306	0	0	0	0	0	0	0	0	0
PF14795.9	0	0	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF19985.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF19903.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.497	0
PF12883.10	0	0.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF16693.8	0	0	0	0	0	0	0	0	0.193	0	0	0	0	0	0	0	0	0
PF04995.17	0	0	0	0	0	0	0	1.738	0	0	0	0	0	0	0	0	0	0
PF18918.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF14371.9	0	0.174	0	0	0	0.523	0	0	0	0	0	0	0	0	0	0	0.187	0
PF06585.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18448.4	0	0	0	0	0	0	0	0	0	0	0	0	0.113	0.041	0	0	0	0
PF12281.11	0.674	0.32	0.268	0	0	0	0	0.251	0	0	0	0	0	0	0	0	0.224	0
PF01096.21	1.225	0.072	0	0	1.155	0	0	0.219	0	0	0	0	0	0	0	0	0	0
PF20105.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.456	0
PF05400.16	0	0.246	0	0	0	0	0	0	0.912	0	0	0	0	0	0	0	0	0
PF16357.8	0	0	0	0	0	2.307	0	0	0	0	0	0	0	0	0	0	0	0
PF10648.12	0	0.452	0	0	0	0	0	0	0.467	0	0	0	0	0	0.466	0	0	0
PF19403.2	0	0.616	0	0.048	0.156	1.008	0	0	0	0	0	0	0	0	0.094	0	0.33	0
PF07161.16	0	0	0	0	0.373	0	0	0	0	0	0	0	0	0	0	0	0	0
PF12365.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF07836.14	0	0	0	0.068	0.249	0.633	0	0.244	0.537	0	0	0	0	0	0	0	0	0
PF07166.14	0	0	0	0	0	0	0	0.319	0.684	0	0	0	0	0	0	0	0	0
PF13070.9	0	0	0	0	0	0	0	0	1.456	0	0	0	0	0	0	0	0	0
PF18583.4	0	0	0	0	0	0.188	0	0.154	0.324	0	0	0	0	0	0	0	0	0
PF09949.12	0	0	0.253	0.342	0	0.537	0	0.255	0.744	0	0	0	0	0	0	0	0	0
PF14039.9	0	0	0	0	0	0	0	0	0.478	0	0	0	0	0	0	0	0	0
PF13921.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF08813.14	0	0.361	0	0	1.094	0	0	0	0	0	0	0	0	0	0	0	0	0
PF03452.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18353.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF08798.14	0	0	0	0	0	0	0	0.716	0	0	0	0	0	0	0	0	0.315	0
PF14462.9	0	0	0	0	0.314	0	0	0	1.445	0	0	0	0	0	0	0	0	0
PF05845.15	0	0	0	0	0	2.124	0	0.348	0	0	0	0	0	0	0	0	0	0
PF09308.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18856.4	0	0	0.614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18612.4	0	0.129	0.21	0.315	0	0	0	0.592	0.845	0	0	0	0	0.062	0	0	0.668	0
PF19355.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18723.4	0	0	0	0	0	0	0	0	0.562	0	0	0	0	0	0	0	0	0
PF17925.4	0	0	0	0	0	1.003	0	0.394	0	0	0	0	0	0	0	0	0.374	0
PF16819.8	0	0	0.433	0	0.102	0	0	0	0	0	0	0	0	0	0	0	0	0
PF19992.2	0	0	0.277	0.068	0.275	0.644	0	0	0	0	0	0	0	0	0	0	0	0.131
PF09829.12	0	0.259	0	0.105	5.13	4.021	0	0	0	0	0	0	0	0	0	0	0	0
PF06904.15	0	0	0	0	0	0	0	0.255	0.394	0	0.088	0	0	0	0.206	0	0	0
PF11314.11	0	0	0	0	0	0	0	1.444	0	0	0	0	0	0	0	0	0	0
PF02489.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF02460.21	0	0.071	0.113	0	0.109	0	0	0.067	0	0	0	0	0	0	0	0	0.092	0
PF14298.9	0	0.12	0.635	0.196	0.182	0.692	0	0.183	0.388	0	0	0	0	0	0	0	0.233	0
PF13789.9	0	0.206	0	0	0	1.834	0	0.655	0	0	0	0	0	0	0	0	0	0
PF14044.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF11514.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00688.21	0	0	0	0	0	0.237	0	0	0.1	0	0	0	0	0	0	0	0	0
PF10720.12	0	0	0.491	0	0.792	1.336	0	0	0	0	0	0	0	0	0	0	0.899	0
PF13160.9	0	0.357	0	0	0.54	0	0	0	0	0	0	0	0	0	0	0	0.497	0
PF06902.14	0	1.005	0	0.288	1.49	0	0	0.349	0	0	0	0	0	0.107	0	0	0.331	0
PF15698.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241	0
PF12300.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF04013.15	0	0	0	0	0	2.223	0	0	0.456	0	0	0	0	0	0	0	0	0
PF06007.14	0	0	0	0	0	0	0	0	0.317	0	0	0	0	0	0	0	0	0
PF09671.13	0	0	0	0	0.471	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01085.21	0	0	0	0.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF14254.9	0	0	0	0	0.288	0	0	0	0	0	0	0	0	0	0	0	0	0
PF20513.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF19513.2	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
PF11146.11	0	0	1.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF12788.10	0	0	0.751	1.128	0	0	0	0	0	5.212	2.074	0	2.415	4.855	1.357	3.221	8.026	3.242
PF06823.15	0	0	0	0.185	0	0	0	0	0	0	0	0	0	0	0	0	0.674	0
PF06282.14	0	0	0	0	0.456	1.376	0	0	0	0	0	0	0	0	0	0	0.412	0
PF10816.11	0	0.481	0.431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18394.4	0	0.122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF15970.8	0	0	0	0	0.292	0	0	0	0	0	0	0	0	0	0	0	0	0
PF20138.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224	0
PF00397.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF03810.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18004.4	25.851	69.4	58.675	1.409	14.63	17.089	42.937	15.075	23.174	80.924	23.404	51.442	1.293	37.81	12.833	60.353	19.782	17.615
PF00066.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF15057.9	0	0	0	0	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0
PF14580.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF19316.2	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF06011.15	0	0	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0
PF04969.19	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF20411.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00505.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055	0
PF04212.21	0	0.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01105.27	0	0	0	0	0	0	0	0.391	0	0	0	0	0	0	0	0	0	0
PF14745.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF14744.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF14746.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF03953.20	25.059	14.095	13.654	5.056	5.818	5.609	2.643	0.278	3.246	4.122	17.033	15.766	35.331	2.618	14.664	25.471	23.33	10.58
PF01067.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00787.27	0	0	0	0	0	0.496	0	0	0	0	0	0	0	0	0	0	0	0
PF05875.15	0	0.351	0.776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
