sample_name	filename	plate	plate_location	BA_suppl	BSH_strain	timepoint
P1_D11_BHI_50MeOH_0h.mzML Peak area	P1_D11_BHI_50MeOH_0h.mzML	P1	D11	BHI	50MeOH	0h
P1_B11_BHI_50MeOH_0h.mzML Peak area	P1_B11_BHI_50MeOH_0h.mzML	P1	B11	BHI	50MeOH	0h
P1_G11_BHI_50MeOH_0h.mzML Peak area	P1_G11_BHI_50MeOH_0h.mzML	P1	G11	BHI	50MeOH	0h
P1_A11_BHI_50MeOH_0h.mzML Peak area	P1_A11_BHI_50MeOH_0h.mzML	P1	A11	BHI	50MeOH	0h
P1_F11_BHI_50MeOH_0h.mzML Peak area	P1_F11_BHI_50MeOH_0h.mzML	P1	F11	BHI	50MeOH	0h
P2_E11_BHI_50MeOH_48h.mzML Peak area	P2_E11_BHI_50MeOH_48h.mzML	P2	E11	BHI	50MeOH	48h
P2_C11_BHI_50MeOH_48h.mzML Peak area	P2_C11_BHI_50MeOH_48h.mzML	P2	C11	BHI	50MeOH	48h
P2_D11_BHI_50MeOH_48h.mzML Peak area	P2_D11_BHI_50MeOH_48h.mzML	P2	D11	BHI	50MeOH	48h
P2_B11_BHI_50MeOH_48h.mzML Peak area	P2_B11_BHI_50MeOH_48h.mzML	P2	B11	BHI	50MeOH	48h
P2_H11_BHI_50MeOH_48h.mzML Peak area	P2_H11_BHI_50MeOH_48h.mzML	P2	H11	BHI	50MeOH	48h
P2_A11_BHI_50MeOH_48h.mzML Peak area	P2_A11_BHI_50MeOH_48h.mzML	P2	A11	BHI	50MeOH	48h
P2_G11_BHI_50MeOH_48h.mzML Peak area	P2_G11_BHI_50MeOH_48h.mzML	P2	G11	BHI	50MeOH	48h
P2_F11_BHI_50MeOH_48h.mzML Peak area	P2_F11_BHI_50MeOH_48h.mzML	P2	F11	BHI	50MeOH	48h
P6_G11_BHI_50MeOH.mzML Peak area	P6_G11_BHI_50MeOH.mzML	P6	G11	BHI	50MeOH	
P8_G11_BHI_50MeOH.mzML Peak area	P8_G11_BHI_50MeOH.mzML	P8	G11	BHI	50MeOH	
P8_A11_BHI_50MeOH.mzML Peak area	P8_A11_BHI_50MeOH.mzML	P8	A11	BHI	50MeOH	
P6_A11_BHI_50MeOH.mzML Peak area	P6_A11_BHI_50MeOH.mzML	P6	A11	BHI	50MeOH	
P5_G11_BHI_50MeOH.mzML Peak area	P5_G11_BHI_50MeOH.mzML	P5	G11	BHI	50MeOH	
P5_A11_BHI_50MeOH.mzML Peak area	P5_A11_BHI_50MeOH.mzML	P5	A11	BHI	50MeOH	
P7_A11_BHI_50MeOH.mzML Peak area	P7_A11_BHI_50MeOH.mzML	P7	A11	BHI	50MeOH	
P9_A11_BHI_50MeOH.mzML Peak area	P9_A11_BHI_50MeOH.mzML	P9	A11	BHI	50MeOH	
P9_G11_BHI_50MeOH.mzML Peak area	P9_G11_BHI_50MeOH.mzML	P9	G11	BHI	50MeOH	
P7_G11_BHI_50MeOH.mzML Peak area	P7_G11_BHI_50MeOH.mzML	P7	G11	BHI	50MeOH	
P3_A11_BHI_50MeOH.mzML Peak area	P3_A11_BHI_50MeOH.mzML	P3	A11	BHI	50MeOH	
P4_A11_BHI_50MeOH.mzML Peak area	P4_A11_BHI_50MeOH.mzML	P4	A11	BHI	50MeOH	
P4_G11_BHI_50MeOH.mzML Peak area	P4_G11_BHI_50MeOH.mzML	P4	G11	BHI	50MeOH	
P3_G11_BHI_50MeOH.mzML Peak area	P3_G11_BHI_50MeOH.mzML	P3	G11	BHI	50MeOH	
P7_F10_GCA_AZ-52_0h.mzML Peak area	P7_F10_GCA_AZ-52_0h.mzML	P7	F10	GCA	AZ-52	0h
P4_F10_GCA_AZ-52_0h.mzML Peak area	P4_F10_GCA_AZ-52_0h.mzML	P4	F10	GCA	AZ-52	0h
P4_F8_GCDCA_AZ-52_0h.mzML Peak area	P4_F8_GCDCA_AZ-52_0h.mzML	P4	F8	GCDCA	AZ-52	0h
P7_F8_GCDCA_AZ-52_0h.mzML Peak area	P7_F8_GCDCA_AZ-52_0h.mzML	P7	F8	GCDCA	AZ-52	0h
P4_F7_GDCA_AZ-52_0h.mzML Peak area	P4_F7_GDCA_AZ-52_0h.mzML	P4	F7	GDCA	AZ-52	0h
P7_F7_GDCA_AZ-52_0h.mzML Peak area	P7_F7_GDCA_AZ-52_0h.mzML	P7	F7	GDCA	AZ-52	0h
P4_F6_GLCA_AZ-52_0h.mzML Peak area	P4_F6_GLCA_AZ-52_0h.mzML	P4	F6	GLCA	AZ-52	0h
P7_F6_GLCA_AZ-52_0h.mzML Peak area	P7_F6_GLCA_AZ-52_0h.mzML	P7	F6	GLCA	AZ-52	0h
P4_F9_GUDCA_AZ-52_0h.mzML Peak area	P4_F9_GUDCA_AZ-52_0h.mzML	P4	F9	GUDCA	AZ-52	0h
P7_F9_GUDCA_AZ-52_0h.mzML Peak area	P7_F9_GUDCA_AZ-52_0h.mzML	P7	F9	GUDCA	AZ-52	0h
P7_F5_TCA_AZ-52_0h.mzML Peak area	P7_F5_TCA_AZ-52_0h.mzML	P7	F5	TCA	AZ-52	0h
P1_F5_TCA_AZ-52_0h.mzML Peak area	P1_F5_TCA_AZ-52_0h.mzML	P1	F5	TCA	AZ-52	0h
