sample_name	filename	plate	plate_location	BA_suppl	BSH_strain	timepoint
P6_H3_TCDCA_ctrl_48h.mzML Peak area	P6_H3_TCDCA_ctrl_48h.mzML	P6	H3	TCDCA	ctrl	48h
P2_H2_TDCA_ctrl_48h.mzML Peak area	P2_H2_TDCA_ctrl_48h.mzML	P2	H2	TDCA	ctrl	48h
P9_H2_TDCA_ctrl_48h.mzML Peak area	P9_H2_TDCA_ctrl_48h.mzML	P9	H2	TDCA	ctrl	48h
P6_H2_TDCA_ctrl_48h.mzML Peak area	P6_H2_TDCA_ctrl_48h.mzML	P6	H2	TDCA	ctrl	48h
P9_H1_TLCA_ctrl_48h.mzML Peak area	P9_H1_TLCA_ctrl_48h.mzML	P9	H1	TLCA	ctrl	48h
P6_H1_TLCA_ctrl_48h.mzML Peak area	P6_H1_TLCA_ctrl_48h.mzML	P6	H1	TLCA	ctrl	48h
P6_H4_TUDCA_ctrl_48h.mzML Peak area	P6_H4_TUDCA_ctrl_48h.mzML	P6	H4	TUDCA	ctrl	48h
P9_H4_TUDCA_ctrl_48h.mzML Peak area	P9_H4_TUDCA_ctrl_48h.mzML	P9	H4	TUDCA	ctrl	48h
P8_A10_GCA_Dny_BSH1_24h.mzML Peak area	P8_A10_GCA_Dny_BSH1_24h.mzML	P8	A10	GCA	Dny-BSH1	24h
P6_A10_GCA_Dny_BSH1_48h.mzML Peak area	P6_A10_GCA_Dny_BSH1_48h.mzML	P6	A10	GCA	Dny-BSH1	48h
P3_A10_GCA_Dny_BSH1_24h.mzML Peak area	P3_A10_GCA_Dny_BSH1_24h.mzML	P3	A10	GCA	Dny-BSH1	24h
P9_A10_GCA_Dny_BSH1_48h.mzML Peak area	P9_A10_GCA_Dny_BSH1_48h.mzML	P9	A10	GCA	Dny-BSH1	48h
P7_A10_GCA_Dny_BSH1_0h.mzML Peak area	P7_A10_GCA_Dny_BSH1_0h.mzML	P7	A10	GCA	Dny-BSH1	0h
P5_A10_GCA_Dny_BSH1_24h.mzML Peak area	P5_A10_GCA_Dny_BSH1_24h.mzML	P5	A10	GCA	Dny-BSH1	24h
P4_A10_GCA_Dny_BSH1_0h.mzML Peak area	P4_A10_GCA_Dny_BSH1_0h.mzML	P4	A10	GCA	Dny-BSH1	0h
P4_A8_GCDCA_Dny_BSH1_0h.mzML Peak area	P4_A8_GCDCA_Dny_BSH1_0h.mzML	P4	A8	GCDCA	Dny-BSH1	0h
P3_A8_GCDCA_Dny_BSH1_24h.mzML Peak area	P3_A8_GCDCA_Dny_BSH1_24h.mzML	P3	A8	GCDCA	Dny-BSH1	24h
P9_A8_GCDCA_Dny_BSH1_48h.mzML Peak area	P9_A8_GCDCA_Dny_BSH1_48h.mzML	P9	A8	GCDCA	Dny-BSH1	48h
P7_A8_GCDCA_Dny_BSH1_0h.mzML Peak area	P7_A8_GCDCA_Dny_BSH1_0h.mzML	P7	A8	GCDCA	Dny-BSH1	0h
P8_A8_GCDCA_Dny_BSH1_24h.mzML Peak area	P8_A8_GCDCA_Dny_BSH1_24h.mzML	P8	A8	GCDCA	Dny-BSH1	24h
P5_A8_GCDCA_Dny_BSH1_24h.mzML Peak area	P5_A8_GCDCA_Dny_BSH1_24h.mzML	P5	A8	GCDCA	Dny-BSH1	24h
P6_A8_GCDCA_Dny_BSH1_48h.mzML Peak area	P6_A8_GCDCA_Dny_BSH1_48h.mzML	P6	A8	GCDCA	Dny-BSH1	48h
P8_A7_GDCA_Dny_BSH1_24h.mzML Peak area	P8_A7_GDCA_Dny_BSH1_24h.mzML	P8	A7	GDCA	Dny-BSH1	24h
P4_A7_GDCA_Dny_BSH1_0h.mzML Peak area	P4_A7_GDCA_Dny_BSH1_0h.mzML	P4	A7	GDCA	Dny-BSH1	0h
P7_A7_GDCA_Dny_BSH1_0h.mzML Peak area	P7_A7_GDCA_Dny_BSH1_0h.mzML	P7	A7	GDCA	Dny-BSH1	0h
P6_A7_GDCA_Dny_BSH1_48h.mzML Peak area	P6_A7_GDCA_Dny_BSH1_48h.mzML	P6	A7	GDCA	Dny-BSH1	48h
P5_A7_GDCA_Dny_BSH1_24h.mzML Peak area	P5_A7_GDCA_Dny_BSH1_24h.mzML	P5	A7	GDCA	Dny-BSH1	24h
P9_A7_GDCA_Dny_BSH1_48h.mzML Peak area	P9_A7_GDCA_Dny_BSH1_48h.mzML	P9	A7	GDCA	Dny-BSH1	48h
P3_A7_GDCA_Dny_BSH1_24h.mzML Peak area	P3_A7_GDCA_Dny_BSH1_24h.mzML	P3	A7	GDCA	Dny-BSH1	24h
P6_A6_GLCA_Dny_BSH1_48h.mzML Peak area	P6_A6_GLCA_Dny_BSH1_48h.mzML	P6	A6	GLCA	Dny-BSH1	48h
P5_A6_GLCA_Dny_BSH1_24h.mzML Peak area	P5_A6_GLCA_Dny_BSH1_24h.mzML	P5	A6	GLCA	Dny-BSH1	24h
P3_A6_GLCA_Dny_BSH1_24h.mzML Peak area	P3_A6_GLCA_Dny_BSH1_24h.mzML	P3	A6	GLCA	Dny-BSH1	24h
P9_A6_GLCA_Dny_BSH1_48h.mzML Peak area	P9_A6_GLCA_Dny_BSH1_48h.mzML	P9	A6	GLCA	Dny-BSH1	48h
P7_A6_GLCA_Dny_BSH1_0h.mzML Peak area	P7_A6_GLCA_Dny_BSH1_0h.mzML	P7	A6	GLCA	Dny-BSH1	0h
P4_A6_GLCA_Dny_BSH1_0h.mzML Peak area	P4_A6_GLCA_Dny_BSH1_0h.mzML	P4	A6	GLCA	Dny-BSH1	0h
P8_A6_GLCA_Dny_BSH1_24h.mzML Peak area	P8_A6_GLCA_Dny_BSH1_24h.mzML	P8	A6	GLCA	Dny-BSH1	24h
P6_A9_GUDCA_Dny_BSH1_48h.mzML Peak area	P6_A9_GUDCA_Dny_BSH1_48h.mzML	P6	A9	GUDCA	Dny-BSH1	48h
P5_A9_GUDCA_Dny_BSH1_24h.mzML Peak area	P5_A9_GUDCA_Dny_BSH1_24h.mzML	P5	A9	GUDCA	Dny-BSH1	24h
P7_A9_GUDCA_Dny_BSH1_0h.mzML Peak area	P7_A9_GUDCA_Dny_BSH1_0h.mzML	P7	A9	GUDCA	Dny-BSH1	0h
P4_A9_GUDCA_Dny_BSH1_0h.mzML Peak area	P4_A9_GUDCA_Dny_BSH1_0h.mzML	P4	A9	GUDCA	Dny-BSH1	0h
P9_A9_GUDCA_Dny_BSH1_48h.mzML Peak area	P9_A9_GUDCA_Dny_BSH1_48h.mzML	P9	A9	GUDCA	Dny-BSH1	48h
P3_A9_GUDCA_Dny_BSH1_24h.mzML Peak area	P3_A9_GUDCA_Dny_BSH1_24h.mzML	P3	A9	GUDCA	Dny-BSH1	24h
P8_A9_GUDCA_Dny_BSH1_24h.mzML Peak area	P8_A9_GUDCA_Dny_BSH1_24h.mzML	P8	A9	GUDCA	Dny-BSH1	24h
P4_A5_TCA_Dny_BSH1_0h.mzML Peak area	P4_A5_TCA_Dny_BSH1_0h.mzML	P4	A5	TCA	Dny-BSH1	0h
P7_A5_TCA_Dny_BSH1_0h.mzML Peak area	P7_A5_TCA_Dny_BSH1_0h.mzML	P7	A5	TCA	Dny-BSH1	0h
P8_A5_TCA_Dny_BSH1_24h.mzML Peak area	P8_A5_TCA_Dny_BSH1_24h.mzML	P8	A5	TCA	Dny-BSH1	24h
P2_A5_TCA_Dny_BSH1_48h.mzML Peak area	P2_A5_TCA_Dny_BSH1_48h.mzML	P2	A5	TCA	Dny-BSH1	48h
P6_A5_TCA_Dny_BSH1_48h.mzML Peak area	P6_A5_TCA_Dny_BSH1_48h.mzML	P6	A5	TCA	Dny-BSH1	48h
P1_A5_TCA_Dny_BSH1_0h.mzML Peak area	P1_A5_TCA_Dny_BSH1_0h.mzML	P1	A5	TCA	Dny-BSH1	0h
P5_A5_TCA_Dny_BSH1_24h.mzML Peak area	P5_A5_TCA_Dny_BSH1_24h.mzML	P5	A5	TCA	Dny-BSH1	24h
P9_A5_TCA_Dny_BSH1_48h.mzML Peak area	P9_A5_TCA_Dny_BSH1_48h.mzML	P9	A5	TCA	Dny-BSH1	48h
P3_A5_TCA_Dny_BSH1_24h.mzML Peak area	P3_A5_TCA_Dny_BSH1_24h.mzML	P3	A5	TCA	Dny-BSH1	24h
P9_A3_TCDCA_Dny_BSH1_48h.mzML Peak area	P9_A3_TCDCA_Dny_BSH1_48h.mzML	P9	A3	TCDCA	Dny-BSH1	48h
P3_A3_TCDCA_Dny_BSH1_24h.mzML Peak area	P3_A3_TCDCA_Dny_BSH1_24h.mzML	P3	A3	TCDCA	Dny-BSH1	24h
P8_A3_TCDCA_Dny_BSH1_24h.mzML Peak area	P8_A3_TCDCA_Dny_BSH1_24h.mzML	P8	A3	TCDCA	Dny-BSH1	24h
P6_A3_TCDCA_Dny_BSH1_48h.mzML Peak area	P6_A3_TCDCA_Dny_BSH1_48h.mzML	P6	A3	TCDCA	Dny-BSH1	48h
P5_A3_TCDCA_Dny_BSH1_24h.mzML Peak area	P5_A3_TCDCA_Dny_BSH1_24h.mzML	P5	A3	TCDCA	Dny-BSH1	24h
P7_A3_TCDCA_Dny_BSH1_0h.mzML Peak area	P7_A3_TCDCA_Dny_BSH1_0h.mzML	P7	A3	TCDCA	Dny-BSH1	0h
P4_A3_TCDCA_Dny_BSH1_0h.mzML Peak area	P4_A3_TCDCA_Dny_BSH1_0h.mzML	P4	A3	TCDCA	Dny-BSH1	0h
P4_A2_TDCA_Dny_BSH1_0h.mzML Peak area	P4_A2_TDCA_Dny_BSH1_0h.mzML	P4	A2	TDCA	Dny-BSH1	0h
P7_A2_TDCA_Dny_BSH1_0h.mzML Peak area	P7_A2_TDCA_Dny_BSH1_0h.mzML	P7	A2	TDCA	Dny-BSH1	0h
P8_A2_TDCA_Dny_BSH1_24h.mzML Peak area	P8_A2_TDCA_Dny_BSH1_24h.mzML	P8	A2	TDCA	Dny-BSH1	24h
P1_A2_TDCA_Dny_BSH1_0h.mzML Peak area	P1_A2_TDCA_Dny_BSH1_0h.mzML	P1	A2	TDCA	Dny-BSH1	0h
P2_A2_TDCA_Dny_BSH1_48h.mzML Peak area	P2_A2_TDCA_Dny_BSH1_48h.mzML	P2	A2	TDCA	Dny-BSH1	48h
P6_A2_TDCA_Dny_BSH1_48h.mzML Peak area	P6_A2_TDCA_Dny_BSH1_48h.mzML	P6	A2	TDCA	Dny-BSH1	48h
P9_A2_TDCA_Dny_BSH1_48h.mzML Peak area	P9_A2_TDCA_Dny_BSH1_48h.mzML	P9	A2	TDCA	Dny-BSH1	48h
P3_A2_TDCA_Dny_BSH1_24h.mzML Peak area	P3_A2_TDCA_Dny_BSH1_24h.mzML	P3	A2	TDCA	Dny-BSH1	24h
P5_A2_TDCA_Dny_BSH1_24h.mzML Peak area	P5_A2_TDCA_Dny_BSH1_24h.mzML	P5	A2	TDCA	Dny-BSH1	24h
P5_A1_TLCA_Dny_BSH1_24h.mzML Peak area	P5_A1_TLCA_Dny_BSH1_24h.mzML	P5	A1	TLCA	Dny-BSH1	24h
P9_A1_TLCA_Dny_BSH1_48h.mzML Peak area	P9_A1_TLCA_Dny_BSH1_48h.mzML	P9	A1	TLCA	Dny-BSH1	48h
P3_A1_TLCA_Dny_BSH1_24h.mzML Peak area	P3_A1_TLCA_Dny_BSH1_24h.mzML	P3	A1	TLCA	Dny-BSH1	24h
P7_A1_TLCA_Dny_BSH1_0h.mzML Peak area	P7_A1_TLCA_Dny_BSH1_0h.mzML	P7	A1	TLCA	Dny-BSH1	0h
P4_A1_TLCA_Dny_BSH1_0h.mzML Peak area	P4_A1_TLCA_Dny_BSH1_0h.mzML	P4	A1	TLCA	Dny-BSH1	0h
P6_A1_TLCA_Dny_BSH1_48h.mzML Peak area	P6_A1_TLCA_Dny_BSH1_48h.mzML	P6	A1	TLCA	Dny-BSH1	48h
P8_A1_TLCA_Dny_BSH1_24h.mzML Peak area	P8_A1_TLCA_Dny_BSH1_24h.mzML	P8	A1	TLCA	Dny-BSH1	24h
P7_A4_TUDCA_Dny_BSH1_0h.mzML Peak area	P7_A4_TUDCA_Dny_BSH1_0h.mzML	P7	A4	TUDCA	Dny-BSH1	0h
P4_A4_TUDCA_Dny_BSH1_0h.mzML Peak area	P4_A4_TUDCA_Dny_BSH1_0h.mzML	P4	A4	TUDCA	Dny-BSH1	0h
P8_A4_TUDCA_Dny_BSH1_24h.mzML Peak area	P8_A4_TUDCA_Dny_BSH1_24h.mzML	P8	A4	TUDCA	Dny-BSH1	24h
P9_A4_TUDCA_Dny_BSH1_48h.mzML Peak area	P9_A4_TUDCA_Dny_BSH1_48h.mzML	P9	A4	TUDCA	Dny-BSH1	48h
P3_A4_TUDCA_Dny_BSH1_24h.mzML Peak area	P3_A4_TUDCA_Dny_BSH1_24h.mzML	P3	A4	TUDCA	Dny-BSH1	24h
P5_A4_TUDCA_Dny_BSH1_24h.mzML Peak area	P5_A4_TUDCA_Dny_BSH1_24h.mzML	P5	A4	TUDCA	Dny-BSH1	24h
P6_A4_TUDCA_Dny_BSH1_48h.mzML Peak area	P6_A4_TUDCA_Dny_BSH1_48h.mzML	P6	A4	TUDCA	Dny-BSH1	48h
P9_B10_GCA_Dny_BSH2_48h.mzML Peak area	P9_B10_GCA_Dny_BSH2_48h.mzML	P9	B10	GCA	Dny-BSH2	48h
P3_B10_GCA_Dny_BSH2_24h.mzML Peak area	P3_B10_GCA_Dny_BSH2_24h.mzML	P3	B10	GCA	Dny-BSH2	24h
P5_B10_GCA_Dny_BSH2_24h.mzML Peak area	P5_B10_GCA_Dny_BSH2_24h.mzML	P5	B10	GCA	Dny-BSH2	24h
P8_B10_GCA_Dny_BSH2_24h.mzML Peak area	P8_B10_GCA_Dny_BSH2_24h.mzML	P8	B10	GCA	Dny-BSH2	24h
P6_B8_GCDCA_Dny_BSH2_48h.mzML Peak area	P6_B8_GCDCA_Dny_BSH2_48h.mzML	P6	B8	GCDCA	Dny-BSH2	48h
P5_B8_GCDCA_Dny_BSH2_24h.mzML Peak area	P5_B8_GCDCA_Dny_BSH2_24h.mzML	P5	B8	GCDCA	Dny-BSH2	24h
P8_B8_GCDCA_Dny_BSH2_24h.mzML Peak area	P8_B8_GCDCA_Dny_BSH2_24h.mzML	P8	B8	GCDCA	Dny-BSH2	24h
P3_B8_GCDCA_Dny_BSH2_24h.mzML Peak area	P3_B8_GCDCA_Dny_BSH2_24h.mzML	P3	B8	GCDCA	Dny-BSH2	24h
P9_B8_GCDCA_Dny_BSH2_48h.mzML Peak area	P9_B8_GCDCA_Dny_BSH2_48h.mzML	P9	B8	GCDCA	Dny-BSH2	48h
P4_B8_GCDCA_Dny_BSH2_0h.mzML Peak area	P4_B8_GCDCA_Dny_BSH2_0h.mzML	P4	B8	GCDCA	Dny-BSH2	0h
P7_B8_GCDCA_Dny_BSH2_0h.mzML Peak area	P7_B8_GCDCA_Dny_BSH2_0h.mzML	P7	B8	GCDCA	Dny-BSH2	0h
P6_B7_GDCA_Dny_BSH2_48h.mzML Peak area	P6_B7_GDCA_Dny_BSH2_48h.mzML	P6	B7	GDCA	Dny-BSH2	48h
P5_B7_GDCA_Dny_BSH2_24h.mzML Peak area	P5_B7_GDCA_Dny_BSH2_24h.mzML	P5	B7	GDCA	Dny-BSH2	24h
P3_B7_GDCA_Dny_BSH2_24h.mzML Peak area	P3_B7_GDCA_Dny_BSH2_24h.mzML	P3	B7	GDCA	Dny-BSH2	24h
P9_B7_GDCA_Dny_BSH2_48h.mzML Peak area	P9_B7_GDCA_Dny_BSH2_48h.mzML	P9	B7	GDCA	Dny-BSH2	48h
P8_B7_GDCA_Dny_BSH2_24h.mzML Peak area	P8_B7_GDCA_Dny_BSH2_24h.mzML	P8	B7	GDCA	Dny-BSH2	24h
P4_B7_GDCA_Dny_BSH2_0h.mzML Peak area	P4_B7_GDCA_Dny_BSH2_0h.mzML	P4	B7	GDCA	Dny-BSH2	0h
P7_B7_GDCA_Dny_BSH2_0h.mzML Peak area	P7_B7_GDCA_Dny_BSH2_0h.mzML	P7	B7	GDCA	Dny-BSH2	0h
P8_B6_GLCA_Dny_BSH2_24h.mzML Peak area	P8_B6_GLCA_Dny_BSH2_24h.mzML	P8	B6	GLCA	Dny-BSH2	24h
P7_B6_GLCA_Dny_BSH2_0h.mzML Peak area	P7_B6_GLCA_Dny_BSH2_0h.mzML	P7	B6	GLCA	Dny-BSH2	0h
P4_B6_GLCA_Dny_BSH2_0h.mzML Peak area	P4_B6_GLCA_Dny_BSH2_0h.mzML	P4	B6	GLCA	Dny-BSH2	0h
P6_B6_GLCA_Dny_BSH2_48h.mzML Peak area	P6_B6_GLCA_Dny_BSH2_48h.mzML	P6	B6	GLCA	Dny-BSH2	48h
P5_B6_GLCA_Dny_BSH2_24h.mzML Peak area	P5_B6_GLCA_Dny_BSH2_24h.mzML	P5	B6	GLCA	Dny-BSH2	24h
P9_B6_GLCA_Dny_BSH2_48h.mzML Peak area	P9_B6_GLCA_Dny_BSH2_48h.mzML	P9	B6	GLCA	Dny-BSH2	48h
P3_B6_GLCA_Dny_BSH2_24h.mzML Peak area	P3_B6_GLCA_Dny_BSH2_24h.mzML	P3	B6	GLCA	Dny-BSH2	24h
P8_B9_GUDCA_Dny_BSH2_24h.mzML Peak area	P8_B9_GUDCA_Dny_BSH2_24h.mzML	P8	B9	GUDCA	Dny-BSH2	24h
P9_B9_GUDCA_Dny_BSH2_48h.mzML Peak area	P9_B9_GUDCA_Dny_BSH2_48h.mzML	P9	B9	GUDCA	Dny-BSH2	48h
P3_B9_GUDCA_Dny_BSH2_24h.mzML Peak area	P3_B9_GUDCA_Dny_BSH2_24h.mzML	P3	B9	GUDCA	Dny-BSH2	24h
P7_B9_GUDCA_Dny_BSH2_0h.mzML Peak area	P7_B9_GUDCA_Dny_BSH2_0h.mzML	P7	B9	GUDCA	Dny-BSH2	0h
P4_B9_GUDCA_Dny_BSH2_0h.mzML Peak area	P4_B9_GUDCA_Dny_BSH2_0h.mzML	P4	B9	GUDCA	Dny-BSH2	0h
P5_B9_GUDCA_Dny_BSH2_24h.mzML Peak area	P5_B9_GUDCA_Dny_BSH2_24h.mzML	P5	B9	GUDCA	Dny-BSH2	24h
P6_B9_GUDCA_Dny_BSH2_48h.mzML Peak area	P6_B9_GUDCA_Dny_BSH2_48h.mzML	P6	B9	GUDCA	Dny-BSH2	48h
P7_B5_TCA_Dny_BSH2_0h.mzML Peak area	P7_B5_TCA_Dny_BSH2_0h.mzML	P7	B5	TCA	Dny-BSH2	0h
P6_B5_TCA_Dny_BSH2_48h.mzML Peak area	P6_B5_TCA_Dny_BSH2_48h.mzML	P6	B5	TCA	Dny-BSH2	48h
P2_B5_TCA_Dny_BSH2_48h.mzML Peak area	P2_B5_TCA_Dny_BSH2_48h.mzML	P2	B5	TCA	Dny-BSH2	48h
P8_B5_TCA_Dny_BSH2_24h.mzML Peak area	P8_B5_TCA_Dny_BSH2_24h.mzML	P8	B5	TCA	Dny-BSH2	24h
P3_B5_TCA_Dny_BSH2_24h.mzML Peak area	P3_B5_TCA_Dny_BSH2_24h.mzML	P3	B5	TCA	Dny-BSH2	24h
P9_B5_TCA_Dny_BSH2_48h.mzML Peak area	P9_B5_TCA_Dny_BSH2_48h.mzML	P9	B5	TCA	Dny-BSH2	48h
P5_B5_TCA_Dny_BSH2_24h.mzML Peak area	P5_B5_TCA_Dny_BSH2_24h.mzML	P5	B5	TCA	Dny-BSH2	24h
P4_B5_TCA_Dny_BSH2_0h.mzML Peak area	P4_B5_TCA_Dny_BSH2_0h.mzML	P4	B5	TCA	Dny-BSH2	0h
P1_B5_TCA_Dny_BSH2_0h.mzML Peak area	P1_B5_TCA_Dny_BSH2_0h.mzML	P1	B5	TCA	Dny-BSH2	0h
P7_B3_TCDCA_Dny_BSH2_0h.mzML Peak area	P7_B3_TCDCA_Dny_BSH2_0h.mzML	P7	B3	TCDCA	Dny-BSH2	0h
P4_B3_TCDCA_Dny_BSH2_0h.mzML Peak area	P4_B3_TCDCA_Dny_BSH2_0h.mzML	P4	B3	TCDCA	Dny-BSH2	0h
P5_B3_TCDCA_Dny_BSH2_24h.mzML Peak area	P5_B3_TCDCA_Dny_BSH2_24h.mzML	P5	B3	TCDCA	Dny-BSH2	24h
P6_B3_TCDCA_Dny_BSH2_48h.mzML Peak area	P6_B3_TCDCA_Dny_BSH2_48h.mzML	P6	B3	TCDCA	Dny-BSH2	48h
P8_B3_TCDCA_Dny_BSH2_24h.mzML Peak area	P8_B3_TCDCA_Dny_BSH2_24h.mzML	P8	B3	TCDCA	Dny-BSH2	24h
P9_B3_TCDCA_Dny_BSH2_48h.mzML Peak area	P9_B3_TCDCA_Dny_BSH2_48h.mzML	P9	B3	TCDCA	Dny-BSH2	48h
P3_B3_TCDCA_Dny_BSH2_24h.mzML Peak area	P3_B3_TCDCA_Dny_BSH2_24h.mzML	P3	B3	TCDCA	Dny-BSH2	24h
P6_B2_TDCA_Dny_BSH2_48h.mzML Peak area	P6_B2_TDCA_Dny_BSH2_48h.mzML	P6	B2	TDCA	Dny-BSH2	48h
P3_B2_TDCA_Dny_BSH2_24h.mzML Peak area	P3_B2_TDCA_Dny_BSH2_24h.mzML	P3	B2	TDCA	Dny-BSH2	24h
P9_B2_TDCA_Dny_BSH2_48h.mzML Peak area	P9_B2_TDCA_Dny_BSH2_48h.mzML	P9	B2	TDCA	Dny-BSH2	48h
P5_B2_TDCA_Dny_BSH2_24h.mzML Peak area	P5_B2_TDCA_Dny_BSH2_24h.mzML	P5	B2	TDCA	Dny-BSH2	24h
P2_B2_TDCA_Dny_BSH2_48h.mzML Peak area	P2_B2_TDCA_Dny_BSH2_48h.mzML	P2	B2	TDCA	Dny-BSH2	48h
P8_B2_TDCA_Dny_BSH2_24h.mzML Peak area	P8_B2_TDCA_Dny_BSH2_24h.mzML	P8	B2	TDCA	Dny-BSH2	24h
P1_B2_TDCA_Dny_BSH2_0h.mzML Peak area	P1_B2_TDCA_Dny_BSH2_0h.mzML	P1	B2	TDCA	Dny-BSH2	0h
P4_B2_TDCA_Dny_BSH2_0h.mzML Peak area	P4_B2_TDCA_Dny_BSH2_0h.mzML	P4	B2	TDCA	Dny-BSH2	0h
P7_B2_TDCA_Dny_BSH2_0h.mzML Peak area	P7_B2_TDCA_Dny_BSH2_0h.mzML	P7	B2	TDCA	Dny-BSH2	0h
P8_B1_TLCA_Dny_BSH2_24h.mzML Peak area	P8_B1_TLCA_Dny_BSH2_24h.mzML	P8	B1	TLCA	Dny-BSH2	24h
P5_B1_TLCA_Dny_BSH2_24h.mzML Peak area	P5_B1_TLCA_Dny_BSH2_24h.mzML	P5	B1	TLCA	Dny-BSH2	24h
P7_B1_TLCA_Dny_BSH2_0h.mzML Peak area	P7_B1_TLCA_Dny_BSH2_0h.mzML	P7	B1	TLCA	Dny-BSH2	0h
P3_B1_TLCA_Dny_BSH2_24h.mzML Peak area	P3_B1_TLCA_Dny_BSH2_24h.mzML	P3	B1	TLCA	Dny-BSH2	24h
P9_B1_TLCA_Dny_BSH2_48h.mzML Peak area	P9_B1_TLCA_Dny_BSH2_48h.mzML	P9	B1	TLCA	Dny-BSH2	48h
P4_B1_TLCA_Dny_BSH2_0h.mzML Peak area	P4_B1_TLCA_Dny_BSH2_0h.mzML	P4	B1	TLCA	Dny-BSH2	0h
P6_B1_TLCA_Dny_BSH2_48h.mzML Peak area	P6_B1_TLCA_Dny_BSH2_48h.mzML	P6	B1	TLCA	Dny-BSH2	48h
P6_B4_TUDCA_Dny_BSH2_48h.mzML Peak area	P6_B4_TUDCA_Dny_BSH2_48h.mzML	P6	B4	TUDCA	Dny-BSH2	48h
P5_B4_TUDCA_Dny_BSH2_24h.mzML Peak area	P5_B4_TUDCA_Dny_BSH2_24h.mzML	P5	B4	TUDCA	Dny-BSH2	24h
P9_B4_TUDCA_Dny_BSH2_48h.mzML Peak area	P9_B4_TUDCA_Dny_BSH2_48h.mzML	P9	B4	TUDCA	Dny-BSH2	48h
P3_B4_TUDCA_Dny_BSH2_24h.mzML Peak area	P3_B4_TUDCA_Dny_BSH2_24h.mzML	P3	B4	TUDCA	Dny-BSH2	24h
P7_B4_TUDCA_Dny_BSH2_0h.mzML Peak area	P7_B4_TUDCA_Dny_BSH2_0h.mzML	P7	B4	TUDCA	Dny-BSH2	0h
P4_B4_TUDCA_Dny_BSH2_0h.mzML Peak area	P4_B4_TUDCA_Dny_BSH2_0h.mzML	P4	B4	TUDCA	Dny-BSH2	0h
P8_B4_TUDCA_Dny_BSH2_24h.mzML Peak area	P8_B4_TUDCA_Dny_BSH2_24h.mzML	P8	B4	TUDCA	Dny-BSH2	24h
P6_B10_GCA_Dny_BSH2_48h.mzML Peak area	P6_B10_GCA_Dny_BSH2_48h.mzML	P6	B10	GCA	Dny-BSH2	48h
P7_B10_GCA_Dny_BSH2_0h.mzML Peak area	P7_B10_GCA_Dny_BSH2_0h.mzML	P7	B10	GCA	Dny-BSH2	0h
P4_B10_GCA_Dny_BSH2_0h.mzML Peak area	P4_B10_GCA_Dny_BSH2_0h.mzML	P4	B10	GCA	Dny-BSH2	0h
P4_G10_GCA_EcAZ-1-cat_0h.mzML Peak area	P4_G10_GCA_EcAZ-1-cat_0h.mzML	P4	G10	GCA	EcAZ-1-cat	0h
P7_G10_GCA_EcAZ-1-cat_0h.mzML Peak area	P7_G10_GCA_EcAZ-1-cat_0h.mzML	P7	G10	GCA	EcAZ-1-cat	0h
P7_G8_GCDCA_EcAZ-1-cat_0h.mzML Peak area	P7_G8_GCDCA_EcAZ-1-cat_0h.mzML	P7	G8	GCDCA	EcAZ-1-cat	0h
P4_G8_GCDCA_EcAZ-1-cat_0h.mzML Peak area	P4_G8_GCDCA_EcAZ-1-cat_0h.mzML	P4	G8	GCDCA	EcAZ-1-cat	0h
P4_G7_GDCA_EcAZ-1-cat_0h.mzML Peak area	P4_G7_GDCA_EcAZ-1-cat_0h.mzML	P4	G7	GDCA	EcAZ-1-cat	0h
P7_G7_GDCA_EcAZ-1-cat_0h.mzML Peak area	P7_G7_GDCA_EcAZ-1-cat_0h.mzML	P7	G7	GDCA	EcAZ-1-cat	0h
P7_G6_GLCA_EcAZ-1-cat_0h.mzML Peak area	P7_G6_GLCA_EcAZ-1-cat_0h.mzML	P7	G6	GLCA	EcAZ-1-cat	0h
P4_G6_GLCA_EcAZ-1-cat_0h.mzML Peak area	P4_G6_GLCA_EcAZ-1-cat_0h.mzML	P4	G6	GLCA	EcAZ-1-cat	0h
P4_G9_GUDCA_EcAZ-1-cat_0h.mzML Peak area	P4_G9_GUDCA_EcAZ-1-cat_0h.mzML	P4	G9	GUDCA	EcAZ-1-cat	0h
P7_G9_GUDCA_EcAZ-1-cat_0h.mzML Peak area	P7_G9_GUDCA_EcAZ-1-cat_0h.mzML	P7	G9	GUDCA	EcAZ-1-cat	0h
P1_G5_TCA_EcAZ-1-cat_0h.mzML Peak area	P1_G5_TCA_EcAZ-1-cat_0h.mzML	P1	G5	TCA	EcAZ-1-cat	0h
P7_G5_TCA_EcAZ-1-cat_0h.mzML Peak area	P7_G5_TCA_EcAZ-1-cat_0h.mzML	P7	G5	TCA	EcAZ-1-cat	0h
P4_G5_TCA_EcAZ-1-cat_0h.mzML Peak area	P4_G5_TCA_EcAZ-1-cat_0h.mzML	P4	G5	TCA	EcAZ-1-cat	0h
P4_G3_TCDCA_EcAZ-1-cat_0h.mzML Peak area	P4_G3_TCDCA_EcAZ-1-cat_0h.mzML	P4	G3	TCDCA	EcAZ-1-cat	0h
P7_G3_TCDCA_EcAZ-1-cat_0h.mzML Peak area	P7_G3_TCDCA_EcAZ-1-cat_0h.mzML	P7	G3	TCDCA	EcAZ-1-cat	0h
