FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
tr_R7EFA5_R7EFA5_9BACE	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	2	1	0	1	1	0	0	0	0	0	0	0	2	0
tr_R7EGC2_R7EGC2_9FIRM	3	2	2	2	1	1	2	2	3	2	1	1	3	3	2	3	2	3	4	4	3	2	5	5	6	4	3	13	7	5	1	4	3	4	5	3	3	13	5	2	10	2
tr_R7F4F7_R7F4F7_9BACT	0	0	10	0	3	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	4	3	4	8	7	0	7	4	0	5	2	0	2	0	0	7	0
tr_R7GK51_R7GK51_9CLOT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	2	1	0	2	0
tr_R7H1M9_R7H1M9_9FIRM	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	6	4	2	2	8	2	0	2	2	0	4	3	2	5	2	0	7	1
tr_R7I2P2_R7I2P2_9CLOT	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	3	1	2	1	1	2	1	2	1	0	1	1	1	2	2	0	3	1
tr_R7IMT7_R7IMT7_9FIRM	2	0	1	1	1	1	1	1	2	1	1	0	2	2	1	1	1	2	2	2	2	1	1	2	11	6	3	11	6	6	2	4	3	2	5	3	5	12	4	2	10	4
tr_R7IT85_R7IT85_9CLOT	3	1	1	1	1	1	1	2	4	3	1	0	4	2	2	2	1	3	2	2	2	2	3	4	13	9	8	18	11	8	2	8	7	8	9	4	7	23	8	4	14	3
tr_R7IZ25_R7IZ25_9BACT	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	9	5	5	0	1	1	0	1	0	0	0	0	0	4	0
tr_R7J4D2_R7J4D2_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
