CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
PF08455.13	0.551671075837743	1	24	9	0.0441702295033188	0.81932826567136	1	23.5	5.76261250282952	0.118345750023628	0.810920807189185	1	23.75	7.36508344557875	0.0590487235071393	0.0765175069161316	0.0765175069161316
PF00176.26	0.455602586713698	1	24	9	0.0717915332105375	0.831618458057298	1	24	12.4504607318012	0.159580854282776	0.746603882704547	1	24	10.7252303659006	0.119199360377845	0.0595598235727361	0.0595598235727361
PF00271.34	1	1	20	9	0.124850649484522	0.998665768351699	1	20	14.1528514086944	1.40160647433697	0.999999109516829	1	20	11.5764257043472	1.36812911462551	0.0165310307975483	0.0120829464272261
PF01565.26	1	1	24	7	0.207656619078328	0.967790728595455	1	24	12.9500120793354	0.60460886825143	0.999475620774206	1	24	9.9750060396677	0.586614214595262	0.0286850159121729	0.0286850159121729
PF04030.17	1	1	0	NaN	0	0.936958705710895	1	20	9.00000206330679	0.0365860120098662	0.997969772937066	1	20	9.00000206330679	0.00798736784729514	0.0140147732532161	0.0140147732532161
PF08447.15	1	1	24	7	0.200568875654801	0.990925664747301	1	24	1.00007368029384	0.751445398214763	0.999958703116215	1	24	4.00003684014692	0.382630536911036	0.168378190344775	0.168378190344775
PF00015.24	1	1	24	13	1.5508419515208	0.999952613199028	1	20	12.5303676472255	5.87686068517804	0.999999998877228	1	22	12.8500355393074	4.78217367476057	1.64832909502063	0.34468198085741
PF08448.13	1	1	20	19	0.204979382862947	0.999178581580323	1	20	9.1978632831432	0.274532833312482	0.99999966254348	1	20	14.0989316415716	0.274048426508384	0.108105340722327	0.108105340722327
PF00512.28	1	1	24	7	1.17443865384403	0.914958027496488	1	24	13.3504842674559	4.76830127776282	0.996276831110437	1	24	10.175242133728	4.34882337847248	0.232331616148146	0.053424017470618
PF02518.29	1	1	24	7	1.933981638732	0.869996131353308	1	24	13.3522142997485	7.49433161455438	0.991157459815814	1	24	10.1761071498742	7.24502767949117	0.138034475212262	0.0190523047417752
PF01025.22	1	1	20	15	0.25990568909794	0.99995149060954	1	20	13.9051391194479	0.768677939014366	0.999999998823401	1	20	14.452569559724	0.647130592841944	0.312719613147249	0.312719613147249
PF00012.23	0.898239271017049	1	24	15	0.196798241704509	0.979946667074127	1	24	13.4104955789065	3.70303173692727	0.99252230223011	1	24	14.2052477894532	2.78704716716748	0.419179145542872	0.15040260189385
PF06100.14	1	1	24	19	0.023811165035262	0.999841682423807	1	20	13.3339352445357	0.0506747620465548	0.999999987467111	1	22	16.041997717828	0.0382538574116884	0.0409031027113421	0.0409031027113421
PF00359.25	1	1	20	15	0.0989633725188602	0.989692461256678	1	23.8983050847458	15.419157101992	0.407510025971585	0.999946693854645	1	21.9491525423729	15.3117153406521	0.29430395131498	0.0643984713486017	0.0643984713486017
PF02302.20	0.13380658436214	1	24	21	1.9021290802712	0.22189892271716	1	24	20.9999263197062	7.01211143223906	0.134113501991062	1	24	20.9999631598531	2.64424539768825	1.61363966894369	0.610245807879415
PF02378.21	1	1	24	19	0.565138051524853	0.948825376768046	1	24	20.1245978142904	2.54168298068778	0.998667652894654	1	24	19.5622989071452	1.75711239138481	0.486284354730192	0.276751992140322
PF04167.16	0.108540564373898	1	20	5	0.106493991808465	0.675606683019297	1	20	5.24982887746406	0.358248887503469	0.264927468098867	1	20	5.12491443873203	0.123972304078194	0.240028955034887	0.240028955034887
PF00521.23	0.455602586713698	1	20	1	0.303828538084183	0.930790453705688	1	20	3.03008132523086	0.826272960537385	0.787861770886676	1	20	2.01504066261543	0.624231242181579	0.220463924409349	0.220463924409349
PF03989.16	0.13380658436214	1	24	1	1.09420933622235	0.969977421916	1	20	3.92771246041414	4.86553551124111	0.394798796559995	1	22	2.61857518656111	3.45263078165775	1.35649329521318	0.392886868303328
PF01544.21	1	1	0	NaN	0	0.999976777248057	1	20	13.0000032187376	0.0505176973720717	0.99999999973035	1	20	13.0000032187376	0.0256680412121422	0.00469719393864049	0.00469719393864049
PF00471.23	1	1	20	7	0.290877864573058	0.999999969678195	1	20	5.40796671785293	1.76794065527318	1	1	20	6.20398335892646	1.29269979434377	0.336723908180369	0.26048113386705
PF00122.23	1	1	20	15	0.103106774810567	0.998973650096869	1	23.5983263598326	15.7579974441673	0.678102144678984	0.999999473122654	1	21.7991631799163	15.4529811112728	0.672819999875566	0.229750167500041	0.229750167500041
PF00702.29	1	1	20	1	0.234163273440037	0.994645432233466	1	24	15.812435375618	0.678549274751259	0.999985638646136	1	22	18.7973662138249	0.668344366200092	0.0205405156310577	0.0205405156310577
PF10543.12	1	1	20	9	0.0227412739722944	0.998088734403656	1	20.6593406593407	4.14659697147787	0.0634419308810214	0.999998172367175	1	20.3296703296703	6.61438975961042	0.0482834589154046	0.0240032504829787	0.0240032504829787
PF10552.12	1	1	0	NaN	0	0.936958705710895	1	20	9.00000206330729	0.032779936418205	0.997969772937066	1	20	9.00000206330729	0.00715643481756216	0.012556803841645	0.012556803841645
PF00692.22	0.170690770135215	1	24	1	0.119076814075823	0.480200989264656	1	24	1.00006920734035	0.411516787962366	0.28699960384022	1	24	1.00003460367018	0.178709725066374	0.145866055606126	0.145866055606126
PF06605.14	1	1	0	NaN	0	0.995240006075186	1	20	9.00000190833361	0.025864593594405	0.999988653211054	1	20	9.00000190833361	0.00714344766322635	0.00852390088361206	0.00852390088361206
PF18013.4	0.383824221046443	1	24	19	0.050769142878478	0.648774861600646	1	22.56	18.892056595069	0.135370230164867	0.595206850637614	1	23.28	18.9624972857537	0.0755477371817308	0.0694061597117238	0.0694061597117238
PF01551.25	1	1	20	19	0.36326379266968	0.998967187551349	1	24	8.98369832301216	0.884936819027085	0.999999466465511	1	22	3.56752839804724	0.967006429028548	0.0671097239217656	0.0671097239217656
PF01521.23	1	1	0	NaN	0	0.953999885418848	1	20	5.18668391625313	0.391602555941311	0.998925388191476	1	20	5.18668391625313	0.107591439961024	0.24801249077468	0.24801249077468
PF08282.15	1	1	24	19	0.628456544358809	0.999998078130884	1	20	18.4551142326478	1.67081394046567	0.999999999998153	1	22	18.8586461612896	1.40808332291733	0.0613238783039716	0.0435513135521824
PF01219.22	0.259810405643739	1	24	17	0.114999199228124	0.244145999328425	1	22.03125	16.7317376181411	0.288217571883943	0.238363026146203	1	23.015625	16.8910301348482	0.0959279436644587	0.186289560071847	0.186289560071847
PF00654.23	0.170690770135215	1	24	21	0.0503752507921796	0.373844242673527	1	24	9.30448152064982	0.0457996076917499	0.239410100373093	1	24	15.1522407603249	0.0591641540401223	0.0213031873055593	0.0213031873055593
PF17767.4	1	1	24	11	0.0814097505625875	0.973733107679777	1	24	13.2779207090232	0.347079480419607	0.999651964406246	1	24	12.1389603545116	0.229997547873996	0.077584827146458	0.077584827146458
PF04095.19	1	1	24	11	0.0814097505625875	0.973733107679777	1	24	13.2779207090232	0.347079480419607	0.999651964406246	1	24	12.1389603545116	0.229997547873996	0.077584827146458	0.077584827146458
PF17956.4	0.647739564961787	1	20	15	0.0815883598726715	0.703267574582683	1	20	13.2831679295584	0.347094780378216	0.813713698632163	1	20	14.1415839647792	0.202865053609804	0.128159800952661	0.128159800952661
PF00583.28	1	1	24	7	0.384192715162556	0.999888991971957	1	24	16.1877925540373	1.83318626872523	0.999999993838381	1	24	11.5938962770187	1.56668738697119	0.108811170391577	0.0694530199811829
PF00005.30	1	1	20	3	7.63675185346219	0.769648398868283	1	24	16.0236098142848	25.4090403111974	0.971158891949506	1	22	19.9941544982139	26.4703203503554	2.52032083332371	0.0952130839357171
PF02687.24	1	1	24	11	0.78283417051486	0.999999984486147	1	24	15.3829005120057	5.1631321120152	1	1	24	13.1914502560028	3.83995127727395	0.56236391198073	0.146450793610059
PF12704.10	1	1	24	11	0.118055745620703	0.989895746413006	1	24	14.4637428573901	0.716531210205459	0.999948779221912	1	24	12.731871428695	0.703795550361171	0.0644285735676331	0.0644285735676331
PF08245.15	0.455602586713698	1	20	19	0.171296903076898	0.962658800933681	1	20	17.1385913052115	0.961665531186827	0.800071466698493	1	20	18.0692956526057	0.809339315759044	0.146073652820986	0.146073652820986
PF08353.13	0.383824221046443	1	20	15	0.0383999779638548	0.525224198315847	1	22.03125	14.8867029879608	0.107761320651024	0.524446320960185	1	21.015625	14.9810776440806	0.0733583336723349	0.0393571207457205	0.0393571207457205
PF13328.9	1	1	20	9	0.117383231429149	0.999640482108406	1	20	14.8388239710617	0.460031759095656	0.999999935365697	1	20	11.9194119855308	0.429501101096581	0.0171945353967566	0.0171945353967566
PF04607.20	1	1	24	7	0.388655058053558	0.961874123515162	1	24	1.00007368029384	2.26915324912744	0.999263792045369	1	24	4.00003684014692	1.23694073856381	0.174543803450774	0.141109269028874
PF02824.24	1	1	24	1	0.081149085035828	0.998168359083163	1	20	5.33750162091594	0.65611914317153	0.999998321520672	1	22	3.3939592248371	0.527849939608602	0.166995038825464	0.166995038825464
PF19296.2	0.898239271017049	1	20	5	0.0223766876770271	0.998970864553091	1	20	19.719845712523	0.242876618104752	0.994537546948792	1	20	2.3599228562615	0.21753210336114	0.0450579363573722	0.0450579363573722
PF13291.9	1	1	24	1	0.0962530135091203	0.991898368515502	1	20	5.23441577631957	0.467126980694842	0.999967092795847	1	22	3.3372620103091	0.316773616118672	0.142898869573818	0.142898869573818
PF13460.9	1	1	0	NaN	0	0.927553358138017	1	20	5.25547876863639	0.181350755375325	0.997309968705502	1	20	5.25547876863639	0.0535182776624412	0.116298769663949	0.116298769663949
PF13520.9	1	1	20	3	0.112814759809817	0.935886238112838	1	23.8983050847458	14.8053348774301	0.143744266126487	0.997899324041888	1	21.9491525423729	8.44509022304391	0.289430763620453	0.0311472812026275	0.0311472812026275
