CHROMATOGRAM,
p6_f9_gudca_az-52_48h.raw,
Data points: 2534,
Time,Intensity
0.36552685,0
0.36784975,0
0.37017473,0
0.37249763,0
0.378058,0
0.38668295,0
0.39003708,0
0.40910987,0
0.42493268,0
0.44266378,0
0.46125117,0
0.47910522,0
0.49356137,0
0.51238622,0
0.53104027,0
0.55010678,0
0.56919833,0
0.58836696,0
0.61005012,0
0.62904582,0
0.6464332,0
0.665381,0
0.67925796,0
0.7001995,0
0.7116369,0
0.7299722,0
0.74734915,0
0.76149698,0
0.77952601,0
0.79629048,0
0.81166745,0
0.82962357,0
0.8476172,0
0.86852538,0
0.8846211,0
0.9038918,0
0.92299791,0
0.94442693,0
0.96184763,0
0.9808871,0
0.99887655,0
1.0164889,0
1.0345159,0
1.0522595,0
1.0671448,0
1.0863218,0
1.1071216,0
1.1262652,0
1.1453901,0
1.163465,0
1.182619,0
1.2029668,0
1.2220583,0
1.2411957,0
1.2604455,0
1.2795392,0
1.298789,0
1.3169097,0
1.335518,0
1.3574011,0
1.3766072,0
1.3958842,0
1.4150778,0
1.4343276,0
1.4562858,0
1.4751607,0
1.4908189,0
1.505798,0
1.5222458,0
1.5375478,0
1.5525518,0
1.5691767,0
1.5833079,0
1.5964015,0
1.6086348,0
1.6191034,0
1.6291243,0
1.6405241,0
1.6587698,0
1.6699698,0
1.6812468,0
1.6978362,0
1.7115486,0
1.7238694,0
1.7350422,0
1.7462359,0
1.7600566,0
1.7776148,0
1.7927501,0
1.8034501,0
1.81785,0
1.833479,0
1.8456477,0
1.8607601,0
1.8750412,0
1.8903911,0
1.9043639,0
1.9154493,0
1.9285221,0
1.9424803,0
1.9544699,0
1.9655531,0
1.9810259,0
1.9914508,0
2.0062632,0
2.0219027,0
2.0354109,0
2.0517691,0
2.0690565,0
2.0840564,0
2.1029875,0
2.1227624,0
2.1394185,0
2.1536601,0
2.1681392,0
2.1868203,0
2.2083618,0
2.2267388,0
2.2431969,0
2.261151,0
2.2796342,0
2.2970362,0
2.3165485,0
2.3354901,0
2.3575253,0
2.3757773,0
2.3941605,0
2.4135249,0
2.4314581,0
2.4487538,0
2.4646308,0
2.4840953,0
2.5034056,0
2.5251325,0
2.5435157,0
2.5590572,0
2.5786321,0
2.5953882,0
2.6169735,0
2.6365733,0
2.650892,0
2.6702377,0
2.6924625,0
2.7120207,0
2.7315727,0
2.7511413,0
2.7706245,0
2.7855161,0
2.7996076,0
2.8176908,0
2.8361824,0
2.8583114,0
2.878055,0
2.8974632,0
2.916938,0
2.9356254,0
2.9578606,0
2.9775793,0
2.9972375,0
3.0169082,0
3.0393184,0
3.0588891,0
3.0783952,0
3.0979285,0
